id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,customer-1,85,153,241,0,0
2,customer-2,28,66,168,33,35
3,customer-3,135,141,71,133,62
4,customer-4,111,118,0,203,0
5,customer-5,110,200,51,146,145
6,customer-6,89,167,41,164,157
7,customer-7,157,158,152,148,49
8,customer-8,61,78,164,33,35
9,customer-9,82,104,108,92,109
10,customer-10,201,233,110,85,114
11,customer-11,121,180,80,118,121
12,customer-12,27,127,41,41,158
13,customer-13,214,241,83,121,79
14,customer-14,137,222,175,30,29
15,customer-15,227,285,152,48,51
16,customer-16,257,273,10,8,187
17,customer-17,62,101,106,97,99
18,customer-18,176,239,134,70,68
19,customer-19,76,96,38,161,38
20,customer-20,178,228,170,27,28
21,customer-21,141,163,27,174,176
22,customer-22,32,35,149,49,56
23,customer-23,72,119,122,81,79
24,customer-24,188,263,29,169,26
25,customer-25,172,201,177,25,175
26,customer-26,180,196,61,63,136
27,customer-27,57,126,118,121,78
28,customer-28,128,194,138,138,66
29,customer-29,119,165,52,153,146
30,customer-30,72,122,113,111,84
31,customer-31,121,152,222,0,0
32,customer-32,207,209,22,173,30
33,customer-33,140,170,74,121,77
34,customer-34,102,109,72,130,131
35,customer-35,204,296,156,44,155
36,customer-36,64,137,78,69,127
37,customer-37,98,162,162,42,33
38,customer-38,121,169,121,129,74
39,customer-39,217,220,72,126,128
40,customer-40,186,264,54,149,48
41,customer-41,164,259,48,54,150
42,customer-42,215,230,126,70,76
43,customer-43,73,120,2,198,0
44,customer-44,21,98,42,156,154
45,customer-45,133,226,55,49,149
46,customer-46,115,146,44,158,157
47,customer-47,133,175,26,179,25
48,customer-48,103,158,67,128,137
49,customer-49,137,182,47,149,56
50,customer-50,211,298,198,5,0
51,customer-51,79,150,185,177,19
52,customer-52,183,225,4,201,0
53,customer-53,110,133,16,13,188
54,customer-54,174,251,248,0,0
55,customer-55,209,254,152,52,150
56,customer-56,192,249,82,120,77
57,customer-57,208,211,119,82,121
58,customer-58,39,51,111,113,90
59,customer-59,139,203,70,132,71
60,customer-60,151,222,177,185,20
61,customer-61,62,127,0,237,0
62,customer-62,169,226,204,0,0
63,customer-63,166,198,110,95,87
64,customer-64,10,105,133,67,138
65,customer-65,125,173,70,64,132
66,customer-66,108,187,130,128,72
67,customer-67,113,123,182,16,180
68,customer-68,108,193,61,68,135
69,customer-69,99,192,159,161,44
70,customer-70,167,244,198,5,1
71,customer-71,118,197,17,180,178
72,customer-72,84,168,28,171,169
73,customer-73,224,301,206,0,0
74,customer-74,121,138,45,154,160
75,customer-75,35,125,63,142,141
76,customer-76,185,246,146,53,149
77,customer-77,31,95,100,104,100
78,customer-78,158,235,69,129,133
79,customer-79,23,46,173,32,22
80,customer-80,176,239,170,34,167
81,customer-81,158,161,97,95,100
82,customer-82,88,168,100,95,103
83,customer-83,173,240,88,88,114
84,customer-84,71,131,130,67,128
85,customer-85,182,240,0,0,248
86,customer-86,57,80,169,26,173
87,customer-87,176,251,135,62,60
88,customer-88,148,211,3,197,3
89,customer-89,75,142,92,106,97
90,customer-90,110,112,77,80,121
91,customer-91,0,73,83,113,114
92,customer-92,93,132,208,0,0
93,customer-93,154,208,103,102,94
94,customer-94,140,226,127,73,69
95,customer-95,106,125,0,0,255
96,customer-96,251,293,116,108,88
97,customer-97,168,223,77,127,128
98,customer-98,115,144,156,156,47
99,customer-99,130,136,26,28,177
100,customer-100,44,72,65,68,133
101,customer-101,137,153,4,6,199
102,customer-102,165,253,88,79,116
103,customer-103,70,143,86,110,86
104,customer-104,62,117,77,75,121
105,customer-105,74,104,238,0,0
