id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,product-1,123,195,42,162,41
2,product-2,170,209,150,152,52
3,product-3,195,201,9,192,10
4,product-4,195,275,127,73,77
5,product-5,233,315,50,148,147
6,product-6,85,143,21,27,175
7,product-7,2,26,36,41,164
8,product-8,108,190,40,158,41
9,product-9,67,162,21,27,177
10,product-10,149,149,78,117,122
11,product-11,172,184,156,43,42
12,product-12,34,122,216,0,0
13,product-13,81,142,140,60,141
14,product-14,168,176,92,106,107
15,product-15,216,243,69,131,127
16,product-16,44,75,137,64,58
17,product-17,80,106,49,152,43
18,product-18,43,127,0,204,0
19,product-19,16,31,7,198,0
20,product-20,142,216,139,56,145
21,product-21,204,210,193,185,11
22,product-22,195,260,31,164,169
23,product-23,211,292,45,156,41
24,product-24,105,106,128,129,67
25,product-25,107,129,36,38,164
26,product-26,54,128,48,154,152
27,product-27,244,266,129,73,70
28,product-28,148,226,152,150,49
29,product-29,149,171,76,128,119
30,product-30,43,101,38,37,163
31,product-31,106,134,0,0,223
32,product-32,132,138,0,0,245
33,product-33,17,29,147,53,57
34,product-34,87,89,99,102,94
35,product-35,94,111,254,0,0
36,product-36,204,293,217,0,0
37,product-37,219,304,195,186,9
38,product-38,197,224,95,100,100
39,product-39,250,345,35,28,167
40,product-40,187,272,103,106,93
41,product-41,60,138,189,9,188
42,product-42,223,256,35,29,170
43,product-43,29,89,167,30,166
44,product-44,85,176,0,239,0
45,product-45,231,300,68,64,134
46,product-46,216,243,120,83,85
47,product-47,261,309,17,23,181
48,product-48,135,175,45,160,42
49,product-49,39,41,103,98,107
50,product-50,64,144,139,66,139
51,product-51,154,196,29,171,26
52,product-52,211,300,69,131,129
53,product-53,109,162,0,0,203
54,product-54,54,81,53,147,57
55,product-55,60,61,148,52,51
56,product-56,29,82,78,73,123
57,product-57,99,103,108,91,88
58,product-58,104,158,166,166,33
59,product-59,172,194,117,86,119
60,product-60,118,146,159,40,45
61,product-61,35,104,69,130,129
62,product-62,191,283,32,29,170
63,product-63,89,181,118,77,126
64,product-64,43,128,63,60,139
65,product-65,22,106,225,0,0
66,product-66,161,168,135,60,141
67,product-67,154,236,119,85,77
68,product-68,261,310,135,133,66
69,product-69,246,280,7,192,192
70,product-70,126,169,186,12,17
71,product-71,100,122,17,178,27
72,product-72,230,251,128,69,126
73,product-73,160,169,135,138,60
74,product-74,263,316,129,70,68
75,product-75,222,291,127,69,78
76,product-76,43,50,1,201,3
77,product-77,189,215,37,167,35
78,product-78,13,53,78,80,121
79,product-79,27,43,119,115,80
80,product-80,224,275,98,102,97
81,product-81,129,173,79,125,77
82,product-82,185,249,0,0,212
83,product-83,111,194,165,34,31
84,product-84,202,283,16,181,19
85,product-85,80,155,104,95,100
86,product-86,243,258,15,7,188
87,product-87,43,72,96,91,106
88,product-88,32,75,139,64,64
89,product-89,105,145,0,1,199
90,product-90,148,174,0,230,0
91,product-91,152,174,108,92,111
92,product-92,87,106,183,17,185
93,product-93,109,191,111,113,84
94,product-94,44,114,85,84,114
95,product-95,69,133,52,148,54
96,product-96,55,101,2,2,194
97,product-97,125,165,47,150,54
98,product-98,155,173,16,20,179
99,product-99,161,235,81,119,120
100,product-100,138,140,69,132,134
101,product-101,200,231,172,29,25
102,product-102,182,233,31,28,167
103,product-103,85,121,19,184,14
104,product-104,138,172,35,162,41
105,product-105,195,210,114,81,89
106,product-106,166,261,217,0,0
107,product-107,95,170,50,147,49
108,product-108,103,175,26,178,177
109,product-109,135,221,35,29,168
110,product-110,9,41,98,100,105
111,product-111,195,278,155,155,49
112,product-112,115,130,159,40,157
113,product-113,146,240,157,41,47
114,product-114,201,202,1,1,196
115,product-115,104,113,174,24,176
116,product-116,107,173,149,50,49
117,product-117,158,233,10,190,7
118,product-118,100,144,12,15,190
119,product-119,20,119,8,189,14
120,product-120,48,129,108,91,88
121,product-121,31,126,49,51,148
122,product-122,153,176,77,123,78
123,product-123,138,187,227,0,0
124,product-124,137,154,103,96,97
125,product-125,104,105,81,85,117
126,product-126,176,267,115,89,113
127,product-127,26,45,147,56,142
128,product-128,164,179,156,45,44
129,product-129,80,81,189,10,13
130,product-130,190,192,0,0,217
