id,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon
1,fctype1,9,120,2944,108,1236,236,232
2,fctype2,4,122,2942,85,1266,228,236
3,fctype3,2,119,2940,67,1296,223,237
4,fctype4,1,121,2940,42,1325,221,237
5,fctype5,1,121,2939,30,1355,221,237
6,fctype6,11,31,2933,42,1535,217,216
7,fctype7,10,321,2931,60,1595,193,230
8,fctype8,7,299,2936,42,1624,200,237
9,fctype9,4,305,2938,30,1654,209,237
10,fctype10,3,321,2939,42,1684,211,236
11,fctype11,4,69,2940,95,1744,224,231
12,fctype12,6,79,2937,124,1774,228,229
13,fctype13,6,70,2933,150,1804,227,228
14,fctype14,6,38,2930,170,1834,220,227
15,fctype15,8,357,2929,192,1864,207,226
16,fctype16,11,354,2930,216,1894,201,220
17,fctype17,11,320,2929,240,2073,191,229
18,fctype18,17,306,2938,240,2103,170,228
19,fctype19,20,313,2948,240,2133,163,221
20,fctype20,20,335,2957,240,2163,171,209
21,fctype21,21,33,2929,300,2248,211,190
22,fctype22,17,49,2922,306,2258,225,201
23,fctype23,15,63,2914,295,2268,232,208
24,fctype24,13,74,2907,277,2279,235,215
25,fctype25,11,89,2900,256,2290,237,222
26,fctype26,10,103,2895,228,2301,237,227
27,fctype27,12,111,2890,201,2312,241,226
28,fctype28,16,117,2883,175,2324,245,224
29,fctype29,17,121,2875,150,2336,246,225
30,fctype30,15,122,2868,127,2349,244,227
31,fctype31,12,119,2861,108,2362,241,229
32,fctype32,9,108,2856,85,2375,236,230
33,fctype33,8,95,2852,60,2388,234,228
34,fctype34,6,79,2847,30,2402,228,229
35,fctype35,4,14,2845,0,2415,216,231
36,fctype36,7,339,2846,0,2429,204,230
37,fctype37,10,342,2848,30,2442,198,224
38,fctype38,13,346,2849,42,2455,195,219
39,fctype39,15,347,2851,67,2469,191,215
40,fctype40,16,345,2853,85,2482,187,213
41,fctype41,16,343,2856,108,2496,186,214
42,fctype42,17,347,2858,127,2509,186,211
43,fctype43,19,345,2860,150,2524,179,207
44,fctype44,22,336,2864,170,2538,166,205
45,fctype45,24,327,2870,182,2553,154,205
46,fctype46,27,321,2878,190,2568,142,203
47,fctype47,30,319,2889,201,2583,129,197
48,fctype48,31,321,2902,216,2598,125,192
49,fctype49,31,323,2913,228,2614,126,190
50,fctype50,32,323,2924,242,2630,122,188
51,fctype51,33,326,2936,258,2646,120,183
52,fctype52,34,332,2947,277,2663,124,177
53,fctype53,34,340,2955,295,2679,130,171
54,fctype54,33,348,2961,306,2696,141,167
55,fctype55,32,36,2947,335,2730,199,152
56,fctype56,32,38,2935,350,2742,203,154
57,fctype57,28,30,2924,350,2754,199,167
58,fctype58,17,351,2916,277,2791,188,209
59,fctype59,17,336,2919,255,2804,181,216
60,fctype60,16,336,2923,228,2817,183,217
61,fctype61,15,344,2926,201,2831,189,216
62,fctype62,13,353,2928,175,2844,196,216
63,fctype63,11,356,2928,150,2858,203,221
64,fctype64,8,349,2929,120,2871,205,226
65,fctype65,7,354,2930,90,2885,208,227
66,fctype66,7,14,2930,60,2899,213,225
67,fctype67,7,14,2928,30,2914,213,225
68,fctype68,8,335,2928,0,2928,202,230
69,fctype69,11,308,2932,30,2943,190,233
70,fctype70,11,304,2937,60,2958,190,234
71,fctype71,11,308,2941,90,2974,190,233
72,fctype72,12,307,2946,120,2989,186,232
73,fctype73,12,305,2952,150,3005,187,233
74,fctype74,11,301,2957,180,3021,190,236
75,fctype75,10,292,2962,210,3007,191,238
76,fctype76,9,284,2967,240,2977,195,241
77,fctype77,8,277,2971,270,2948,199,242
78,fctype78,9,271,2975,300,2919,196,243
79,fctype79,11,272,2981,330,2890,191,243
80,fctype80,10,282,2986,360,2860,193,241
81,fctype81,11,292,2991,390,2831,188,238
82,fctype82,12,299,2997,420,2802,187,236
83,fctype83,10,308,3001,450,2773,191,234
84,fctype84,8,315,3005,480,2743,198,233
85,fctype85,6,315,3007,510,2714,203,235
86,fctype86,5,315,3010,540,2685,206,235
87,fctype87,4,325,3012,570,2656,210,235
88,fctype88,1,63,3012,600,2598,220,236
89,fctype89,2,72,3011,576,2568,222,234
90,fctype90,4,80,3009,553,2539,225,232
91,fctype91,4,84,3007,531,2510,226,232
92,fctype92,4,76,3005,509,2481,225,232
93,fctype93,4,65,3003,485,2452,223,231
94,fctype94,5,62,3001,457,2423,224,230
95,fctype95,6,66,2999,430,2394,227,227
96,fctype96,8,74,2995,402,2365,230,224
97,fctype97,11,85,2991,376,2337,236,222
98,fctype98,15,93,2984,350,2308,243,215
99,fctype99,18,97,2974,323,2279,246,211
100,fctype100,18,100,2964,295,2250,247,212
101,fctype101,18,102,2955,268,2221,247,214
102,fctype102,17,105,2945,242,2192,246,217
103,fctype103,7,172,2426,270,957,225,243
104,fctype104,9,143,2422,300,979,234,238
105,fctype105,11,130,2419,330,1003,238,234
106,fctype106,13,122,2407,390,1050,242,229
107,fctype107,13,119,2403,420,1074,242,228
108,fctype108,14,114,2395,446,1099,243,225
109,fctype109,9,107,2387,426,1123,236,229
110,fctype110,10,357,2382,391,1173,205,222
111,fctype111,13,324,2386,376,1199,187,226
112,fctype112,7,45,2392,297,1302,222,225
113,fctype113,8,90,2387,277,1329,232,228
114,fctype114,11,121,2383,258,1355,238,231
115,fctype115,16,129,2376,242,1382,244,229
116,fctype116,17,143,2369,228,1409,242,234
117,fctype117,16,165,2366,216,1436,232,243
118,fctype118,18,183,2365,201,1463,222,249
119,fctype119,21,182,2368,190,1490,221,248
120,fctype120,25,168,2367,162,1517,231,240
121,fctype121,29,151,2363,134,1544,242,224
122,fctype122,34,142,2351,108,1572,246,210
123,fctype123,34,144,2337,85,1599,244,212
124,fctype124,33,149,2326,67,1622,242,216
125,fctype125,32,152,2317,60,1593,240,220
126,fctype126,20,131,2304,60,1533,248,225
127,fctype127,16,99,2296,42,1503,244,217
128,fctype128,16,77,2285,30,1473,239,209
129,fctype129,13,61,2277,30,1443,230,212
130,fctype130,22,277,2279,30,1353,154,238
131,fctype131,28,261,2295,60,1323,139,241
132,fctype132,30,250,2313,90,1293,142,245
133,fctype133,21,233,2335,150,1233,181,253
134,fctype134,21,275,2353,210,1173,160,240
135,fctype135,23,280,2369,240,1144,152,236
136,fctype136,18,268,2381,270,1114,172,244
137,fctype137,18,245,2389,300,1084,180,251
138,fctype138,20,235,2398,330,1054,181,253
139,fctype139,19,246,2405,360,1024,177,251
140,fctype140,22,268,2416,390,994,159,242
141,fctype141,23,277,2430,420,964,153,237
142,fctype142,19,277,2442,450,934,164,240
143,fctype143,16,272,2451,480,904,176,243
144,fctype144,13,268,2459,480,875,186,245
145,fctype145,13,269,2465,450,845,185,244
146,fctype146,19,303,2260,30,371,164,227
147,fctype147,26,302,2271,42,342,139,217
148,fctype148,16,353,2268,30,450,190,210
149,fctype149,22,329,2274,30,480,162,208
150,fctype150,22,332,2280,30,510,164,207
151,fctype151,17,355,2285,0,540,190,207
152,fctype152,13,347,2280,0,534,194,218
153,fctype153,20,299,2287,30,516,159,227
154,fctype154,27,292,2299,60,499,134,223
155,fctype155,30,295,2316,90,484,123,216
156,fctype156,33,298,2332,120,470,112,208
157,fctype157,34,297,2350,150,457,108,207
158,fctype158,31,293,2368,180,446,118,215
159,fctype159,30,288,2384,210,437,124,221
160,fctype160,31,285,2400,240,430,122,223
161,fctype161,32,283,2418,270,424,116,222
162,fctype162,30,281,2438,295,421,123,225
163,fctype163,30,284,2453,268,420,126,225
164,fctype164,27,290,2471,240,420,134,224
165,fctype165,14,307,2484,210,421,180,231
166,fctype166,5,49,2484,180,424,222,229
167,fctype167,13,95,2479,150,430,240,221
168,fctype168,17,96,2470,120,437,245,214
169,fctype169,14,92,2460,90,446,242,216
170,fctype170,13,82,2455,60,457,237,218
171,fctype171,13,65,2438,0,484,232,212
172,fctype172,9,41,2433,67,524,221,221
173,fctype173,6,343,2430,85,537,207,230
174,fctype174,15,302,2435,108,551,177,232
175,fctype175,21,298,2445,127,560,158,228
176,fctype176,19,300,2455,150,553,163,228
177,fctype177,19,293,2463,170,547,165,233
178,fctype178,18,285,2474,192,543,166,237
179,fctype179,13,297,2483,216,541,184,236
180,fctype180,11,317,2486,242,540,190,230
181,fctype181,10,335,2491,268,540,198,227
182,fctype182,9,15,2491,323,532,212,221
183,fctype183,11,324,2491,283,518,192,228
184,fctype184,9,339,2498,228,511,200,227
185,fctype185,9,342,2499,201,510,202,227
186,fctype186,11,55,2498,150,510,227,216
187,fctype187,15,79,2483,95,511,239,211
188,fctype188,17,84,2474,67,514,242,209
189,fctype189,17,91,2465,42,518,244,211
190,fctype190,16,94,2456,30,524,243,215
191,fctype191,12,82,2450,0,532,237,219
192,fctype192,10,23,2444,0,541,214,219
193,fctype193,20,348,2450,42,564,179,204
194,fctype194,20,347,2450,67,577,177,203
195,fctype195,22,337,2454,95,592,168,205
196,fctype196,21,349,2460,85,607,176,199
197,fctype197,17,349,2459,0,661,187,210
198,fctype198,16,336,2462,30,680,183,217
199,fctype199,14,332,2466,60,700,187,222
200,fctype200,12,317,2468,90,721,188,230
201,fctype201,9,319,2474,120,743,198,232
