id,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points
1,fctype1,9,120,2944,108,1236,236,232,127,560
2,fctype2,4,122,2942,85,1266,228,236,143,532
3,fctype3,2,119,2940,67,1296,223,237,149,503
4,fctype4,1,121,2940,42,1325,221,237,152,474
5,fctype5,1,121,2939,30,1355,221,237,152,446
6,fctype6,11,31,2933,42,1535,217,216,133,283
7,fctype7,10,321,2931,60,1595,193,230,176,234
8,fctype8,7,299,2936,42,1624,200,237,177,212
9,fctype9,4,305,2938,30,1654,209,237,167,192
10,fctype10,3,321,2939,42,1684,211,236,164,175
11,fctype11,4,69,2940,95,1744,224,231,143,153
12,fctype12,6,79,2937,124,1774,228,229,135,150
13,fctype13,6,70,2933,150,1804,227,228,135,153
14,fctype14,6,38,2930,170,1834,220,227,143,162
15,fctype15,8,357,2929,192,1864,207,226,156,175
16,fctype16,11,354,2930,216,1894,201,220,157,192
17,fctype17,11,320,2929,240,2073,191,229,178,335
18,fctype18,17,306,2938,240,2103,170,228,197,362
19,fctype19,20,313,2948,240,2133,163,221,196,390
20,fctype20,20,335,2957,240,2163,171,209,175,418
21,fctype21,21,33,2929,300,2248,211,190,106,589
22,fctype22,17,49,2922,306,2258,225,201,104,618
23,fctype23,15,63,2914,295,2268,232,208,105,648
24,fctype24,13,74,2907,277,2279,235,215,109,674
25,fctype25,11,89,2900,256,2290,237,222,115,659
26,fctype26,10,103,2895,228,2301,237,227,120,644
27,fctype27,12,111,2890,201,2312,241,226,113,631
28,fctype28,16,117,2883,175,2324,245,224,103,618
29,fctype29,17,121,2875,150,2336,246,225,102,607
30,fctype30,15,122,2868,127,2349,244,227,107,598
31,fctype31,12,119,2861,108,2362,241,229,117,589
32,fctype32,9,108,2856,85,2375,236,230,125,582
33,fctype33,8,95,2852,60,2388,234,228,126,577
34,fctype34,6,79,2847,30,2402,228,229,135,573
35,fctype35,4,14,2845,0,2415,216,231,153,571
36,fctype36,7,339,2846,0,2429,204,230,164,570
37,fctype37,10,342,2848,30,2442,198,224,165,571
38,fctype38,13,346,2849,42,2455,195,219,162,573
