id,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology
1,covtype1,3,51,2596,258
2,covtype2,2,56,2590,212
3,covtype3,9,139,2804,268
4,covtype4,18,155,2785,242
5,covtype5,2,45,2595,153
6,covtype6,6,132,2579,300
7,covtype7,7,45,2606,270
8,covtype8,4,49,2605,234
9,covtype9,9,45,2617,240
10,covtype10,10,59,2612,247
11,covtype11,4,201,2612,180
12,covtype12,11,151,2886,371
13,covtype13,22,134,2742,150
14,covtype14,7,214,2609,150
15,covtype15,4,157,2503,67
16,covtype16,7,51,2495,42
17,covtype17,1,259,2610,120
18,covtype18,7,72,2517,85
19,covtype19,5,38,2503,85
20,covtype20,9,71,2501,60
21,covtype21,17,209,2880,216
22,covtype22,23,114,2768,192
23,covtype23,8,54,2511,124
24,covtype24,9,22,2507,120
25,covtype25,6,135,2492,0
26,covtype26,10,163,2489,30
27,covtype27,16,148,2962,323
28,covtype28,1,135,2811,212
29,covtype29,24,117,2739,127
30,covtype30,30,122,2703,67
31,covtype31,7,105,2522,120
32,covtype32,6,102,2519,124
33,covtype33,6,23,2516,150
34,covtype34,9,41,2515,162
35,covtype35,19,45,2900,242
36,covtype36,28,125,2709,67
37,covtype37,7,92,2511,182
38,covtype38,30,98,2749,124
39,covtype39,12,354,2686,0
40,covtype40,3,347,2699,0
41,covtype41,2,346,2570,0
42,covtype42,9,71,2533,150
43,covtype43,27,330,2703,30
44,covtype44,5,128,2678,95
45,covtype45,8,68,2529,210
46,covtype46,7,94,2524,212
47,covtype47,6,99,2536,234
48,covtype48,6,66,2498,95
49,covtype49,7,100,2489,85
50,covtype50,30,117,2713,60
51,covtype51,25,323,2739,85
52,covtype52,2,72,2696,30
53,covtype53,14,79,2510,192
54,covtype54,7,81,2502,175
55,covtype55,24,315,2722,30
56,covtype56,11,74,2500,190
57,covtype57,5,68,2486,180
58,covtype58,4,11,2489,175
59,covtype59,6,42,2489,162
60,covtype60,5,75,2490,134
61,covtype61,11,107,2952,42
62,covtype62,8,90,2705,134
63,covtype63,7,40,2507,153
64,covtype64,14,49,2500,150
65,covtype65,10,63,2493,127
66,covtype66,7,59,2509,134
67,covtype67,6,54,2740,218
68,covtype68,8,80,2640,180
69,covtype69,12,166,2843,242
70,covtype70,14,45,3008,277
71,covtype71,16,114,2893,108
72,covtype72,10,30,2628,240
73,covtype73,18,118,2864,201
74,covtype74,28,160,2827,134
75,covtype75,5,326,2529,30
76,covtype76,7,99,2808,382
77,covtype77,26,153,2840,134
78,covtype78,10,79,2795,531
79,covtype79,16,143,2746,67
80,covtype80,26,352,2847,150
81,covtype81,7,42,2537,210
82,covtype82,17,358,2860,175
83,covtype83,26,332,2818,30
84,covtype84,7,18,2801,560
85,covtype85,10,63,2791,418
86,covtype86,11,306,2745,67
87,covtype87,6,102,2514,272
88,covtype88,12,354,2562,67
89,covtype89,12,173,3073,108
90,covtype90,10,71,2978,426
91,covtype91,10,31,2860,295
92,covtype92,11,164,3067,85
93,covtype93,5,72,2804,543
94,covtype94,3,59,2562,0
95,covtype95,9,34,2567,190
96,covtype96,8,45,2998,351
97,covtype97,12,84,2684,150
98,covtype98,11,42,2676,150
99,covtype99,15,102,2863,190
100,covtype100,5,170,2574,170
101,covtype101,6,211,2511,162
102,covtype102,4,32,3067,30
103,covtype103,16,57,2909,134
104,covtype104,14,348,2863,309
105,covtype105,1,333,2567,0
106,covtype106,11,105,3182,408
107,covtype107,12,324,2818,242
108,covtype108,6,332,2752,342
109,covtype109,5,88,2751,400
110,covtype110,7,102,2569,228
111,covtype111,15,111,3195,469
112,covtype112,14,53,2982,240
113,covtype113,6,58,2850,295
114,covtype114,4,76,2586,190
115,covtype115,13,17,2837,330
116,covtype116,6,99,2723,301
117,covtype117,12,124,3057,150
118,covtype118,19,119,2818,30
119,covtype119,33,320,2847,85
120,covtype120,11,112,2606,30
121,covtype121,6,83,2893,551
122,covtype122,20,125,2644,67
123,covtype123,5,37,2613,216
124,covtype124,12,356,2929,0
125,covtype125,12,307,2767,30
126,covtype126,13,49,2991,85
127,covtype127,18,56,2939,95
128,covtype128,7,119,3119,162
129,covtype129,12,346,2942,30
130,covtype130,7,12,2886,570
131,covtype131,13,344,2775,42
132,covtype132,9,79,2490,240
133,covtype133,18,228,3106,658
134,covtype134,24,284,2831,60
135,covtype135,8,112,2837,272
136,covtype136,23,299,2890,180
137,covtype137,5,135,2824,218
138,covtype138,3,135,2728,242
139,covtype139,16,88,2962,190
140,covtype140,11,220,3142,424
141,covtype141,5,34,2536,242
142,covtype142,6,95,3168,30
143,covtype143,24,289,2926,210
144,covtype144,6,21,2893,295
145,covtype145,11,20,2687,150
146,covtype146,17,211,3109,424
147,covtype147,20,200,3119,60
148,covtype148,10,349,2916,488
149,covtype149,3,18,2795,218
150,covtype150,14,58,2555,285
151,covtype151,13,42,2499,497
152,covtype152,11,173,3027,335
153,covtype153,15,160,3096,85
154,covtype154,13,105,2916,268
155,covtype155,12,42,2591,350
156,covtype156,16,328,3185,127
157,covtype157,10,221,3021,324
158,covtype158,4,257,3083,510
159,covtype159,33,276,2860,60
160,covtype160,15,196,3008,228
161,covtype161,14,189,3034,384
162,covtype162,16,130,2873,67
163,covtype163,13,49,3182,319
164,covtype164,12,102,2998,384
165,covtype165,20,357,2658,300
166,covtype166,7,15,3175,366
167,covtype167,7,8,2952,488
168,covtype168,12,95,2622,484
169,covtype169,21,288,2955,247
170,covtype170,9,66,2837,201
171,covtype171,3,45,3182,458
172,covtype172,3,129,3077,618
173,covtype173,4,320,2755,30
174,covtype174,11,28,3047,600
175,covtype175,12,86,2880,30
176,covtype176,3,292,3221,424
177,covtype177,10,115,3182,553
178,covtype178,24,29,3064,150
179,covtype179,15,332,2827,42
180,covtype180,5,107,2518,360
181,covtype181,4,180,3050,277
182,covtype182,12,356,3107,283
183,covtype183,15,173,2995,268
184,covtype184,4,164,2721,67
185,covtype185,7,116,3182,579
186,covtype186,11,132,2724,60
187,covtype187,9,90,2515,313
