id,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon
1,covtype1,3,51,2596,258,510,221,232
2,covtype2,2,56,2590,212,390,220,235
3,covtype3,9,139,2804,268,3180,234,238
4,covtype4,18,155,2785,242,3090,238,238
5,covtype5,2,45,2595,153,391,220,234
6,covtype6,6,132,2579,300,67,230,237
7,covtype7,7,45,2606,270,633,222,225
8,covtype8,4,49,2605,234,573,222,230
9,covtype9,9,45,2617,240,666,223,221
10,covtype10,10,59,2612,247,636,228,219
11,covtype11,4,201,2612,180,735,218,243
12,covtype12,11,151,2886,371,5253,234,240
13,covtype13,22,134,2742,150,3215,248,224
14,covtype14,7,214,2609,150,771,213,247
15,covtype15,4,157,2503,67,674,224,240
16,covtype16,7,51,2495,42,752,224,225
17,covtype17,1,259,2610,120,607,216,239
18,covtype18,7,72,2517,85,595,228,227
19,covtype19,5,38,2503,85,741,220,228
20,covtype20,9,71,2501,60,767,230,223
21,covtype21,17,209,2880,216,4986,206,253
22,covtype22,23,114,2768,192,3339,252,209
23,covtype23,8,54,2511,124,638,225,222
24,covtype24,9,22,2507,120,732,215,221
25,covtype25,6,135,2492,0,860,229,237
26,covtype26,10,163,2489,30,849,230,243
27,covtype27,16,148,2962,323,5916,240,236
28,covtype28,1,135,2811,212,3670,220,238
29,covtype29,24,117,2739,127,3281,253,210
30,covtype30,30,122,2703,67,3191,254,201
31,covtype31,7,105,2522,120,595,233,231
32,covtype32,6,102,2519,124,616,230,233
33,covtype33,6,23,2516,150,658,216,227
34,covtype34,9,41,2515,162,680,221,220
35,covtype35,19,45,2900,242,5199,221,195
36,covtype36,28,125,2709,67,3224,253,207
37,covtype37,7,92,2511,182,722,231,229
38,covtype38,30,98,2749,124,3316,252,183
39,covtype39,12,354,2686,0,3167,200,219
40,covtype40,3,347,2699,0,2096,213,234
41,covtype41,2,346,2570,0,331,215,235
42,covtype42,9,71,2533,150,577,230,223
43,covtype43,27,330,2703,30,3141,146,197
44,covtype44,5,128,2678,95,1660,229,236
45,covtype45,8,68,2529,210,666,228,225
46,covtype46,7,94,2524,212,684,232,229
47,covtype47,6,99,2536,234,659,230,232
48,covtype48,6,66,2498,95,900,227,227
49,covtype49,7,100,2489,85,810,232,231
50,covtype50,30,117,2713,60,3297,254,198
51,covtype51,25,323,2739,85,3118,149,205
52,covtype52,2,72,2696,30,3271,222,234
53,covtype53,14,79,2510,192,891,237,215
54,covtype54,7,81,2502,175,912,230,227
55,covtype55,24,315,2722,30,3216,148,212
56,covtype56,11,74,2500,190,930,233,219
57,covtype57,5,68,2486,180,870,225,230
58,covtype58,4,11,2489,175,840,216,232
59,covtype59,6,42,2489,162,810,221,227
60,covtype60,5,75,2490,134,810,227,230
61,covtype61,11,107,2952,42,5845,239,226
62,covtype62,8,90,2705,134,2023,232,228
63,covtype63,7,40,2507,153,930,221,224
64,covtype64,14,49,2500,150,870,225,210
65,covtype65,10,63,2493,127,840,229,221
66,covtype66,7,59,2509,134,900,226,226
67,covtype67,6,54,2740,218,2287,224,227
68,covtype68,8,80,2640,180,1092,231,225
69,covtype69,12,166,2843,242,4434,230,244
70,covtype70,14,45,3008,277,6371,223,208
71,covtype71,16,114,2893,108,5066,245,223
72,covtype72,10,30,2628,240,960,217,218
73,covtype73,18,118,2864,201,4567,248,221
74,covtype74,28,160,2827,134,3948,235,233
75,covtype75,5,326,2529,30,1062,207,234
76,covtype76,7,99,2808,382,3107,233,230
77,covtype77,26,153,2840,134,4613,241,231
78,covtype78,10,79,2795,531,2980,233,223
79,covtype79,16,143,2746,67,2440,241,235
80,covtype80,26,352,2847,150,3697,166,187
81,covtype81,7,42,2537,210,1132,222,224
82,covtype82,17,358,2860,175,3705,191,206
83,covtype83,26,332,2818,30,4526,151,197
84,covtype84,7,18,2801,560,3084,215,226
85,covtype85,10,63,2791,418,2942,229,221
86,covtype86,11,306,2745,67,2416,190,234
87,covtype87,6,102,2514,272,1082,230,233
88,covtype88,12,354,2562,67,1057,200,218
89,covtype89,12,173,3073,108,6836,227,246
90,covtype90,10,71,2978,426,5742,231,221
91,covtype91,10,31,2860,295,3644,218,218
92,covtype92,11,164,3067,85,6811,230,243
93,covtype93,5,72,2804,543,3115,225,231
