id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,customer-1,219,229,115,159,31
2,customer-2,149,150,82,48,192
3,customer-3,140,236,110,50,154
4,customer-4,116,201,14,186,165
5,customer-5,111,134,137,168,82
6,customer-6,216,218,60,94,105
7,customer-7,104,197,10,209,76
8,customer-8,121,163,5,206,98
9,customer-9,105,191,197,62,175
10,customer-10,248,304,106,181,60
11,customer-11,111,159,185,194,88
12,customer-12,180,267,48,166,96
13,customer-13,242,243,93,111,43
14,customer-14,62,125,11,127,166
15,customer-15,194,279,99,136,100
16,customer-16,153,180,252,19,199
17,customer-17,78,107,118,152,123
18,customer-18,212,287,179,26,51
19,customer-19,55,135,96,56,67
20,customer-20,64,155,59,197,213
21,customer-21,110,158,219,67,35
22,customer-22,7,25,211,184,185
23,customer-23,89,172,129,136,26
24,customer-24,78,160,54,169,121
25,customer-25,77,116,178,158,211
26,customer-26,75,114,155,202,143
27,customer-27,175,267,170,95,45
28,customer-28,174,181,154,96,131
29,customer-29,169,189,149,158,148
30,customer-30,209,221,224,156,227
31,customer-31,109,147,28,111,64
32,customer-32,43,67,35,159,173
33,customer-33,175,261,248,186,141
34,customer-34,150,158,137,139,201
35,customer-35,36,45,89,143,111
36,customer-36,194,272,206,29,181
37,customer-37,99,171,104,187,202
38,customer-38,59,152,84,223,166
39,customer-39,218,311,108,108,148
40,customer-40,188,268,47,109,187
41,customer-41,124,202,56,214,200
42,customer-42,213,231,32,147,15
43,customer-43,112,140,81,52,130
44,customer-44,85,148,82,40,82
45,customer-45,140,218,68,174,107
46,customer-46,242,302,97,90,254
47,customer-47,47,134,90,196,143
48,customer-48,236,255,145,36,143
49,customer-49,31,91,167,106,211
50,customer-50,211,288,154,90,91
51,customer-51,89,130,25,116,147
52,customer-52,194,261,186,16,115
53,customer-53,79,166,108,59,143
54,customer-54,148,241,235,103,108
55,customer-55,66,106,137,194,77
56,customer-56,51,69,133,46,59
57,customer-57,88,169,102,70,94
58,customer-58,77,78,125,16,179
59,customer-59,207,229,24,53,17
60,customer-60,149,235,167,99,97
61,customer-61,158,204,145,129,126
62,customer-62,53,97,33,22,179
63,customer-63,74,102,138,159,114
64,customer-64,152,166,16,153,52
65,customer-65,94,173,173,213,186
66,customer-66,136,171,145,170,147
67,customer-67,70,91,113,206,86
68,customer-68,180,265,104,218,72
69,customer-69,123,155,111,13,155
70,customer-70,254,270,36,121,170
71,customer-71,122,178,122,122,204
72,customer-72,191,217,77,122,199
73,customer-73,53,129,166,175,174
74,customer-74,97,173,60,75,113
75,customer-75,109,186,214,31,219
76,customer-76,92,150,75,157,26
