id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4
1,product-1,79,134,110,142,78,122,205
2,product-2,258,342,3,180,134,14,189
3,product-3,155,166,60,183,9,147,105
4,product-4,185,262,47,197,166,194,125
5,product-5,181,274,45,199,203,197,192
6,product-6,122,139,111,61,128,55,68
7,product-7,127,220,95,60,185,21,138
8,product-8,76,121,78,43,188,55,190
9,product-9,173,199,179,116,115,13,201
10,product-10,184,273,207,102,46,41,147
11,product-11,203,256,88,94,65,49,91
12,product-12,107,116,129,161,195,136,185
13,product-13,206,216,120,219,76,235,165
14,product-14,70,94,20,183,106,38,68
15,product-15,56,87,185,171,78,176,135
16,product-16,176,236,132,79,48,28,192
17,product-17,112,185,86,185,195,72,178
18,product-18,225,301,173,71,153,120,188
19,product-19,219,259,164,198,100,94,4
20,product-20,174,189,75,89,15,214,61
21,product-21,71,75,155,14,194,168,44
22,product-22,55,115,109,192,81,79,214
23,product-23,99,174,118,198,104,89,99
24,product-24,67,121,194,65,54,110,202
25,product-25,215,266,54,140,214,137,134
26,product-26,38,62,210,146,175,28,224
27,product-27,120,139,178,79,87,98,198
28,product-28,166,238,175,123,220,8,182
29,product-29,99,153,51,12,170,221,251
30,product-30,199,230,168,199,157,144,211
31,product-31,133,187,189,215,169,149,198
32,product-32,134,162,52,192,219,221,146
33,product-33,209,301,146,157,226,265,132
34,product-34,201,252,67,159,73,82,145
35,product-35,142,200,179,59,31,213,49
36,product-36,130,146,88,9,84,163,188
37,product-37,111,167,192,59,88,187,106
38,product-38,178,214,106,204,23,183,154
39,product-39,118,210,89,161,144,73,111
40,product-40,61,148,78,173,68,86,201
41,product-41,93,95,94,114,139,179,220
42,product-42,260,271,23,98,68,49,232
43,product-43,91,142,175,168,235,87,163
44,product-44,162,247,35,98,54,174,35
45,product-45,79,162,205,177,18,71,182
46,product-46,100,169,258,197,199,138,28
47,product-47,231,286,46,76,58,198,42
48,product-48,109,158,211,197,178,239,225
49,product-49,181,223,36,48,23,147,181
50,product-50,217,224,120,146,219,93,129
51,product-51,114,125,12,206,162,163,160
52,product-52,158,159,152,154,167,139,73
53,product-53,204,298,117,190,220,183,113
54,product-54,167,217,32,124,196,106,140
55,product-55,95,110,99,42,199,178,14
56,product-56,33,120,116,216,98,61,194
57,product-57,198,218,189,139,34,98,157
58,product-58,199,285,44,11,71,99,92
59,product-59,78,103,55,182,186,106,27
60,product-60,99,157,115,71,171,83,177
61,product-61,112,164,142,161,76,17,114
62,product-62,141,224,176,141,172,31,35
63,product-63,61,145,136,36,115,35,173
64,product-64,146,152,110,36,77,59,190
65,product-65,81,163,159,76,175,70,233
66,product-66,210,291,49,85,115,155,138
67,product-67,128,192,59,180,37,162,229
68,product-68,81,125,22,76,56,174,63
69,product-69,157,244,145,94,72,44,146
70,product-70,132,224,197,46,168,37,23
71,product-71,76,143,150,68,53,127,220
72,product-72,267,285,199,268,111,97,115
73,product-73,92,162,90,100,96,91,141
74,product-74,170,189,93,100,149,91,95
75,product-75,53,137,249,101,176,60,75
76,product-76,13,77,80,169,181,176,152
77,product-77,18,43,195,164,37,107,100
78,product-78,40,77,142,11,116,202,95
79,product-79,196,272,34,167,135,167,186
80,product-80,195,204,39,41,193,182,237
81,product-81,64,65,203,137,49,130,14
82,product-82,46,98,202,103,118,161,82
83,product-83,84,134,62,108,111,154,78
84,product-84,209,237,107,182,180,95,35
85,product-85,183,226,207,139,194,60,171
86,product-86,184,271,186,161,160,37,217
87,product-87,27,112,117,150,161,171,147
88,product-88,192,260,245,161,119,77,134
89,product-89,153,156,123,117,240,154,106
90,product-90,201,232,177,126,22,170,108
91,product-91,146,239,103,67,117,126,110
92,product-92,74,138,153,106,183,183,188
93,product-93,86,90,193,42,130,196,248
94,product-94,149,236,182,15,68,210,198
95,product-95,212,231,119,199,134,45,184
96,product-96,143,166,80,82,114,12,120
97,product-97,135,163,21,135,199,115,209
98,product-98,43,78,69,209,35,43,202
99,product-99,51,107,69,116,239,57,84
100,product-100,249,311,83,98,66,7,92
101,product-101,209,290,151,41,190,111,158
102,product-102,129,175,78,204,206,62,158
103,product-103,89,148,127,118,170,43,68
104,product-104,106,118,190,147,40,218,82
105,product-105,182,223,183,103,57,29,118
106,product-106,183,257,205,73,138,189,69
107,product-107,198,276,78,72,88,130,161
108,product-108,186,263,188,35,205,143,73
109,product-109,132,177,189,229,122,151,159
110,product-110,188,195,82,206,218,63,160
111,product-111,132,214,143,133,94,153,80
112,product-112,43,102,104,190,115,202,221
113,product-113,117,131,99,144,184,131,87
114,product-114,169,214,178,8,106,115,124
115,product-115,233,283,141,122,73,60,153
116,product-116,146,218,72,21,21,103,140
117,product-117,264,343,94,32,234,92,128
118,product-118,132,189,26,106,114,56,206
119,product-119,182,202,100,161,127,136,211
120,product-120,148,174,25,121,11,60,208
121,product-121,168,204,212,81,148,157,66
122,product-122,132,144,163,31,253,130,102
123,product-123,45,69,89,113,64,218,95
124,product-124,8,39,163,142,111,42,174
125,product-125,130,188,88,108,161,40,138
126,product-126,185,276,101,115,120,95,214
127,product-127,49,81,107,137,91,69,66
128,product-128,253,265,57,35,215,64,182
129,product-129,24,94,86,254,156,144,55
130,product-130,107,183,62,81,222,156,219
131,product-131,215,231,115,15,215,264,246
132,product-132,90,90,65,93,189,130,98
133,product-133,165,219,162,217,114,66,109
134,product-134,210,222,44,65,122,191,121
135,product-135,111,185,221,125,79,136,120
136,product-136,210,304,79,25,201,25,80
137,product-137,221,304,162,175,240,74,236
138,product-138,220,238,128,206,169,71,188
139,product-139,98,153,165,176,133,192,21
140,product-140,181,271,71,62,150,61,187
141,product-141,157,195,224,16,188,183,15
142,product-142,120,152,185,22,63,186,160
143,product-143,196,241,64,187,124,134,139
144,product-144,106,158,156,177,177,117,89
145,product-145,128,219,143,222,207,92,165
146,product-146,34,107,48,91,154,163,188
147,product-147,50,108,79,159,110,105,97
148,product-148,32,107,37,128,32,142,93
149,product-149,54,105,185,201,65,223,193
150,product-150,225,284,189,59,65,102,163
151,product-151,136,191,113,162,33,192,181
152,product-152,155,230,122,41,214,161,191
153,product-153,187,203,162,209,124,78,71
154,product-154,157,217,99,163,125,39,112
155,product-155,49,134,186,149,201,19,37
156,product-156,66,93,102,8,201,156,173
157,product-157,76,81,87,139,62,115,224
158,product-158,65,160,48,161,126,15,140
159,product-159,252,283,93,196,21,46,71
160,product-160,70,83,144,102,136,198,157
161,product-161,190,265,191,197,90,128,227
162,product-162,104,135,164,136,44,42,178
163,product-163,110,172,55,161,215,183,84
164,product-164,36,71,198,76,196,119,29
165,product-165,100,163,172,162,108,36,185
166,product-166,123,129,9,198,145,211,125
167,product-167,140,155,169,21,113,181,128
168,product-168,51,88,136,91,45,128,118
169,product-169,112,192,30,92,61,230,209
170,product-170,57,79,162,17,69,186,90
171,product-171,84,152,77,147,150,51,105
172,product-172,116,173,163,163,165,70,49
173,product-173,172,204,115,172,108,119,172
174,product-174,201,227,115,143,34,129,72
175,product-175,144,189,95,233,108,166,184
176,product-176,196,226,156,8,133,146,178
177,product-177,22,109,157,210,204,115,76
178,product-178,228,318,239,178,184,69,120
179,product-179,33,53,173,73,92,148,40
180,product-180,70,70,177,234,187,79,39
181,product-181,82,135,172,220,125,113,97
182,product-182,63,114,122,117,146,95,124
183,product-183,124,182,57,99,175,174,114
184,product-184,58,66,79,66,120,131,47
185,product-185,66,133,171,131,43,89,187
186,product-186,189,252,170,143,166,186,117
187,product-187,158,199,90,150,71,262,111
188,product-188,149,152,86,92,82,189,207
189,product-189,65,103,34,55,158,219,89
190,product-190,114,197,174,162,199,76,139
191,product-191,181,221,179,163,198,153,201
192,product-192,108,195,97,108,101,196,206
193,product-193,78,93,30,10,147,158,149
194,product-194,198,284,137,67,113,131,78
195,product-195,175,207,185,123,231,142,168
196,product-196,216,247,148,194,174,161,44
197,product-197,40,91,55,149,99,89,139
198,product-198,139,178,203,14,199,27,157
199,product-199,224,301,59,131,197,188,142
200,product-200,208,270,159,6,210,196,183
201,product-201,51,78,110,189,145,51,93
202,product-202,109,114,96,49,112,192,23
203,product-203,30,61,123,18,121,40,187
204,product-204,147,192,13,75,35,173,144
205,product-205,205,284,52,182,154,133,74
206,product-206,77,78,274,78,26,93,146
207,product-207,49,88,15,137,215,23,172
208,product-208,37,131,64,142,8,170,144
209,product-209,13,63,151,59,73,16,192
210,product-210,174,212,176,204,213,76,12
211,product-211,164,177,229,218,80,35,68
212,product-212,195,212,196,125,190,40,83
213,product-213,175,261,134,20,156,47,194
214,product-214,194,239,162,194,106,184,92
215,product-215,197,262,147,76,208,90,85
216,product-216,182,190,75,165,120,33,200
217,product-217,109,116,117,142,141,70,108
218,product-218,148,150,14,126,101,34,20
219,product-219,88,130,130,83,142,170,162
220,product-220,273,345,44,103,195,146,188
221,product-221,53,118,166,155,158,164,150
222,product-222,81,178,99,140,143,53,193
223,product-223,173,189,153,198,168,20,102
224,product-224,233,284,81,208,170,152,199
225,product-225,175,176,40,97,154,187,134
226,product-226,232,265,182,134,119,106,32
227,product-227,128,145,196,159,92,59,175
228,product-228,21,74,184,123,174,99,145
229,product-229,174,251,217,170,194,185,143
230,product-230,57,143,175,196,176,172,173
231,product-231,87,126,127,162,58,113,25
232,product-232,160,161,116,208,78,92,76
233,product-233,108,124,137,156,215,108,125
234,product-234,58,127,67,181,135,94,89
235,product-235,151,206,80,104,126,224,171
236,product-236,136,206,231,83,151,98,54
237,product-237,83,107,73,92,89,106,64
238,product-238,201,252,34,150,150,211,103
239,product-239,124,214,131,78,217,153,218
240,product-240,140,187,169,158,70,165,31
241,product-241,163,243,111,195,202,168,137
242,product-242,128,147,45,203,34,107,202
243,product-243,145,227,89,161,130,89,72
244,product-244,207,221,107,163,27,139,126
245,product-245,45,129,106,123,133,118,227
246,product-246,88,126,111,54,201,46,35
247,product-247,92,95,173,171,69,118,36
248,product-248,136,184,44,81,81,79,80
249,product-249,179,245,228,128,187,196,146
250,product-250,95,107,92,94,167,176,168
251,product-251,80,170,100,199,76,160,198
252,product-252,163,236,171,94,152,190,79
253,product-253,141,224,154,130,114,38,50
254,product-254,100,124,167,105,91,145,164
255,product-255,184,247,96,100,49,99,57
256,product-256,44,60,204,233,79,123,219
257,product-257,237,289,57,36,80,91,81
258,product-258,200,251,73,55,67,166,122
259,product-259,83,158,177,150,170,30,164
260,product-260,194,230,147,199,36,109,52
261,product-261,167,191,67,62,52,9,77
262,product-262,100,175,44,143,66,44,114
263,product-263,152,207,42,35,172,115,172
264,product-264,194,287,224,191,72,40,8
265,product-265,170,238,186,77,126,44,139
266,product-266,101,162,154,132,71,179,267
267,product-267,74,87,71,80,160,173,171
268,product-268,184,250,137,206,80,73,86
269,product-269,134,191,209,110,139,5,82
270,product-270,148,177,43,123,68,114,88
271,product-271,176,218,65,64,177,63,39
272,product-272,175,186,76,229,124,89,51
273,product-273,130,169,39,73,177,97,197
274,product-274,78,153,231,82,261,216,237
275,product-275,133,168,22,82,22,80,79
276,product-276,100,174,177,252,108,243,45
277,product-277,205,292,180,154,185,106,168
278,product-278,48,73,203,161,85,170,236
