id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,product-1,62,139,191,112,115
2,product-2,159,223,218,127,167
3,product-3,219,289,73,137,120
4,product-4,170,226,106,216,148
5,product-5,198,206,97,76,61
6,product-6,105,172,159,170,191
7,product-7,170,223,62,157,210
8,product-8,112,139,30,161,207
9,product-9,101,127,61,130,80
10,product-10,169,203,71,49,107
11,product-11,130,195,111,59,114
12,product-12,15,16,111,47,85
13,product-13,76,87,189,113,194
14,product-14,60,70,31,149,133
15,product-15,118,164,51,110,180
16,product-16,144,185,21,150,148
17,product-17,124,124,143,112,16
18,product-18,197,247,110,189,64
19,product-19,86,96,186,144,47
20,product-20,149,246,43,38,72
21,product-21,83,146,176,214,81
22,product-22,251,323,197,32,186
23,product-23,11,50,178,80,125
24,product-24,72,74,91,186,60
25,product-25,31,111,138,124,202
26,product-26,139,207,216,28,157
27,product-27,111,116,109,133,132
28,product-28,158,187,112,231,21
29,product-29,184,191,240,96,145
30,product-30,6,69,92,160,192
31,product-31,154,238,122,58,128
32,product-32,113,171,146,91,217
33,product-33,149,205,171,79,133
34,product-34,71,149,108,210,52
35,product-35,13,22,179,110,151
36,product-36,7,48,185,77,243
37,product-37,126,167,37,44,119
38,product-38,156,198,57,84,36
39,product-39,241,252,87,174,184
40,product-40,22,94,81,52,110
41,product-41,185,238,27,72,147
42,product-42,178,217,222,134,187
43,product-43,88,134,226,132,77
44,product-44,120,208,43,161,206
45,product-45,76,87,147,99,33
46,product-46,194,262,58,87,69
47,product-47,186,210,56,148,90
48,product-48,182,212,172,29,39
49,product-49,178,216,233,76,197
50,product-50,167,266,214,86,68
