id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,customer-1,183,217,1,202,0
2,customer-2,182,226,54,148,50
3,customer-3,127,221,25,175,27
4,customer-4,43,53,37,44,160
5,customer-5,155,185,63,65,135
6,customer-6,81,128,247,0,0
7,customer-7,243,324,153,48,50
8,customer-8,203,253,128,67,128
9,customer-9,30,48,75,129,76
10,customer-10,83,162,206,0,0
11,customer-11,107,173,41,39,160
12,customer-12,21,52,63,59,139
13,customer-13,157,170,79,79,118
14,customer-14,156,243,200,0,0
15,customer-15,27,70,15,23,180
16,customer-16,150,219,178,27,23
17,customer-17,241,252,50,152,155
18,customer-18,87,165,175,174,26
19,customer-19,146,209,43,158,152
20,customer-20,39,96,87,108,118
21,customer-21,111,149,60,137,136
22,customer-22,99,102,50,147,152
23,customer-23,125,217,73,127,73
24,customer-24,70,113,18,11,185
25,customer-25,113,139,168,165,31
26,customer-26,90,135,5,196,8
27,customer-27,106,126,0,208,0
28,customer-28,23,79,155,160,45
29,customer-29,182,261,0,228,0
30,customer-30,49,105,114,88,113
31,customer-31,246,273,21,176,27
32,customer-32,53,116,21,24,178
33,customer-33,110,198,135,70,64
34,customer-34,109,155,86,117,83
35,customer-35,69,88,164,35,169
36,customer-36,39,63,88,110,109
37,customer-37,133,196,36,163,168
38,customer-38,108,133,45,157,48
39,customer-39,118,214,152,43,50
40,customer-40,108,181,119,80,122
41,customer-41,107,111,56,142,149
42,customer-42,157,183,155,42,43
43,customer-43,225,311,158,46,152
44,customer-44,101,131,176,26,21
45,customer-45,113,177,129,123,73
46,customer-46,45,122,117,118,78
47,customer-47,255,346,13,192,12
48,customer-48,100,128,256,0,0
49,customer-49,16,58,155,48,45
50,customer-50,90,179,147,54,50
51,customer-51,59,70,136,130,69
52,customer-52,203,293,172,176,24
53,customer-53,148,149,193,2,2
54,customer-54,176,195,80,79,118
55,customer-55,32,33,215,0,0
56,customer-56,137,220,21,174,23
57,customer-57,103,117,9,191,196
58,customer-58,116,202,75,122,73
59,customer-59,203,212,202,0,0
60,customer-60,160,257,165,34,39
61,customer-61,249,269,57,146,52
62,customer-62,105,180,164,31,41
63,customer-63,192,281,150,45,54
64,customer-64,142,215,36,163,36
65,customer-65,82,104,56,141,145
66,customer-66,218,267,25,175,24
67,customer-67,184,253,0,0,205
68,customer-68,65,117,128,70,125
69,customer-69,79,127,116,79,126
70,customer-70,41,73,135,70,70
71,customer-71,130,146,78,84,119
72,customer-72,126,217,88,88,117
73,customer-73,17,18,131,131,66
74,customer-74,222,274,175,28,20
75,customer-75,116,175,142,138,63
76,customer-76,90,99,144,54,142
77,customer-77,144,202,173,24,30
78,customer-78,132,213,154,155,46
79,customer-79,216,304,12,12,190
80,customer-80,90,156,82,84,116
81,customer-81,159,247,113,107,89
82,customer-82,168,179,0,222,0
83,customer-83,84,119,110,109,93
84,customer-84,67,83,26,169,173
85,customer-85,35,111,58,144,142
86,customer-86,175,195,147,48,156
87,customer-87,143,194,130,70,74
88,customer-88,184,201,79,84,117
89,customer-89,236,259,0,262,0
90,customer-90,53,116,15,13,183
91,customer-91,127,188,152,49,149
92,customer-92,117,209,61,140,56
93,customer-93,91,113,142,146,55
