id,label,ts_in,ts_out,dim_0,dim_1
1,customer-1,29,46,217,0
2,customer-2,135,203,96,105
3,customer-3,167,250,115,80
4,customer-4,80,124,56,139
5,customer-5,207,209,107,91
6,customer-6,195,288,207,0
7,customer-7,126,160,176,20
8,customer-8,41,70,160,36
9,customer-9,67,112,91,108
10,customer-10,56,123,46,158
11,customer-11,14,15,157,46
12,customer-12,79,116,185,14
13,customer-13,141,187,2,197
14,customer-14,123,150,202,3
15,customer-15,202,257,66,139
16,customer-16,218,218,145,57
17,customer-17,190,277,29,167
18,customer-18,113,198,0,207
19,customer-19,185,271,131,74
20,customer-20,40,83,221,0
21,customer-21,97,155,57,146
22,customer-22,139,228,40,162
23,customer-23,190,245,141,56
24,customer-24,98,163,0,239
25,customer-25,190,201,152,47
26,customer-26,262,296,121,81
27,customer-27,94,108,7,192
28,customer-28,126,174,163,35
29,customer-29,61,85,110,87
30,customer-30,169,258,54,146
31,customer-31,30,62,0,223
32,customer-32,179,233,129,69
33,customer-33,118,150,30,173
34,customer-34,13,98,169,28
35,customer-35,41,87,64,133
36,customer-36,175,179,21,184
37,customer-37,208,240,121,84
38,customer-38,153,216,149,51
39,customer-39,208,265,83,117
40,customer-40,213,229,84,117
41,customer-41,225,281,189,14
42,customer-42,185,225,115,80
43,customer-43,41,91,66,136
44,customer-44,161,167,107,90
45,customer-45,218,293,126,72
46,customer-46,68,88,144,55
47,customer-47,69,103,134,64
48,customer-48,110,199,115,90
49,customer-49,89,108,136,65
50,customer-50,76,111,72,131
51,customer-51,42,45,8,187
52,customer-52,127,215,45,152
53,customer-53,47,116,117,83
54,customer-54,55,126,18,178
55,customer-55,135,175,174,31
56,customer-56,117,139,5,196
57,customer-57,171,218,116,84
58,customer-58,88,143,39,162
59,customer-59,207,289,114,83
60,customer-60,103,137,26,171
61,customer-61,183,236,27,178
62,customer-62,140,229,185,16
63,customer-63,151,215,41,161
64,customer-64,75,125,190,5
65,customer-65,155,205,113,83
66,customer-66,104,157,177,25
67,customer-67,57,135,0,214
68,customer-68,261,360,55,142
69,customer-69,146,148,114,82
70,customer-70,102,151,9,186
71,customer-71,7,53,86,117
72,customer-72,85,114,156,42
73,customer-73,66,126,198,6
74,customer-74,212,289,82,117
75,customer-75,19,39,69,131
76,customer-76,249,281,95,101
77,customer-77,124,149,156,46
78,customer-78,151,204,51,147
79,customer-79,102,187,102,98
80,customer-80,19,53,182,17
81,customer-81,181,246,165,30
82,customer-82,121,210,130,73
83,customer-83,143,221,138,59
84,customer-84,143,193,143,59
85,customer-85,145,239,60,137
86,customer-86,79,112,189,9
87,customer-87,157,173,176,21
88,customer-88,168,181,17,179
89,customer-89,62,62,197,1
90,customer-90,89,171,131,67
91,customer-91,97,112,265,0
92,customer-92,81,150,61,140
93,customer-93,94,172,0,206
94,customer-94,67,95,120,75
95,customer-95,123,127,24,176
96,customer-96,130,192,164,36
97,customer-97,138,215,33,170
98,customer-98,205,296,211,0
99,customer-99,204,262,71,134
100,customer-100,123,192,114,89
101,customer-101,123,129,131,66
102,customer-102,51,124,12,185
103,customer-103,166,185,137,62
104,customer-104,78,119,72,133
105,customer-105,28,73,86,113
106,customer-106,137,151,97,99
107,customer-107,115,127,147,54
108,customer-108,233,257,62,135
109,customer-109,58,131,70,130
110,customer-110,63,140,114,82
111,customer-111,160,214,160,35
112,customer-112,52,67,214,0
113,customer-113,202,254,152,49
114,customer-114,55,145,187,17
115,customer-115,129,194,93,104
116,customer-116,230,239,98,106
117,customer-117,193,239,106,99
118,customer-118,175,248,162,39
119,customer-119,129,224,98,100
120,customer-120,176,266,78,124
121,customer-121,103,177,164,37
122,customer-122,212,275,150,50
123,customer-123,78,162,61,134
124,customer-124,118,210,74,123
125,customer-125,177,227,127,74
126,customer-126,21,113,84,115
127,customer-127,50,102,84,121
128,customer-128,78,93,120,83
129,customer-129,169,190,73,123
130,customer-130,188,228,131,70
131,customer-131,49,85,90,109
132,customer-132,20,65,155,48
133,customer-133,102,134,110,95
134,customer-134,43,128,189,14
135,customer-135,50,58,269,0
136,customer-136,4,78,163,37
137,customer-137,128,208,28,172
138,customer-138,146,173,43,160
139,customer-139,124,155,47,149
140,customer-140,82,140,181,19
141,customer-141,137,210,11,189
142,customer-142,116,152,120,82
143,customer-143,15,93,95,103
144,customer-144,89,117,89,116
145,customer-145,63,100,179,17
146,customer-146,185,239,35,164
147,customer-147,193,237,75,127
148,customer-148,147,212,126,74
149,customer-149,181,207,95,106
150,customer-150,148,172,113,84
151,customer-151,102,156,39,161
152,customer-152,84,115,152,53
153,customer-153,57,131,56,144
154,customer-154,101,190,67,128
155,customer-155,139,163,32,164
156,customer-156,106,183,0,221
157,customer-157,201,204,101,101
158,customer-158,204,284,101,94
159,customer-159,163,175,0,222
160,customer-160,155,186,61,135
161,customer-161,87,96,32,168
162,customer-162,215,305,111,89
163,customer-163,60,144,183,19
164,customer-164,216,261,126,75
165,customer-165,22,99,142,57
166,customer-166,126,161,110,90
167,customer-167,146,241,157,41
168,customer-168,94,98,165,39
169,customer-169,185,246,89,114
170,customer-170,44,96,62,142
171,customer-171,64,163,199,2
172,customer-172,185,193,117,88
173,customer-173,150,219,0,205
174,customer-174,90,145,42,159
175,customer-175,154,229,183,21
176,customer-176,237,329,170,30
177,customer-177,116,139,122,73
178,customer-178,211,215,146,49
179,customer-179,127,195,91,113
180,customer-180,97,97,178,26
181,customer-181,149,241,156,40
182,customer-182,131,189,124,77
183,customer-183,149,242,222,0
184,customer-184,85,93,124,75
185,customer-185,50,106,158,40
186,customer-186,197,241,178,26
187,customer-187,97,104,119,81
188,customer-188,204,284,58,142
189,customer-189,125,153,152,49
190,customer-190,69,104,20,185
191,customer-191,146,235,94,104
192,customer-192,138,200,214,0
193,customer-193,210,276,80,121
194,customer-194,173,242,16,184
195,customer-195,217,251,109,96
196,customer-196,77,92,180,22
197,customer-197,203,295,136,59
198,customer-198,41,90,66,137
199,customer-199,113,118,54,146
200,customer-200,218,263,1,197
201,customer-201,120,152,33,170
202,customer-202,40,73,95,103
203,customer-203,155,188,212,0
204,customer-204,204,205,64,134
205,customer-205,189,264,17,182
206,customer-206,80,126,79,125
207,customer-207,63,95,24,172
208,customer-208,119,136,42,158
209,customer-209,83,156,133,68
210,customer-210,147,178,207,0
211,customer-211,36,57,63,134
212,customer-212,67,138,201,4
