id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,customer-1,213,237,45,80,85
2,customer-2,255,331,58,276,20
3,customer-3,59,72,116,38,236
4,customer-4,44,46,96,153,142
5,customer-5,179,229,172,77,199
6,customer-6,195,213,25,130,164
7,customer-7,126,151,87,134,75
8,customer-8,47,90,188,162,159
9,customer-9,134,231,155,47,151
10,customer-10,141,143,163,46,189
11,customer-11,197,227,114,186,157
12,customer-12,180,205,159,34,128
13,customer-13,110,119,210,184,119
14,customer-14,213,280,208,219,177
15,customer-15,88,174,69,45,172
16,customer-16,146,154,121,89,36
17,customer-17,71,159,109,57,112
18,customer-18,68,162,56,139,89
19,customer-19,108,138,175,67,25
20,customer-20,140,150,27,234,61
21,customer-21,49,86,144,55,85
22,customer-22,102,125,86,25,9
23,customer-23,58,75,33,31,36
24,customer-24,142,187,218,35,176
25,customer-25,188,278,123,76,64
26,customer-26,101,106,21,224,85
27,customer-27,93,107,192,175,67
28,customer-28,162,241,136,189,130
29,customer-29,136,207,164,9,52
30,customer-30,44,108,153,244,92
31,customer-31,128,158,125,81,140
32,customer-32,138,201,140,208,53
33,customer-33,176,212,84,31,179
34,customer-34,43,119,84,181,152
35,customer-35,46,69,143,206,156
36,customer-36,172,253,196,103,66
37,customer-37,30,32,129,57,217
38,customer-38,76,98,181,48,73
39,customer-39,3,39,78,167,142
40,customer-40,186,228,212,143,124
41,customer-41,245,250,111,248,84
42,customer-42,104,172,249,39,70
43,customer-43,54,68,200,117,123
44,customer-44,48,51,15,190,45
45,customer-45,154,244,98,172,127
46,customer-46,190,264,124,101,147
47,customer-47,84,92,227,56,149
48,customer-48,152,187,8,171,131
49,customer-49,194,236,43,70,48
50,customer-50,19,55,47,165,239
51,customer-51,27,73,120,114,165
52,customer-52,60,65,91,161,183
53,customer-53,61,75,196,108,65
54,customer-54,150,156,93,58,160
55,customer-55,90,146,165,92,97
56,customer-56,178,183,239,28,10
57,customer-57,140,188,204,152,134
58,customer-58,174,192,125,147,214
59,customer-59,109,199,212,119,53
60,customer-60,194,199,49,155,202
61,customer-61,126,142,100,129,252
62,customer-62,145,146,92,206,179
63,customer-63,161,212,164,127,67
64,customer-64,240,330,207,202,193
65,customer-65,160,204,150,223,113
66,customer-66,16,88,70,214,34
67,customer-67,176,231,16,178,116
68,customer-68,203,246,77,157,66
69,customer-69,168,197,69,167,53
70,customer-70,163,200,94,201,74
71,customer-71,27,120,185,126,133
72,customer-72,74,124,200,218,227
73,customer-73,199,235,78,171,119
74,customer-74,152,165,20,54,91
75,customer-75,42,42,116,171,175
76,customer-76,213,260,207,193,153
77,customer-77,210,238,96,100,40
78,customer-78,179,217,95,149,178
79,customer-79,236,248,59,183,156
80,customer-80,212,253,62,158,155
81,customer-81,45,125,159,68,117
82,customer-82,224,314,63,209,74
83,customer-83,139,186,77,101,172
84,customer-84,185,212,169,13,111
85,customer-85,41,60,146,51,92
86,customer-86,160,219,35,150,131
87,customer-87,222,250,215,38,190
88,customer-88,156,245,136,102,242
89,customer-89,181,226,56,86,106
90,customer-90,25,85,168,57,104
91,customer-91,141,234,182,174,123
92,customer-92,24,25,75,191,91
93,customer-93,26,88,71,62,193
94,customer-94,88,181,65,81,155
95,customer-95,96,169,83,120,57
96,customer-96,174,269,148,117,43
97,customer-97,217,274,230,143,180
98,customer-98,99,156,214,97,143
99,customer-99,157,209,221,119,72
100,customer-100,181,236,33,10,15
101,customer-101,124,174,143,175,140
102,customer-102,126,158,55,131,75
103,customer-103,107,161,195,87,46
104,customer-104,173,253,125,74,139
105,customer-105,132,175,58,227,213
106,customer-106,208,273,62,229,106
107,customer-107,152,214,13,82,188
108,customer-108,110,175,190,148,151
109,customer-109,175,202,218,188,33
110,customer-110,87,116,92,60,182
111,customer-111,181,254,55,139,118
112,customer-112,169,231,39,137,12
113,customer-113,206,223,97,123,146
114,customer-114,49,76,38,34,9
115,customer-115,77,77,207,118,138
116,customer-116,196,268,28,41,64
117,customer-117,96,191,211,41,38
118,customer-118,156,250,134,146,61
119,customer-119,16,28,106,102,202
120,customer-120,124,134,82,79,125
121,customer-121,113,128,169,23,202
122,customer-122,130,200,26,120,94
123,customer-123,200,292,155,123,64
124,customer-124,138,182,122,92,119
125,customer-125,68,104,34,194,163
126,customer-126,184,224,177,80,186
127,customer-127,179,241,203,137,122
128,customer-128,90,126,158,33,101
129,customer-129,5,24,193,33,53
130,customer-130,166,257,173,170,140
131,customer-131,166,207,162,92,55
132,customer-132,74,86,128,198,31
133,customer-133,47,58,36,164,33
134,customer-134,232,291,205,154,162
135,customer-135,133,193,73,206,39
136,customer-136,195,260,30,69,228
137,customer-137,117,153,132,12,84
138,customer-138,101,170,212,97,77
139,customer-139,39,76,252,171,227
140,customer-140,54,70,153,114,133
141,customer-141,171,202,136,160,90
142,customer-142,186,209,140,82,103
143,customer-143,143,230,98,57,71
144,customer-144,99,143,102,213,29
145,customer-145,190,234,144,206,27
146,customer-146,175,177,188,95,201
147,customer-147,128,209,167,23,160
148,customer-148,84,164,4,197,78
149,customer-149,195,250,139,33,100
150,customer-150,115,206,223,50,153
151,customer-151,167,261,115,81,188
152,customer-152,169,219,93,162,134
153,customer-153,66,103,234,176,37
154,customer-154,201,269,132,139,106
155,customer-155,82,107,60,54,180
156,customer-156,94,112,20,93,110
157,customer-157,200,264,68,197,62
158,customer-158,116,186,38,208,69
159,customer-159,157,191,102,102,194
160,customer-160,229,237,188,182,222
161,customer-161,188,258,167,46,250
162,customer-162,180,214,91,135,188
163,customer-163,153,193,195,87,161
164,customer-164,153,156,78,131,124
165,customer-165,205,206,83,138,231
166,customer-166,82,128,114,159,204
167,customer-167,160,255,201,135,208
168,customer-168,149,150,25,159,98
169,customer-169,111,191,20,192,210
170,customer-170,206,236,17,52,192
171,customer-171,168,170,135,43,22
172,customer-172,41,46,106,107,239
173,customer-173,137,167,99,163,76
174,customer-174,71,94,216,88,47
175,customer-175,80,131,184,118,194
176,customer-176,216,288,118,115,194
177,customer-177,58,123,132,215,253
178,customer-178,68,103,197,243,191
179,customer-179,52,117,94,157,104
180,customer-180,114,179,121,33,155
181,customer-181,173,262,178,195,86
182,customer-182,100,117,60,226,35
183,customer-183,70,142,84,80,183
184,customer-184,117,134,237,152,177
185,customer-185,116,123,133,82,154
186,customer-186,46,49,118,22,80
187,customer-187,71,145,55,13,139
188,customer-188,120,144,169,148,76
189,customer-189,210,214,263,197,249
190,customer-190,126,195,62,19,71
191,customer-191,38,128,51,228,208
192,customer-192,47,142,170,168,132
193,customer-193,113,185,47,194,39
194,customer-194,211,298,23,95,276
195,customer-195,73,166,107,222,76
196,customer-196,181,255,37,160,84
197,customer-197,124,164,219,108,194
198,customer-198,55,69,151,69,163
199,customer-199,135,218,72,77,97
200,customer-200,28,35,156,115,201
201,customer-201,105,141,162,95,80
202,customer-202,203,281,119,117,51
203,customer-203,85,115,114,17,193
204,customer-204,92,158,113,189,170
205,customer-205,22,26,50,164,199
206,customer-206,167,171,83,135,93
207,customer-207,138,142,72,84,144
208,customer-208,181,219,264,210,139
209,customer-209,77,133,160,218,129
210,customer-210,93,173,19,184,119
211,customer-211,78,126,119,133,156
212,customer-212,181,192,195,55,209
213,customer-213,117,209,60,100,146
214,customer-214,179,259,97,134,60
215,customer-215,248,300,37,177,147
216,customer-216,93,155,95,210,163
217,customer-217,159,240,69,215,90
218,customer-218,121,121,139,242,43
219,customer-219,101,119,147,100,81
220,customer-220,119,197,93,57,181
221,customer-221,202,272,201,174,282
222,customer-222,27,64,115,20,89
223,customer-223,200,223,199,109,233
224,customer-224,131,219,161,192,9
225,customer-225,189,221,174,2,205
226,customer-226,203,237,41,53,11
227,customer-227,113,132,30,229,26
228,customer-228,139,171,77,92,133
229,customer-229,98,181,171,121,201
230,customer-230,71,77,171,90,50
231,customer-231,103,195,116,66,202
232,customer-232,196,269,86,180,85
233,customer-233,179,240,170,35,173
234,customer-234,116,197,284,146,142
235,customer-235,128,196,202,32,202
236,customer-236,60,125,195,133,194
237,customer-237,172,203,120,124,128
238,customer-238,34,35,145,180,125
239,customer-239,157,169,145,169,151
240,customer-240,265,302,255,34,92
241,customer-241,44,101,125,61,167
242,customer-242,246,288,199,169,43
243,customer-243,51,117,163,226,127
244,customer-244,49,74,99,65,52
245,customer-245,65,148,79,68,186
246,customer-246,216,242,96,57,26
247,customer-247,49,132,108,84,187
248,customer-248,201,207,95,157,198
249,customer-249,210,292,147,228,264
250,customer-250,102,145,47,121,207
251,customer-251,257,290,180,143,241
252,customer-252,155,166,117,240,205
253,customer-253,30,97,114,170,64
254,customer-254,204,289,210,63,173
255,customer-255,148,187,160,195,199
256,customer-256,72,124,112,156,158
257,customer-257,89,98,173,250,239
258,customer-258,35,48,160,140,89
259,customer-259,10,81,161,103,261
260,customer-260,110,199,217,198,93
261,customer-261,118,203,192,97,245
262,customer-262,41,79,216,212,55
263,customer-263,138,231,136,185,161
264,customer-264,135,172,131,289,132
265,customer-265,8,23,132,177,94
266,customer-266,88,105,34,157,141
267,customer-267,13,77,96,142,230
268,customer-268,178,241,160,109,214
269,customer-269,92,112,69,118,103
270,customer-270,156,210,93,92,162
271,customer-271,76,153,67,176,58
272,customer-272,175,231,22,172,99
273,customer-273,140,172,4,151,36
274,customer-274,163,228,120,191,183
275,customer-275,194,248,174,166,233
276,customer-276,101,134,51,242,22
277,customer-277,279,306,141,63,158
278,customer-278,220,226,99,182,178
279,customer-279,220,282,109,131,51
280,customer-280,128,136,164,76,160
281,customer-281,137,187,96,119,135
282,customer-282,35,44,204,143,157
283,customer-283,170,228,140,40,179
284,customer-284,142,225,59,62,15
285,customer-285,33,60,63,52,66
286,customer-286,144,162,99,136,185
287,customer-287,88,149,109,11,83
288,customer-288,90,185,141,56,40
289,customer-289,201,218,91,67,119
290,customer-290,21,87,42,41,145
291,customer-291,130,135,61,205,225
292,customer-292,57,143,34,216,25
293,customer-293,70,161,62,176,39
294,customer-294,34,113,206,141,104
295,customer-295,48,90,52,81,143
296,customer-296,51,52,82,21,162
297,customer-297,82,152,211,103,133
298,customer-298,152,156,13,48,172
299,customer-299,25,82,189,53,64
300,customer-300,71,169,74,79,18
301,customer-301,125,218,68,221,142
302,customer-302,122,144,119,59,104
303,customer-303,65,122,157,157,201
304,customer-304,18,30,119,64,97
305,customer-305,203,238,198,153,21
306,customer-306,94,171,189,189,113
307,customer-307,26,78,172,36,186
308,customer-308,232,304,130,106,36
309,customer-309,160,162,205,88,163
310,customer-310,159,249,143,48,160
311,customer-311,8,17,176,202,164
312,customer-312,36,92,99,197,163
313,customer-313,68,160,159,178,72
314,customer-314,106,112,119,129,83
315,customer-315,126,221,24,171,245
316,customer-316,200,206,115,33,64
317,customer-317,143,201,163,59,147
318,customer-318,67,81,178,203,125
319,customer-319,199,259,107,265,61
320,customer-320,173,201,168,36,10
321,customer-321,100,162,40,184,100
322,customer-322,80,125,143,168,84
323,customer-323,164,240,98,227,90
324,customer-324,180,244,199,40,42
325,customer-325,75,79,232,204,190
326,customer-326,74,152,157,210,139
327,customer-327,163,190,71,168,174
328,customer-328,30,54,178,116,99
329,customer-329,245,338,116,78,61
330,customer-330,109,137,97,77,67
331,customer-331,170,173,203,38,189
332,customer-332,174,199,169,112,244
333,customer-333,107,172,109,170,214
334,customer-334,85,135,67,133,109
335,customer-335,177,253,137,153,24
336,customer-336,136,169,186,197,124
337,customer-337,17,22,42,146,98
338,customer-338,38,101,110,96,2
339,customer-339,285,369,117,128,195
340,customer-340,86,156,101,67,185
341,customer-341,114,193,71,151,117
342,customer-342,200,251,123,109,26
343,customer-343,91,117,25,87,194
344,customer-344,196,269,76,85,183
345,customer-345,168,245,102,48,135
346,customer-346,109,166,84,148,189
347,customer-347,146,176,166,231,61
348,customer-348,88,170,47,232,204
349,customer-349,155,186,162,36,151
350,customer-350,200,213,70,137,55
351,customer-351,49,129,152,134,60
352,customer-352,179,237,142,197,77
353,customer-353,192,217,155,255,105
354,customer-354,200,274,98,168,166
355,customer-355,39,50,170,100,8
356,customer-356,97,163,203,167,97
357,customer-357,139,220,115,118,82
358,customer-358,140,208,233,25,69
359,customer-359,111,120,196,61,205
360,customer-360,155,175,95,129,178
361,customer-361,76,144,174,200,38
362,customer-362,139,181,90,115,64
363,customer-363,245,283,181,135,192
364,customer-364,94,101,143,205,65
365,customer-365,187,239,55,148,137
366,customer-366,19,109,109,109,106
367,customer-367,72,106,136,89,48
368,customer-368,80,160,253,119,164
369,customer-369,171,177,85,140,145
370,customer-370,27,91,143,124,182
371,customer-371,33,93,125,168,115
372,customer-372,72,122,94,198,30
373,customer-373,173,257,60,123,129
374,customer-374,167,183,177,122,195
375,customer-375,9,89,184,138,156
376,customer-376,45,53,17,215,91
377,customer-377,90,163,150,103,158
378,customer-378,34,74,123,161,146
379,customer-379,177,256,97,14,88
380,customer-380,76,94,73,174,101
381,customer-381,98,105,37,91,140
382,customer-382,34,108,198,192,75
383,customer-383,179,231,204,102,128
384,customer-384,42,140,143,151,214
385,customer-385,70,74,38,181,112
386,customer-386,124,202,140,125,54
387,customer-387,77,133,99,69,34
388,customer-388,154,184,133,148,64
389,customer-389,11,44,196,88,77
390,customer-390,180,183,231,133,52
391,customer-391,209,284,180,19,127
392,customer-392,59,73,63,149,138
393,customer-393,67,108,24,120,90
394,customer-394,155,237,47,112,163
395,customer-395,190,252,184,136,187
396,customer-396,54,92,70,16,195
397,customer-397,172,248,187,88,199
398,customer-398,95,97,26,135,196
399,customer-399,184,225,88,219,179
400,customer-400,42,75,114,80,121
401,customer-401,217,264,58,196,215
402,customer-402,195,198,217,127,177
403,customer-403,164,174,132,176,252
404,customer-404,169,247,17,51,21
405,customer-405,152,184,189,89,78
406,customer-406,130,131,107,62,93
407,customer-407,81,106,235,74,206
408,customer-408,63,80,33,30,58
409,customer-409,151,221,15,101,232
410,customer-410,70,142,112,234,126
411,customer-411,38,89,191,177,67
412,customer-412,159,177,215,55,204
413,customer-413,168,200,176,75,160
414,customer-414,155,182,106,164,122
415,customer-415,140,143,154,52,37
416,customer-416,25,54,46,74,100
417,customer-417,157,220,41,101,101
418,customer-418,113,145,71,136,178
419,customer-419,141,164,178,36,7
420,customer-420,96,102,183,200,132
421,customer-421,253,309,129,260,218
422,customer-422,132,146,111,105,202
423,customer-423,132,174,199,139,58
424,customer-424,164,250,137,50,143
425,customer-425,151,200,169,138,233
426,customer-426,101,108,100,115,136
427,customer-427,86,153,47,176,31
428,customer-428,221,280,181,120,92
429,customer-429,183,249,52,190,172
430,customer-430,193,288,49,99,155
431,customer-431,176,258,113,64,22
432,customer-432,121,121,100,198,66
433,customer-433,73,132,203,68,139
434,customer-434,141,143,66,210,93
435,customer-435,77,173,70,237,182
436,customer-436,95,96,163,61,48
437,customer-437,144,171,142,135,232
438,customer-438,126,150,208,61,83
439,customer-439,100,173,120,42,75
440,customer-440,58,103,184,142,77
441,customer-441,32,83,143,103,58
442,customer-442,217,259,218,111,156
443,customer-443,140,216,90,60,17
444,customer-444,172,172,25,211,116
445,customer-445,120,121,170,138,27
446,customer-446,184,272,7,158,126
447,customer-447,53,56,180,22,108
448,customer-448,63,135,223,91,135
