id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,product-1,66,147,21,184,12
2,product-2,170,258,31,172,172
3,product-3,165,229,98,101,97
4,product-4,31,115,3,1,197
5,product-5,85,160,140,61,58
6,product-6,202,219,60,69,135
7,product-7,55,133,165,39,159
8,product-8,91,185,187,9,8
9,product-9,90,127,242,0,0
10,product-10,135,176,172,33,171
11,product-11,165,207,131,139,64
12,product-12,101,180,73,125,79
13,product-13,108,155,199,2,3
14,product-14,91,100,19,16,181
15,product-15,171,234,158,47,37
16,product-16,152,179,36,160,45
17,product-17,222,269,1,199,0
18,product-18,126,194,64,139,61
19,product-19,77,124,17,186,186
20,product-20,32,85,67,128,128
21,product-21,54,148,217,0,0
22,product-22,116,134,177,27,24
23,product-23,96,110,191,10,6
24,product-24,122,169,109,89,116
25,product-25,96,188,118,79,79
26,product-26,159,168,101,100,101
27,product-27,199,222,79,72,125
28,product-28,187,211,29,31,166
29,product-29,158,208,6,10,192
30,product-30,137,205,197,8,1
31,product-31,68,122,150,149,52
32,product-32,192,287,0,0,242
33,product-33,57,137,177,28,28
34,product-34,200,222,101,100,95
35,product-35,59,128,78,117,117
36,product-36,223,260,159,39,160
37,product-37,137,221,167,31,31
38,product-38,138,142,41,159,43
39,product-39,257,345,40,40,155
40,product-40,161,194,115,119,83
41,product-41,155,170,62,54,142
42,product-42,154,155,83,119,76
43,product-43,99,186,126,71,128
44,product-44,195,208,88,108,87
45,product-45,151,227,141,138,61
46,product-46,119,125,132,64,67
47,product-47,150,150,89,94,110
48,product-48,191,237,237,0,0
49,product-49,231,282,0,200,1
50,product-50,103,180,140,59,138
51,product-51,16,59,72,75,124
52,product-52,129,202,0,0,235
53,product-53,170,256,157,150,46
54,product-54,221,223,18,185,14
55,product-55,92,113,133,133,72
56,product-56,162,200,153,45,153
57,product-57,77,122,151,149,49
58,product-58,16,52,2,200,4
59,product-59,86,145,23,25,176
60,product-60,200,219,189,10,13
61,product-61,26,35,204,0,0
62,product-62,89,158,144,151,51
63,product-63,119,170,9,7,191
64,product-64,199,265,242,0,0
65,product-65,120,187,66,135,132
66,product-66,200,221,72,132,127
67,product-67,163,204,0,210,0
68,product-68,239,302,29,174,23
69,product-69,198,254,0,0,212
70,product-70,137,150,73,126,130
71,product-71,141,227,213,0,0
72,product-72,139,184,108,115,87
73,product-73,129,224,12,187,12
74,product-74,116,141,130,69,71
75,product-75,82,120,184,14,11
76,product-76,89,137,114,84,82
77,product-77,44,81,20,23,182
78,product-78,42,61,145,149,52
79,product-79,130,166,90,95,106
80,product-80,178,258,84,120,82
81,product-81,72,81,105,100,102
82,product-82,24,76,100,91,104
83,product-83,91,150,21,24,181
84,product-84,92,156,150,149,48
85,product-85,154,245,0,206,0
86,product-86,104,195,104,97,99
87,product-87,101,143,179,175,24
88,product-88,113,192,0,0,220
89,product-89,167,233,149,51,50
90,product-90,214,301,163,157,42
91,product-91,46,88,70,128,135
92,product-92,79,163,176,26,179
93,product-93,125,154,44,38,157
94,product-94,244,300,132,125,71
95,product-95,95,116,55,141,58
96,product-96,232,248,136,63,138
97,product-97,36,82,191,14,13
98,product-98,40,68,97,108,90
99,product-99,31,110,0,221,0
100,product-100,217,294,66,134,66
101,product-101,60,76,81,124,124
102,product-102,115,211,21,30,174
103,product-103,175,260,187,186,9
104,product-104,186,271,0,0,217
105,product-105,132,180,66,69,131
106,product-106,201,283,172,26,27
107,product-107,130,198,59,141,57
108,product-108,175,226,28,174,26
109,product-109,125,205,49,155,150
110,product-110,167,191,56,148,140
111,product-111,68,159,37,36,163
112,product-112,180,200,137,59,64
113,product-113,121,158,74,129,124
114,product-114,172,199,134,64,134
115,product-115,46,129,140,58,65
116,product-116,177,255,94,103,107
117,product-117,270,296,122,74,126
118,product-118,108,141,165,164,40
119,product-119,65,154,13,13,186
120,product-120,42,131,50,152,149
121,product-121,32,64,124,78,125
122,product-122,165,166,93,105,107
123,product-123,228,309,137,67,132
124,product-124,192,273,11,14,184
125,product-125,167,251,136,136,66
126,product-126,151,157,104,95,108
127,product-127,170,230,107,101,96
128,product-128,189,219,116,110,86
129,product-129,95,97,110,95,101
130,product-130,105,121,96,104,97
131,product-131,260,321,71,130,73
132,product-132,151,231,147,150,50
133,product-133,236,306,203,2,0
134,product-134,14,19,223,0,0
135,product-135,128,134,192,10,3
136,product-136,40,95,2,196,0
137,product-137,106,200,107,95,88
138,product-138,4,6,143,56,144
139,product-139,114,201,65,135,63
140,product-140,156,237,56,52,146
141,product-141,36,81,180,18,186
142,product-142,68,123,41,163,38
143,product-143,1,70,51,150,50
144,product-144,171,239,53,51,148
145,product-145,254,309,104,95,100
146,product-146,182,237,55,46,150
147,product-147,177,244,139,57,62
148,product-148,158,238,124,117,79
149,product-149,37,74,45,41,159
150,product-150,207,261,48,151,155
151,product-151,176,182,163,34,41
152,product-152,98,179,172,25,176
153,product-153,178,239,109,89,87
154,product-154,75,146,54,51,150
155,product-155,178,229,96,105,103
156,product-156,181,217,202,0,3
157,product-157,179,200,0,0,228
158,product-158,75,123,65,138,133
159,product-159,126,193,0,0,205
160,product-160,241,319,92,92,106
161,product-161,175,251,94,108,95
162,product-162,114,192,51,148,154
163,product-163,168,211,187,15,8
164,product-164,47,121,228,0,0
165,product-165,223,309,139,57,146
166,product-166,59,82,69,129,68
167,product-167,192,219,66,136,60
168,product-168,181,191,70,134,68
169,product-169,203,206,129,71,126
170,product-170,204,213,143,61,135
171,product-171,80,161,0,228,0
172,product-172,150,206,77,119,80
173,product-173,267,310,19,181,183
174,product-174,20,33,203,0,0
175,product-175,188,212,126,132,69
176,product-176,111,163,185,15,183
177,product-177,161,221,58,55,142
178,product-178,145,192,186,16,17
179,product-179,18,99,93,96,103
180,product-180,156,221,16,183,187
181,product-181,35,97,47,157,43
182,product-182,71,72,74,76,124
183,product-183,87,148,109,89,90
184,product-184,157,168,177,184,19
185,product-185,145,155,67,128,73
186,product-186,152,217,38,160,162
187,product-187,59,88,147,155,50
188,product-188,82,109,43,155,46
189,product-189,132,141,0,230,0
190,product-190,145,165,111,86,86
191,product-191,42,114,32,27,170
192,product-192,112,137,77,125,128
193,product-193,160,243,126,123,75
194,product-194,20,40,9,189,7
195,product-195,36,37,125,78,79
