id,label,ts_in,ts_out,dim_0,dim_1
1,product-1,150,221,91,111
2,product-2,153,205,222,0
3,product-3,72,169,199,0
4,product-4,97,122,39,164
5,product-5,66,128,117,88
6,product-6,71,125,87,114
7,product-7,145,156,124,72
8,product-8,157,209,47,151
9,product-9,204,215,177,23
10,product-10,200,204,115,80
11,product-11,130,200,115,85
12,product-12,98,164,130,67
13,product-13,127,202,123,73
14,product-14,54,67,116,81
15,product-15,215,307,86,117
16,product-16,180,263,89,112
17,product-17,154,237,147,55
18,product-18,176,228,0,211
19,product-19,80,82,49,152
20,product-20,185,243,114,85
21,product-21,115,191,171,34
22,product-22,205,259,140,56
23,product-23,23,88,94,110
24,product-24,41,52,0,237
25,product-25,113,179,187,17
26,product-26,173,218,107,92
27,product-27,142,174,26,172
28,product-28,169,255,75,121
29,product-29,157,195,162,40
30,product-30,128,157,173,29
31,product-31,33,63,46,154
32,product-32,46,114,137,58
33,product-33,110,140,55,142
34,product-34,14,83,27,176
35,product-35,128,129,115,85
36,product-36,122,152,73,132
37,product-37,40,71,120,83
38,product-38,154,235,132,71
39,product-39,225,319,119,80
40,product-40,166,227,71,124
41,product-41,109,138,0,238
42,product-42,128,131,76,125
43,product-43,125,188,217,0
44,product-44,136,156,97,107
45,product-45,29,85,39,163
46,product-46,146,198,95,101
47,product-47,175,263,53,147
48,product-48,103,127,79,124
49,product-49,185,229,121,81
50,product-50,164,194,196,5
51,product-51,164,192,145,55
52,product-52,208,208,29,168
53,product-53,8,71,170,33
54,product-54,113,137,250,0
55,product-55,213,260,12,192
56,product-56,215,261,15,187
57,product-57,135,222,166,29
58,product-58,63,92,145,57
59,product-59,64,113,38,165
60,product-60,48,63,159,43
61,product-61,112,164,8,197
62,product-62,63,153,0,204
63,product-63,38,58,145,51
64,product-64,227,300,189,9
65,product-65,173,254,39,162
66,product-66,199,213,166,30
67,product-67,83,93,0,205
68,product-68,20,47,55,150
69,product-69,105,130,47,153
70,product-70,97,179,17,185
71,product-71,252,315,179,20
72,product-72,135,157,105,91
73,product-73,70,103,135,68
74,product-74,93,166,13,184
75,product-75,181,225,185,18
76,product-76,187,204,120,84
77,product-77,87,114,117,88
78,product-78,171,178,2,197
79,product-79,127,205,36,169
80,product-80,96,102,123,77
81,product-81,44,44,52,149
82,product-82,82,89,79,119
83,product-83,156,205,145,56
84,product-84,69,149,18,183
85,product-85,208,242,111,92
86,product-86,198,277,235,0
87,product-87,188,200,173,29
88,product-88,235,295,127,77
89,product-89,129,147,50,146
90,product-90,206,224,10,191
91,product-91,157,226,125,73
92,product-92,94,145,12,183
93,product-93,131,161,112,86
94,product-94,76,84,92,105
95,product-95,56,60,150,51
96,product-96,67,135,7,194
97,product-97,245,292,136,65
98,product-98,51,139,142,61
99,product-99,97,145,2,194
100,product-100,148,232,101,96
101,product-101,214,236,104,96
102,product-102,189,228,97,105
103,product-103,19,41,144,58
104,product-104,48,117,20,175
105,product-105,39,116,207,0
106,product-106,31,116,55,146
107,product-107,88,117,28,174
108,product-108,60,92,131,72
109,product-109,206,278,131,69
110,product-110,139,144,129,72
111,product-111,55,89,98,99
112,product-112,131,136,128,69
113,product-113,98,169,32,170
114,product-114,213,230,153,42
115,product-115,232,263,29,172
116,product-116,191,241,54,142
117,product-117,224,274,151,52
118,product-118,237,271,10,190
119,product-119,50,124,97,105
120,product-120,134,174,216,0
121,product-121,186,253,149,46
122,product-122,96,193,130,75
123,product-123,160,255,153,46
124,product-124,148,212,61,135
125,product-125,250,293,180,18
126,product-126,95,146,199,0
127,product-127,122,153,151,49
128,product-128,91,123,181,19
129,product-129,85,168,193,2
130,product-130,38,81,153,51
131,product-131,81,128,68,136
132,product-132,242,312,40,155
133,product-133,176,209,75,129
134,product-134,120,155,23,176
135,product-135,112,133,91,105
136,product-136,151,156,159,36
137,product-137,104,154,32,165
138,product-138,197,293,152,48
139,product-139,104,133,78,121
140,product-140,123,155,179,20
141,product-141,228,315,107,90
142,product-142,49,72,48,153
143,product-143,127,155,157,41
144,product-144,201,231,67,135
145,product-145,192,206,15,181
146,product-146,155,240,124,80
147,product-147,172,197,89,114
148,product-148,52,125,14,191
149,product-149,82,167,168,28
150,product-150,123,148,168,31
151,product-151,75,125,159,44
152,product-152,215,270,158,46
153,product-153,164,235,3,202
154,product-154,55,67,38,166
155,product-155,108,179,54,146
156,product-156,195,274,38,158
157,product-157,189,207,49,149
158,product-158,67,67,103,95
159,product-159,81,160,176,24
160,product-160,204,270,143,55
161,product-161,84,120,159,43
162,product-162,188,277,70,135
163,product-163,38,112,61,134
164,product-164,86,113,127,73
165,product-165,120,163,132,67
166,product-166,152,188,172,25
167,product-167,56,102,147,55
168,product-168,25,70,0,210
169,product-169,163,171,37,167
170,product-170,85,99,108,93
171,product-171,109,149,175,23
172,product-172,162,236,213,0
173,product-173,0,5,120,80
174,product-174,105,173,153,42
175,product-175,130,181,180,24
176,product-176,134,221,165,39
177,product-177,89,173,149,50
178,product-178,161,215,126,79
179,product-179,100,171,92,110
180,product-180,213,285,111,84
181,product-181,84,111,80,120
182,product-182,103,131,202,0
183,product-183,84,155,108,94
184,product-184,212,273,92,109
185,product-185,149,189,213,0
186,product-186,156,232,70,131
187,product-187,83,147,114,82
188,product-188,197,243,0,206
189,product-189,98,179,181,20
190,product-190,194,271,188,7
191,product-191,131,177,80,115
192,product-192,115,140,58,139
193,product-193,98,109,38,166
194,product-194,192,270,81,123
195,product-195,151,218,165,31
196,product-196,52,79,27,168
197,product-197,41,64,164,36
198,product-198,154,183,139,63
199,product-199,49,88,143,62
200,product-200,57,87,139,63
201,product-201,182,214,53,143
202,product-202,143,166,58,141
203,product-203,102,118,131,71
204,product-204,111,180,85,118
205,product-205,81,95,87,111
206,product-206,80,136,92,108
207,product-207,77,142,20,181
208,product-208,53,53,0,261
209,product-209,47,90,122,73
210,product-210,77,127,0,220
211,product-211,201,287,165,30
212,product-212,176,249,13,187
213,product-213,207,216,17,184
214,product-214,85,127,144,59
215,product-215,250,293,206,0
216,product-216,92,151,126,74
217,product-217,195,289,10,194
218,product-218,76,165,115,80
219,product-219,61,69,16,187
220,product-220,185,266,0,240
221,product-221,172,202,50,147
222,product-222,101,169,196,8
223,product-223,225,316,165,35
224,product-224,155,239,184,21
225,product-225,207,291,166,29
226,product-226,13,83,199,2
227,product-227,174,258,18,180
228,product-228,56,104,25,174
229,product-229,191,222,70,132
230,product-230,148,246,56,148
231,product-231,173,258,172,33
232,product-232,56,133,82,113
233,product-233,86,92,187,14
234,product-234,81,138,174,25
235,product-235,208,247,81,116
236,product-236,155,231,164,41
237,product-237,27,28,54,151
238,product-238,195,230,86,114
239,product-239,124,143,60,143
240,product-240,120,121,5,191
241,product-241,110,189,73,126
242,product-242,145,195,176,25
243,product-243,73,73,162,34
244,product-244,88,128,165,40
245,product-245,115,184,178,17
246,product-246,142,198,101,102
247,product-247,44,92,153,43
248,product-248,51,75,163,34
249,product-249,135,143,9,187
250,product-250,137,170,58,144
251,product-251,57,105,128,75
252,product-252,136,198,38,165
253,product-253,49,63,13,182
254,product-254,72,74,0,204
255,product-255,154,229,181,16
256,product-256,178,190,114,85
257,product-257,195,260,126,69
258,product-258,47,70,115,88
259,product-259,121,148,72,127
260,product-260,84,131,85,119
261,product-261,157,233,222,0
262,product-262,149,181,35,165
263,product-263,157,221,140,63
264,product-264,130,169,27,178
265,product-265,224,263,153,46
266,product-266,167,224,146,50
267,product-267,82,98,36,166
268,product-268,58,60,142,63
269,product-269,82,99,180,17
270,product-270,224,307,84,116
271,product-271,91,119,28,176
272,product-272,66,105,93,103
273,product-273,72,116,33,165
274,product-274,19,72,42,161
275,product-275,124,213,164,34
276,product-276,80,92,158,45
277,product-277,181,242,0,204
278,product-278,44,111,72,125
279,product-279,15,96,81,114
280,product-280,83,105,160,44
281,product-281,151,239,85,116
282,product-282,179,264,60,141
283,product-283,115,137,158,46
284,product-284,226,281,179,19
285,product-285,124,141,164,33
286,product-286,61,97,0,233
287,product-287,74,107,0,229
288,product-288,203,259,80,125
289,product-289,102,144,92,110
290,product-290,215,314,152,52
291,product-291,96,163,128,76
292,product-292,170,255,30,166
293,product-293,190,209,67,138
294,product-294,51,53,102,96
295,product-295,170,251,55,144
296,product-296,120,145,101,102
297,product-297,188,213,127,69
298,product-298,153,177,0,203
299,product-299,21,38,212,0
300,product-300,84,149,155,45
301,product-301,101,164,181,21
302,product-302,169,204,0,206
303,product-303,12,63,129,73
304,product-304,273,292,48,148
305,product-305,28,107,153,50
306,product-306,223,290,145,56
307,product-307,28,109,184,13
308,product-308,113,197,39,162
309,product-309,102,156,131,64
310,product-310,48,69,241,0
311,product-311,164,207,0,280
312,product-312,91,115,129,67
313,product-313,78,151,135,61
314,product-314,70,73,207,0
315,product-315,126,163,43,152
316,product-316,32,43,29,176
317,product-317,156,183,166,39
318,product-318,202,239,47,157
319,product-319,43,73,149,52
320,product-320,106,137,1,200
321,product-321,221,266,127,68
322,product-322,48,126,93,112
323,product-323,47,66,103,93
324,product-324,122,182,149,53
325,product-325,9,64,200,3
326,product-326,79,168,115,83
327,product-327,190,241,0,211
328,product-328,230,231,151,46
329,product-329,23,116,161,40
330,product-330,168,199,40,158
331,product-331,99,106,187,13
332,product-332,198,217,19,186
333,product-333,75,98,27,169
334,product-334,195,230,160,39
335,product-335,170,225,82,115
336,product-336,31,113,69,128
337,product-337,121,188,110,88
338,product-338,93,156,19,177
339,product-339,143,143,90,110
340,product-340,90,113,0,220
341,product-341,237,281,38,159
342,product-342,27,52,55,142
343,product-343,120,208,116,85
344,product-344,116,162,114,90
345,product-345,143,160,90,105
346,product-346,9,75,126,76
347,product-347,52,120,261,0
348,product-348,168,260,96,101
349,product-349,156,214,0,209
350,product-350,64,94,26,173
351,product-351,175,201,120,80
352,product-352,52,127,276,0
353,product-353,25,96,66,132
354,product-354,76,81,106,89
355,product-355,72,114,83,114
356,product-356,70,89,69,130
357,product-357,28,41,182,18
358,product-358,74,156,0,219
359,product-359,106,113,108,96
360,product-360,180,249,117,81
361,product-361,283,302,55,150
362,product-362,60,140,136,69
363,product-363,110,110,32,169
364,product-364,250,258,203,0
365,product-365,122,195,202,0
366,product-366,88,103,116,80
367,product-367,74,90,59,138
368,product-368,177,205,136,63
369,product-369,108,143,0,225
370,product-370,224,307,0,210
371,product-371,70,75,131,72
372,product-372,90,118,93,102
373,product-373,185,194,183,18
374,product-374,58,91,179,26
375,product-375,162,178,38,165
376,product-376,100,157,193,8
377,product-377,226,242,143,53
378,product-378,196,260,172,23
379,product-379,128,135,90,114
380,product-380,119,189,149,49
381,product-381,25,79,71,128
382,product-382,190,272,59,138
383,product-383,167,211,188,15
384,product-384,213,284,171,30
385,product-385,68,129,99,106
386,product-386,135,215,190,10
387,product-387,195,275,100,103
388,product-388,25,78,53,150
389,product-389,64,152,126,72
390,product-390,194,236,181,17
391,product-391,221,221,247,0
392,product-392,55,87,152,52
393,product-393,154,200,167,34
394,product-394,161,240,207,0
395,product-395,161,219,181,22
396,product-396,165,181,78,117
397,product-397,92,126,114,86
398,product-398,113,153,170,30
399,product-399,110,165,49,152
400,product-400,241,257,37,162
401,product-401,68,138,22,183
402,product-402,257,328,167,32
403,product-403,116,116,126,75
404,product-404,71,93,139,58
405,product-405,130,141,160,36
406,product-406,183,249,0,218
407,product-407,57,73,113,83
408,product-408,34,39,66,133
409,product-409,176,203,181,21
410,product-410,117,146,16,183
411,product-411,94,124,189,12
412,product-412,77,88,39,166
413,product-413,19,87,1,199
414,product-414,178,178,73,131
415,product-415,134,145,85,120
416,product-416,26,50,128,74
417,product-417,42,100,157,45
418,product-418,154,199,104,98
419,product-419,198,233,164,33
420,product-420,282,341,0,224
421,product-421,118,168,156,47
422,product-422,80,106,87,116
423,product-423,199,293,114,83
424,product-424,120,204,15,189
425,product-425,165,177,127,77
426,product-426,180,272,53,145
427,product-427,158,165,62,135
428,product-428,192,194,81,116
429,product-429,39,134,100,101
430,product-430,74,111,7,196
431,product-431,44,47,37,165
432,product-432,82,84,98,102
433,product-433,128,164,108,95
434,product-434,189,268,66,134
435,product-435,197,287,150,53
436,product-436,195,266,142,53
437,product-437,40,71,134,70
438,product-438,146,234,68,130
439,product-439,188,273,0,218
440,product-440,155,196,116,81
441,product-441,182,253,83,115
442,product-442,74,133,137,63
443,product-443,112,124,146,53
444,product-444,132,133,154,41
445,product-445,96,152,164,37
446,product-446,159,219,87,111
447,product-447,131,139,105,95
448,product-448,214,273,44,154
449,product-449,196,219,154,45
450,product-450,93,170,172,28
451,product-451,43,101,139,62
452,product-452,67,151,187,15
453,product-453,130,148,106,95
454,product-454,134,136,72,130
455,product-455,241,288,155,47
456,product-456,201,232,0,233
457,product-457,193,250,0,204
458,product-458,95,131,9,189
459,product-459,191,275,101,97
460,product-460,251,270,85,113
461,product-461,216,311,14,190
462,product-462,65,68,112,84
463,product-463,54,73,0,205
464,product-464,119,170,4,191
465,product-465,56,127,83,117
466,product-466,85,95,122,79
467,product-467,194,213,214,0
468,product-468,162,188,213,0
469,product-469,60,109,36,165
470,product-470,75,79,133,69
471,product-471,150,196,151,53
472,product-472,31,68,14,183
473,product-473,75,75,54,150
474,product-474,16,100,248,0
475,product-475,95,161,114,91
476,product-476,28,76,169,29
477,product-477,111,206,103,93
478,product-478,149,217,44,157
479,product-479,105,192,142,58
480,product-480,19,87,143,57
481,product-481,130,130,0,211
482,product-482,26,110,79,117
483,product-483,25,107,21,183
484,product-484,155,182,19,177
485,product-485,187,238,152,44
486,product-486,146,201,151,44
487,product-487,83,167,190,8
488,product-488,216,219,141,60
489,product-489,143,169,73,129
490,product-490,140,227,31,165
491,product-491,233,249,161,36
492,product-492,194,268,188,9
493,product-493,175,207,90,106
494,product-494,215,238,180,16
495,product-495,24,103,101,100
496,product-496,126,170,13,189
497,product-497,204,239,184,13
498,product-498,119,156,0,206
499,product-499,12,81,103,98
500,product-500,73,130,44,159
