id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9
1,product-1,109,140,147,173,38,58,161,194,185,256,20,260
2,product-2,195,219,160,125,70,81,138,181,61,56,61,40
3,product-3,168,169,183,184,37,214,97,165,258,148,25,146
4,product-4,14,86,246,68,99,115,128,147,175,61,198,88
5,product-5,179,264,34,246,107,212,33,116,45,89,210,22
6,product-6,65,147,136,134,92,154,94,74,117,97,8,136
7,product-7,176,256,42,74,21,205,187,112,54,189,157,41
8,product-8,101,142,203,13,188,162,41,137,154,58,206,201
9,product-9,83,141,29,220,169,104,222,127,211,67,161,76
10,product-10,27,114,166,161,151,103,192,134,118,107,185,44
11,product-11,58,149,157,170,124,100,97,6,211,88,229,129
12,product-12,32,54,44,185,165,164,185,184,180,165,86,26
13,product-13,68,162,35,126,181,23,93,114,177,196,152,137
14,product-14,148,193,29,163,141,72,138,130,141,229,96,45
15,product-15,164,206,38,116,19,153,24,168,168,49,199,157
16,product-16,43,75,173,134,103,180,183,172,236,145,80,73
17,product-17,143,191,201,51,65,33,87,58,174,66,145,168
18,product-18,106,174,152,154,73,102,268,227,231,218,33,197
19,product-19,189,266,238,147,136,223,195,92,56,91,177,51
20,product-20,204,217,138,143,66,245,161,57,244,160,88,203
21,product-21,113,114,207,114,184,139,44,62,128,99,207,30
22,product-22,195,205,167,279,122,73,189,201,123,193,213,86
23,product-23,178,220,140,28,213,88,86,280,182,157,109,25
24,product-24,122,190,64,202,195,181,74,109,135,49,153,31
25,product-25,166,230,275,15,78,183,88,15,106,177,144,132
26,product-26,232,307,88,80,172,48,120,146,22,95,208,76
27,product-27,47,55,132,136,80,165,59,128,209,88,109,85
28,product-28,71,156,155,136,218,184,242,193,39,92,100,246
29,product-29,99,142,133,154,69,94,156,105,227,71,93,118
30,product-30,21,109,52,197,99,51,255,200,191,87,163,81
31,product-31,95,141,18,99,74,164,109,5,170,65,84,244
32,product-32,131,223,203,83,119,39,237,167,104,174,44,16
33,product-33,155,211,123,113,66,192,27,67,204,148,186,254
34,product-34,119,126,138,18,111,21,47,164,188,135,68,79
35,product-35,188,225,126,168,229,183,189,112,186,5,243,100
36,product-36,185,214,30,136,63,89,40,175,61,201,134,72
37,product-37,143,175,14,234,149,203,209,178,88,193,180,115
38,product-38,58,67,138,170,114,72,166,45,139,165,28,160
39,product-39,51,97,53,131,242,60,75,199,64,105,133,46
40,product-40,80,98,132,192,49,191,132,235,150,202,227,43
41,product-41,174,195,48,30,144,47,103,146,75,63,30,195
42,product-42,226,315,90,161,134,129,114,216,152,53,138,164
43,product-43,171,185,53,42,188,168,206,212,179,38,154,146
44,product-44,153,205,94,163,220,30,95,223,67,172,124,166
45,product-45,19,53,152,128,16,141,40,163,177,69,132,217
46,product-46,234,308,171,6,236,236,173,176,170,102,122,235
47,product-47,229,286,75,221,42,162,39,172,124,207,107,74
48,product-48,192,230,137,187,141,78,175,105,9,177,138,129
49,product-49,192,246,128,130,166,113,28,93,159,85,208,102
50,product-50,40,105,79,203,214,93,208,215,258,169,157,62
51,product-51,89,104,189,206,102,97,156,77,67,109,189,112
52,product-52,55,86,187,99,165,18,203,171,138,95,63,217
53,product-53,75,135,51,82,160,201,185,80,189,78,183,134
54,product-54,168,257,114,27,178,150,109,44,160,132,179,102
55,product-55,164,235,190,156,71,155,118,123,187,73,136,161
56,product-56,144,192,194,99,112,174,93,100,157,155,166,76
57,product-57,130,212,223,199,168,241,154,165,138,150,189,193
58,product-58,136,184,73,97,152,213,178,212,195,69,226,160
59,product-59,156,210,61,72,115,59,77,197,128,174,201,210
60,product-60,137,157,105,178,154,41,21,161,85,86,67,159
61,product-61,62,74,43,64,102,205,68,22,45,148,93,153
62,product-62,88,104,98,214,1,118,191,130,76,144,60,187
63,product-63,131,140,154,37,51,165,190,136,177,222,58,174
64,product-64,109,116,130,90,71,211,164,201,128,155,241,201
65,product-65,205,215,151,209,109,56,149,41,41,196,119,180
66,product-66,200,277,187,55,107,14,155,207,30,42,110,226
67,product-67,25,81,41,115,179,163,259,4,188,197,128,46
68,product-68,108,110,158,207,171,94,186,145,90,97,142,191
69,product-69,42,83,36,45,220,163,147,7,158,86,172,116
70,product-70,118,184,168,123,179,199,59,81,196,49,164,64
71,product-71,88,137,163,123,122,152,141,78,12,195,163,63
72,product-72,241,242,93,162,45,11,100,83,195,154,133,63
73,product-73,167,228,125,73,97,97,187,49,95,227,121,105
74,product-74,100,145,101,195,145,163,125,130,173,137,189,3
75,product-75,72,73,113,149,78,188,129,31,231,124,63,119
76,product-76,107,108,131,138,43,167,58,226,85,27,265,65
77,product-77,75,106,54,16,67,112,136,122,0,160,13,94
78,product-78,186,222,244,156,194,93,156,194,37,99,92,23
79,product-79,103,138,83,115,188,254,80,116,53,129,212,131
80,product-80,190,209,11,201,114,205,53,96,112,131,20,155
81,product-81,28,57,187,184,210,66,139,163,26,130,32,192
82,product-82,126,181,39,132,150,0,195,161,210,166,82,52
83,product-83,142,233,132,151,232,99,119,129,160,180,145,200
84,product-84,164,202,26,110,82,95,168,232,199,105,151,149
85,product-85,69,138,124,31,93,121,69,20,123,118,205,76
86,product-86,186,229,84,75,131,33,190,139,187,202,136,160
87,product-87,89,149,214,164,158,80,54,187,135,116,145,88
88,product-88,14,94,191,110,200,158,177,227,27,210,199,250
89,product-89,112,185,41,57,11,153,73,182,187,155,10,182
90,product-90,197,250,53,94,234,140,190,19,155,29,55,38
91,product-91,62,122,177,106,116,55,60,98,151,53,48,127
92,product-92,107,167,164,106,204,37,168,194,92,55,128,55
93,product-93,144,180,92,70,188,128,12,170,115,205,149,21
94,product-94,3,75,154,174,111,269,107,135,125,110,166,46
95,product-95,243,328,42,160,29,35,86,163,212,126,182,167
96,product-96,32,112,30,112,89,198,141,183,46,247,78,163
97,product-97,154,157,30,40,187,203,180,49,58,55,24,100
98,product-98,69,113,85,159,180,175,57,83,111,28,120,34
99,product-99,112,137,113,103,119,96,166,273,27,122,190,45
100,product-100,113,179,150,38,72,192,205,201,180,197,88,212
101,product-101,26,75,65,215,85,224,137,52,125,198,140,138
102,product-102,203,264,178,190,59,93,88,58,153,30,198,69
103,product-103,168,195,167,174,67,44,188,28,102,179,176,148
104,product-104,130,184,154,192,24,130,162,187,110,52,132,120
105,product-105,209,293,174,217,170,86,158,91,8,72,173,90
