id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
1,product-1,12,80,124,218,47,104,205,81,146
2,product-2,203,268,139,258,201,75,193,70,20
3,product-3,177,239,184,82,81,64,204,217,219
4,product-4,99,112,202,100,50,181,53,63,200
5,product-5,91,161,136,129,150,143,202,121,106
6,product-6,156,168,211,163,252,92,103,216,152
7,product-7,146,210,209,218,31,140,160,153,105
8,product-8,129,159,83,198,26,211,1,52,219
9,product-9,36,58,211,85,62,108,44,174,155
10,product-10,62,141,54,171,212,149,219,91,139
11,product-11,38,131,95,121,32,134,206,78,234
12,product-12,232,279,208,44,200,114,138,178,152
13,product-13,179,224,118,45,110,115,134,41,82
14,product-14,44,100,0,169,191,230,63,65,136
15,product-15,84,110,75,90,191,48,167,177,55
16,product-16,112,198,181,58,238,41,68,180,104
17,product-17,133,224,140,121,234,140,162,239,190
18,product-18,10,25,120,184,61,211,104,28,68
19,product-19,184,241,224,64,196,77,119,19,53
20,product-20,99,102,238,182,58,42,199,41,80
21,product-21,64,136,153,157,26,248,220,151,114
22,product-22,125,217,165,50,24,60,187,31,149
23,product-23,29,39,93,189,162,36,213,194,121
24,product-24,100,138,144,272,96,93,186,46,186
25,product-25,29,29,80,139,128,146,220,35,94
26,product-26,169,189,202,148,156,60,240,33,134
27,product-27,128,183,60,49,62,68,246,19,75
28,product-28,173,207,66,171,78,88,25,173,98
29,product-29,176,237,218,65,40,225,208,189,176
30,product-30,154,208,193,25,107,189,119,207,77
31,product-31,85,124,174,233,114,194,122,116,228
32,product-32,150,165,93,225,189,197,174,113,29
33,product-33,282,334,239,166,78,104,211,140,49
34,product-34,148,221,97,93,163,92,62,104,145
35,product-35,79,142,32,143,108,142,161,145,177
36,product-36,194,203,166,194,79,162,90,38,138
37,product-37,113,118,38,129,40,210,182,124,183
38,product-38,143,195,166,151,187,45,104,104,66
39,product-39,105,119,112,46,45,217,200,63,50
40,product-40,26,63,147,119,153,139,178,129,159
41,product-41,211,288,12,50,200,117,30,212,182
42,product-42,85,102,65,140,92,100,147,143,143
43,product-43,227,237,68,197,200,129,173,172,129
44,product-44,125,127,154,13,149,62,114,180,58
45,product-45,195,272,212,166,190,47,218,161,149
46,product-46,138,146,227,176,189,133,149,66,178
47,product-47,163,168,56,155,109,65,36,24,253
48,product-48,189,222,136,189,26,197,130,35,22
49,product-49,80,94,60,202,40,92,186,201,169
50,product-50,70,125,224,33,191,49,142,201,226
51,product-51,46,112,54,94,160,72,66,121,223
52,product-52,40,131,166,42,6,233,75,46,51
53,product-53,31,90,40,9,22,92,213,174,168
54,product-54,108,131,79,140,147,124,83,64,195
55,product-55,210,246,109,105,181,140,84,249,30
56,product-56,75,157,45,143,27,120,50,15,148
57,product-57,110,207,106,186,213,108,106,124,116
58,product-58,50,136,116,139,114,59,271,106,109
59,product-59,195,286,55,168,140,50,179,70,126
60,product-60,142,185,134,82,93,69,148,203,80
61,product-61,151,178,160,149,221,235,257,64,69
62,product-62,58,141,124,236,116,86,186,233,81
63,product-63,67,163,74,104,61,37,192,158,180
64,product-64,170,261,93,168,108,68,45,66,173
65,product-65,171,220,79,62,198,78,151,40,100
66,product-66,14,90,22,134,55,149,51,183,131
67,product-67,56,60,172,25,167,92,168,166,160
68,product-68,65,140,65,109,152,61,18,3,119
69,product-69,147,217,73,76,25,92,105,230,128
70,product-70,182,252,149,83,53,112,154,85,104
71,product-71,132,133,127,125,53,63,190,52,177
72,product-72,38,132,148,142,171,132,114,133,152
73,product-73,148,231,42,29,144,149,9,216,55
74,product-74,163,215,31,162,197,124,187,107,70
75,product-75,41,60,168,197,231,127,155,81,72
76,product-76,75,113,216,220,149,90,133,249,165
77,product-77,61,126,102,189,122,91,209,257,78
78,product-78,199,226,10,150,101,148,133,97,112
79,product-79,120,164,137,109,108,67,71,63,49
80,product-80,166,205,230,195,86,43,193,123,117
81,product-81,152,186,190,70,224,210,81,17,247
82,product-82,74,121,177,193,49,154,206,188,177
83,product-83,80,112,14,187,30,62,184,183,137
84,product-84,249,252,186,100,121,197,58,17,168
85,product-85,7,64,59,184,130,92,129,191,55
86,product-86,65,75,89,66,118,200,48,63,122
87,product-87,250,332,171,109,153,143,185,46,140
88,product-88,81,157,97,213,196,213,85,67,58
89,product-89,150,196,185,50,113,206,89,40,56
90,product-90,149,202,217,70,174,229,88,76,53
91,product-91,49,79,199,192,27,243,132,59,141
92,product-92,252,274,47,66,88,29,90,164,115
93,product-93,70,161,143,36,24,93,71,192,162
94,product-94,191,226,196,129,120,16,79,24,57
95,product-95,155,227,216,50,122,127,208,72,164
96,product-96,40,130,210,163,215,104,124,15,174
97,product-97,151,177,176,54,163,60,60,156,105
98,product-98,18,98,198,107,184,150,138,214,27
99,product-99,179,252,130,50,145,122,184,105,155
100,product-100,142,174,154,151,30,232,121,268,179
101,product-101,219,262,122,191,95,143,131,43,124
102,product-102,28,112,204,186,184,44,18,251,224
103,product-103,189,218,168,184,148,207,97,164,270
104,product-104,94,109,42,160,113,222,135,162,52
105,product-105,197,213,162,56,223,207,102,257,115
106,product-106,92,100,13,163,240,152,119,74,204
107,product-107,211,259,120,58,64,196,123,181,201
108,product-108,92,152,101,20,166,186,164,158,51
109,product-109,61,130,257,130,12,124,146,63,118
110,product-110,31,96,208,56,105,197,67,152,10
111,product-111,201,262,168,223,193,172,69,215,111
112,product-112,200,284,277,42,66,153,112,215,147
113,product-113,66,143,91,67,167,135,100,35,130
114,product-114,154,235,112,146,209,79,142,105,186
115,product-115,144,146,175,191,93,196,126,198,105
116,product-116,49,124,200,162,40,120,194,76,89
117,product-117,24,113,128,94,153,210,199,129,181
118,product-118,128,176,92,89,125,163,53,43,94
119,product-119,137,223,109,47,124,210,71,264,210
120,product-120,158,183,77,225,124,117,153,157,188
121,product-121,149,210,235,112,128,207,208,77,20
122,product-122,56,134,62,73,67,206,168,116,160
123,product-123,204,263,60,101,172,83,197,128,173
124,product-124,256,292,99,50,169,35,285,202,115
125,product-125,109,130,212,87,75,167,155,62,178
126,product-126,233,309,136,189,148,191,74,184,97
127,product-127,116,184,146,189,51,15,175,141,130
128,product-128,59,62,142,169,141,97,182,31,70
129,product-129,22,25,220,195,3,98,8,83,104
130,product-130,239,267,152,90,121,96,54,181,36
131,product-131,190,237,103,54,34,286,113,180,128
132,product-132,76,135,140,104,26,163,207,138,106
133,product-133,216,295,157,171,177,173,187,207,112
134,product-134,57,155,156,147,99,83,100,76,202
135,product-135,36,79,38,134,176,175,61,18,143
136,product-136,132,150,77,47,182,104,159,147,108
137,product-137,63,98,176,119,53,70,187,86,195
138,product-138,97,176,152,111,65,126,142,120,178
139,product-139,102,161,30,63,22,234,218,32,95
140,product-140,149,246,94,93,203,52,7,162,120
141,product-141,91,166,2,88,30,126,205,201,121
142,product-142,41,44,110,238,89,203,190,136,125
143,product-143,196,252,142,217,31,30,150,168,171
144,product-144,159,214,122,221,99,124,39,195,94
145,product-145,148,211,23,123,95,142,178,190,102
146,product-146,201,282,4,92,24,70,100,122,8
147,product-147,204,249,196,185,98,86,155,79,178
148,product-148,79,99,119,139,15,90,79,200,165
149,product-149,96,155,157,105,43,100,252,57,176
150,product-150,28,84,96,59,157,172,10,25,121
151,product-151,83,107,98,88,208,192,229,42,140
152,product-152,160,245,178,147,160,185,121,185,65
153,product-153,68,140,122,43,63,44,160,77,34
154,product-154,31,51,55,24,129,107,91,39,126
155,product-155,143,169,12,74,95,138,78,74,137
156,product-156,177,265,46,181,140,88,238,63,29
157,product-157,16,68,113,209,123,60,172,185,83
158,product-158,241,273,207,147,149,18,160,10,105
159,product-159,210,243,181,144,95,177,13,154,164
