id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,product-1,115,198,72,78,138
2,product-2,75,156,52,74,201
3,product-3,146,237,97,77,51
4,product-4,63,88,267,129,76
5,product-5,196,266,112,173,11
6,product-6,56,98,45,57,137
7,product-7,217,231,286,95,192
8,product-8,199,260,170,76,81
9,product-9,71,94,146,192,204
10,product-10,120,183,69,154,89
11,product-11,234,298,68,174,126
12,product-12,134,206,143,178,135
13,product-13,58,128,89,207,174
14,product-14,131,175,128,0,126
15,product-15,204,256,64,195,58
16,product-16,108,129,14,116,186
17,product-17,132,185,188,131,139
18,product-18,178,223,179,204,121
19,product-19,174,272,144,44,153
20,product-20,246,254,147,99,127
21,product-21,150,173,203,22,59
22,product-22,223,253,171,125,72
23,product-23,188,275,163,118,162
24,product-24,113,159,75,25,99
25,product-25,51,132,188,42,25
26,product-26,133,227,67,229,53
27,product-27,158,250,115,116,97
28,product-28,222,228,68,40,219
29,product-29,170,232,41,5,146
30,product-30,63,134,59,148,127
31,product-31,142,209,53,90,196
32,product-32,120,186,90,114,139
33,product-33,93,187,58,115,29
34,product-34,57,58,161,188,142
35,product-35,149,193,59,76,91
36,product-36,19,56,69,114,268
37,product-37,157,179,182,87,90
38,product-38,147,176,52,155,133
39,product-39,21,113,33,210,181
40,product-40,114,115,195,138,8
41,product-41,192,239,81,105,3
42,product-42,66,68,204,214,85
43,product-43,116,193,125,206,106
44,product-44,174,266,191,55,88
45,product-45,71,152,65,35,36
46,product-46,269,307,198,135,50
47,product-47,196,224,113,197,163
48,product-48,161,243,186,244,146
49,product-49,44,79,15,38,56
50,product-50,31,125,123,47,159
51,product-51,29,61,83,205,70
52,product-52,164,186,216,136,181
53,product-53,221,221,8,147,182
54,product-54,29,102,164,149,152
55,product-55,26,114,100,206,28
56,product-56,207,261,84,136,116
57,product-57,153,203,201,123,141
58,product-58,242,318,24,133,159
59,product-59,145,188,152,265,42
60,product-60,126,137,50,144,124
61,product-61,73,103,132,163,121
62,product-62,162,228,99,130,121
63,product-63,119,135,41,160,114
64,product-64,15,73,14,127,170
65,product-65,12,26,103,61,152
66,product-66,142,175,151,69,201
67,product-67,14,70,56,209,14
68,product-68,62,151,76,218,105
69,product-69,17,78,109,120,75
70,product-70,21,32,79,143,168
71,product-71,119,135,140,183,295
72,product-72,53,128,150,190,120
73,product-73,195,240,68,138,39
74,product-74,151,184,26,48,43
75,product-75,243,313,130,65,114
76,product-76,136,192,79,184,120
77,product-77,56,121,200,269,84
78,product-78,182,272,114,169,124
79,product-79,183,211,214,109,135
80,product-80,99,119,162,142,48
81,product-81,115,121,66,212,56
82,product-82,162,171,15,185,125
83,product-83,145,146,88,159,104
84,product-84,212,264,141,254,105
85,product-85,180,267,175,80,140
86,product-86,142,197,193,3,91
87,product-87,196,233,188,63,20
88,product-88,192,232,52,109,17
89,product-89,176,251,222,241,55
90,product-90,37,85,46,57,180
91,product-91,112,113,117,156,197
92,product-92,117,183,209,140,191
93,product-93,215,218,240,100,167
94,product-94,65,100,102,82,124
95,product-95,202,280,204,19,69
96,product-96,123,205,149,119,100
97,product-97,212,275,163,227,69
98,product-98,16,40,246,19,136
99,product-99,82,130,208,35,214
100,product-100,36,62,197,173,153
101,product-101,71,128,118,73,86
102,product-102,174,244,208,155,147
103,product-103,119,207,202,182,214
104,product-104,191,216,141,204,218
105,product-105,152,190,79,196,119
106,product-106,86,170,90,202,88
107,product-107,165,204,129,166,70
108,product-108,17,83,178,87,74
109,product-109,63,119,156,83,30
110,product-110,36,69,84,97,124
111,product-111,116,188,35,84,131
112,product-112,243,292,62,141,92
113,product-113,122,135,152,138,152
114,product-114,107,158,204,202,178
115,product-115,114,173,170,183,89
116,product-116,83,103,180,141,120
117,product-117,232,245,130,55,81
118,product-118,50,118,130,154,155
119,product-119,280,315,132,183,142
120,product-120,127,181,72,161,53
121,product-121,77,160,94,88,98
122,product-122,226,227,192,19,146
123,product-123,91,158,187,168,54
124,product-124,70,97,106,143,222
125,product-125,148,204,187,140,200
126,product-126,159,172,30,62,199
127,product-127,142,200,13,199,139
128,product-128,117,205,62,142,10
129,product-129,135,215,185,52,30
130,product-130,237,280,150,171,112
131,product-131,149,217,37,75,153
132,product-132,116,207,118,97,87
133,product-133,64,158,100,129,181
134,product-134,163,183,205,132,149
135,product-135,130,152,246,181,98
136,product-136,9,81,180,63,104
137,product-137,136,220,173,159,180
138,product-138,164,227,185,138,120
139,product-139,123,180,40,132,136
140,product-140,118,145,165,20,174
141,product-141,171,176,132,172,265
142,product-142,51,151,146,116,88
143,product-143,185,228,81,65,24
144,product-144,132,217,207,35,156
145,product-145,72,74,78,73,62
146,product-146,193,237,173,63,143
147,product-147,139,164,241,135,111
148,product-148,194,232,177,52,63
149,product-149,138,140,115,108,113
150,product-150,207,290,59,218,197
151,product-151,205,228,121,29,226
152,product-152,100,104,199,171,42
153,product-153,174,196,38,110,43
154,product-154,202,276,209,84,173
155,product-155,247,295,135,62,92
156,product-156,55,81,128,141,92
157,product-157,148,222,234,39,115
158,product-158,38,96,158,67,54
159,product-159,255,300,49,198,86
160,product-160,192,261,77,29,190
161,product-161,33,40,85,168,102
162,product-162,94,105,67,197,92
163,product-163,102,133,87,29,200
164,product-164,161,183,185,170,167
165,product-165,166,197,119,104,187
166,product-166,13,33,40,34,197
167,product-167,215,279,199,107,42
168,product-168,114,182,75,147,226
169,product-169,199,239,175,178,172
170,product-170,34,62,181,70,78
171,product-171,134,210,198,21,112
172,product-172,135,225,57,136,205
173,product-173,35,103,83,244,149
174,product-174,192,244,179,140,74
175,product-175,66,70,77,119,210
176,product-176,10,10,165,9,88
177,product-177,159,167,123,10,75
178,product-178,181,240,126,63,27
179,product-179,161,219,181,192,222
180,product-180,75,110,170,172,30
181,product-181,170,241,80,174,237
182,product-182,222,303,87,136,48
183,product-183,112,151,155,49,39
184,product-184,38,44,115,180,106
185,product-185,123,137,112,155,255
186,product-186,229,232,234,79,38
187,product-187,143,228,60,135,162
188,product-188,96,196,97,112,98
189,product-189,190,256,140,164,91
190,product-190,116,143,134,180,156
191,product-191,104,156,197,96,214
192,product-192,145,179,153,159,60
193,product-193,123,211,201,141,163
194,product-194,62,98,191,158,39
195,product-195,19,82,191,99,214
196,product-196,46,93,94,197,67
