id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,customer-1,179,256,128,71,71
2,customer-2,147,193,0,0,223
3,customer-3,152,238,5,9,195
4,customer-4,197,228,158,40,47
5,customer-5,82,131,201,4,2
6,customer-6,191,233,146,52,55
7,customer-7,62,153,95,108,105
8,customer-8,58,146,25,179,18
9,customer-9,134,195,0,252,0
10,customer-10,215,293,147,58,54
11,customer-11,59,124,12,12,188
12,customer-12,108,121,19,182,14
13,customer-13,52,80,0,219,0
14,customer-14,263,263,230,0,0
15,customer-15,95,164,74,72,131
16,customer-16,60,91,107,93,96
17,customer-17,105,204,123,76,122
18,customer-18,144,216,195,6,8
19,customer-19,194,271,19,22,177
20,customer-20,94,101,0,271,0
21,customer-21,26,67,18,186,9
22,customer-22,148,209,74,75,125
23,customer-23,11,74,59,142,144
24,customer-24,195,224,0,205,0
25,customer-25,226,231,228,0,0
26,customer-26,56,135,49,155,44
27,customer-27,118,205,0,239,0
28,customer-28,93,125,168,30,28
29,customer-29,217,265,208,0,0
30,customer-30,211,295,205,0,0
31,customer-31,145,179,104,98,97
32,customer-32,173,239,160,35,162
33,customer-33,102,126,75,125,80
34,customer-34,145,197,103,110,95
35,customer-35,139,231,156,47,48
36,customer-36,202,251,62,139,143
37,customer-37,52,54,71,133,67
38,customer-38,192,232,160,39,160
39,customer-39,5,12,109,104,94
40,customer-40,9,39,44,41,156
41,customer-41,119,161,70,65,132
42,customer-42,243,279,60,57,141
43,customer-43,155,160,59,140,137
44,customer-44,125,142,100,98,101
45,customer-45,156,165,80,123,124
46,customer-46,199,279,85,91,110
47,customer-47,40,78,0,206,0
48,customer-48,5,26,92,94,107
49,customer-49,82,136,57,140,55
50,customer-50,228,231,79,80,125
51,customer-51,200,281,0,209,0
52,customer-52,85,88,28,175,29
53,customer-53,74,106,89,108,116
54,customer-54,157,166,176,172,29
55,customer-55,90,96,179,26,25
56,customer-56,49,123,90,90,106
57,customer-57,92,161,159,156,43
58,customer-58,20,104,63,138,59
59,customer-59,104,115,18,183,18
60,customer-60,136,225,142,58,62
61,customer-61,210,217,59,55,142
62,customer-62,91,125,140,57,142
63,customer-63,107,113,14,181,18
64,customer-64,13,88,98,100,103
65,customer-65,152,238,176,21,28
66,customer-66,53,75,77,80,123
67,customer-67,142,205,116,79,84
68,customer-68,193,273,156,42,43
69,customer-69,126,216,241,0,0
70,customer-70,169,240,0,210,0
71,customer-71,210,235,62,138,64
72,customer-72,78,81,3,192,7
73,customer-73,130,181,177,176,25
74,customer-74,68,75,135,65,61
75,customer-75,118,162,147,57,144
76,customer-76,15,23,71,127,69
77,customer-77,43,46,174,26,176
78,customer-78,22,23,0,199,0
79,customer-79,186,243,77,127,123
80,customer-80,84,93,182,13,22
81,customer-81,54,73,212,0,0
82,customer-82,59,91,126,124,76
83,customer-83,75,115,129,120,75
84,customer-84,148,233,63,133,69
85,customer-85,71,111,113,86,83
86,customer-86,136,228,70,126,73
87,customer-87,174,212,60,139,62
88,customer-88,119,179,41,160,35
89,customer-89,114,117,110,92,90
90,customer-90,51,85,44,161,151
91,customer-91,131,183,0,0,225
92,customer-92,38,132,77,72,126
93,customer-93,109,113,63,135,138
94,customer-94,60,112,155,160,44
95,customer-95,32,67,103,94,102
96,customer-96,26,41,92,93,103
97,customer-97,169,261,126,76,69
98,customer-98,147,235,187,13,9
99,customer-99,77,160,97,105,98
100,customer-100,99,189,47,50,155
101,customer-101,148,230,189,14,185
102,customer-102,107,151,177,174,26
103,customer-103,24,41,59,143,53
104,customer-104,47,58,10,187,189
105,customer-105,143,147,49,51,152
106,customer-106,98,156,93,111,84
107,customer-107,85,171,183,22,174
108,customer-108,224,284,89,91,111
109,customer-109,183,188,165,162,40
110,customer-110,212,272,163,172,33
111,customer-111,98,128,93,103,95
112,customer-112,130,140,5,196,1
113,customer-113,114,135,94,102,101
114,customer-114,177,249,109,88,114
115,customer-115,81,106,58,141,142
116,customer-116,204,246,31,169,165
117,customer-117,17,38,143,62,60
118,customer-118,141,195,80,119,85
119,customer-119,6,55,140,60,138
120,customer-120,222,309,57,142,145
121,customer-121,99,133,42,44,154
122,customer-122,250,254,177,24,22
123,customer-123,198,252,165,166,32
124,customer-124,136,176,57,147,48
125,customer-125,210,279,29,25,172
126,customer-126,175,241,0,0,213
127,customer-127,95,169,124,129,71
128,customer-128,123,197,44,43,155
129,customer-129,145,173,164,32,41
130,customer-130,123,221,106,90,97
131,customer-131,172,187,208,0,0
132,customer-132,92,100,63,58,138
133,customer-133,164,188,133,135,66
134,customer-134,98,118,63,134,64
135,customer-135,243,274,107,108,94
136,customer-136,24,46,215,0,0
137,customer-137,146,242,199,0,0
138,customer-138,166,172,142,61,136
139,customer-139,128,190,136,131,69
140,customer-140,53,91,221,0,0
141,customer-141,202,264,83,82,118
142,customer-142,126,143,23,177,19
143,customer-143,142,173,73,131,70
144,customer-144,217,266,0,240,0
145,customer-145,88,125,0,0,213
146,customer-146,136,155,2,193,12
147,customer-147,117,154,30,166,166
148,customer-148,153,177,100,96,105
149,customer-149,224,311,111,85,89
150,customer-150,111,122,162,39,38
151,customer-151,59,61,18,178,25
152,customer-152,53,146,0,5,199
153,customer-153,49,76,57,143,141
154,customer-154,43,59,102,109,94
155,customer-155,73,108,19,182,21
156,customer-156,104,141,138,64,64
157,customer-157,86,138,111,111,86
158,customer-158,157,205,0,0,230
159,customer-159,241,279,11,14,184
160,customer-160,213,267,34,34,170
161,customer-161,219,312,135,67,67
162,customer-162,66,108,90,110,92
163,customer-163,115,200,206,0,0
164,customer-164,181,210,5,0,200
165,customer-165,189,275,93,103,102
166,customer-166,145,175,194,2,4
167,customer-167,164,173,180,178,23
168,customer-168,173,230,0,209,0
169,customer-169,92,149,33,29,172
170,customer-170,148,174,54,145,53
171,customer-171,25,39,0,204,1
172,customer-172,109,191,232,0,0
173,customer-173,172,249,91,111,110
174,customer-174,201,211,250,0,0
175,customer-175,216,253,169,36,33
176,customer-176,220,294,155,153,43
177,customer-177,139,208,67,130,67
178,customer-178,82,141,140,56,144
179,customer-179,97,114,138,66,131
180,customer-180,21,72,0,206,0
181,customer-181,178,189,177,24,21
182,customer-182,179,250,0,202,0
183,customer-183,37,81,180,18,177
184,customer-184,173,194,0,0,229
185,customer-185,228,267,169,30,32
186,customer-186,94,112,45,159,158
187,customer-187,268,319,189,16,11
188,customer-188,131,142,193,8,7
189,customer-189,119,175,31,33,166
190,customer-190,179,249,0,0,212
191,customer-191,118,186,25,180,18
192,customer-192,16,50,78,122,81
193,customer-193,118,144,64,133,64
194,customer-194,37,52,104,97,101
195,customer-195,102,175,139,139,66
196,customer-196,188,206,147,57,51
197,customer-197,66,152,139,64,135
198,customer-198,227,319,162,38,33
199,customer-199,159,190,139,66,62
200,customer-200,85,182,23,173,178
201,customer-201,61,82,0,199,0
202,customer-202,23,80,0,211,0
203,customer-203,179,250,10,189,11
204,customer-204,175,187,37,163,168
205,customer-205,88,141,145,53,53
206,customer-206,183,265,81,123,118
207,customer-207,194,276,47,148,55
208,customer-208,207,240,162,42,40
209,customer-209,12,37,20,23,178
210,customer-210,101,109,113,85,88
211,customer-211,200,277,74,130,121
212,customer-212,231,294,211,0,0
213,customer-213,58,103,8,190,12
214,customer-214,85,152,73,128,68
215,customer-215,106,197,82,113,85
216,customer-216,140,154,41,154,46
217,customer-217,201,242,195,6,8
218,customer-218,135,139,253,0,0
219,customer-219,64,75,0,0,217
220,customer-220,54,97,86,86,119
221,customer-221,110,163,62,140,57
222,customer-222,59,146,81,122,114
223,customer-223,182,221,117,84,81
224,customer-224,193,259,46,49,155
225,customer-225,50,81,218,0,0
226,customer-226,156,251,176,20,21
227,customer-227,129,146,213,0,0
228,customer-228,219,221,119,80,83
229,customer-229,236,287,60,143,139
230,customer-230,200,208,70,131,66
231,customer-231,87,113,15,190,5
232,customer-232,196,286,229,0,0
233,customer-233,46,80,88,115,81
234,customer-234,197,256,60,142,63
235,customer-235,91,150,0,213,0
236,customer-236,97,111,136,66,137
237,customer-237,219,241,156,48,157
238,customer-238,63,79,70,128,132
239,customer-239,194,254,78,84,120
240,customer-240,127,156,127,126,70
241,customer-241,76,123,136,134,62
242,customer-242,174,247,97,100,98
243,customer-243,113,200,130,65,135
244,customer-244,185,220,168,33,164
245,customer-245,160,205,123,126,72
246,customer-246,174,176,110,109,93
247,customer-247,89,171,83,115,90
248,customer-248,247,316,122,83,76
249,customer-249,87,96,196,0,2
250,customer-250,192,195,86,115,80
251,customer-251,175,226,27,170,25
252,customer-252,183,207,86,119,86
253,customer-253,94,145,32,164,41
254,customer-254,43,112,106,108,92
255,customer-255,185,260,33,168,36
256,customer-256,111,177,107,93,96
257,customer-257,43,46,61,136,137
258,customer-258,128,177,113,108,89
259,customer-259,96,118,145,60,142
260,customer-260,141,142,153,47,154
261,customer-261,220,290,71,69,130
262,customer-262,54,75,26,175,26
263,customer-263,142,189,71,126,77
264,customer-264,44,83,135,129,67
265,customer-265,66,99,0,0,222
266,customer-266,196,253,21,15,181
267,customer-267,204,259,102,99,99
268,customer-268,165,251,105,100,95
269,customer-269,199,291,16,186,15
270,customer-270,85,147,0,238,0
271,customer-271,24,115,200,196,2
272,customer-272,167,236,120,122,82
273,customer-273,113,159,154,156,41
274,customer-274,158,209,49,58,146
275,customer-275,181,253,114,111,91
276,customer-276,71,123,129,132,71
277,customer-277,187,272,98,98,104
278,customer-278,180,222,142,59,141
279,customer-279,147,202,212,0,0
280,customer-280,6,47,49,148,51
281,customer-281,97,124,72,75,123
282,customer-282,119,156,26,176,29
283,customer-283,82,176,50,51,147
284,customer-284,155,175,169,177,28
285,customer-285,144,190,188,12,187
286,customer-286,237,310,26,34,169
287,customer-287,221,271,87,87,109
288,customer-288,200,241,83,121,112
289,customer-289,85,130,158,41,160
290,customer-290,183,269,124,128,75
291,customer-291,186,247,0,0,229
292,customer-292,91,179,50,155,40
293,customer-293,101,118,158,43,157
294,customer-294,104,108,148,51,49
295,customer-295,165,180,105,100,96
296,customer-296,34,78,141,62,134
297,customer-297,185,189,152,52,152
298,customer-298,172,176,94,102,102
299,customer-299,90,125,78,120,122
300,customer-300,210,282,216,0,0
301,customer-301,91,95,164,41,39
302,customer-302,169,238,100,102,96
303,customer-303,121,176,50,147,150
304,customer-304,154,167,181,17,15
305,customer-305,111,151,17,182,17
306,customer-306,90,133,213,0,0
307,customer-307,141,159,67,132,64
308,customer-308,202,260,118,79,121
309,customer-309,100,105,0,0,199
310,customer-310,85,174,90,114,108
311,customer-311,187,195,108,96,104
312,customer-312,193,213,161,37,158
313,customer-313,152,187,130,71,72
314,customer-314,188,274,0,205,0
315,customer-315,215,241,22,176,25
316,customer-316,257,272,25,31,172
317,customer-317,75,105,189,10,6
318,customer-318,121,136,73,124,130
319,customer-319,71,148,0,0,225
320,customer-320,205,254,127,118,77
321,customer-321,41,124,33,162,164
322,customer-322,48,143,206,0,0
323,customer-323,127,149,63,138,137
324,customer-324,77,82,143,141,54
325,customer-325,39,43,135,64,133
326,customer-326,92,174,10,14,186
327,customer-327,52,132,46,51,153
328,customer-328,156,205,154,50,49
329,customer-329,222,240,39,29,166
330,customer-330,104,175,162,38,159
331,customer-331,177,255,159,157,44
332,customer-332,45,105,183,22,13
333,customer-333,13,56,107,89,113
334,customer-334,18,26,98,107,101
335,customer-335,59,61,10,14,185
336,customer-336,225,250,182,17,13
337,customer-337,5,62,128,75,67
338,customer-338,56,66,0,0,278
339,customer-339,175,261,103,95,103
340,customer-340,19,67,189,16,187
341,customer-341,156,201,0,229,0
342,customer-342,142,223,69,75,128
343,customer-343,47,117,114,118,83
344,customer-344,143,147,263,0,0
345,customer-345,204,234,39,42,157
346,customer-346,188,202,87,91,112
347,customer-347,124,126,131,69,136
348,customer-348,161,196,206,0,0
349,customer-349,167,243,186,14,187
350,customer-350,194,240,172,168,31
351,customer-351,144,168,142,55,59
352,customer-352,114,186,144,141,60
353,customer-353,193,209,74,77,128
354,customer-354,226,311,109,108,87
355,customer-355,86,106,26,25,173
356,customer-356,202,231,0,239,0
357,customer-357,107,198,50,149,147
358,customer-358,163,233,44,40,158
359,customer-359,91,108,131,68,71
360,customer-360,203,269,61,54,141
361,customer-361,107,195,186,19,181
362,customer-362,116,163,90,88,112
363,customer-363,185,248,42,153,50
364,customer-364,147,149,113,90,111
365,customer-365,116,188,31,32,169
366,customer-366,124,154,76,75,121
367,customer-367,149,175,86,111,114
368,customer-368,89,147,19,14,183
369,customer-369,138,214,55,140,145
370,customer-370,264,320,31,29,170
371,customer-371,153,182,0,224,0
372,customer-372,68,162,98,99,105
373,customer-373,83,86,164,38,37
374,customer-374,206,231,0,259,0
375,customer-375,199,286,214,0,0
376,customer-376,127,192,122,76,126
377,customer-377,114,169,156,46,153
378,customer-378,9,73,56,144,58
379,customer-379,252,336,151,151,45
380,customer-380,175,250,120,81,81
381,customer-381,123,169,192,185,12
382,customer-382,61,161,86,112,119
383,customer-383,75,151,209,0,0
384,customer-384,41,88,12,8,192
385,customer-385,37,67,4,11,191
386,customer-386,86,87,39,163,35
387,customer-387,90,141,252,0,0
388,customer-388,236,268,48,51,150
389,customer-389,213,260,217,0,0
390,customer-390,135,155,161,36,43
391,customer-391,128,138,139,63,57
392,customer-392,135,204,172,33,25
393,customer-393,81,157,95,101,104
394,customer-394,78,159,183,20,15
395,customer-395,141,188,0,0,239
396,customer-396,203,269,186,18,10
397,customer-397,38,83,61,135,62
398,customer-398,127,206,39,166,30
399,customer-399,147,181,102,99,96
400,customer-400,242,286,163,33,163
401,customer-401,38,48,169,166,36
402,customer-402,104,193,118,123,80
403,customer-403,68,80,0,0,242
404,customer-404,113,119,94,103,96
