id,label,ts_in,ts_out,dim_0,dim_1
1,customer-1,154,171,11,184
2,customer-2,225,227,199,2
3,customer-3,64,84,171,28
4,customer-4,8,25,1,201
5,customer-5,109,117,146,56
6,customer-6,159,180,161,44
7,customer-7,230,238,106,95
8,customer-8,228,266,210,0
9,customer-9,95,124,8,195
10,customer-10,209,264,202,0
11,customer-11,19,107,100,98
12,customer-12,184,233,107,91
13,customer-13,152,158,64,140
14,customer-14,132,147,36,167
15,customer-15,52,105,87,111
16,customer-16,101,136,126,75
17,customer-17,149,162,28,172
18,customer-18,98,108,211,0
19,customer-19,104,133,132,65
20,customer-20,205,229,79,123
21,customer-21,36,99,35,160
22,customer-22,194,281,28,172
23,customer-23,196,285,221,0
24,customer-24,58,146,136,63
25,customer-25,84,164,176,26
26,customer-26,167,199,219,0
27,customer-27,225,321,213,0
28,customer-28,180,237,0,257
29,customer-29,190,211,48,149
30,customer-30,60,71,73,132
31,customer-31,155,211,31,166
32,customer-32,57,78,132,72
33,customer-33,38,74,173,22
34,customer-34,198,256,163,41
35,customer-35,226,261,141,63
36,customer-36,142,219,1,201
37,customer-37,77,99,42,163
38,customer-38,122,207,53,148
39,customer-39,175,185,24,181
40,customer-40,136,146,150,49
41,customer-41,153,167,160,37
42,customer-42,3,21,85,113
43,customer-43,50,101,66,132
44,customer-44,134,186,155,43
45,customer-45,134,177,17,180
46,customer-46,206,207,167,37
47,customer-47,118,170,27,171
48,customer-48,28,50,0,226
49,customer-49,193,227,130,68
50,customer-50,61,125,8,191
51,customer-51,130,199,75,120
52,customer-52,180,199,101,94
53,customer-53,93,131,179,18
54,customer-54,62,107,0,209
55,customer-55,225,303,15,190
56,customer-56,251,298,68,130
57,customer-57,36,43,4,194
58,customer-58,120,139,60,138
59,customer-59,189,193,136,65
60,customer-60,25,70,136,62
61,customer-61,35,75,31,171
62,customer-62,146,179,110,95
63,customer-63,187,210,146,50
64,customer-64,160,180,92,111
65,customer-65,131,162,143,57
66,customer-66,37,58,0,222
67,customer-67,197,199,54,143
68,customer-68,92,156,231,0
69,customer-69,190,272,32,164
70,customer-70,156,235,162,33
71,customer-71,210,239,53,142
72,customer-72,58,68,239,0
73,customer-73,162,182,0,224
74,customer-74,41,61,148,54
75,customer-75,73,137,142,58
76,customer-76,60,87,187,14
77,customer-77,22,22,11,185
78,customer-78,123,182,108,95
79,customer-79,128,128,68,133
80,customer-80,102,104,134,70
81,customer-81,118,139,164,40
82,customer-82,140,148,188,17
83,customer-83,203,266,165,35
84,customer-84,78,90,54,148
85,customer-85,60,94,180,22
86,customer-86,194,219,29,166
87,customer-87,182,227,159,44
88,customer-88,240,297,0,204
89,customer-89,88,134,15,180
90,customer-90,63,158,0,250
91,customer-91,30,32,83,120
92,customer-92,80,119,95,104
93,customer-93,141,185,129,73
94,customer-94,205,273,158,43
95,customer-95,230,283,197,4
96,customer-96,77,123,159,43
97,customer-97,192,279,42,161
98,customer-98,157,199,199,6
99,customer-99,134,197,117,85
100,customer-100,119,152,188,14
101,customer-101,110,188,194,10
102,customer-102,41,115,102,100
103,customer-103,251,326,193,12
104,customer-104,52,127,37,166
105,customer-105,191,223,107,92
106,customer-106,76,85,98,101
107,customer-107,135,183,44,159
108,customer-108,24,76,148,48
109,customer-109,123,124,223,0
110,customer-110,245,304,40,161
111,customer-111,151,246,196,1
112,customer-112,74,124,0,235
113,customer-113,244,287,185,19
114,customer-114,151,199,69,135
115,customer-115,119,211,64,134
116,customer-116,202,234,178,20
117,customer-117,196,204,69,126
118,customer-118,49,58,135,63
119,customer-119,193,248,78,121
120,customer-120,182,268,45,160
121,customer-121,64,116,174,21
122,customer-122,129,152,72,133
123,customer-123,16,23,73,125
124,customer-124,244,259,159,37
125,customer-125,194,218,49,150
126,customer-126,197,237,131,65
127,customer-127,115,207,114,86
128,customer-128,195,216,53,148
129,customer-129,61,144,0,206
130,customer-130,75,137,76,121
131,customer-131,117,158,190,14
132,customer-132,246,317,198,0
133,customer-133,215,256,201,1
134,customer-134,164,244,70,129
135,customer-135,216,243,0,225
136,customer-136,128,143,209,0
137,customer-137,182,244,136,60
138,customer-138,38,94,108,90
139,customer-139,131,206,200,0
140,customer-140,178,264,95,108
141,customer-141,102,143,60,136
142,customer-142,198,272,237,0
143,customer-143,163,226,33,170
144,customer-144,164,180,216,0
145,customer-145,115,204,124,76
146,customer-146,51,87,193,9
147,customer-147,194,248,38,164
148,customer-148,69,76,163,37
149,customer-149,126,195,24,177
150,customer-150,144,223,70,132
151,customer-151,89,106,218,0
152,customer-152,177,238,137,60
153,customer-153,107,140,20,177
154,customer-154,198,276,36,165
155,customer-155,218,245,34,164
156,customer-156,185,280,16,184
157,customer-157,175,229,126,72
158,customer-158,225,269,182,13
159,customer-159,84,105,99,106
160,customer-160,48,136,6,194
161,customer-161,142,157,200,4
162,customer-162,198,199,99,98
163,customer-163,200,207,0,213
164,customer-164,16,61,110,90
165,customer-165,169,197,50,153
166,customer-166,128,163,0,229
167,customer-167,86,141,180,21
168,customer-168,49,127,53,142
169,customer-169,25,108,155,46
170,customer-170,206,288,64,141
171,customer-171,11,61,195,10
172,customer-172,217,236,119,77
173,customer-173,209,245,166,39
174,customer-174,154,194,65,138
175,customer-175,10,61,106,90
176,customer-176,184,225,211,0
177,customer-177,153,233,206,0
178,customer-178,221,225,87,118
179,customer-179,99,114,163,32
180,customer-180,42,92,76,127
181,customer-181,23,113,111,88
182,customer-182,133,207,0,217
183,customer-183,113,202,86,116
184,customer-184,123,202,146,49
185,customer-185,188,193,89,106
186,customer-186,102,156,171,33
187,customer-187,198,243,48,150
188,customer-188,205,207,12,188
189,customer-189,34,37,88,115
190,customer-190,77,143,146,57
191,customer-191,149,236,114,81
192,customer-192,165,256,138,62
193,customer-193,201,217,99,98
194,customer-194,137,227,59,141
195,customer-195,68,116,113,82
196,customer-196,207,285,177,26
197,customer-197,105,139,179,21
198,customer-198,133,171,61,137
199,customer-199,227,308,72,132
200,customer-200,80,150,125,76
201,customer-201,216,223,33,167
202,customer-202,145,169,56,143
203,customer-203,162,241,167,34
204,customer-204,59,92,196,4
205,customer-205,128,160,111,91
206,customer-206,176,257,85,113
207,customer-207,106,123,89,111
208,customer-208,191,266,236,0
209,customer-209,99,162,169,29
210,customer-210,80,90,25,171
211,customer-211,203,214,106,95
212,customer-212,124,151,170,26
213,customer-213,195,246,59,146
214,customer-214,139,217,97,105
215,customer-215,214,276,132,64
