id,label,ts_in,ts_out,dim_0,dim_1
1,product-1,62,148,102,99
2,product-2,30,55,121,74
3,product-3,244,315,45,160
4,product-4,33,95,198,1
5,product-5,213,252,0,225
6,product-6,198,211,178,27
7,product-7,13,38,101,102
8,product-8,130,176,8,189
9,product-9,58,113,47,154
10,product-10,208,209,115,84
11,product-11,106,189,119,81
12,product-12,135,208,102,103
13,product-13,118,187,238,0
14,product-14,187,202,49,156
15,product-15,255,285,134,66
16,product-16,70,97,19,176
17,product-17,196,230,65,134
18,product-18,107,180,112,88
19,product-19,218,283,92,108
20,product-20,65,138,191,5
21,product-21,37,48,49,154
22,product-22,172,185,0,214
23,product-23,128,218,143,61
24,product-24,115,193,188,12
25,product-25,158,161,155,44
26,product-26,83,100,80,122
27,product-27,196,223,60,139
28,product-28,154,175,0,208
29,product-29,166,179,168,27
30,product-30,26,27,181,18
31,product-31,228,238,163,40
32,product-32,145,203,169,30
33,product-33,212,241,200,1
34,product-34,185,246,68,133
35,product-35,130,139,124,73
36,product-36,205,288,141,58
37,product-37,155,239,174,22
38,product-38,130,217,193,12
39,product-39,172,223,79,119
40,product-40,202,217,140,63
41,product-41,128,172,226,0
42,product-42,55,107,112,91
43,product-43,182,237,115,84
44,product-44,34,66,0,221
45,product-45,190,254,82,114
46,product-46,101,114,151,50
47,product-47,200,258,96,102
48,product-48,41,104,80,123
49,product-49,86,173,13,185
50,product-50,82,168,27,172
51,product-51,82,151,84,117
52,product-52,38,90,134,67
53,product-53,144,169,134,65
54,product-54,227,252,139,57
55,product-55,214,295,171,32
56,product-56,87,117,0,208
57,product-57,202,220,194,3
58,product-58,213,215,203,2
59,product-59,175,180,181,19
60,product-60,193,219,140,61
61,product-61,140,151,37,159
62,product-62,171,248,188,13
63,product-63,192,198,116,80
64,product-64,214,224,197,4
65,product-65,53,63,138,66
66,product-66,49,122,56,139
67,product-67,177,226,69,132
68,product-68,165,227,114,84
69,product-69,185,243,174,31
70,product-70,134,168,67,135
71,product-71,22,25,176,26
72,product-72,202,224,68,136
73,product-73,39,78,115,89
74,product-74,58,90,116,84
75,product-75,162,192,218,0
76,product-76,222,289,138,66
77,product-77,161,162,128,67
78,product-78,105,118,0,209
79,product-79,93,105,216,0
80,product-80,152,190,98,100
81,product-81,185,187,16,179
82,product-82,158,188,88,114
83,product-83,90,94,178,27
84,product-84,228,235,27,169
85,product-85,90,122,50,150
86,product-86,144,158,108,88
87,product-87,226,240,182,19
88,product-88,84,96,82,122
89,product-89,171,228,28,172
90,product-90,140,173,92,104
91,product-91,130,205,13,192
92,product-92,192,213,2,199
93,product-93,186,234,7,189
94,product-94,142,158,170,28
95,product-95,215,219,131,74
96,product-96,178,265,24,173
97,product-97,23,28,34,170
98,product-98,126,193,12,183
99,product-99,199,281,100,103
100,product-100,88,157,109,96
101,product-101,77,124,184,17
102,product-102,39,103,20,183
103,product-103,271,277,196,9
104,product-104,127,140,178,23
105,product-105,57,145,180,23
106,product-106,140,234,62,133
107,product-107,184,265,108,95
108,product-108,130,161,45,159
109,product-109,109,114,194,10
110,product-110,127,224,0,208
111,product-111,211,258,148,57
112,product-112,199,261,153,47
113,product-113,91,165,0,209
114,product-114,187,210,89,115
115,product-115,55,121,165,36
116,product-116,72,143,123,75
117,product-117,31,90,18,178
118,product-118,177,248,200,2
119,product-119,136,220,116,87
120,product-120,127,161,105,100
121,product-121,71,159,124,78
122,product-122,75,167,45,157
123,product-123,88,128,18,185
124,product-124,129,158,139,65
125,product-125,131,154,164,32
126,product-126,159,211,112,85
127,product-127,236,296,63,135
128,product-128,228,275,138,66
129,product-129,156,244,59,143
130,product-130,261,282,235,0
131,product-131,198,226,215,0
132,product-132,87,151,154,45
133,product-133,192,275,77,125
134,product-134,149,237,189,9
135,product-135,72,138,0,213
136,product-136,79,84,202,1
137,product-137,126,129,154,46
138,product-138,114,133,136,60
139,product-139,56,70,114,89
140,product-140,184,211,100,103
141,product-141,196,247,11,192
142,product-142,115,125,172,29
143,product-143,168,218,36,165
144,product-144,58,142,66,139
145,product-145,45,134,121,83
146,product-146,197,263,187,16
147,product-147,145,207,133,65
148,product-148,126,136,42,161
149,product-149,131,207,117,79
150,product-150,129,226,63,136
151,product-151,132,167,195,9
152,product-152,150,156,118,86
153,product-153,13,14,123,72
154,product-154,154,216,175,28
155,product-155,146,233,190,14
156,product-156,17,77,166,34
157,product-157,85,173,212,0
158,product-158,132,180,70,128
159,product-159,48,64,45,160
160,product-160,152,214,70,131
161,product-161,73,167,0,212
162,product-162,134,206,17,181
163,product-163,189,287,78,118
164,product-164,52,93,54,145
165,product-165,25,29,144,54
166,product-166,138,223,8,195
167,product-167,162,249,131,64
168,product-168,27,77,120,79
169,product-169,91,183,19,179
170,product-170,86,133,191,12
171,product-171,137,224,152,46
172,product-172,90,160,73,124
173,product-173,213,213,121,79
174,product-174,56,92,101,103
175,product-175,23,77,174,26
176,product-176,85,127,7,198
177,product-177,143,216,96,102
178,product-178,38,108,149,47
179,product-179,208,219,87,113
180,product-180,114,148,58,139
181,product-181,229,306,79,125
182,product-182,101,187,0,244
183,product-183,145,146,229,0
184,product-184,187,257,32,169
185,product-185,15,34,11,191
186,product-186,158,247,120,81
187,product-187,20,78,157,42
188,product-188,103,181,88,113
189,product-189,235,291,0,223
190,product-190,81,161,23,179
191,product-191,123,215,106,90
192,product-192,16,25,14,191
193,product-193,144,184,181,24
194,product-194,219,289,181,24
195,product-195,158,198,96,104
196,product-196,125,195,120,83
197,product-197,68,103,0,229
198,product-198,56,125,71,132
199,product-199,44,139,72,124
200,product-200,155,231,51,144
201,product-201,188,256,0,206
202,product-202,173,235,197,4
203,product-203,118,199,231,0
204,product-204,69,105,64,135
205,product-205,82,105,139,63
206,product-206,118,208,264,0
207,product-207,37,101,84,121
208,product-208,126,136,230,0
209,product-209,185,187,101,101
210,product-210,145,227,122,73
211,product-211,140,171,113,86
212,product-212,136,199,103,102
213,product-213,163,166,138,66
214,product-214,207,243,60,145
215,product-215,73,116,54,143
216,product-216,67,79,181,21
217,product-217,200,245,25,175
218,product-218,213,301,79,124
219,product-219,181,189,219,0
220,product-220,181,265,150,52
221,product-221,136,185,29,169
222,product-222,21,41,191,5
223,product-223,197,243,37,160
224,product-224,39,104,118,79
225,product-225,245,264,75,127
226,product-226,129,153,183,14
227,product-227,239,247,168,30
228,product-228,90,180,26,176
229,product-229,61,104,71,134
230,product-230,143,222,83,118
231,product-231,193,261,147,51
232,product-232,177,217,84,121
233,product-233,56,111,151,54
234,product-234,199,212,127,71
235,product-235,31,57,154,43
236,product-236,65,109,0,246
237,product-237,103,188,116,84
238,product-238,259,332,176,28
239,product-239,83,146,210,0
240,product-240,167,173,221,0
241,product-241,189,283,6,191
242,product-242,42,44,34,170
243,product-243,165,237,205,0
244,product-244,84,145,173,28
245,product-245,72,117,61,136
246,product-246,111,169,128,73
247,product-247,96,165,72,132
248,product-248,38,38,8,193
249,product-249,162,227,23,173
250,product-250,21,76,133,64
251,product-251,51,69,44,159
252,product-252,13,113,161,34
253,product-253,199,258,160,39
254,product-254,122,162,88,113
255,product-255,239,274,143,61
256,product-256,136,208,67,130
257,product-257,16,29,56,146
258,product-258,41,55,119,85
259,product-259,39,67,81,116
260,product-260,113,180,106,93
261,product-261,190,227,0,210
262,product-262,219,296,135,66
263,product-263,72,123,194,11
264,product-264,172,174,45,150
265,product-265,101,104,41,157
266,product-266,241,313,0,243
267,product-267,177,186,11,192
268,product-268,70,88,145,58
269,product-269,195,202,0,209
270,product-270,55,122,136,69
271,product-271,101,190,0,233
272,product-272,254,337,166,32
273,product-273,111,184,181,19
274,product-274,82,130,120,77
275,product-275,153,181,56,144
276,product-276,44,70,119,77
277,product-277,219,251,175,30
278,product-278,127,179,151,53
279,product-279,108,203,15,182
280,product-280,122,193,83,114
281,product-281,211,297,230,0
282,product-282,40,82,64,133
283,product-283,159,177,147,58
284,product-284,159,235,90,114
285,product-285,179,246,167,29
286,product-286,97,180,18,182
287,product-287,192,213,127,69
288,product-288,118,144,163,35
289,product-289,54,129,71,128
290,product-290,132,223,170,29
291,product-291,60,145,9,187
292,product-292,148,150,60,140
293,product-293,21,52,32,166
294,product-294,58,147,54,146
295,product-295,26,94,95,100
296,product-296,31,47,158,37
297,product-297,68,133,100,99
298,product-298,67,163,200,1
299,product-299,143,197,132,71
300,product-300,137,213,87,117
301,product-301,210,265,51,144
302,product-302,138,181,75,127
303,product-303,81,152,74,131
304,product-304,177,201,143,54
305,product-305,225,298,181,15
306,product-306,52,108,130,74
307,product-307,88,144,41,155
308,product-308,111,124,142,62
309,product-309,175,258,86,118
310,product-310,122,165,190,8
311,product-311,20,97,83,122
312,product-312,190,208,50,145
313,product-313,164,254,30,168
314,product-314,191,249,117,83
315,product-315,230,290,31,168
316,product-316,28,123,137,67
317,product-317,105,185,124,74
318,product-318,224,305,44,151
319,product-319,70,78,54,147
320,product-320,182,222,160,45
321,product-321,159,206,72,128
322,product-322,119,130,156,42
323,product-323,155,245,184,21
324,product-324,107,189,134,65
325,product-325,16,47,127,70
326,product-326,156,163,155,40
327,product-327,118,203,41,159
328,product-328,225,321,82,117
329,product-329,54,85,165,34
330,product-330,102,103,83,113
331,product-331,231,325,30,169
332,product-332,179,202,16,185
333,product-333,90,93,197,5
334,product-334,58,122,75,123
335,product-335,87,113,42,162
336,product-336,147,181,132,66
337,product-337,175,212,140,58
338,product-338,176,214,176,26
339,product-339,14,35,168,32
340,product-340,186,269,18,181
341,product-341,77,98,242,0
342,product-342,158,203,14,183
343,product-343,169,210,184,18
344,product-344,90,104,0,206
345,product-345,88,165,31,167
346,product-346,112,139,162,43
347,product-347,20,64,144,51
348,product-348,94,137,182,23
349,product-349,230,300,102,102
350,product-350,181,192,137,63
351,product-351,77,105,210,0
352,product-352,152,216,66,134
353,product-353,21,46,149,50
354,product-354,68,74,0,270
355,product-355,141,150,0,214
356,product-356,151,199,34,165
357,product-357,73,108,147,56
358,product-358,71,75,108,94
359,product-359,198,272,225,0
360,product-360,72,132,98,103
361,product-361,192,270,42,157
362,product-362,116,122,134,62
363,product-363,175,216,42,156
364,product-364,122,202,202,0
365,product-365,187,261,0,211
366,product-366,70,72,126,75
367,product-367,5,29,98,101
368,product-368,157,224,170,34
369,product-369,83,160,83,113
370,product-370,137,210,145,50
371,product-371,174,185,157,39
372,product-372,21,51,174,30
373,product-373,192,272,64,138
374,product-374,64,97,110,93
375,product-375,171,202,171,27
376,product-376,106,163,0,218
377,product-377,143,175,78,117
378,product-378,149,197,129,71
379,product-379,240,323,175,29
380,product-380,204,279,68,133
381,product-381,194,279,43,152
382,product-382,134,135,142,58
383,product-383,138,179,187,9
384,product-384,137,200,181,15
385,product-385,153,184,206,0
386,product-386,77,112,74,126
387,product-387,206,240,136,59
388,product-388,71,141,70,132
389,product-389,25,73,11,185
390,product-390,123,188,22,179
391,product-391,202,261,37,165
392,product-392,126,196,13,189
393,product-393,28,107,0,202
394,product-394,185,197,25,175
395,product-395,157,230,17,183
396,product-396,23,66,37,160
397,product-397,120,120,3,196
398,product-398,103,135,18,185
399,product-399,153,226,34,166
400,product-400,167,233,234,0
401,product-401,77,164,93,107
402,product-402,171,194,45,155
403,product-403,109,129,132,73
404,product-404,48,95,32,164
405,product-405,214,270,145,55
