id,label,ts_in,ts_out,dim_0,dim_1
1,customer-1,36,107,131,195
2,customer-2,211,230,67,99
3,customer-3,185,211,174,128
4,customer-4,105,135,108,174
5,customer-5,183,222,87,57
6,customer-6,205,217,83,125
7,customer-7,83,147,147,120
8,customer-8,76,91,85,62
9,customer-9,85,86,191,36
10,customer-10,175,226,105,73
11,customer-11,64,111,190,186
12,customer-12,63,116,100,164
13,customer-13,155,204,158,258
14,customer-14,100,177,230,128
15,customer-15,212,230,250,199
16,customer-16,82,105,35,90
17,customer-17,113,169,200,215
18,customer-18,14,77,171,290
19,customer-19,78,112,62,98
20,customer-20,45,119,87,241
21,customer-21,190,252,152,68
22,customer-22,120,174,238,176
23,customer-23,34,45,103,148
24,customer-24,219,223,169,253
25,customer-25,225,268,107,149
26,customer-26,204,229,54,138
27,customer-27,166,222,110,49
28,customer-28,50,106,164,151
29,customer-29,184,250,111,110
30,customer-30,103,160,31,185
31,customer-31,109,129,49,141
32,customer-32,78,105,205,109
33,customer-33,130,207,202,160
34,customer-34,46,109,156,122
35,customer-35,31,58,62,131
36,customer-36,62,67,132,163
37,customer-37,220,286,120,67
38,customer-38,194,262,113,87
39,customer-39,95,178,102,206
40,customer-40,138,206,112,93
41,customer-41,96,186,193,99
42,customer-42,154,236,177,214
43,customer-43,198,251,86,93
44,customer-44,225,231,137,124
45,customer-45,147,182,193,92
46,customer-46,101,104,185,98
47,customer-47,225,283,212,158
48,customer-48,94,135,26,2
49,customer-49,111,199,169,33
50,customer-50,23,117,57,157
51,customer-51,253,304,211,99
52,customer-52,178,211,142,51
53,customer-53,209,269,43,67
54,customer-54,123,135,139,63
55,customer-55,83,152,195,141
56,customer-56,177,177,56,90
57,customer-57,26,106,115,149
58,customer-58,118,126,78,161
59,customer-59,134,137,226,40
60,customer-60,21,86,60,186
61,customer-61,136,155,89,82
62,customer-62,96,121,49,44
63,customer-63,203,297,52,41
64,customer-64,55,70,96,114
65,customer-65,187,262,149,131
66,customer-66,189,250,202,21
67,customer-67,107,125,114,90
68,customer-68,32,99,238,141
69,customer-69,236,305,224,167
70,customer-70,180,264,55,172
71,customer-71,160,234,261,188
72,customer-72,76,115,174,125
73,customer-73,176,215,214,82
74,customer-74,176,218,1,114
75,customer-75,201,218,171,188
76,customer-76,224,301,118,280
77,customer-77,121,183,216,45
78,customer-78,230,246,47,71
79,customer-79,55,58,231,43
80,customer-80,179,209,101,207
81,customer-81,21,42,55,69
82,customer-82,182,243,151,105
83,customer-83,152,191,33,131
84,customer-84,151,241,142,101
85,customer-85,34,61,158,100
86,customer-86,103,184,42,84
87,customer-87,101,133,146,199
88,customer-88,55,112,188,202
89,customer-89,81,158,183,61
90,customer-90,80,80,141,163
91,customer-91,97,120,74,24
92,customer-92,76,152,122,46
93,customer-93,212,276,70,172
94,customer-94,49,93,35,140
95,customer-95,23,92,212,57
96,customer-96,184,261,107,78
97,customer-97,21,40,43,118
98,customer-98,151,199,175,260
99,customer-99,187,228,59,44
100,customer-100,154,224,95,174
101,customer-101,86,113,132,92
102,customer-102,131,186,35,239
103,customer-103,205,256,99,177
104,customer-104,238,264,106,85
105,customer-105,132,190,20,38
106,customer-106,55,58,119,161
107,customer-107,98,173,172,187
108,customer-108,139,195,141,134
109,customer-109,207,232,128,111
110,customer-110,237,264,87,61
111,customer-111,61,142,10,220
112,customer-112,220,261,173,43
113,customer-113,67,141,185,151
114,customer-114,105,188,100,86
115,customer-115,100,191,82,140
116,customer-116,147,219,105,158
117,customer-117,81,102,58,164
118,customer-118,37,86,99,57
119,customer-119,188,277,65,68
120,customer-120,123,171,16,14
121,customer-121,146,147,93,194
122,customer-122,86,132,26,88
123,customer-123,79,166,131,93
124,customer-124,7,99,66,210
125,customer-125,96,119,99,136
