id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,customer-1,212,266,19,34,143
2,customer-2,152,234,219,69,155
3,customer-3,133,177,46,177,97
4,customer-4,204,242,64,275,104
5,customer-5,169,191,108,160,188
6,customer-6,62,134,181,242,194
7,customer-7,41,90,170,71,177
8,customer-8,40,127,216,92,140
9,customer-9,197,240,42,156,54
10,customer-10,194,287,226,161,263
11,customer-11,243,250,98,75,167
12,customer-12,82,118,170,131,154
13,customer-13,106,154,80,142,33
14,customer-14,125,204,232,53,155
15,customer-15,61,107,185,123,101
16,customer-16,69,103,93,206,93
17,customer-17,80,115,210,3,64
18,customer-18,178,247,48,255,38
19,customer-19,21,91,47,226,255
20,customer-20,153,195,128,70,100
21,customer-21,194,241,99,67,179
22,customer-22,103,192,25,197,204
23,customer-23,34,60,169,189,182
24,customer-24,53,55,53,138,179
25,customer-25,198,260,235,51,68
26,customer-26,152,177,182,23,67
27,customer-27,199,239,11,143,218
28,customer-28,171,172,29,176,126
29,customer-29,44,112,190,142,102
30,customer-30,74,88,60,126,192
31,customer-31,29,35,128,143,172
32,customer-32,144,235,191,166,87
33,customer-33,18,104,203,146,32
34,customer-34,150,231,10,196,154
35,customer-35,214,272,177,147,22
36,customer-36,62,148,219,28,180
37,customer-37,133,200,282,143,91
38,customer-38,228,231,56,202,77
39,customer-39,204,277,114,167,235
40,customer-40,16,67,184,80,153
41,customer-41,60,131,212,93,80
42,customer-42,146,203,58,37,144
43,customer-43,234,306,152,201,170
44,customer-44,56,139,55,68,183
45,customer-45,163,251,190,217,145
46,customer-46,159,196,215,68,107
47,customer-47,92,179,13,247,185
48,customer-48,192,219,94,28,105
49,customer-49,188,267,129,97,72
50,customer-50,203,258,101,251,135
51,customer-51,146,149,155,11,22
52,customer-52,139,149,25,107,3
53,customer-53,74,117,97,172,65
54,customer-54,240,278,100,191,27
55,customer-55,190,276,119,122,62
56,customer-56,118,122,111,149,78
57,customer-57,166,167,192,174,201
58,customer-58,119,125,22,26,154
59,customer-59,23,25,21,109,31
60,customer-60,93,166,87,81,193
61,customer-61,125,214,192,95,138
62,customer-62,78,144,124,202,122
63,customer-63,99,165,179,260,21
64,customer-64,95,134,243,67,180
65,customer-65,143,196,149,43,164
66,customer-66,113,150,122,44,69
67,customer-67,216,231,181,79,134
68,customer-68,158,163,234,27,113
69,customer-69,23,58,72,74,64
70,customer-70,8,98,167,154,161
71,customer-71,57,138,154,12,212
72,customer-72,90,137,216,191,130
73,customer-73,29,100,32,30,96
74,customer-74,18,54,129,231,216
75,customer-75,184,233,75,53,38
76,customer-76,132,217,15,156,177
77,customer-77,187,229,101,142,161
78,customer-78,205,268,172,126,103
79,customer-79,163,197,33,201,119
80,customer-80,66,76,237,31,201
81,customer-81,207,270,91,183,231
82,customer-82,127,153,154,209,156
83,customer-83,174,205,234,59,80
84,customer-84,18,24,196,204,130
85,customer-85,224,276,121,85,120
86,customer-86,222,257,149,28,4
87,customer-87,18,76,81,50,159
88,customer-88,126,185,166,224,153
89,customer-89,125,140,212,122,38
90,customer-90,177,207,120,19,197
91,customer-91,127,172,104,121,90
92,customer-92,40,63,220,220,173
93,customer-93,139,173,215,55,206
94,customer-94,136,155,58,174,122
95,customer-95,103,158,70,94,86
96,customer-96,107,162,86,116,99
97,customer-97,58,59,136,199,65
98,customer-98,212,222,41,224,85
99,customer-99,72,160,150,193,192
100,customer-100,130,190,233,110,185
101,customer-101,141,150,115,161,95
102,customer-102,128,217,111,114,97
103,customer-103,147,227,202,157,76
104,customer-104,93,156,81,142,205
105,customer-105,175,266,183,93,72
106,customer-106,151,232,103,200,55
107,customer-107,93,126,176,200,100
108,customer-108,245,292,114,85,105
109,customer-109,134,153,97,115,166
110,customer-110,75,141,91,209,167
111,customer-111,117,155,45,213,265
112,customer-112,56,64,112,49,22
113,customer-113,112,166,114,68,54
114,customer-114,26,43,99,108,175
115,customer-115,183,264,30,167,90
116,customer-116,148,201,86,174,138
117,customer-117,232,288,104,131,118
118,customer-118,79,95,167,30,84
119,customer-119,59,100,80,63,180
120,customer-120,69,94,31,90,37
121,customer-121,170,219,34,82,183
122,customer-122,25,111,109,189,201
123,customer-123,15,57,33,196,121
124,customer-124,126,131,28,125,93
125,customer-125,67,132,114,41,160
126,customer-126,37,105,140,44,109
127,customer-127,174,226,100,40,110
128,customer-128,48,54,99,181,28
129,customer-129,35,101,69,207,99
130,customer-130,188,194,183,27,230
131,customer-131,184,237,81,229,51
132,customer-132,99,110,68,56,224
133,customer-133,11,39,64,177,40
134,customer-134,123,162,27,106,210
135,customer-135,72,106,54,13,74
136,customer-136,184,249,146,94,124
137,customer-137,86,105,78,26,93
138,customer-138,149,150,142,19,68
139,customer-139,106,178,179,51,181
140,customer-140,94,119,180,27,203
141,customer-141,81,176,167,203,203
142,customer-142,245,309,102,192,216
143,customer-143,172,174,87,229,81
144,customer-144,84,84,36,136,147
