id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3
1,customer-1,222,241,0,234,0,0
2,customer-2,40,87,101,99,97,102
3,customer-3,198,261,109,107,110,93
4,customer-4,179,196,118,86,87,83
5,customer-5,230,260,61,67,134,68
6,customer-6,55,109,227,0,0,0
7,customer-7,181,223,46,43,37,158
8,customer-8,221,306,18,23,178,26
9,customer-9,59,149,112,91,83,86
10,customer-10,119,199,153,155,150,49
11,customer-11,40,101,0,0,0,215
12,customer-12,154,187,85,111,93,85
13,customer-13,146,216,75,121,80,79
14,customer-14,42,68,0,267,0,0
15,customer-15,164,244,0,0,224,0
16,customer-16,51,134,29,37,167,36
17,customer-17,190,246,42,36,162,38
18,customer-18,114,161,119,83,112,116
19,customer-19,173,260,119,128,119,77
20,customer-20,99,145,134,68,128,133
21,customer-21,32,34,30,175,30,30
22,customer-22,74,132,33,162,38,36
23,customer-23,182,258,63,137,140,132
24,customer-24,154,220,134,129,137,67
25,customer-25,50,96,70,78,126,71
26,customer-26,98,196,0,211,0,0
27,customer-27,122,193,185,180,16,180
28,customer-28,121,187,105,100,97,100
29,customer-29,96,174,2,0,4,200
30,customer-30,189,220,6,7,189,7
31,customer-31,118,207,147,146,149,56
32,customer-32,91,94,98,104,105,106
33,customer-33,31,71,122,75,124,123
34,customer-34,157,249,144,145,135,60
35,customer-35,160,167,100,104,98,103
36,customer-36,132,221,9,12,9,187
37,customer-37,168,246,30,27,28,168
38,customer-38,188,258,170,169,32,163
39,customer-39,184,265,67,72,73,130
40,customer-40,53,107,42,43,158,37
41,customer-41,131,202,159,152,43,154
42,customer-42,85,109,146,51,151,145
43,customer-43,168,175,129,127,76,122
44,customer-44,99,109,97,104,91,91
45,customer-45,207,262,21,179,175,176
46,customer-46,116,159,166,161,36,161
47,customer-47,204,252,87,117,117,114
48,customer-48,106,175,3,0,198,4
49,customer-49,241,308,162,34,163,166
50,customer-50,195,289,94,102,101,102
51,customer-51,111,183,86,89,112,87
52,customer-52,161,216,24,32,173,32
53,customer-53,107,115,160,158,159,45
54,customer-54,197,249,107,102,99,96
55,customer-55,60,91,0,0,207,0
56,customer-56,213,305,52,53,152,52
57,customer-57,169,173,83,85,113,84
58,customer-58,182,227,195,199,198,3
59,customer-59,66,80,140,148,55,149
60,customer-60,214,302,145,60,144,136
61,customer-61,93,140,0,223,0,0
62,customer-62,49,62,46,157,41,44
63,customer-63,142,203,160,167,35,163
64,customer-64,170,268,175,181,23,175
65,customer-65,30,35,58,146,146,138
66,customer-66,200,258,186,10,16,18
67,customer-67,25,66,17,181,19,19
68,customer-68,89,149,104,98,91,98
69,customer-69,198,232,102,99,98,102
70,customer-70,164,254,161,160,163,41
71,customer-71,216,238,142,60,53,55
72,customer-72,87,109,48,149,47,46
73,customer-73,245,318,164,32,41,36
74,customer-74,94,171,75,125,77,77
75,customer-75,99,99,105,110,91,113
76,customer-76,175,233,109,86,110,116
77,customer-77,231,312,11,10,189,15
78,customer-78,53,125,68,70,71,128
79,customer-79,111,180,30,39,33,165
80,customer-80,33,67,190,186,189,12
81,customer-81,44,139,2,2,8,194
82,customer-82,91,155,20,20,185,20
83,customer-83,99,115,144,54,60,53
84,customer-84,151,228,75,76,126,71
85,customer-85,48,110,154,43,161,152
86,customer-86,135,143,185,178,178,18
87,customer-87,34,80,166,31,173,166
88,customer-88,239,321,54,143,62,53
89,customer-89,59,65,25,171,173,175
90,customer-90,65,99,0,0,0,248
91,customer-91,172,177,58,66,61,139
92,customer-92,38,115,102,100,105,100
93,customer-93,29,40,109,103,93,104
94,customer-94,161,167,170,170,178,26
95,customer-95,128,205,28,21,175,26
96,customer-96,158,184,84,120,115,120
97,customer-97,280,373,0,0,0,247
98,customer-98,75,125,136,138,65,137
99,customer-99,148,222,0,0,0,206
100,customer-100,171,194,139,133,135,62
101,customer-101,59,68,100,105,97,100
102,customer-102,137,171,135,133,62,143
103,customer-103,45,50,66,73,131,66
104,customer-104,44,76,12,4,192,7
105,customer-105,209,214,101,106,95,109
106,customer-106,37,77,89,116,84,85
107,customer-107,85,103,43,39,159,44
108,customer-108,98,151,11,186,10,17
109,customer-109,39,127,60,140,142,139
110,customer-110,243,255,0,209,0,0
111,customer-111,9,34,141,142,142,62
112,customer-112,144,206,55,54,146,55
113,customer-113,67,141,152,51,47,45
114,customer-114,124,189,41,34,40,164
115,customer-115,27,77,200,0,0,2
116,customer-116,198,215,223,0,0,0
117,customer-117,36,97,120,83,117,114
118,customer-118,171,183,92,101,104,92
119,customer-119,175,226,0,0,0,221
120,customer-120,218,286,81,114,118,124
121,customer-121,156,246,53,143,150,146
122,customer-122,47,75,0,0,0,263
123,customer-123,114,146,46,157,157,157
124,customer-124,70,140,38,36,38,160
125,customer-125,41,122,154,150,158,47
126,customer-126,95,117,81,121,81,79
127,customer-127,78,94,62,133,66,66
128,customer-128,118,160,47,41,155,42
129,customer-129,12,48,129,123,129,75
130,customer-130,64,159,11,18,186,17
131,customer-131,155,155,0,224,0,0
132,customer-132,167,252,93,103,112,111
133,customer-133,100,188,0,212,0,0
134,customer-134,126,203,29,35,38,167
135,customer-135,32,43,49,50,50,154
136,customer-136,78,83,58,57,147,55
137,customer-137,112,193,0,218,0,0
138,customer-138,230,293,59,146,58,52
139,customer-139,144,194,138,58,66,59
140,customer-140,119,199,34,168,37,29
141,customer-141,101,147,117,122,81,120
142,customer-142,82,94,64,58,57,139
143,customer-143,44,128,165,31,36,32
144,customer-144,98,172,165,35,167,166
145,customer-145,118,188,74,131,66,74
