id,label,ts_in,ts_out,dim_0,dim_1
1,customer-1,40,80,169,36
2,customer-2,27,83,122,75
3,customer-3,87,146,33,165
4,customer-4,138,189,145,51
5,customer-5,177,224,0,232
6,customer-6,45,142,175,20
7,customer-7,228,293,160,44
8,customer-8,113,133,47,149
9,customer-9,107,151,0,245
10,customer-10,142,162,118,86
11,customer-11,4,82,0,229
12,customer-12,239,288,107,93
13,customer-13,141,189,177,21
14,customer-14,197,199,195,3
15,customer-15,241,316,161,37
16,customer-16,216,239,131,69
17,customer-17,138,182,87,113
18,customer-18,209,258,6,191
19,customer-19,29,43,48,147
20,customer-20,121,171,5,191
21,customer-21,156,241,0,228
22,customer-22,208,303,127,73
23,customer-23,61,125,119,86
24,customer-24,155,243,61,140
25,customer-25,28,45,84,112
26,customer-26,99,99,155,47
27,customer-27,119,133,238,0
28,customer-28,92,182,151,46
29,customer-29,141,207,185,15
30,customer-30,30,71,0,231
31,customer-31,206,282,25,180
32,customer-32,24,76,0,246
33,customer-33,78,91,23,172
34,customer-34,120,174,104,99
35,customer-35,230,261,198,1
36,customer-36,41,51,126,77
37,customer-37,187,207,34,163
38,customer-38,98,168,187,17
39,customer-39,215,311,180,17
40,customer-40,246,324,179,25
41,customer-41,115,151,54,141
42,customer-42,38,104,94,104
43,customer-43,28,114,220,0
44,customer-44,202,224,50,150
45,customer-45,167,215,56,142
46,customer-46,137,164,153,46
47,customer-47,172,250,115,87
48,customer-48,122,175,97,99
49,customer-49,65,133,64,132
50,customer-50,195,236,50,155
51,customer-51,147,192,131,73
52,customer-52,96,152,177,19
53,customer-53,60,75,168,34
54,customer-54,188,241,187,11
55,customer-55,37,68,54,142
56,customer-56,77,108,221,0
57,customer-57,45,135,143,52
58,customer-58,211,308,36,160
59,customer-59,42,88,0,213
60,customer-60,190,190,84,119
61,customer-61,137,158,55,147
62,customer-62,36,52,176,20
63,customer-63,124,180,106,89
64,customer-64,66,76,191,13
65,customer-65,198,233,24,173
66,customer-66,22,98,94,102
67,customer-67,185,238,27,168
68,customer-68,107,108,165,40
69,customer-69,194,225,24,179
70,customer-70,23,39,51,152
71,customer-71,90,156,0,237
72,customer-72,102,104,37,162
73,customer-73,50,84,218,0
74,customer-74,137,174,71,126
75,customer-75,114,189,167,28
76,customer-76,20,112,102,102
77,customer-77,188,277,0,227
78,customer-78,84,171,213,0
79,customer-79,31,79,106,89
80,customer-80,41,101,136,64
81,customer-81,177,269,122,75
82,customer-82,122,146,42,158
83,customer-83,122,128,187,14
84,customer-84,169,229,189,10
85,customer-85,142,192,160,45
86,customer-86,4,78,110,88
87,customer-87,198,238,115,84
88,customer-88,172,244,104,93
89,customer-89,137,188,149,54
90,customer-90,73,127,52,153
91,customer-91,23,50,2,199
92,customer-92,84,127,83,115
93,customer-93,180,202,29,170
94,customer-94,173,196,98,97
95,customer-95,55,88,113,92
96,customer-96,33,70,130,69
97,customer-97,87,117,115,87
98,customer-98,202,264,3,192
99,customer-99,21,58,92,104
100,customer-100,103,142,106,93
101,customer-101,43,110,168,34
102,customer-102,225,239,46,157
103,customer-103,172,205,151,47
104,customer-104,56,102,113,84
105,customer-105,59,101,36,166
106,customer-106,155,157,146,50
107,customer-107,233,317,106,89
108,customer-108,71,94,118,80
109,customer-109,216,280,128,73
110,customer-110,52,94,168,29
111,customer-111,144,220,0,262
112,customer-112,145,179,72,127
113,customer-113,59,117,83,117
114,customer-114,144,234,111,88
115,customer-115,238,321,19,176
116,customer-116,137,202,15,190
117,customer-117,107,165,199,2
118,customer-118,248,265,58,146
119,customer-119,224,250,81,120
120,customer-120,85,97,75,124
121,customer-121,103,154,40,158
122,customer-122,147,174,26,178
123,customer-123,59,82,0,223
124,customer-124,122,164,55,145
125,customer-125,200,222,46,151
126,customer-126,14,112,140,59
127,customer-127,26,105,149,56
128,customer-128,32,73,56,147
129,customer-129,178,226,139,56
130,customer-130,56,131,87,109
131,customer-131,120,185,44,154
132,customer-132,75,118,29,170
133,customer-133,68,157,182,13
134,customer-134,45,61,32,173
135,customer-135,105,135,185,16
136,customer-136,36,111,89,111
137,customer-137,65,117,91,114
138,customer-138,6,31,103,92
139,customer-139,79,162,68,133
140,customer-140,91,102,203,0
141,customer-141,140,230,81,122
142,customer-142,87,128,119,81
143,customer-143,33,88,67,128
144,customer-144,101,132,200,0
145,customer-145,146,160,130,72
146,customer-146,99,147,103,92
147,customer-147,89,90,149,46
148,customer-148,44,88,0,211
149,customer-149,82,131,92,104
150,customer-150,69,94,114,82
151,customer-151,61,91,59,144
152,customer-152,129,176,51,149
153,customer-153,72,140,132,67
154,customer-154,34,71,122,74
155,customer-155,168,199,72,133
156,customer-156,103,172,72,132
157,customer-157,71,95,109,95
158,customer-158,132,224,204,0
159,customer-159,206,277,142,54
160,customer-160,158,185,205,0
161,customer-161,217,231,40,156
162,customer-162,189,257,0,228
163,customer-163,154,160,96,99
164,customer-164,139,209,137,64
165,customer-165,200,300,186,13
166,customer-166,182,196,132,73
167,customer-167,140,216,84,121
168,customer-168,173,221,64,132
169,customer-169,198,280,39,161
170,customer-170,230,253,179,22
171,customer-171,204,272,166,39
172,customer-172,237,290,133,70
173,customer-173,4,86,117,78
174,customer-174,21,25,97,103
175,customer-175,162,197,110,95
176,customer-176,229,262,80,122
177,customer-177,197,207,191,10
178,customer-178,67,132,188,15
179,customer-179,58,157,87,116
180,customer-180,115,163,34,161
181,customer-181,11,51,27,172
182,customer-182,174,244,36,162
183,customer-183,106,168,158,42
184,customer-184,142,226,97,103
185,customer-185,155,202,27,170
186,customer-186,114,149,73,126
187,customer-187,169,232,71,134
188,customer-188,244,256,194,2
189,customer-189,124,179,173,27
190,customer-190,90,118,106,92
191,customer-191,172,192,211,0
192,customer-192,48,133,159,39
193,customer-193,37,98,0,242
194,customer-194,90,107,117,83
195,customer-195,139,218,136,61
196,customer-196,11,66,92,104
197,customer-197,41,88,144,59
198,customer-198,196,244,46,149
199,customer-199,113,151,93,110
200,customer-200,144,232,49,153
201,customer-201,160,198,195,0
202,customer-202,134,135,26,179
203,customer-203,96,151,105,90
204,customer-204,223,282,182,15
205,customer-205,226,244,0,200
206,customer-206,125,211,0,243
207,customer-207,89,138,157,41
208,customer-208,59,124,47,157
209,customer-209,178,266,47,155
210,customer-210,255,314,145,50
211,customer-211,29,62,54,144
212,customer-212,83,150,126,74
213,customer-213,206,245,18,178
214,customer-214,146,189,2,202
215,customer-215,118,209,59,145
216,customer-216,80,107,99,101
217,customer-217,87,131,166,36
218,customer-218,104,124,55,147
219,customer-219,135,155,41,161
220,customer-220,169,226,142,53
221,customer-221,145,241,124,81
222,customer-222,144,145,122,82
223,customer-223,108,142,126,69
224,customer-224,131,224,88,115
225,customer-225,267,356,0,208
226,customer-226,126,183,100,104
227,customer-227,88,133,40,164
228,customer-228,180,200,92,108
229,customer-229,234,294,18,181
230,customer-230,7,7,54,148
231,customer-231,81,94,90,108
232,customer-232,178,206,31,165
233,customer-233,71,109,0,200
234,customer-234,106,167,108,93
235,customer-235,15,15,140,55
236,customer-236,38,119,68,128
237,customer-237,120,196,165,37
238,customer-238,69,137,101,99
239,customer-239,206,280,28,173
240,customer-240,177,227,59,141
241,customer-241,26,75,217,0
242,customer-242,69,125,191,13
243,customer-243,70,78,77,128
244,customer-244,171,176,53,145
245,customer-245,143,222,108,94
