id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,customer-1,150,179,23,20,175
2,customer-2,114,120,0,0,253
3,customer-3,187,223,0,0,243
4,customer-4,87,166,50,151,155
5,customer-5,145,145,70,134,71
6,customer-6,143,218,0,0,209
7,customer-7,31,102,173,171,32
8,customer-8,200,241,0,222,0
9,customer-9,139,175,0,0,221
10,customer-10,215,221,52,146,151
11,customer-11,158,202,157,39,47
12,customer-12,172,211,190,6,8
13,customer-13,95,142,183,181,14
14,customer-14,166,253,24,181,177
15,customer-15,29,117,175,179,25
16,customer-16,65,69,151,152,46
17,customer-17,171,252,134,66,65
18,customer-18,40,113,93,103,99
19,customer-19,187,187,61,140,55
20,customer-20,103,196,26,175,28
21,customer-21,90,180,48,57,148
22,customer-22,50,125,110,110,94
23,customer-23,14,27,113,82,92
24,customer-24,52,73,25,172,31
25,customer-25,63,135,28,27,173
26,customer-26,219,229,0,0,222
27,customer-27,146,150,198,5,5
28,customer-28,76,142,0,0,207
29,customer-29,189,218,0,227,0
30,customer-30,70,159,118,111,85
31,customer-31,65,67,134,71,128
32,customer-32,222,242,16,16,184
33,customer-33,230,312,3,199,0
34,customer-34,86,114,55,50,148
35,customer-35,190,239,99,97,99
36,customer-36,46,100,6,191,12
37,customer-37,228,272,82,120,123
38,customer-38,200,228,119,114,82
39,customer-39,115,168,171,34,167
40,customer-40,201,266,62,143,141
41,customer-41,132,223,223,0,0
42,customer-42,81,163,100,105,99
43,customer-43,128,145,70,134,67
44,customer-44,157,183,146,51,51
45,customer-45,189,255,91,93,111
46,customer-46,25,81,191,12,9
47,customer-47,93,107,112,121,83
48,customer-48,31,102,80,117,82
49,customer-49,144,173,11,187,192
50,customer-50,142,205,0,217,0
51,customer-51,209,287,62,143,138
52,customer-52,156,242,4,4,199
53,customer-53,77,101,126,123,78
54,customer-54,158,233,104,98,99
55,customer-55,224,245,38,36,164
56,customer-56,98,125,132,126,72
57,customer-57,214,226,128,129,74
58,customer-58,100,107,153,51,46
59,customer-59,228,301,146,58,140
60,customer-60,195,267,125,128,70
61,customer-61,79,144,55,147,140
62,customer-62,158,196,117,120,84
63,customer-63,138,217,12,187,12
64,customer-64,25,82,6,189,194
65,customer-65,94,139,51,154,50
66,customer-66,98,163,176,20,29
67,customer-67,209,214,184,185,15
68,customer-68,166,180,0,210,0
69,customer-69,35,55,118,110,85
70,customer-70,73,108,48,48,151
71,customer-71,54,54,0,216,0
72,customer-72,204,258,105,100,92
73,customer-73,116,182,32,169,34
74,customer-74,93,111,102,94,106
75,customer-75,165,245,74,74,123
76,customer-76,90,122,39,38,165
77,customer-77,105,165,148,49,148
78,customer-78,77,141,54,141,147
79,customer-79,58,119,202,0,3
80,customer-80,11,24,114,115,82
81,customer-81,183,197,226,0,0
82,customer-82,12,52,30,39,165
83,customer-83,188,233,8,191,8
84,customer-84,191,218,0,0,235
85,customer-85,200,206,183,15,22
86,customer-86,103,171,74,128,131
87,customer-87,61,64,186,11,15
88,customer-88,48,101,140,63,139
89,customer-89,214,223,161,40,41
90,customer-90,115,116,0,237,0
91,customer-91,210,224,0,202,0
92,customer-92,61,95,170,34,168
93,customer-93,196,199,44,152,45
94,customer-94,243,313,69,69,129
95,customer-95,127,206,16,187,9
96,customer-96,51,58,168,27,27
97,customer-97,1,74,0,0,264
98,customer-98,242,300,131,138,64
99,customer-99,59,143,0,218,0
100,customer-100,144,168,47,151,150
101,customer-101,43,98,0,215,0
102,customer-102,52,99,2,203,0
103,customer-103,195,263,85,89,113
104,customer-104,190,219,23,22,181
105,customer-105,141,193,174,22,25
106,customer-106,81,146,0,0,209
107,customer-107,165,212,0,203,0
108,customer-108,130,141,12,185,19
109,customer-109,39,60,163,39,33
110,customer-110,122,194,148,50,55
111,customer-111,154,191,105,98,99
112,customer-112,135,201,124,78,126
113,customer-113,142,165,78,126,118
114,customer-114,174,190,154,46,44
115,customer-115,142,182,179,23,23
116,customer-116,105,198,194,9,5
117,customer-117,140,171,26,172,23
118,customer-118,219,307,68,128,76
119,customer-119,98,153,181,15,24
120,customer-120,75,154,119,84,80
121,customer-121,117,171,72,130,124
122,customer-122,178,205,126,122,76
123,customer-123,142,213,173,30,31
124,customer-124,65,78,146,56,52
125,customer-125,163,191,115,83,85
126,customer-126,191,219,69,71,129
127,customer-127,153,172,173,176,28
128,customer-128,166,166,123,126,73
129,customer-129,74,81,139,56,57
130,customer-130,148,235,180,24,15
131,customer-131,23,105,57,64,139
132,customer-132,113,149,0,223,0
133,customer-133,190,272,28,175,26
134,customer-134,98,121,51,144,61
135,customer-135,82,107,234,0,0
136,customer-136,35,42,114,84,87
137,customer-137,159,244,67,132,133
138,customer-138,205,290,34,165,171
139,customer-139,206,259,23,178,174
140,customer-140,134,172,28,172,172
141,customer-141,174,192,80,78,121
142,customer-142,96,153,125,70,129
143,customer-143,268,310,219,0,0
144,customer-144,213,238,13,190,191
145,customer-145,156,189,13,187,12
146,customer-146,201,257,1,11,194
147,customer-147,125,162,130,133,71
148,customer-148,68,112,5,10,195
149,customer-149,250,298,144,144,52
150,customer-150,75,131,119,83,85
151,customer-151,145,147,28,29,171
152,customer-152,246,316,59,143,139
153,customer-153,195,276,0,0,209
154,customer-154,181,215,34,35,162
155,customer-155,198,278,25,32,170
156,customer-156,166,238,187,185,13
157,customer-157,247,267,60,135,62
158,customer-158,89,117,0,242,0
159,customer-159,130,226,162,35,37
160,customer-160,184,208,47,54,150
161,customer-161,140,184,17,181,22
162,customer-162,177,260,30,168,37
163,customer-163,159,164,161,35,41
164,customer-164,109,118,128,74,67
165,customer-165,64,161,28,35,168
166,customer-166,24,81,141,138,61
167,customer-167,61,133,42,36,163
168,customer-168,159,238,169,26,176
169,customer-169,65,130,144,56,145
170,customer-170,98,187,166,170,32
171,customer-171,231,304,54,62,142
172,customer-172,15,82,114,83,83
173,customer-173,109,126,205,0,0
174,customer-174,152,170,36,40,164
175,customer-175,45,79,0,227,0
176,customer-176,198,207,0,0,213
177,customer-177,49,124,60,145,59
178,customer-178,116,186,0,240,0
179,customer-179,180,235,55,147,56
180,customer-180,89,111,158,47,149
181,customer-181,95,171,161,162,35
182,customer-182,199,244,96,109,87
183,customer-183,174,183,27,178,173
184,customer-184,158,204,14,7,190
185,customer-185,112,202,1,199,0
186,customer-186,191,214,24,181,177
187,customer-187,22,106,21,183,12
188,customer-188,138,218,37,159,168
189,customer-189,83,83,90,113,105
190,customer-190,91,142,215,0,0
191,customer-191,89,135,89,89,111
192,customer-192,209,267,89,89,109
193,customer-193,16,101,44,38,159
194,customer-194,128,173,163,33,162
195,customer-195,161,256,197,8,1
196,customer-196,95,166,106,92,98
197,customer-197,42,44,134,130,69
198,customer-198,145,189,130,66,135
199,customer-199,171,180,0,0,203
200,customer-200,59,132,113,85,85
201,customer-201,177,183,29,166,169
202,customer-202,45,106,94,91,104
203,customer-203,15,20,38,159,160
204,customer-204,145,197,172,171,33
205,customer-205,43,136,157,46,154
206,customer-206,130,169,34,168,35
207,customer-207,191,219,134,63,69
208,customer-208,158,176,143,62,60
209,customer-209,47,50,13,10,188
210,customer-210,156,211,177,20,26
211,customer-211,158,161,186,17,18
212,customer-212,14,84,158,44,156
213,customer-213,217,310,47,44,155
214,customer-214,200,271,162,41,41
215,customer-215,171,211,38,163,36
216,customer-216,12,66,103,100,95
217,customer-217,227,267,218,0,0
218,customer-218,190,225,51,151,45
219,customer-219,79,160,188,9,187
220,customer-220,81,139,153,161,42
221,customer-221,35,119,121,79,84
222,customer-222,127,142,41,155,162
223,customer-223,96,156,190,8,8
224,customer-224,219,314,146,52,151
225,customer-225,60,119,0,0,203
226,customer-226,184,278,172,33,167
