id,label,ts_in,ts_out,dim_0,dim_1
1,product-1,215,303,122,75
2,product-2,165,226,131,67
3,product-3,198,211,56,148
4,product-4,105,153,82,120
5,product-5,41,106,155,49
6,product-6,51,112,89,112
7,product-7,133,203,79,118
8,product-8,131,181,6,189
9,product-9,124,163,237,0
10,product-10,26,116,75,124
11,product-11,183,199,41,159
12,product-12,212,229,77,123
13,product-13,200,273,159,45
14,product-14,154,206,18,185
15,product-15,188,196,28,176
16,product-16,17,71,62,143
17,product-17,140,230,102,100
18,product-18,36,50,32,172
19,product-19,60,114,231,0
20,product-20,134,220,184,18
21,product-21,25,63,163,35
22,product-22,152,190,94,110
23,product-23,120,189,0,208
24,product-24,103,156,105,99
25,product-25,76,124,22,179
26,product-26,177,233,0,207
27,product-27,91,182,47,150
28,product-28,50,107,238,0
29,product-29,270,344,133,72
30,product-30,200,260,15,180
31,product-31,32,52,0,205
32,product-32,109,144,34,163
33,product-33,17,38,137,66
34,product-34,41,53,0,200
35,product-35,234,246,66,138
36,product-36,173,181,100,95
37,product-37,23,61,105,98
38,product-38,153,156,54,142
39,product-39,49,121,156,44
40,product-40,167,177,0,203
41,product-41,51,104,96,102
42,product-42,119,213,143,59
43,product-43,61,106,34,167
44,product-44,138,223,119,84
45,product-45,228,299,198,7
46,product-46,46,75,92,106
47,product-47,99,166,160,42
48,product-48,113,199,124,74
49,product-49,135,173,206,0
50,product-50,167,246,89,106
51,product-51,179,236,200,3
52,product-52,202,279,137,60
53,product-53,189,233,220,0
54,product-54,184,217,46,153
55,product-55,169,223,212,0
56,product-56,106,193,93,102
57,product-57,199,287,105,97
58,product-58,150,186,99,100
59,product-59,139,213,114,85
60,product-60,191,206,96,107
61,product-61,49,117,155,50
62,product-62,121,133,130,73
63,product-63,56,92,65,130
64,product-64,32,93,101,103
65,product-65,217,251,152,51
66,product-66,123,126,102,96
67,product-67,64,159,34,161
68,product-68,205,289,86,113
69,product-69,177,260,0,227
70,product-70,214,238,10,195
71,product-71,41,101,151,53
72,product-72,47,86,0,204
73,product-73,133,191,98,105
74,product-74,211,236,198,4
75,product-75,92,165,232,0
76,product-76,128,214,150,54
77,product-77,73,95,113,85
78,product-78,117,212,198,0
