id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,product-1,222,267,187,14,11
2,product-2,132,147,249,0,0
3,product-3,122,151,41,155,42
4,product-4,41,54,194,4,5
5,product-5,77,97,160,162,39
6,product-6,64,82,0,0,229
7,product-7,234,319,0,0,203
8,product-8,117,160,103,111,92
9,product-9,190,266,0,237,0
10,product-10,120,194,0,227,0
11,product-11,163,168,95,104,105
12,product-12,144,173,119,82,83
13,product-13,83,140,103,93,102
14,product-14,14,74,70,130,128
15,product-15,97,99,64,66,134
16,product-16,13,87,154,49,148
17,product-17,44,85,129,67,131
18,product-18,132,132,146,51,148
19,product-19,84,161,227,0,0
20,product-20,77,134,144,56,146
21,product-21,57,100,161,163,41
22,product-22,28,78,0,0,208
23,product-23,86,128,38,39,159
24,product-24,128,150,78,121,117
25,product-25,189,201,92,107,98
26,product-26,125,200,96,105,94
27,product-27,119,198,142,135,63
28,product-28,117,137,64,137,63
29,product-29,52,138,54,146,150
30,product-30,192,275,78,124,79
31,product-31,23,66,63,68,136
32,product-32,192,276,101,103,103
33,product-33,210,244,107,97,107
34,product-34,214,249,171,30,169
35,product-35,148,196,242,0,0
36,product-36,60,77,205,0,0
37,product-37,121,215,116,84,84
38,product-38,171,219,40,39,164
39,product-39,106,187,169,29,35
40,product-40,196,239,159,158,45
41,product-41,61,87,50,45,150
42,product-42,108,199,0,264,0
43,product-43,127,189,60,51,145
44,product-44,54,134,34,164,170
45,product-45,65,139,136,145,60
46,product-46,164,217,193,195,9
47,product-47,55,129,43,152,160
48,product-48,15,57,141,59,141
49,product-49,173,238,61,55,143
50,product-50,50,113,0,284,0
51,product-51,89,94,10,190,186
52,product-52,85,155,23,172,181
53,product-53,209,267,10,6,189
54,product-54,132,199,158,168,37
55,product-55,33,82,123,79,74
56,product-56,8,94,6,191,8
57,product-57,222,273,0,0,198
58,product-58,111,138,35,162,161
59,product-59,109,138,94,108,94
60,product-60,12,88,5,1,199
61,product-61,51,124,194,4,8
62,product-62,203,244,112,91,105
63,product-63,123,182,167,31,168
64,product-64,24,84,6,4,198
65,product-65,105,180,151,47,46
66,product-66,25,84,98,101,103
67,product-67,85,152,37,158,166
68,product-68,81,118,56,149,50
69,product-69,195,228,118,80,123
70,product-70,132,193,50,49,150
71,product-71,118,160,57,139,56
72,product-72,4,76,18,182,182
73,product-73,194,200,152,43,49
74,product-74,149,177,158,47,43
75,product-75,74,105,90,97,105
76,product-76,94,169,125,75,71
77,product-77,234,309,104,105,99
78,product-78,9,54,202,0,3
79,product-79,184,237,26,35,170
80,product-80,46,83,0,0,201
81,product-81,188,223,137,61,61
82,product-82,237,266,143,58,54
83,product-83,137,229,117,85,88
84,product-84,143,224,150,48,54
85,product-85,27,116,91,82,114
86,product-86,136,234,190,14,190
87,product-87,52,132,157,48,39
88,product-88,254,311,140,135,62
89,product-89,255,287,83,80,115
90,product-90,19,90,163,36,169
91,product-91,240,298,27,172,170
92,product-92,165,205,0,197,7
93,product-93,99,132,177,180,25
94,product-94,135,160,134,140,61
95,product-95,166,236,40,161,42
96,product-96,128,153,182,13,16
97,product-97,264,330,141,60,56
98,product-98,97,138,90,107,95
99,product-99,11,17,48,52,151
100,product-100,143,202,65,75,130
101,product-101,140,218,165,163,34
102,product-102,140,187,13,15,185
103,product-103,148,159,153,156,46
104,product-104,183,228,169,33,162
105,product-105,104,116,126,73,70
106,product-106,92,156,48,154,152
107,product-107,180,186,57,142,143
108,product-108,31,38,180,19,177
109,product-109,132,215,161,38,167
110,product-110,64,74,0,208,0
111,product-111,193,230,0,238,0
112,product-112,66,85,42,163,158
113,product-113,3,4,45,43,154
114,product-114,200,257,129,125,73
115,product-115,127,195,147,53,49
116,product-116,174,221,88,89,114
117,product-117,51,122,137,141,60
118,product-118,199,226,43,40,156
119,product-119,208,221,73,122,128
120,product-120,205,218,163,33,32
121,product-121,134,195,172,171,29
122,product-122,102,174,113,87,116
123,product-123,152,235,270,0,0
124,product-124,42,49,24,176,171
125,product-125,60,83,129,125,71
126,product-126,188,218,130,131,73
127,product-127,181,221,0,0,210
128,product-128,254,265,148,146,55
129,product-129,93,112,192,5,12
130,product-130,80,84,164,167,32
131,product-131,42,114,118,112,86
132,product-132,106,133,53,52,149
133,product-133,240,311,127,68,72
134,product-134,131,181,45,49,150
135,product-135,46,105,93,112,93
136,product-136,17,89,114,87,113
137,product-137,197,250,111,86,110
138,product-138,88,182,66,61,136
139,product-139,106,187,38,160,162
140,product-140,195,277,46,152,149
141,product-141,200,202,25,175,172
142,product-142,157,162,138,142,58
143,product-143,150,171,92,108,112
144,product-144,118,207,162,39,165
145,product-145,188,257,47,148,55
146,product-146,134,164,211,0,0
147,product-147,123,124,120,119,85
148,product-148,83,168,140,60,58
149,product-149,211,222,0,214,0
150,product-150,196,292,0,0,238
151,product-151,178,190,188,11,14
152,product-152,45,123,155,151,46
153,product-153,162,173,85,117,79
154,product-154,68,143,99,98,97
155,product-155,141,183,127,77,125
156,product-156,45,117,92,88,112
157,product-157,14,30,9,196,1
158,product-158,130,160,106,90,99
159,product-159,197,258,135,64,66
160,product-160,108,177,133,134,71
161,product-161,198,212,172,175,27
162,product-162,173,216,167,33,31
163,product-163,101,159,0,209,0
164,product-164,163,254,102,94,107
165,product-165,109,140,188,12,14
166,product-166,102,186,79,121,76
167,product-167,166,207,160,38,41
168,product-168,87,126,187,16,8
169,product-169,94,99,193,4,3
170,product-170,145,190,70,132,130
171,product-171,163,210,148,152,53
172,product-172,120,150,139,63,142
173,product-173,149,169,20,181,14
174,product-174,173,220,47,47,154
175,product-175,157,193,146,143,56
176,product-176,24,101,8,195,4
177,product-177,173,206,70,74,130
178,product-178,186,274,111,89,91
179,product-179,201,289,163,34,163
180,product-180,111,141,43,162,35
181,product-181,71,101,129,69,132
182,product-182,134,169,71,72,124
183,product-183,128,222,166,30,36
184,product-184,101,183,110,86,91
185,product-185,123,179,0,206,0
186,product-186,216,309,136,59,140
187,product-187,173,212,95,94,109
188,product-188,182,182,144,60,140
189,product-189,120,122,56,144,145
190,product-190,63,66,139,63,138
191,product-191,38,126,97,107,96
192,product-192,55,133,84,121,120
193,product-193,69,85,35,166,36
194,product-194,141,157,82,83,121
195,product-195,48,50,141,146,57
196,product-196,158,190,20,179,17
197,product-197,61,82,78,121,74
198,product-198,154,178,67,128,77
199,product-199,172,197,169,32,166
200,product-200,201,258,132,132,68
201,product-201,37,51,167,37,35
202,product-202,109,186,106,93,103
203,product-203,97,144,185,14,17
204,product-204,56,154,0,223,0
205,product-205,121,144,90,112,85
206,product-206,32,61,146,149,53
207,product-207,46,83,85,93,111
208,product-208,109,202,68,135,62
209,product-209,195,211,77,78,125
210,product-210,177,243,130,69,71
211,product-211,168,190,52,150,47
212,product-212,66,137,7,0,198
213,product-213,80,109,142,148,53
214,product-214,44,47,44,160,42
215,product-215,64,69,145,143,57
216,product-216,98,99,0,0,232
217,product-217,200,279,67,64,137
218,product-218,66,80,86,119,77
219,product-219,195,232,0,200,5
220,product-220,83,176,101,95,101
221,product-221,173,176,141,56,54
222,product-222,95,120,48,148,155
223,product-223,97,173,127,75,124
224,product-224,35,113,91,90,108
225,product-225,152,157,18,15,182
226,product-226,147,195,83,122,122
227,product-227,41,43,0,198,0
228,product-228,123,143,188,14,13
229,product-229,132,133,132,65,139
230,product-230,88,179,71,64,131
231,product-231,159,200,28,169,36
232,product-232,24,85,132,72,66
233,product-233,182,277,162,37,160
234,product-234,100,162,111,108,91
235,product-235,153,230,127,72,74
236,product-236,201,278,27,177,174
237,product-237,207,270,102,101,95
238,product-238,164,254,81,124,76
239,product-239,67,88,27,170,34
240,product-240,65,77,123,80,79
241,product-241,62,103,10,10,190
242,product-242,19,86,31,165,34
243,product-243,85,107,71,130,125
244,product-244,151,195,83,115,122
245,product-245,144,205,213,0,0
246,product-246,245,281,184,176,21
247,product-247,149,198,110,94,86
248,product-248,174,263,183,178,19
249,product-249,147,210,138,65,135
250,product-250,166,233,28,176,24
251,product-251,110,151,97,89,106
252,product-252,225,275,72,130,132
253,product-253,50,82,91,97,104
254,product-254,171,260,116,110,88
255,product-255,75,160,169,168,30
256,product-256,169,229,95,99,100
257,product-257,16,76,0,0,211
258,product-258,95,183,78,78,126
259,product-259,128,129,0,201,1
260,product-260,31,108,63,136,69
261,product-261,130,193,112,85,110
262,product-262,134,178,88,83,115
263,product-263,191,214,179,16,186
264,product-264,199,221,142,53,146
265,product-265,189,206,47,40,158
266,product-266,224,240,48,149,156
267,product-267,119,202,191,7,6
268,product-268,124,141,0,219,0
269,product-269,161,234,170,27,177
270,product-270,213,245,84,85,117
271,product-271,160,247,4,199,0
272,product-272,23,103,3,193,3
273,product-273,232,275,28,169,35
274,product-274,67,95,134,67,129
275,product-275,156,234,38,163,38
276,product-276,197,216,170,26,169
277,product-277,201,240,41,161,43
278,product-278,204,300,147,52,149
279,product-279,41,73,67,75,130
280,product-280,143,217,121,115,83
281,product-281,28,50,46,41,154
282,product-282,114,202,162,155,40
283,product-283,114,133,41,155,43
284,product-284,192,280,0,203,0
285,product-285,153,188,129,134,69
286,product-286,142,180,0,0,241
287,product-287,107,133,0,229,0
288,product-288,147,162,0,217,0
289,product-289,142,188,47,153,52
290,product-290,86,118,12,186,19
291,product-291,75,127,64,137,131
292,product-292,63,105,153,150,45
293,product-293,89,122,181,178,23
294,product-294,215,240,146,51,146
295,product-295,106,129,94,108,102
296,product-296,147,167,93,92,109
297,product-297,112,122,2,198,6
298,product-298,4,77,0,0,212
299,product-299,185,273,0,3,198
300,product-300,179,254,68,65,133
301,product-301,216,291,162,166,38
302,product-302,27,89,118,83,117
303,product-303,197,279,110,107,95
304,product-304,215,230,30,168,30
305,product-305,63,91,62,54,143
306,product-306,83,145,94,107,107
307,product-307,194,200,102,98,99
308,product-308,83,97,113,117,86
309,product-309,88,157,167,30,35
310,product-310,39,88,120,82,123
311,product-311,180,273,140,55,140
312,product-312,163,185,202,0,2
313,product-313,102,114,0,0,217
314,product-314,153,225,226,0,0
315,product-315,29,118,97,105,94
316,product-316,153,167,141,59,55
317,product-317,82,89,81,123,82
318,product-318,132,185,14,16,181
319,product-319,74,114,156,152,47
320,product-320,65,114,30,173,174
321,product-321,95,123,17,183,185
322,product-322,139,168,161,36,166
323,product-323,151,194,48,149,48
324,product-324,66,83,68,133,71
325,product-325,108,198,71,133,63
326,product-326,184,256,137,63,59
327,product-327,176,229,120,81,80
328,product-328,50,88,22,174,29
329,product-329,42,70,179,23,25
330,product-330,112,114,0,0,208
331,product-331,204,292,77,69,126
332,product-332,70,84,131,67,134
333,product-333,149,160,145,151,52
334,product-334,132,159,76,129,124
335,product-335,205,235,116,87,113
336,product-336,118,199,47,44,151
337,product-337,76,126,181,23,15
