id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4
1,product-1,212,284,0,243,0,0,0
2,product-2,167,257,42,44,45,36,159
3,product-3,37,89,66,57,66,139,65
4,product-4,204,282,79,82,78,117,81
5,product-5,41,67,174,172,31,174,167
6,product-6,214,224,71,71,68,71,129
7,product-7,192,262,34,161,37,43,41
8,product-8,166,240,124,123,80,116,124
9,product-9,130,149,17,17,182,20,21
10,product-10,74,115,30,167,31,34,37
11,product-11,206,286,85,112,116,118,112
12,product-12,182,225,83,89,114,88,84
13,product-13,23,41,2,5,9,193,11
14,product-14,168,177,163,156,162,165,40
15,product-15,19,80,59,60,64,138,60
16,product-16,128,181,37,167,38,36,32
17,product-17,208,244,136,68,69,68,61
18,product-18,165,171,131,131,129,73,125
19,product-19,59,113,141,63,63,58,55
20,product-20,199,212,2,0,195,5,4
21,product-21,123,204,54,151,145,151,145
22,product-22,47,128,136,64,137,139,137
23,product-23,13,15,106,108,111,92,105
24,product-24,147,213,62,58,142,59,60
25,product-25,19,105,18,182,186,185,182
26,product-26,129,153,135,133,135,134,67
27,product-27,212,268,17,180,21,20,24
28,product-28,148,167,0,0,0,0,216
29,product-29,78,105,163,37,39,37,35
30,product-30,49,115,62,140,56,60,59
31,product-31,213,285,34,28,37,36,168
32,product-32,98,140,51,45,49,153,42
33,product-33,125,213,57,146,140,138,139
34,product-34,192,235,68,136,134,127,134
35,product-35,117,164,66,135,136,129,137
36,product-36,59,155,125,72,127,123,123
37,product-37,193,232,102,98,102,95,100
38,product-38,45,109,13,14,10,11,186
39,product-39,188,260,81,85,81,80,118
40,product-40,114,154,58,141,146,137,137
41,product-41,173,209,184,13,11,16,13
42,product-42,73,129,60,58,60,58,137
43,product-43,132,215,0,0,0,0,247
44,product-44,104,111,89,88,107,93,93
45,product-45,122,194,67,132,128,132,130
46,product-46,208,226,5,191,14,11,10
47,product-47,133,190,53,48,149,48,56
48,product-48,170,189,160,164,38,163,162
49,product-49,79,168,0,0,0,0,251
50,product-50,74,136,46,156,43,48,46
51,product-51,176,225,43,153,154,158,152
52,product-52,26,40,6,8,7,7,191
53,product-53,157,213,180,178,181,181,19
54,product-54,171,262,108,107,88,109,115
55,product-55,16,81,156,48,154,152,151
56,product-56,199,270,0,0,0,218,0
57,product-57,194,225,175,20,184,175,179
58,product-58,69,125,0,0,227,0,0
59,product-59,208,287,29,176,174,166,167
60,product-60,82,96,223,0,0,0,0
61,product-61,129,198,64,140,60,61,64
62,product-62,124,183,110,110,114,117,86
63,product-63,207,275,29,32,27,171,30
64,product-64,207,301,72,126,69,70,76
65,product-65,220,220,89,92,96,109,87
66,product-66,138,177,35,166,38,29,38
67,product-67,139,205,57,139,142,139,140
68,product-68,162,204,124,74,123,126,128
69,product-69,188,201,36,26,30,169,30
70,product-70,82,141,120,124,127,123,77
71,product-71,149,161,69,127,69,74,78
72,product-72,197,242,3,200,0,0,0
73,product-73,116,122,21,15,25,22,180
74,product-74,9,16,72,73,72,127,75
75,product-75,3,79,145,136,139,137,60
76,product-76,98,156,18,16,179,19,20
77,product-77,143,154,17,14,185,13,14
78,product-78,123,132,58,60,141,62,57
79,product-79,190,229,110,105,92,112,113
80,product-80,87,176,59,64,57,138,62
81,product-81,29,124,188,16,9,10,13
82,product-82,166,187,146,52,57,59,51
83,product-83,202,272,15,185,16,15,16
84,product-84,138,159,130,131,70,131,130
85,product-85,45,116,40,45,155,46,44
86,product-86,68,89,116,121,84,121,119
87,product-87,196,196,33,40,164,36,39
88,product-88,220,246,69,70,69,129,70
89,product-89,141,233,47,49,152,51,49
90,product-90,185,205,183,14,21,14,13
91,product-91,47,63,19,178,21,26,25
92,product-92,57,97,5,0,0,0,199
93,product-93,179,216,141,63,138,137,141
94,product-94,178,253,31,30,36,35,166
95,product-95,27,80,182,20,18,14,16
96,product-96,122,181,81,82,114,81,90
97,product-97,66,151,40,159,160,159,158
98,product-98,161,224,96,109,96,96,90
99,product-99,217,273,41,39,159,40,38
100,product-100,40,65,79,124,80,72,71
101,product-101,220,269,101,95,99,102,94
102,product-102,27,77,55,62,58,142,62
103,product-103,58,126,143,55,52,60,61
104,product-104,151,197,189,8,10,14,15
105,product-105,191,236,131,67,73,66,66
106,product-106,191,290,248,0,0,0,0
107,product-107,89,111,50,146,149,148,151
108,product-108,85,134,100,103,97,100,96
109,product-109,24,71,129,69,128,126,128
110,product-110,130,213,0,0,233,0,0
111,product-111,183,217,0,273,0,0,0
112,product-112,31,104,19,185,15,16,17
113,product-113,47,49,54,56,51,147,53
114,product-114,193,223,5,13,191,7,5
115,product-115,113,115,172,26,28,27,27
116,product-116,169,221,133,66,135,137,139
117,product-117,122,171,149,46,52,50,49
118,product-118,142,216,40,46,159,39,36
119,product-119,107,132,75,125,77,71,80
120,product-120,33,123,9,9,194,2,1
121,product-121,142,173,80,122,75,74,76
122,product-122,106,144,150,54,51,50,47
123,product-123,121,164,159,161,36,169,163
124,product-124,170,171,86,113,114,110,115
125,product-125,13,65,50,153,42,46,51
126,product-126,108,173,19,10,185,19,16
127,product-127,171,210,103,99,102,102,97
128,product-128,182,259,0,0,0,0,219
129,product-129,163,234,141,56,56,54,57
130,product-130,168,199,39,158,45,42,47
131,product-131,118,134,83,78,117,85,86
132,product-132,110,121,152,152,146,53,150
