id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3
1,product-1,10,35,172,25,174,174
2,product-2,139,170,105,104,91,112
3,product-3,136,226,95,91,108,96
4,product-4,134,134,192,10,7,11
5,product-5,215,241,127,68,133,131
6,product-6,74,136,48,49,50,152
7,product-7,99,104,111,86,94,89
8,product-8,144,184,176,176,168,28
9,product-9,107,203,170,169,179,26
10,product-10,159,167,200,198,1,200
11,product-11,207,220,86,78,85,117
12,product-12,42,128,140,57,142,139
13,product-13,18,87,127,77,120,124
14,product-14,167,212,82,118,120,123
15,product-15,92,127,164,35,168,162
16,product-16,62,66,26,17,19,178
17,product-17,166,216,180,185,17,188
18,product-18,212,259,43,38,162,36
19,product-19,77,95,83,120,114,121
20,product-20,211,277,9,191,195,190
21,product-21,191,205,52,151,45,47
22,product-22,61,68,66,58,63,137
23,product-23,235,263,52,145,53,53
24,product-24,112,165,19,25,178,27
25,product-25,92,108,83,120,118,115
26,product-26,61,135,155,46,46,48
27,product-27,52,124,133,139,141,62
28,product-28,120,199,74,65,65,131
29,product-29,54,120,46,47,39,158
30,product-30,124,139,130,132,135,66
31,product-31,121,151,177,174,22,183
32,product-32,111,174,44,154,153,151
33,product-33,7,35,142,56,53,55
34,product-34,76,79,76,128,121,121
35,product-35,102,153,56,54,147,57
36,product-36,176,194,107,97,99,98
37,product-37,83,133,0,205,0,0
38,product-38,35,95,100,103,103,100
39,product-39,82,152,95,95,97,107
40,product-40,184,264,147,53,144,149
41,product-41,182,208,84,88,113,84
42,product-42,192,264,75,76,124,76
43,product-43,175,229,136,140,65,130
44,product-44,64,85,190,7,9,14
45,product-45,150,179,107,91,108,104
46,product-46,193,223,0,0,0,221
47,product-47,222,259,119,82,115,120
48,product-48,214,298,0,0,231,0
49,product-49,164,252,29,33,168,31
50,product-50,140,185,165,30,36,30
51,product-51,120,177,14,15,186,18
52,product-52,26,62,36,34,166,30
53,product-53,209,219,0,0,219,0
54,product-54,59,139,148,51,48,48
55,product-55,169,178,4,194,8,11
56,product-56,97,149,0,0,0,225
57,product-57,124,170,60,60,54,144
58,product-58,64,76,169,169,174,29
59,product-59,178,244,165,31,38,33
60,product-60,84,164,159,45,44,46
61,product-61,143,224,0,206,0,0
62,product-62,120,167,47,151,46,52
63,product-63,197,274,58,138,67,65
64,product-64,125,158,32,35,164,37
65,product-65,188,271,29,169,174,175
66,product-66,171,254,71,124,73,78
67,product-67,191,275,44,155,157,160
68,product-68,222,244,2,200,195,200
69,product-69,214,280,31,34,35,166
70,product-70,152,191,142,142,62,133
71,product-71,160,222,111,108,88,114
72,product-72,148,148,88,89,109,88
73,product-73,212,256,120,78,79,79
74,product-74,142,143,26,19,178,25
75,product-75,49,73,68,69,131,71
76,product-76,89,128,68,135,129,134
77,product-77,126,175,13,182,184,189
78,product-78,48,60,105,100,97,102
79,product-79,113,198,150,49,53,46
80,product-80,138,148,79,79,71,125
81,product-81,234,266,35,34,31,168
82,product-82,46,75,60,142,58,58
83,product-83,98,140,0,0,217,0
84,product-84,85,103,117,122,122,81
85,product-85,174,210,42,156,47,42
86,product-86,188,205,105,91,114,104
87,product-87,206,261,252,0,0,0
88,product-88,235,275,177,175,183,20
89,product-89,58,90,135,129,68,132
90,product-90,196,240,62,138,64,61
91,product-91,8,48,194,6,8,4
92,product-92,75,91,93,111,92,90
93,product-93,67,144,15,15,188,8
94,product-94,98,153,69,70,128,69
95,product-95,162,181,82,85,86,118
96,product-96,106,152,87,95,108,92
97,product-97,68,88,55,146,140,149
98,product-98,213,263,97,101,96,104
99,product-99,108,190,3,0,195,4
100,product-100,173,213,63,59,136,69
101,product-101,216,260,87,118,117,108
102,product-102,71,87,82,121,117,114
103,product-103,105,183,59,56,142,53
104,product-104,168,195,0,0,221,0
105,product-105,175,193,194,191,8,195
106,product-106,250,262,147,147,58,141
107,product-107,28,83,89,108,116,110
108,product-108,177,268,179,177,173,24
109,product-109,133,142,84,112,119,120
110,product-110,59,111,0,0,238,0
111,product-111,6,16,42,161,38,41
112,product-112,142,179,73,73,64,131
113,product-113,110,137,0,0,214,0
114,product-114,172,197,143,57,58,61
115,product-115,148,161,115,85,81,80
116,product-116,117,209,14,187,13,16
117,product-117,64,126,128,133,69,136
118,product-118,171,197,76,122,127,128
119,product-119,48,112,62,62,66,133
120,product-120,239,259,145,59,51,57
121,product-121,194,196,153,152,51,153
122,product-122,106,120,118,86,85,83
123,product-123,112,133,172,167,32,173
124,product-124,83,145,49,151,54,53
125,product-125,42,77,100,102,103,99
126,product-126,40,82,191,189,11,186
127,product-127,185,190,159,38,164,159
128,product-128,155,187,177,174,25,170
129,product-129,129,136,104,96,100,100
130,product-130,203,283,51,145,57,56
131,product-131,191,284,84,84,115,90
132,product-132,12,68,93,91,91,106
133,product-133,93,129,152,153,159,44
134,product-134,93,156,16,184,15,13
135,product-135,13,87,7,0,195,2
136,product-136,209,301,251,0,0,0
137,product-137,160,259,34,38,164,35
138,product-138,225,290,200,0,3,0
139,product-139,40,91,156,40,42,46
140,product-140,38,89,31,168,32,32
141,product-141,162,176,100,101,95,104
142,product-142,196,238,32,165,39,40
143,product-143,108,194,133,64,139,135
144,product-144,132,137,52,48,53,149
145,product-145,99,164,178,180,24,180
146,product-146,178,250,79,70,126,75
147,product-147,231,316,234,0,0,0
148,product-148,103,181,76,128,76,72
149,product-149,138,188,119,80,117,116
150,product-150,70,92,0,248,0,0
151,product-151,101,137,206,0,0,0
152,product-152,163,221,164,163,171,34
153,product-153,196,227,158,39,47,45
154,product-154,57,63,141,60,143,139
155,product-155,157,227,232,0,0,0
156,product-156,94,176,148,47,54,48
157,product-157,157,178,127,68,133,128
158,product-158,206,235,140,61,144,143
159,product-159,230,280,168,161,35,165
160,product-160,116,151,218,0,0,0
161,product-161,86,167,78,72,123,80
162,product-162,136,202,38,158,164,157
163,product-163,67,120,115,86,114,115
164,product-164,60,116,80,83,90,115
165,product-165,174,217,231,0,0,0
166,product-166,182,209,37,158,44,46
167,product-167,156,187,56,141,144,140
168,product-168,49,83,53,54,54,145
169,product-169,5,104,0,0,206,0
170,product-170,69,111,32,27,173,26
171,product-171,118,173,133,62,62,67
172,product-172,71,154,182,179,173,23
173,product-173,161,171,9,4,193,4
174,product-174,33,117,21,183,13,22
175,product-175,167,244,217,0,0,0
176,product-176,28,63,57,144,139,143
177,product-177,64,96,135,136,63,140
178,product-178,75,141,116,88,80,80
179,product-179,216,285,185,16,15,13
180,product-180,236,298,61,138,135,134
181,product-181,235,271,0,0,198,5
182,product-182,39,118,23,22,175,24
183,product-183,131,226,135,137,129,68
184,product-184,158,213,0,235,0,0
185,product-185,192,273,59,146,55,59
186,product-186,54,126,49,42,50,154
187,product-187,135,206,50,43,48,155
188,product-188,154,171,0,222,0,0
189,product-189,189,261,28,177,28,25
190,product-190,233,319,0,0,213,0
191,product-191,68,146,33,163,167,168
192,product-192,42,82,163,159,159,40
193,product-193,162,196,74,81,123,74
194,product-194,119,200,85,110,89,86
195,product-195,205,206,134,66,65,71
196,product-196,130,193,163,36,41,41
197,product-197,74,119,179,26,175,176
198,product-198,96,140,115,114,81,121
199,product-199,231,251,111,89,116,115
200,product-200,161,174,153,151,51,145
