id,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
1,fctype1,9,120,2944,108,1236,236
2,fctype2,4,122,2942,85,1266,228
3,fctype3,2,119,2940,67,1296,223
4,fctype4,1,121,2940,42,1325,221
5,fctype5,1,121,2939,30,1355,221
6,fctype6,11,31,2933,42,1535,217
7,fctype7,10,321,2931,60,1595,193
8,fctype8,7,299,2936,42,1624,200
9,fctype9,4,305,2938,30,1654,209
10,fctype10,3,321,2939,42,1684,211
11,fctype11,4,69,2940,95,1744,224
12,fctype12,6,79,2937,124,1774,228
13,fctype13,6,70,2933,150,1804,227
14,fctype14,6,38,2930,170,1834,220
15,fctype15,8,357,2929,192,1864,207
16,fctype16,11,354,2930,216,1894,201
17,fctype17,11,320,2929,240,2073,191
18,fctype18,17,306,2938,240,2103,170
19,fctype19,20,313,2948,240,2133,163
20,fctype20,20,335,2957,240,2163,171
21,fctype21,21,33,2929,300,2248,211
22,fctype22,17,49,2922,306,2258,225
23,fctype23,15,63,2914,295,2268,232
24,fctype24,13,74,2907,277,2279,235
25,fctype25,11,89,2900,256,2290,237
26,fctype26,10,103,2895,228,2301,237
27,fctype27,12,111,2890,201,2312,241
28,fctype28,16,117,2883,175,2324,245
29,fctype29,17,121,2875,150,2336,246
30,fctype30,15,122,2868,127,2349,244
31,fctype31,12,119,2861,108,2362,241
32,fctype32,9,108,2856,85,2375,236
33,fctype33,8,95,2852,60,2388,234
34,fctype34,6,79,2847,30,2402,228
35,fctype35,4,14,2845,0,2415,216
36,fctype36,7,339,2846,0,2429,204
37,fctype37,10,342,2848,30,2442,198
38,fctype38,13,346,2849,42,2455,195
39,fctype39,15,347,2851,67,2469,191
40,fctype40,16,345,2853,85,2482,187
41,fctype41,16,343,2856,108,2496,186
42,fctype42,17,347,2858,127,2509,186
43,fctype43,19,345,2860,150,2524,179
44,fctype44,22,336,2864,170,2538,166
45,fctype45,24,327,2870,182,2553,154
46,fctype46,27,321,2878,190,2568,142
47,fctype47,30,319,2889,201,2583,129
48,fctype48,31,321,2902,216,2598,125
49,fctype49,31,323,2913,228,2614,126
50,fctype50,32,323,2924,242,2630,122
51,fctype51,33,326,2936,258,2646,120
