id,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm
1,fctype1,9,120,2944,108,1236,236,232,127
2,fctype2,4,122,2942,85,1266,228,236,143
3,fctype3,2,119,2940,67,1296,223,237,149
4,fctype4,1,121,2940,42,1325,221,237,152
5,fctype5,1,121,2939,30,1355,221,237,152
6,fctype6,11,31,2933,42,1535,217,216,133
7,fctype7,10,321,2931,60,1595,193,230,176
8,fctype8,7,299,2936,42,1624,200,237,177
9,fctype9,4,305,2938,30,1654,209,237,167
10,fctype10,3,321,2939,42,1684,211,236,164
11,fctype11,4,69,2940,95,1744,224,231,143
12,fctype12,6,79,2937,124,1774,228,229,135
13,fctype13,6,70,2933,150,1804,227,228,135
14,fctype14,6,38,2930,170,1834,220,227,143
15,fctype15,8,357,2929,192,1864,207,226,156
16,fctype16,11,354,2930,216,1894,201,220,157
17,fctype17,11,320,2929,240,2073,191,229,178
18,fctype18,17,306,2938,240,2103,170,228,197
19,fctype19,20,313,2948,240,2133,163,221,196
20,fctype20,20,335,2957,240,2163,171,209,175
21,fctype21,21,33,2929,300,2248,211,190,106
22,fctype22,17,49,2922,306,2258,225,201,104
23,fctype23,15,63,2914,295,2268,232,208,105
24,fctype24,13,74,2907,277,2279,235,215,109
25,fctype25,11,89,2900,256,2290,237,222,115
26,fctype26,10,103,2895,228,2301,237,227,120
27,fctype27,12,111,2890,201,2312,241,226,113
28,fctype28,16,117,2883,175,2324,245,224,103
29,fctype29,17,121,2875,150,2336,246,225,102
30,fctype30,15,122,2868,127,2349,244,227,107
31,fctype31,12,119,2861,108,2362,241,229,117
32,fctype32,9,108,2856,85,2375,236,230,125
33,fctype33,8,95,2852,60,2388,234,228,126
34,fctype34,6,79,2847,30,2402,228,229,135
35,fctype35,4,14,2845,0,2415,216,231,153
36,fctype36,7,339,2846,0,2429,204,230,164
37,fctype37,10,342,2848,30,2442,198,224,165
38,fctype38,13,346,2849,42,2455,195,219,162
39,fctype39,15,347,2851,67,2469,191,215,162
40,fctype40,16,345,2853,85,2482,187,213,164
41,fctype41,16,343,2856,108,2496,186,214,166
42,fctype42,17,347,2858,127,2509,186,211,162
43,fctype43,19,345,2860,150,2524,179,207,164
44,fctype44,22,336,2864,170,2538,166,205,175
45,fctype45,24,327,2870,182,2553,154,205,186
46,fctype46,27,321,2878,190,2568,142,203,195
47,fctype47,30,319,2889,201,2583,129,197,201
48,fctype48,31,321,2902,216,2598,125,192,199
49,fctype49,31,323,2913,228,2614,126,190,195
50,fctype50,32,323,2924,242,2630,122,188,195
51,fctype51,33,326,2936,258,2646,120,183,191
52,fctype52,34,332,2947,277,2663,124,177,181
53,fctype53,34,340,2955,295,2679,130,171,167
54,fctype54,33,348,2961,306,2696,141,167,152
55,fctype55,32,36,2947,335,2730,199,152,67
56,fctype56,32,38,2935,350,2742,203,154,66
57,fctype57,28,30,2924,350,2754,199,167,89
58,fctype58,17,351,2916,277,2791,188,209,157
59,fctype59,17,336,2919,255,2804,181,216,172
60,fctype60,16,336,2923,228,2817,183,217,172
61,fctype61,15,344,2926,201,2831,189,216,165
62,fctype62,13,353,2928,175,2844,196,216,157
63,fctype63,11,356,2928,150,2858,203,221,156
64,fctype64,8,349,2929,120,2871,205,226,160
65,fctype65,7,354,2930,90,2885,208,227,157
66,fctype66,7,14,2930,60,2899,213,225,149
67,fctype67,7,14,2928,30,2914,213,225,149
68,fctype68,8,335,2928,0,2928,202,230,166
69,fctype69,11,308,2932,30,2943,190,233,183
70,fctype70,11,304,2937,60,2958,190,234,185
71,fctype71,11,308,2941,90,2974,190,233,184
72,fctype72,12,307,2946,120,2989,186,232,187
73,fctype73,12,305,2952,150,3005,187,233,186
74,fctype74,11,301,2957,180,3021,190,236,186
75,fctype75,10,292,2962,210,3007,191,238,187
76,fctype76,9,284,2967,240,2977,195,241,185
77,fctype77,8,277,2971,270,2948,199,242,182
78,fctype78,9,271,2975,300,2919,196,243,187
79,fctype79,11,272,2981,330,2890,191,243,191
80,fctype80,10,282,2986,360,2860,193,241,188
81,fctype81,11,292,2991,390,2831,188,238,189
82,fctype82,12,299,2997,420,2802,187,236,189
83,fctype83,10,308,3001,450,2773,191,234,182
84,fctype84,8,315,3005,480,2743,198,233,175
85,fctype85,6,315,3007,510,2714,203,235,171
86,fctype86,5,315,3010,540,2685,206,235,169
87,fctype87,4,325,3012,570,2656,210,235,163
88,fctype88,1,63,3012,600,2598,220,236,153
89,fctype89,2,72,3011,576,2568,222,234,149
90,fctype90,4,80,3009,553,2539,225,232,142
91,fctype91,4,84,3007,531,2510,226,232,141
92,fctype92,4,76,3005,509,2481,225,232,143
93,fctype93,4,65,3003,485,2452,223,231,143
94,fctype94,5,62,3001,457,2423,224,230,142
95,fctype95,6,66,2999,430,2394,227,227,135
96,fctype96,8,74,2995,402,2365,230,224,127
97,fctype97,11,85,2991,376,2337,236,222,116
98,fctype98,15,93,2984,350,2308,243,215,98
99,fctype99,18,97,2974,323,2279,246,211,87
100,fctype100,18,100,2964,295,2250,247,212,88
101,fctype101,18,102,2955,268,2221,247,214,89
102,fctype102,17,105,2945,242,2192,246,217,93
103,fctype103,7,172,2426,270,957,225,243,152
104,fctype104,9,143,2422,300,979,234,238,135
105,fctype105,11,130,2419,330,1003,238,234,124
106,fctype106,13,122,2407,390,1050,242,229,115
107,fctype107,13,119,2403,420,1074,242,228,112
108,fctype108,14,114,2395,446,1099,243,225,108
109,fctype109,9,107,2387,426,1123,236,229,124
110,fctype110,10,357,2382,391,1173,205,222,155
111,fctype111,13,324,2386,376,1199,187,226,179
112,fctype112,7,45,2392,297,1302,222,225,138
113,fctype113,8,90,2387,277,1329,232,228,129
114,fctype114,11,121,2383,258,1355,238,231,122
115,fctype115,16,129,2376,242,1382,244,229,108
116,fctype116,17,143,2369,228,1409,242,234,116
117,fctype117,16,165,2366,216,1436,232,243,137
118,fctype118,18,183,2365,201,1463,222,249,153
119,fctype119,21,182,2368,190,1490,221,248,150
120,fctype120,25,168,2367,162,1517,231,240,126
121,fctype121,29,151,2363,134,1544,242,224,90
122,fctype122,34,142,2351,108,1572,246,210,63
123,fctype123,34,144,2337,85,1599,244,212,66
124,fctype124,33,149,2326,67,1622,242,216,75
125,fctype125,32,152,2317,60,1593,240,220,83
126,fctype126,20,131,2304,60,1533,248,225,97
127,fctype127,16,99,2296,42,1503,244,217,98
128,fctype128,16,77,2285,30,1473,239,209,96
129,fctype129,13,61,2277,30,1443,230,212,112
130,fctype130,22,277,2279,30,1353,154,238,220
131,fctype131,28,261,2295,60,1323,139,241,232
132,fctype132,30,250,2313,90,1293,142,245,230
133,fctype133,21,233,2335,150,1233,181,253,204
134,fctype134,21,275,2353,210,1173,160,240,217
135,fctype135,23,280,2369,240,1144,152,236,220
136,fctype136,18,268,2381,270,1114,172,244,210
137,fctype137,18,245,2389,300,1084,180,251,206
138,fctype138,20,235,2398,330,1054,181,253,204
139,fctype139,19,246,2405,360,1024,177,251,208
140,fctype140,22,268,2416,390,994,159,242,219
141,fctype141,23,277,2430,420,964,153,237,221
142,fctype142,19,277,2442,450,934,164,240,214
143,fctype143,16,272,2451,480,904,176,243,206
