id,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways
1,covtype1,3,51,2596,258,510
2,covtype2,2,56,2590,212,390
3,covtype3,9,139,2804,268,3180
4,covtype4,18,155,2785,242,3090
5,covtype5,2,45,2595,153,391
6,covtype6,6,132,2579,300,67
7,covtype7,7,45,2606,270,633
8,covtype8,4,49,2605,234,573
9,covtype9,9,45,2617,240,666
10,covtype10,10,59,2612,247,636
11,covtype11,4,201,2612,180,735
12,covtype12,11,151,2886,371,5253
13,covtype13,22,134,2742,150,3215
14,covtype14,7,214,2609,150,771
15,covtype15,4,157,2503,67,674
16,covtype16,7,51,2495,42,752
17,covtype17,1,259,2610,120,607
18,covtype18,7,72,2517,85,595
19,covtype19,5,38,2503,85,741
20,covtype20,9,71,2501,60,767
21,covtype21,17,209,2880,216,4986
22,covtype22,23,114,2768,192,3339
23,covtype23,8,54,2511,124,638
24,covtype24,9,22,2507,120,732
25,covtype25,6,135,2492,0,860
26,covtype26,10,163,2489,30,849
27,covtype27,16,148,2962,323,5916
28,covtype28,1,135,2811,212,3670
29,covtype29,24,117,2739,127,3281
30,covtype30,30,122,2703,67,3191
31,covtype31,7,105,2522,120,595
32,covtype32,6,102,2519,124,616
33,covtype33,6,23,2516,150,658
34,covtype34,9,41,2515,162,680
35,covtype35,19,45,2900,242,5199
36,covtype36,28,125,2709,67,3224
37,covtype37,7,92,2511,182,722
38,covtype38,30,98,2749,124,3316
39,covtype39,12,354,2686,0,3167
40,covtype40,3,347,2699,0,2096
41,covtype41,2,346,2570,0,331
42,covtype42,9,71,2533,150,577
43,covtype43,27,330,2703,30,3141
44,covtype44,5,128,2678,95,1660
45,covtype45,8,68,2529,210,666
46,covtype46,7,94,2524,212,684
47,covtype47,6,99,2536,234,659
48,covtype48,6,66,2498,95,900
49,covtype49,7,100,2489,85,810
50,covtype50,30,117,2713,60,3297
51,covtype51,25,323,2739,85,3118
52,covtype52,2,72,2696,30,3271
53,covtype53,14,79,2510,192,891
54,covtype54,7,81,2502,175,912
55,covtype55,24,315,2722,30,3216
56,covtype56,11,74,2500,190,930
57,covtype57,5,68,2486,180,870
58,covtype58,4,11,2489,175,840
59,covtype59,6,42,2489,162,810
60,covtype60,5,75,2490,134,810
61,covtype61,11,107,2952,42,5845
62,covtype62,8,90,2705,134,2023
63,covtype63,7,40,2507,153,930
64,covtype64,14,49,2500,150,870
65,covtype65,10,63,2493,127,840
66,covtype66,7,59,2509,134,900
67,covtype67,6,54,2740,218,2287
68,covtype68,8,80,2640,180,1092
69,covtype69,12,166,2843,242,4434
70,covtype70,14,45,3008,277,6371
71,covtype71,16,114,2893,108,5066
72,covtype72,10,30,2628,240,960
73,covtype73,18,118,2864,201,4567
74,covtype74,28,160,2827,134,3948
75,covtype75,5,326,2529,30,1062
76,covtype76,7,99,2808,382,3107
77,covtype77,26,153,2840,134,4613
78,covtype78,10,79,2795,531,2980
79,covtype79,16,143,2746,67,2440
80,covtype80,26,352,2847,150,3697
81,covtype81,7,42,2537,210,1132
82,covtype82,17,358,2860,175,3705
83,covtype83,26,332,2818,30,4526
84,covtype84,7,18,2801,560,3084
85,covtype85,10,63,2791,418,2942
86,covtype86,11,306,2745,67,2416
87,covtype87,6,102,2514,272,1082
88,covtype88,12,354,2562,67,1057
89,covtype89,12,173,3073,108,6836
90,covtype90,10,71,2978,426,5742
91,covtype91,10,31,2860,295,3644
92,covtype92,11,164,3067,85,6811
93,covtype93,5,72,2804,543,3115
94,covtype94,3,59,2562,0,1116
95,covtype95,9,34,2567,190,1136
96,covtype96,8,45,2998,351,5842
97,covtype97,12,84,2684,150,1677
98,covtype98,11,42,2676,150,1634
99,covtype99,15,102,2863,190,4389
100,covtype100,5,170,2574,170,1180
101,covtype101,6,211,2511,162,1071
102,covtype102,4,32,3067,30,6679
103,covtype103,16,57,2909,134,5502
104,covtype104,14,348,2863,309,3918
105,covtype105,1,333,2567,0,1266
106,covtype106,11,105,3182,408,6000
107,covtype107,12,324,2818,242,4156
108,covtype108,6,332,2752,342,2372
109,covtype109,5,88,2751,400,2322
110,covtype110,7,102,2569,228,1266
111,covtype111,15,111,3195,469,5941
112,covtype112,14,53,2982,240,5756
113,covtype113,6,58,2850,295,4394
114,covtype114,4,76,2586,190,1290
115,covtype115,13,17,2837,330,4241
116,covtype116,6,99,2723,301,2109
117,covtype117,12,124,3057,150,6508
118,covtype118,19,119,2818,30,5213
119,covtype119,33,320,2847,85,4983
120,covtype120,11,112,2606,30,1584
121,covtype121,6,83,2893,551,4011
122,covtype122,20,125,2644,67,1719
123,covtype123,5,37,2613,216,1519
124,covtype124,12,356,2929,0,5757
125,covtype125,12,307,2767,30,2796
126,covtype126,13,49,2991,85,6199
127,covtype127,18,56,2939,95,5563
128,covtype128,7,119,3119,162,6660
129,covtype129,12,346,2942,30,5918
130,covtype130,7,12,2886,570,4295
131,covtype131,13,344,2775,42,2854
132,covtype132,9,79,2490,240,878
133,covtype133,18,228,3106,658,5984
134,covtype134,24,284,2831,60,5208
135,covtype135,8,112,2837,272,3649
136,covtype136,23,299,2890,180,5104
137,covtype137,5,135,2824,218,3583
138,covtype138,3,135,2728,242,2250
139,covtype139,16,88,2962,190,6095
140,covtype140,11,220,3142,424,6216
141,covtype141,5,34,2536,242,1242
142,covtype142,6,95,3168,30,4884
143,covtype143,24,289,2926,210,5126
144,covtype144,6,21,2893,295,4106
145,covtype145,11,20,2687,150,1986
146,covtype146,17,211,3109,424,6089
147,covtype147,20,200,3119,60,6297
148,covtype148,10,349,2916,488,4472
149,covtype149,3,18,2795,218,3042
150,covtype150,14,58,2555,285,1231
151,covtype151,13,42,2499,497,953
152,covtype152,11,173,3027,335,5678
153,covtype153,15,160,3096,85,6156
154,covtype154,13,105,2916,268,5618
155,covtype155,12,42,2591,350,1398
156,covtype156,16,328,3185,127,4763
157,covtype157,10,221,3021,324,5675
158,covtype158,4,257,3083,510,6363
159,covtype159,33,276,2860,60,5292
160,covtype160,15,196,3008,228,5535
161,covtype161,14,189,3034,384,5754
162,covtype162,16,130,2873,67,4030
163,covtype163,13,49,3182,319,4767
164,covtype164,12,102,2998,384,6026
165,covtype165,20,357,2658,300,1597
166,covtype166,7,15,3175,366,4816
167,covtype167,7,8,2952,488,4953
168,covtype168,12,95,2622,484,1329
169,covtype169,21,288,2955,247,5224
170,covtype170,9,66,2837,201,3655
171,covtype171,3,45,3182,458,4723
172,covtype172,3,129,3077,618,6296
173,covtype173,4,320,2755,30,2890
174,covtype174,11,28,3047,600,6414
175,covtype175,12,86,2880,30,4369
176,covtype176,3,292,3221,424,4401
177,covtype177,10,115,3182,553,4605
178,covtype178,24,29,3064,150,5051
179,covtype179,15,332,2827,42,3599
180,covtype180,5,107,2518,360,553
181,covtype181,4,180,3050,277,5782
182,covtype182,12,356,3107,283,4855
183,covtype183,15,173,2995,268,6312
184,covtype184,4,164,2721,67,1747
185,covtype185,7,116,3182,579,4425
186,covtype186,11,132,2724,60,2720
187,covtype187,9,90,2515,313,511
188,covtype188,22,46,3017,212,5118
189,covtype189,4,256,3077,618,6230
190,covtype190,8,338,2929,190,4393
191,covtype191,12,127,2735,67,2806
192,covtype192,20,319,2893,150,5825
193,covtype193,4,45,3231,648,4173
194,covtype194,10,89,2560,218,731
195,covtype195,15,43,3162,484,4657
196,covtype196,14,188,2982,120,5501
197,covtype197,5,66,2731,0,2826
198,covtype198,11,50,3172,759,4287
199,covtype199,21,138,2916,127,6349
200,covtype200,17,63,2890,153,3670
201,covtype201,10,45,2704,323,1323
202,covtype202,18,23,3198,604,4545
203,covtype203,5,214,2985,342,5495
204,covtype204,21,323,3011,443,5838
205,covtype205,18,312,3024,474,5785
206,covtype206,16,56,3244,618,3865
207,covtype207,25,36,2972,30,5113
208,covtype208,13,167,2985,458,5571
209,covtype209,17,23,2539,90,488
210,covtype210,8,260,3001,720,5790
211,covtype211,10,51,2952,150,5123
212,covtype212,13,211,2962,255,5365
213,covtype213,4,45,2727,124,2285
214,covtype214,17,167,3004,603,5798
215,covtype215,8,22,2886,285,3849
216,covtype216,8,344,3024,600,5201
217,covtype217,14,187,3034,335,6084
218,covtype218,13,279,2903,190,4179
219,covtype219,4,245,2926,30,5180
220,covtype220,16,200,2942,180,5276
221,covtype221,13,54,2991,495,4849
222,covtype222,9,116,2742,150,2475
223,covtype223,18,356,2606,67,911
224,covtype224,5,326,3244,750,3730
225,covtype225,14,27,3237,997,4002
226,covtype226,24,359,2616,42,977
227,covtype227,11,16,2913,457,3974
228,covtype228,7,48,2813,201,3018
229,covtype229,1,149,2530,319,234
230,covtype230,7,45,3260,503,3558
231,covtype231,3,90,3047,870,5484
232,covtype232,20,60,2955,201,4934
233,covtype233,13,77,2893,85,6012
234,covtype234,24,38,2965,247,4883
235,covtype235,15,230,3037,570,5985
236,covtype236,10,152,3027,792,5316
237,covtype237,16,70,2756,120,2501
238,covtype238,6,325,2939,510,4078
239,covtype239,9,126,3198,418,4200
240,covtype240,7,90,3195,362,4243
241,covtype241,6,222,2975,360,5719
242,covtype242,13,84,2890,30,5918
243,covtype243,10,109,3018,815,5833
244,covtype244,5,85,3011,842,5389
245,covtype245,16,79,3221,618,3968
246,covtype246,7,135,3004,811,5383
247,covtype247,20,49,2572,384,391
248,covtype248,11,128,3260,743,3824
249,covtype249,4,25,3168,30,4426
250,covtype250,12,349,2878,67,3489
251,covtype251,8,9,3198,301,4099
252,covtype252,8,260,2975,391,6071
253,covtype253,10,38,3178,0,4286
254,covtype254,10,176,2995,690,6068
255,covtype255,8,144,2913,210,5478
256,covtype256,9,175,2982,424,5267
257,covtype257,12,209,2945,362,5877
258,covtype258,2,143,2995,631,5459
259,covtype259,5,288,2945,0,4801
260,covtype260,8,288,2959,120,4683
261,covtype261,13,114,2796,60,2599
262,covtype262,2,315,2785,60,2486
263,covtype263,17,325,2784,153,1798
264,covtype264,15,320,2789,182,1771
265,covtype265,19,162,2922,240,5076
266,covtype266,3,135,3008,931,5727
267,covtype267,10,73,2978,323,5160
268,covtype268,11,54,2892,134,3178
269,covtype269,10,45,2521,42,408
270,covtype270,7,72,2985,497,5372
271,covtype271,19,39,3057,626,4435
272,covtype272,9,78,2829,60,2941
273,covtype273,5,331,3201,0,4002
274,covtype274,13,329,3136,789,4228
275,covtype275,14,355,2548,60,551
276,covtype276,9,89,2962,42,4891
277,covtype277,13,15,2808,201,2431
278,covtype278,12,87,2749,516,1499
279,covtype279,14,328,3155,849,4184
280,covtype280,11,285,2991,849,5939
281,covtype281,5,108,2968,306,4113
282,covtype282,13,77,2932,108,3911
283,covtype283,7,356,2808,153,2592
284,covtype284,4,106,2794,210,1888
285,covtype285,17,24,3080,659,4377
286,covtype286,16,52,2936,180,4656
287,covtype287,10,261,2913,313,5706
288,covtype288,8,232,2919,323,5728
289,covtype289,6,257,2978,85,4795
290,covtype290,14,312,2574,134,636
291,covtype291,21,59,3142,730,4155
292,covtype292,10,15,2804,212,1917
293,covtype293,8,232,2929,366,5835
294,covtype294,9,246,3001,764,5961
295,covtype295,7,94,2813,371,1800
296,covtype296,6,342,2988,192,4805
297,covtype297,18,59,3175,612,4042
298,covtype298,7,61,2804,362,1838
299,covtype299,10,78,3001,335,5320
300,covtype300,9,141,2914,277,3471
301,covtype301,17,41,2668,283,1276
302,covtype302,12,129,3185,481,3899
303,covtype303,9,216,2913,268,5715
304,covtype304,5,72,3168,418,3855
305,covtype305,9,30,2955,30,4478
306,covtype306,7,100,2932,30,4280
307,covtype307,7,53,3201,488,3667
308,covtype308,5,236,2903,212,5656
309,covtype309,2,352,2874,400,2869
310,covtype310,6,254,2903,212,5689
311,covtype311,12,45,2800,0,2244
312,covtype312,9,336,3257,693,3443
313,covtype313,5,278,3188,210,3634
314,covtype314,8,62,2952,192,4487
315,covtype315,16,237,2932,342,5797
316,covtype316,4,281,3050,630,5540
317,covtype317,11,285,2955,212,4302
318,covtype318,17,41,2791,458,1740
319,covtype319,3,162,3172,180,3632
320,covtype320,14,69,3116,297,3870
321,covtype321,10,51,2895,162,3326
322,covtype322,6,122,3182,134,3510
323,covtype323,9,81,3024,218,4152
324,covtype324,9,251,2962,480,5863
325,covtype325,4,27,2978,192,4780
326,covtype326,12,40,2952,323,4558
327,covtype327,13,348,2945,255,3768
328,covtype328,7,188,3149,134,3718
329,covtype329,15,150,2833,242,1953
330,covtype330,10,185,3136,42,3623
331,covtype331,13,49,2851,268,2538
332,covtype332,8,111,2933,300,3644
333,covtype333,6,110,2810,421,1871
334,covtype334,10,85,3267,484,3194
335,covtype335,16,30,3188,85,3340
336,covtype336,5,37,2955,426,3905
337,covtype337,9,276,3001,752,5893
338,covtype338,10,281,3008,780,5864
339,covtype339,5,28,2942,391,3707
340,covtype340,9,331,2921,395,3516
341,covtype341,5,315,2985,361,5023
342,covtype342,14,289,2978,570,4480
343,covtype343,20,51,2889,362,2689
344,covtype344,3,103,2814,210,2145
345,covtype345,9,127,2938,408,2896
346,covtype346,11,95,2828,127,2467
347,covtype347,12,95,3146,240,3287
348,covtype348,8,94,2977,466,4283
349,covtype349,2,45,3034,680,5544
350,covtype350,19,61,3083,192,3320
351,covtype351,5,23,3044,210,3481
352,covtype352,8,90,2982,242,3695
353,covtype353,15,176,2901,256,3181
354,covtype354,6,66,2995,247,4770
355,covtype355,6,151,2528,108,598
356,covtype356,8,112,3188,60,2880
357,covtype357,24,243,2939,400,5619
358,covtype358,11,215,3008,696,5880
359,covtype359,9,238,3021,815,5855
360,covtype360,11,80,2937,330,4094
361,covtype361,10,317,2844,67,2758
362,covtype362,3,13,2781,351,2148
363,covtype363,18,252,2945,421,5615
364,covtype364,12,143,2857,85,3111
365,covtype365,7,53,3021,258,3544
366,covtype366,3,141,2919,192,3992
367,covtype367,9,185,2800,170,2382
368,covtype368,18,151,2773,350,1680
369,covtype369,17,144,2759,300,1590
370,covtype370,20,117,2714,242,1470
371,covtype371,26,109,2671,175,1350
372,covtype372,9,126,2975,120,4763
373,covtype373,19,148,2775,335,1770
374,covtype374,18,149,2746,268,1620
375,covtype375,19,148,2743,255,1590
376,covtype376,16,108,2717,201,1500
377,covtype377,14,136,2751,277,1680
378,covtype378,14,131,2739,242,1620
379,covtype379,16,133,2733,228,1590
380,covtype380,15,117,2716,175,1500
381,covtype381,14,99,2611,30,1200
382,covtype382,11,123,3073,0,3060
383,covtype383,18,167,3060,95,3251
384,covtype384,8,120,2899,162,3944
385,covtype385,8,107,2861,30,3434
386,covtype386,3,351,2853,0,3342
387,covtype387,8,202,2785,134,2429
388,covtype388,16,127,2723,190,1560
389,covtype389,23,110,2656,85,1350
390,covtype390,10,194,3064,30,3111
391,covtype391,16,167,3050,67,3229
392,covtype392,13,141,3004,124,3500
393,covtype393,10,58,2952,201,3736
394,covtype394,12,68,3034,362,5550
395,covtype395,20,130,2703,127,1500
396,covtype396,23,128,2685,95,1440
397,covtype397,25,119,2661,67,1380
398,covtype398,4,101,3057,0,3069
399,covtype399,13,139,3050,30,3127
400,covtype400,5,342,3060,495,5700
401,covtype401,14,49,2945,0,4671
402,covtype402,18,123,2704,124,1530
403,covtype403,24,129,2676,67,1440
404,covtype404,14,81,2621,0,1290
405,covtype405,13,45,3060,30,3046
406,covtype406,15,136,2975,124,3543
407,covtype407,4,21,3067,518,5739
408,covtype408,16,128,2719,150,1621
409,covtype409,15,86,2638,0,1351
410,covtype410,19,115,2700,67,1533
411,covtype411,22,108,2673,42,1473
412,covtype412,11,71,2654,0,1413
413,covtype413,12,50,2664,0,1445
414,covtype414,8,80,3050,360,5638
415,covtype415,8,125,2858,268,3288
416,covtype416,9,163,2854,285,3246
417,covtype417,11,56,3047,95,3182
418,covtype418,6,351,2873,201,3459
419,covtype419,12,23,2680,0,1511
420,covtype420,9,120,2839,190,3055
421,covtype421,7,86,2792,228,2862
422,covtype422,11,74,3103,201,2870
423,covtype423,1,90,2702,0,1727
424,covtype424,8,282,2991,268,5024
425,covtype425,6,31,3004,180,5222
426,covtype426,6,117,2919,150,3903
427,covtype427,14,258,2945,376,5535
428,covtype428,1,270,3054,390,5742
429,covtype429,5,75,2978,295,4847
430,covtype430,8,81,2915,0,4345
431,covtype431,4,30,2756,150,2571
432,covtype432,4,155,2717,0,2037
433,covtype433,1,315,2928,150,4194
434,covtype434,3,95,2770,258,2813
435,covtype435,23,77,2656,283,1320
436,covtype436,5,124,2750,150,2370
437,covtype437,7,45,2907,350,4041
438,covtype438,13,65,2781,42,3162
439,covtype439,5,203,2715,124,1920
440,covtype440,11,338,2968,216,3426
441,covtype441,8,130,2739,134,2160
442,covtype442,3,129,2922,218,4283
443,covtype443,6,101,2792,108,3180
444,covtype444,8,90,3064,371,2822
445,covtype445,14,243,3041,513,5911
446,covtype446,8,32,2888,470,3700
447,covtype447,1,180,3080,247,2715
448,covtype448,27,132,2613,170,1260
449,covtype449,4,135,2978,108,3247
450,covtype450,12,353,2952,0,4928
451,covtype451,14,81,2773,108,3019
452,covtype452,8,90,3057,390,2783
453,covtype453,16,45,3064,228,5623
454,covtype454,9,174,2742,268,2455
455,covtype455,16,167,2677,85,1680
456,covtype456,18,140,2567,60,1110
457,covtype457,6,142,2739,228,2465
458,covtype458,14,267,3001,641,5749
459,covtype459,13,343,2584,150,812
460,covtype460,6,104,2902,558,3643
461,covtype461,9,155,3047,424,2760
462,covtype462,6,212,2909,212,4092
463,covtype463,5,198,2910,234,4063
464,covtype464,10,108,3011,212,2912
465,covtype465,8,68,2998,124,2987
466,covtype466,12,263,3011,674,5753
467,covtype467,12,24,3008,309,5353
468,covtype468,10,18,3004,192,5232
469,covtype469,6,81,3031,513,5542
470,covtype470,5,288,2939,379,5448
471,covtype471,12,277,2949,437,5506
472,covtype472,9,323,3028,242,5079
473,covtype473,1,315,2900,90,5152
