id,label,ts_in,ts_out,dim_0,dim_1
1,customer-1,128,162,140,129
2,customer-2,116,186,168,216
3,customer-3,118,123,175,91
4,customer-4,172,214,143,186
5,customer-5,21,84,209,140
6,customer-6,15,41,79,54
7,customer-7,194,269,200,181
8,customer-8,68,104,219,226
9,customer-9,128,194,100,100
10,customer-10,113,152,168,165
11,customer-11,99,184,167,12
12,customer-12,188,217,178,72
13,customer-13,65,125,91,199
14,customer-14,179,223,134,139
15,customer-15,105,181,95,209
16,customer-16,93,95,86,44
17,customer-17,40,104,34,100
18,customer-18,17,55,136,226
19,customer-19,43,70,115,124
20,customer-20,98,165,243,244
21,customer-21,80,80,95,114
22,customer-22,196,220,100,21
23,customer-23,44,88,140,123
24,customer-24,213,306,68,124
25,customer-25,46,133,177,119
26,customer-26,190,204,46,140
27,customer-27,176,203,158,207
28,customer-28,192,219,93,34
29,customer-29,214,229,189,181
30,customer-30,51,136,202,156
31,customer-31,222,249,151,149
32,customer-32,121,200,123,52
33,customer-33,171,257,251,148
34,customer-34,93,188,73,108
35,customer-35,167,243,123,206
36,customer-36,76,122,102,119
37,customer-37,226,312,168,104
38,customer-38,166,169,150,173
39,customer-39,100,193,225,194
40,customer-40,161,189,212,53
41,customer-41,166,199,137,84
42,customer-42,121,128,101,173
43,customer-43,174,198,201,70
44,customer-44,130,146,70,55
45,customer-45,158,245,66,187
46,customer-46,161,179,164,49
47,customer-47,120,157,147,144
48,customer-48,49,95,108,168
49,customer-49,160,223,173,125
50,customer-50,172,205,111,111
51,customer-51,220,273,190,145
52,customer-52,166,248,33,127
53,customer-53,17,56,140,278
54,customer-54,82,91,105,49
55,customer-55,171,239,152,160
56,customer-56,83,141,109,3
57,customer-57,66,140,107,131
58,customer-58,68,150,102,176
59,customer-59,99,116,20,61
60,customer-60,27,97,55,215
61,customer-61,131,141,116,205
62,customer-62,141,208,140,14
63,customer-63,69,106,126,195
64,customer-64,18,77,99,172
65,customer-65,149,187,151,75
66,customer-66,162,196,128,136
67,customer-67,116,145,252,75
68,customer-68,164,173,71,151
69,customer-69,143,151,101,166
70,customer-70,128,173,205,121
71,customer-71,172,235,61,204
72,customer-72,58,138,180,73
73,customer-73,182,207,179,238
74,customer-74,134,232,141,195
75,customer-75,166,210,201,91
76,customer-76,99,167,38,27
77,customer-77,270,337,219,92
78,customer-78,74,128,58,95
79,customer-79,59,82,21,122
80,customer-80,192,194,20,5
81,customer-81,71,72,26,220
82,customer-82,105,119,119,118
83,customer-83,194,229,127,240
84,customer-84,166,180,157,277
85,customer-85,192,264,214,225
86,customer-86,66,129,192,74
87,customer-87,199,266,79,6
88,customer-88,66,147,209,26
89,customer-89,193,226,24,46
90,customer-90,117,189,124,108
91,customer-91,178,192,95,154
92,customer-92,118,154,79,132
93,customer-93,203,244,211,195
94,customer-94,193,283,196,88
95,customer-95,105,116,124,73
96,customer-96,98,167,203,140
97,customer-97,87,92,70,278
98,customer-98,206,240,99,135
99,customer-99,118,200,132,1
100,customer-100,173,212,33,139
101,customer-101,155,211,93,192
102,customer-102,205,234,27,150
103,customer-103,156,245,148,124
104,customer-104,77,87,275,143
105,customer-105,149,224,96,105
106,customer-106,75,75,96,221
107,customer-107,118,143,71,111
108,customer-108,223,260,77,19
109,customer-109,46,77,91,141
110,customer-110,53,95,228,143
111,customer-111,75,114,104,154
112,customer-112,196,205,239,92
113,customer-113,99,139,105,113
114,customer-114,33,59,235,222
115,customer-115,198,227,95,94
116,customer-116,208,210,170,182
117,customer-117,191,196,95,243
118,customer-118,204,204,160,169
119,customer-119,92,147,166,178
120,customer-120,105,117,184,222
121,customer-121,52,134,133,202
122,customer-122,202,280,127,164
123,customer-123,156,186,113,165
124,customer-124,118,181,155,71
125,customer-125,168,198,23,149
126,customer-126,192,258,53,127
127,customer-127,136,164,63,114
128,customer-128,195,243,223,16
129,customer-129,105,117,75,230
130,customer-130,166,225,217,76
131,customer-131,153,184,37,140
132,customer-132,245,330,227,92
133,customer-133,190,258,179,233
134,customer-134,211,284,129,89
135,customer-135,57,91,128,3
136,customer-136,221,246,179,76
137,customer-137,25,83,68,158
138,customer-138,89,139,79,141
139,customer-139,135,167,52,142
140,customer-140,111,187,95,102
141,customer-141,21,77,243,52
142,customer-142,28,39,133,116
143,customer-143,217,230,64,200
144,customer-144,190,244,84,124
145,customer-145,151,157,52,193
146,customer-146,28,95,34,183
147,customer-147,150,186,75,79
148,customer-148,260,308,61,51
149,customer-149,77,122,192,159
150,customer-150,142,186,26,75
151,customer-151,92,93,133,149
152,customer-152,178,182,220,247
153,customer-153,60,98,99,21
154,customer-154,163,247,219,240
155,customer-155,149,203,34,165
156,customer-156,161,223,144,111
157,customer-157,39,117,187,168
158,customer-158,75,139,162,187
159,customer-159,166,172,68,18
160,customer-160,224,295,120,77
161,customer-161,60,94,35,44
162,customer-162,100,121,98,188
163,customer-163,132,139,79,142
164,customer-164,75,75,184,128
165,customer-165,153,186,98,78
166,customer-166,53,139,125,180
167,customer-167,115,147,115,179
168,customer-168,163,201,59,81
169,customer-169,66,71,46,3
170,customer-170,82,86,171,29
171,customer-171,171,233,180,62
172,customer-172,16,101,134,215
173,customer-173,185,238,46,257
174,customer-174,154,222,130,253
175,customer-175,60,68,62,42
176,customer-176,18,25,192,99
177,customer-177,121,199,63,151
178,customer-178,132,142,42,201
179,customer-179,189,212,51,202
180,customer-180,209,220,169,116
181,customer-181,185,211,144,124
182,customer-182,231,258,200,128
183,customer-183,13,59,166,169
184,customer-184,140,207,141,107
185,customer-185,195,236,263,219
186,customer-186,235,302,178,169
187,customer-187,288,326,185,128
188,customer-188,119,213,51,125
189,customer-189,170,174,109,75
190,customer-190,185,279,76,120
191,customer-191,161,165,160,158
192,customer-192,67,80,50,126
193,customer-193,115,172,171,160
194,customer-194,150,210,110,117
195,customer-195,139,201,164,248
196,customer-196,69,162,30,107
197,customer-197,11,44,24,172
198,customer-198,129,159,88,121
199,customer-199,180,182,69,128
200,customer-200,80,139,159,138
201,customer-201,18,24,170,173
202,customer-202,78,105,44,71
203,customer-203,143,220,135,198
204,customer-204,55,122,190,121
205,customer-205,127,138,141,199
206,customer-206,59,95,206,62
207,customer-207,148,226,83,170
208,customer-208,174,239,148,93
209,customer-209,121,156,190,206
210,customer-210,191,204,68,188
211,customer-211,175,221,81,75
212,customer-212,179,216,180,233
213,customer-213,54,95,114,68
214,customer-214,16,39,167,96
215,customer-215,195,255,96,136
216,customer-216,81,87,87,76
217,customer-217,30,91,189,103
218,customer-218,121,214,139,159
219,customer-219,148,238,3,23
220,customer-220,29,78,16,210
