id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5
1,customer-1,180,189,211,171,108,124,144,19
2,customer-2,76,97,180,163,172,156,81,129
3,customer-3,170,182,181,151,189,76,167,16
4,customer-4,95,165,8,87,137,112,5,35
5,customer-5,209,250,69,207,263,61,190,120
6,customer-6,12,27,110,161,199,44,52,140
7,customer-7,215,282,72,166,139,138,159,211
8,customer-8,106,125,136,61,145,177,191,112
9,customer-9,82,148,200,111,52,40,99,137
10,customer-10,35,100,60,151,114,56,111,199
11,customer-11,59,73,142,35,199,171,192,48
12,customer-12,77,100,44,79,130,79,210,96
13,customer-13,194,225,145,131,95,162,61,115
14,customer-14,34,130,108,57,131,122,97,136
15,customer-15,131,159,235,114,184,130,76,141
16,customer-16,157,186,109,58,202,188,65,92
17,customer-17,176,242,49,111,75,116,30,172
18,customer-18,203,284,31,47,44,74,206,86
19,customer-19,50,106,41,209,180,62,45,28
20,customer-20,158,210,137,207,202,143,88,159
21,customer-21,39,132,123,140,149,224,48,185
22,customer-22,112,164,66,62,140,71,131,120
23,customer-23,101,140,236,125,140,77,60,110
24,customer-24,194,263,219,74,85,52,121,91
25,customer-25,30,80,180,174,192,81,182,86
26,customer-26,172,228,179,145,195,45,34,95
27,customer-27,171,251,173,89,48,141,200,103
28,customer-28,161,206,45,122,141,59,148,28
29,customer-29,96,143,125,69,183,67,118,193
30,customer-30,50,126,93,121,33,223,125,71
31,customer-31,82,115,26,183,100,95,213,218
32,customer-32,200,224,181,120,66,115,137,70
33,customer-33,217,255,86,72,24,123,198,141
34,customer-34,146,167,147,113,59,75,49,54
35,customer-35,162,195,77,221,57,227,144,183
36,customer-36,111,139,197,220,204,97,234,125
37,customer-37,149,188,181,79,97,225,201,172
38,customer-38,64,102,152,163,200,180,27,109
39,customer-39,201,260,153,137,203,153,26,196
40,customer-40,98,136,102,206,59,58,18,128
41,customer-41,139,222,224,87,272,150,130,119
42,customer-42,152,238,57,132,27,138,37,78
43,customer-43,166,236,128,193,88,51,50,122
44,customer-44,86,101,268,150,201,164,17,90
45,customer-45,25,93,178,139,38,173,55,142
46,customer-46,170,207,176,127,76,106,148,14
47,customer-47,89,99,73,75,202,91,178,231
48,customer-48,103,110,119,154,126,40,51,60
49,customer-49,180,197,149,48,142,161,208,173
50,customer-50,170,198,106,96,215,40,93,136
51,customer-51,145,214,94,41,105,88,183,177
52,customer-52,43,115,187,112,140,98,168,197
53,customer-53,153,191,124,81,223,175,127,244
54,customer-54,81,172,151,131,194,44,86,260
55,customer-55,190,236,147,143,170,61,36,120
56,customer-56,103,191,164,171,55,135,32,21
57,customer-57,214,232,82,149,2,98,61,89
58,customer-58,110,142,176,55,176,141,150,119
59,customer-59,139,182,204,149,142,202,66,34
60,customer-60,69,158,136,55,159,103,90,115
61,customer-61,176,217,43,96,184,41,29,97
62,customer-62,158,169,217,41,125,93,74,95
63,customer-63,103,195,65,199,143,33,123,72
64,customer-64,203,218,180,99,84,181,103,43
65,customer-65,173,201,177,145,170,107,162,119
66,customer-66,155,241,108,166,36,106,193,48
67,customer-67,125,182,76,131,199,198,131,112
68,customer-68,165,184,126,94,154,186,160,180
69,customer-69,211,225,150,126,181,34,163,175
70,customer-70,157,242,93,48,217,71,126,167
71,customer-71,19,59,164,62,199,40,143,96
72,customer-72,59,117,13,170,136,109,208,91
73,customer-73,109,157,25,20,193,95,28,140
74,customer-74,110,177,145,126,143,59,131,236
75,customer-75,108,150,202,116,97,224,208,199
76,customer-76,218,283,233,131,38,160,171,173
77,customer-77,65,82,95,38,137,51,31,136
78,customer-78,220,245,74,186,171,185,207,144
79,customer-79,70,82,101,190,95,118,38,20
80,customer-80,230,313,178,195,186,31,134,149
81,customer-81,31,75,48,190,174,74,194,193
82,customer-82,114,181,243,137,158,211,194,193
83,customer-83,139,201,39,68,130,149,146,53
84,customer-84,120,130,56,153,151,171,37,160
85,customer-85,170,172,104,70,88,142,141,85
86,customer-86,161,192,11,193,43,189,100,32
87,customer-87,121,130,64,10,49,189,145,190
88,customer-88,90,90,231,30,236,159,113,220
89,customer-89,61,64,210,117,29,23,118,12
90,customer-90,110,141,67,144,165,123,88,20
91,customer-91,167,181,205,32,17,42,125,173
92,customer-92,138,215,169,59,61,186,124,118
93,customer-93,36,55,73,151,156,201,148,101
94,customer-94,152,171,194,170,52,144,46,223
95,customer-95,128,185,177,195,128,82,52,26
96,customer-96,17,45,153,231,173,78,28,185
97,customer-97,101,170,66,200,131,200,135,68
98,customer-98,76,86,163,247,129,112,17,33
99,customer-99,150,194,269,62,101,39,157,142
100,customer-100,25,57,212,149,147,137,58,117
101,customer-101,106,142,232,113,174,42,167,51
102,customer-102,63,91,82,154,149,125,135,200
103,customer-103,57,100,74,13,216,94,202,114
104,customer-104,154,190,105,111,102,120,191,51
105,customer-105,25,57,27,96,137,216,64,132
106,customer-106,80,127,119,220,86,224,265,162
107,customer-107,37,67,170,101,124,169,52,75
108,customer-108,175,249,80,95,102,32,18,17
109,customer-109,245,334,179,20,181,158,266,3
110,customer-110,182,183,116,147,39,168,108,177
111,customer-111,166,225,192,143,129,146,61,163
112,customer-112,95,108,118,143,77,145,165,63
113,customer-113,269,296,122,218,149,237,154,89
114,customer-114,49,57,126,78,204,149,91,149
115,customer-115,34,85,195,97,9,70,130,82
116,customer-116,89,148,216,226,64,36,82,51
117,customer-117,181,183,58,67,156,161,44,130
118,customer-118,217,271,263,169,38,56,259,152
119,customer-119,190,222,15,132,185,163,259,9
120,customer-120,106,111,126,129,83,129,191,159
121,customer-121,180,238,122,166,181,57,14,152
122,customer-122,40,41,38,82,172,152,215,258
123,customer-123,103,163,109,65,185,190,8,230
124,customer-124,83,160,45,219,121,120,121,154
125,customer-125,191,193,132,68,69,142,247,243
126,customer-126,181,230,235,166,116,145,61,93
127,customer-127,70,79,41,202,26,37,69,144
128,customer-128,195,205,9,52,178,108,124,111
129,customer-129,195,259,62,20,121,236,52,87
130,customer-130,101,177,65,51,107,49,225,186
131,customer-131,60,125,195,75,95,264,57,131
132,customer-132,166,242,184,150,76,93,89,133
133,customer-133,103,108,212,200,137,144,181,172
134,customer-134,72,92,55,125,118,113,170,125
135,customer-135,176,223,145,91,150,101,194,26
136,customer-136,184,239,72,83,159,133,80,116
137,customer-137,174,252,96,238,153,232,221,126
138,customer-138,201,222,93,169,19,148,250,26
139,customer-139,191,260,212,85,45,16,205,41
140,customer-140,236,302,208,51,129,14,45,204
141,customer-141,108,110,64,167,120,158,97,32
142,customer-142,66,141,87,216,175,172,112,131
143,customer-143,180,191,106,116,197,69,182,184
144,customer-144,14,45,141,80,113,102,76,183
145,customer-145,6,26,222,71,17,57,62,186
146,customer-146,158,195,85,167,70,196,214,104
147,customer-147,189,243,188,41,116,99,182,149
148,customer-148,69,148,139,82,120,202,40,86
149,customer-149,189,221,19,169,212,128,25,54
150,customer-150,34,96,150,64,190,193,87,78
151,customer-151,82,180,184,131,193,157,21,210
152,customer-152,6,86,203,88,229,42,91,142
153,customer-153,183,195,204,78,98,77,84,115
154,customer-154,116,204,97,188,65,52,20,118
155,customer-155,33,124,254,61,145,253,169,192
156,customer-156,166,217,61,281,57,103,223,113
157,customer-157,97,167,197,143,194,171,87,78
158,customer-158,129,179,195,79,77,43,176,43
159,customer-159,172,229,96,60,136,8,37,258
160,customer-160,156,186,137,245,13,90,116,140
161,customer-161,229,266,130,110,60,141,206,119
162,customer-162,116,116,135,113,15,82,106,167
163,customer-163,171,266,39,98,148,102,139,76
164,customer-164,229,284,138,201,67,53,171,174
165,customer-165,185,204,191,108,189,54,91,86
166,customer-166,51,110,106,148,52,202,59,87
167,customer-167,159,204,216,13,159,89,216,44
168,customer-168,48,70,83,125,252,67,75,87
169,customer-169,37,128,76,142,116,27,76,116
