id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
1,customer-1,82,125,47,122,22,5,180,174,178
2,customer-2,56,67,255,71,7,13,206,13,46
3,customer-3,51,51,22,116,234,30,21,95,191
4,customer-4,89,124,132,229,174,158,113,165,195
5,customer-5,133,160,36,81,36,221,91,61,105
6,customer-6,173,205,158,40,173,101,243,72,78
7,customer-7,202,256,46,120,53,159,34,236,70
8,customer-8,155,169,45,83,85,45,178,173,39
9,customer-9,265,306,68,87,159,211,181,13,135
10,customer-10,164,218,24,104,12,97,211,227,259
11,customer-11,150,199,163,34,73,82,37,70,48
12,customer-12,73,103,94,147,72,227,141,166,23
13,customer-13,108,161,192,84,182,151,188,89,136
14,customer-14,188,237,205,77,73,110,151,52,49
15,customer-15,199,219,6,225,213,207,56,51,104
16,customer-16,200,257,131,173,87,84,87,153,87
17,customer-17,197,213,131,46,181,226,113,74,159
18,customer-18,163,196,187,112,150,101,112,162,38
19,customer-19,255,317,94,264,203,57,143,42,133
20,customer-20,109,110,220,122,121,43,57,63,147
21,customer-21,131,144,92,40,240,116,122,111,56
22,customer-22,191,216,211,84,212,45,30,68,224
23,customer-23,69,153,95,83,130,174,218,192,70
24,customer-24,122,159,106,146,129,133,178,75,245
25,customer-25,51,53,180,181,199,101,61,196,140
26,customer-26,80,141,50,128,11,79,205,148,133
27,customer-27,157,182,74,181,74,211,85,30,105
28,customer-28,58,70,133,59,108,262,202,116,177
29,customer-29,211,213,96,42,82,69,183,193,33
30,customer-30,148,154,83,44,107,178,142,127,48
31,customer-31,54,105,149,52,144,160,83,125,107
32,customer-32,184,260,194,154,202,206,45,104,138
33,customer-33,119,155,196,38,179,124,162,101,250
34,customer-34,145,213,15,41,104,103,158,32,64
35,customer-35,138,174,182,204,53,111,222,210,222
36,customer-36,130,199,137,83,60,171,81,61,73
37,customer-37,90,122,234,44,77,200,89,227,93
38,customer-38,170,256,113,165,193,48,183,204,127
39,customer-39,64,79,174,129,52,168,95,93,215
40,customer-40,150,230,123,9,185,127,149,138,74
41,customer-41,112,176,217,210,139,79,165,145,68
42,customer-42,173,182,111,121,141,125,69,191,11
43,customer-43,64,122,46,162,123,201,64,180,175
44,customer-44,40,122,52,155,136,14,124,246,61
45,customer-45,65,123,8,117,108,171,14,95,36
46,customer-46,11,74,106,84,63,120,41,164,120
47,customer-47,50,96,109,117,243,93,199,35,174
48,customer-48,143,203,151,32,129,158,158,237,117
49,customer-49,76,125,84,122,124,103,108,86,113
50,customer-50,199,271,156,193,95,69,166,208,103
51,customer-51,128,210,98,121,12,173,203,198,201
52,customer-52,193,203,114,165,221,27,171,90,40
