id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,customer-1,71,152,45,113,103
2,customer-2,222,271,197,15,119
3,customer-3,190,208,109,93,219
4,customer-4,170,209,203,19,80
5,customer-5,59,142,141,255,93
6,customer-6,190,257,158,167,40
7,customer-7,78,147,143,64,59
8,customer-8,102,162,98,188,47
9,customer-9,110,194,92,59,189
10,customer-10,149,222,163,101,227
11,customer-11,229,247,86,36,110
12,customer-12,192,219,97,57,104
13,customer-13,179,253,55,38,88
14,customer-14,119,160,84,243,122
15,customer-15,41,116,93,182,187
16,customer-16,220,233,86,197,191
17,customer-17,132,197,160,78,136
18,customer-18,166,166,172,71,81
19,customer-19,138,205,197,187,21
20,customer-20,96,109,54,201,114
21,customer-21,119,157,150,128,29
22,customer-22,89,116,136,191,141
23,customer-23,173,269,23,42,122
24,customer-24,16,105,153,210,180
25,customer-25,43,83,30,183,16
26,customer-26,211,295,73,70,102
27,customer-27,194,220,83,147,162
28,customer-28,177,225,170,170,41
29,customer-29,40,72,158,109,15
30,customer-30,161,238,55,187,105
31,customer-31,85,103,213,137,131
32,customer-32,45,107,91,120,85
33,customer-33,36,83,165,43,29
34,customer-34,200,202,100,28,75
35,customer-35,32,100,71,95,175
36,customer-36,81,140,34,168,110
37,customer-37,5,23,32,59,89
38,customer-38,135,175,66,169,229
39,customer-39,174,249,197,156,168
40,customer-40,78,168,172,24,122
41,customer-41,188,244,109,149,17
42,customer-42,137,159,199,59,120
43,customer-43,85,143,13,167,166
44,customer-44,87,114,108,149,116
45,customer-45,74,143,206,198,108
46,customer-46,108,124,84,212,127
47,customer-47,71,73,83,198,207
48,customer-48,239,310,214,69,137
49,customer-49,9,87,119,141,107
50,customer-50,188,229,202,118,242
51,customer-51,77,166,179,215,233
52,customer-52,207,222,228,167,122
53,customer-53,223,226,113,157,153
54,customer-54,119,136,30,127,201
55,customer-55,75,97,192,114,78
56,customer-56,111,164,137,155,190
57,customer-57,56,61,191,153,123
58,customer-58,53,102,30,140,69
59,customer-59,247,269,188,202,28
60,customer-60,288,370,116,186,67
61,customer-61,51,54,116,95,3
62,customer-62,139,157,188,63,56
63,customer-63,27,97,239,77,18
64,customer-64,202,233,54,179,226
65,customer-65,148,188,196,129,87
66,customer-66,136,162,229,220,139
67,customer-67,42,60,193,212,141
68,customer-68,165,176,77,65,128
69,customer-69,216,245,188,103,107
70,customer-70,225,262,56,185,96
71,customer-71,24,110,238,144,50
72,customer-72,135,212,118,172,196
73,customer-73,210,211,186,77,129
74,customer-74,44,68,208,125,63
75,customer-75,90,104,47,161,180
76,customer-76,199,277,139,164,195
77,customer-77,114,177,199,94,65
78,customer-78,135,167,220,177,67
79,customer-79,34,130,182,149,143
80,customer-80,169,229,169,60,44
81,customer-81,193,212,144,125,127
82,customer-82,83,146,186,164,125
83,customer-83,153,159,248,20,102
84,customer-84,183,204,66,199,117
85,customer-85,82,127,170,136,135
86,customer-86,65,139,184,102,221
87,customer-87,58,153,190,72,27
88,customer-88,171,193,95,123,82
89,customer-89,156,214,1,136,70
90,customer-90,101,141,226,182,102
91,customer-91,108,144,164,21,282
92,customer-92,80,104,119,157,265
93,customer-93,168,261,91,226,94
94,customer-94,152,163,192,60,64
95,customer-95,63,74,129,231,54
