id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3
1,customer-1,205,238,113,194,154,159
2,customer-2,119,157,209,214,43,99
3,customer-3,154,194,82,223,10,136
4,customer-4,115,184,50,67,237,42
5,customer-5,92,124,257,78,77,85
6,customer-6,136,219,169,63,200,168
7,customer-7,180,259,146,33,110,229
8,customer-8,143,172,91,119,159,143
9,customer-9,145,230,238,163,206,82
10,customer-10,112,145,65,38,71,217
11,customer-11,101,175,58,170,80,213
12,customer-12,101,185,239,74,161,108
13,customer-13,33,124,207,69,96,108
14,customer-14,64,135,17,208,176,158
15,customer-15,95,106,213,182,143,112
16,customer-16,170,175,57,108,225,174
17,customer-17,254,260,235,185,87,121
18,customer-18,132,155,164,60,99,81
19,customer-19,203,211,121,91,227,171
20,customer-20,215,223,140,154,213,74
21,customer-21,52,144,120,128,92,57
22,customer-22,73,138,17,29,125,104
23,customer-23,115,134,30,108,157,43
24,customer-24,227,289,120,142,18,142
25,customer-25,103,179,120,101,183,180
26,customer-26,82,171,113,58,154,57
27,customer-27,174,257,223,120,77,91
28,customer-28,45,51,154,201,65,34
29,customer-29,213,291,254,176,12,114
30,customer-30,73,84,71,128,100,172
31,customer-31,209,236,193,142,165,192
32,customer-32,158,254,73,81,92,76
33,customer-33,170,219,156,45,94,171
34,customer-34,28,50,193,141,78,56
35,customer-35,253,346,166,118,104,138
36,customer-36,64,150,157,78,137,160
37,customer-37,260,262,58,125,66,68
38,customer-38,233,281,90,102,147,238
39,customer-39,246,313,285,215,193,104
40,customer-40,84,139,166,114,142,153
41,customer-41,132,173,68,148,76,130
42,customer-42,109,183,106,22,142,86
43,customer-43,62,71,121,87,193,181
44,customer-44,127,128,55,229,79,123
45,customer-45,244,257,162,70,129,113
46,customer-46,94,120,15,58,58,175
47,customer-47,81,179,173,3,196,195
48,customer-48,60,120,16,174,18,154
49,customer-49,12,13,126,125,97,192
50,customer-50,62,122,98,138,201,73
51,customer-51,95,172,225,64,93,200
52,customer-52,165,260,185,145,141,93
53,customer-53,218,229,196,173,164,26
54,customer-54,53,57,174,90,111,131
55,customer-55,46,87,240,210,70,212
56,customer-56,36,91,49,129,24,192
57,customer-57,119,129,153,172,90,241
58,customer-58,24,107,95,73,110,52
59,customer-59,92,124,17,14,141,206
60,customer-60,33,74,137,68,148,96
61,customer-61,150,194,40,149,129,106
62,customer-62,54,101,113,225,175,73
63,customer-63,65,122,104,198,80,135
64,customer-64,165,237,168,143,46,10
65,customer-65,182,231,197,69,152,98
66,customer-66,40,46,171,36,89,115
67,customer-67,175,210,97,211,152,110
68,customer-68,183,249,195,35,43,53
69,customer-69,164,240,161,109,177,181
70,customer-70,72,134,227,17,74,219
71,customer-71,125,184,173,205,49,160
72,customer-72,161,181,56,105,121,51
73,customer-73,36,78,41,182,26,200
74,customer-74,194,209,112,217,78,191
75,customer-75,108,190,43,77,106,186
76,customer-76,182,247,189,148,151,76
77,customer-77,80,171,10,193,180,149
78,customer-78,19,30,95,193,225,66
79,customer-79,117,197,65,25,61,14
80,customer-80,178,194,152,183,214,40
81,customer-81,172,203,197,157,137,12
82,customer-82,161,203,105,72,36,75
83,customer-83,87,137,97,69,207,241
84,customer-84,110,118,29,150,32,193
85,customer-85,102,132,166,169,107,128
86,customer-86,113,126,222,43,201,39
87,customer-87,70,125,173,264,76,147
88,customer-88,193,280,192,72,96,104
89,customer-89,30,92,155,226,96,98
90,customer-90,176,258,192,132,75,70
91,customer-91,139,149,184,75,125,119
92,customer-92,69,158,202,96,100,233
93,customer-93,50,58,33,61,181,13
94,customer-94,41,64,252,144,230,75
95,customer-95,225,295,161,88,206,52
96,customer-96,198,250,195,120,165,204
97,customer-97,35,123,69,191,151,33
98,customer-98,178,221,205,36,169,94
99,customer-99,67,123,125,142,143,68
100,customer-100,55,145,41,257,34,197
101,customer-101,11,27,181,204,49,159
102,customer-102,76,159,42,228,188,116
103,customer-103,65,96,166,207,91,137
104,customer-104,72,136,33,200,178,164
105,customer-105,97,134,83,160,144,55
