id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4
1,customer-1,85,133,210,197,195,209,64
2,customer-2,234,321,52,118,20,207,83
3,customer-3,108,162,153,118,25,58,162
4,customer-4,186,207,107,115,68,61,9
5,customer-5,179,190,166,82,141,72,151
6,customer-6,256,324,108,97,179,132,79
7,customer-7,235,301,43,251,174,229,162
8,customer-8,54,125,84,161,89,95,155
9,customer-9,42,75,105,48,53,69,177
10,customer-10,99,145,36,72,85,92,83
11,customer-11,176,258,80,71,29,134,29
12,customer-12,183,228,220,150,195,60,183
13,customer-13,187,242,51,26,194,225,245
14,customer-14,178,198,96,124,162,130,102
15,customer-15,113,119,171,58,107,82,129
16,customer-16,131,140,245,113,29,207,47
17,customer-17,160,182,9,150,182,141,133
18,customer-18,62,153,232,201,69,191,120
19,customer-19,139,148,33,66,187,127,160
20,customer-20,20,33,191,169,112,103,28
21,customer-21,120,162,81,191,136,133,63
22,customer-22,196,230,103,137,225,33,189
23,customer-23,31,33,61,55,253,67,61
24,customer-24,62,97,121,143,206,19,90
25,customer-25,35,68,10,59,20,55,82
26,customer-26,128,193,7,29,144,93,103
27,customer-27,97,154,132,226,78,198,97
28,customer-28,58,119,209,82,109,98,38
29,customer-29,216,238,216,106,145,110,266
30,customer-30,196,258,203,131,136,16,140
31,customer-31,30,78,213,184,104,165,95
32,customer-32,128,205,87,82,154,96,138
33,customer-33,126,172,184,204,21,112,136
34,customer-34,125,165,121,43,32,38,187
35,customer-35,138,170,111,197,51,147,202
36,customer-36,186,197,163,73,200,58,81
37,customer-37,136,182,84,205,168,140,96
38,customer-38,117,203,23,47,189,199,198
39,customer-39,71,107,122,201,87,98,99
40,customer-40,200,206,144,136,234,36,182
41,customer-41,88,157,61,86,182,98,120
42,customer-42,224,292,198,66,45,158,190
43,customer-43,157,193,87,65,218,86,71
44,customer-44,36,50,212,169,63,169,143
45,customer-45,51,83,140,8,206,146,103
46,customer-46,167,203,83,176,204,218,174
47,customer-47,167,167,120,162,101,183,76
48,customer-48,125,137,213,74,17,79,149
49,customer-49,69,154,69,126,133,96,133
50,customer-50,62,118,174,71,191,55,200
51,customer-51,171,205,158,102,181,38,134
52,customer-52,206,273,174,186,63,97,164
53,customer-53,91,153,53,60,188,154,172
54,customer-54,93,143,42,95,164,62,195
55,customer-55,183,231,171,162,195,36,44
56,customer-56,134,143,201,48,146,228,166
57,customer-57,122,122,41,122,141,135,230
58,customer-58,43,76,140,163,219,170,144
59,customer-59,43,122,69,158,119,204,187
60,customer-60,180,268,162,34,116,139,48
61,customer-61,187,251,43,204,196,53,167
62,customer-62,52,52,141,135,42,72,68
63,customer-63,89,166,9,172,240,182,219
64,customer-64,92,121,169,74,25,93,51
65,customer-65,142,203,75,51,124,43,84
66,customer-66,144,177,55,148,152,189,136
67,customer-67,209,254,46,187,222,136,118
68,customer-68,165,249,90,172,140,150,170
69,customer-69,161,178,95,174,71,73,18
70,customer-70,251,337,183,152,167,94,161
71,customer-71,35,63,209,79,108,241,114
72,customer-72,56,90,172,145,80,77,82
73,customer-73,207,295,96,17,232,231,170
74,customer-74,178,270,89,172,64,78,191
75,customer-75,159,205,59,55,96,172,111
76,customer-76,83,84,102,199,63,134,166
77,customer-77,71,139,226,72,43,187,151
78,customer-78,204,253,68,134,203,39,24
79,customer-79,124,186,194,95,63,221,68
80,customer-80,203,289,38,73,108,197,127
81,customer-81,160,190,88,155,179,132,233
82,customer-82,184,252,187,114,100,211,84
83,customer-83,85,155,153,152,192,209,201
84,customer-84,98,119,83,197,43,206,20
85,customer-85,93,106,173,48,40,26,20
86,customer-86,163,247,52,59,44,141,154
87,customer-87,64,147,130,78,83,174,22
88,customer-88,4,30,94,60,25,85,151
89,customer-89,188,227,107,206,9,157,96
90,customer-90,8,75,137,196,18,70,91
91,customer-91,61,152,197,230,138,123,97
92,customer-92,199,244,100,51,109,145,221
93,customer-93,107,144,94,97,173,8,159
94,customer-94,73,105,180,121,103,74,256
95,customer-95,237,329,203,13,159,72,59
96,customer-96,156,172,113,34,153,213,174
97,customer-97,151,161,234,204,127,166,135
98,customer-98,107,183,104,20,128,43,37
99,customer-99,164,172,182,30,95,123,93
100,customer-100,180,205,206,126,64,53,109
101,customer-101,121,139,155,34,174,92,230
102,customer-102,153,206,104,100,239,95,115
103,customer-103,58,133,104,192,86,106,143
104,customer-104,90,131,87,149,209,154,27
105,customer-105,67,128,192,187,102,222,112
106,customer-106,133,134,75,215,96,90,170
107,customer-107,225,311,73,198,172,34,129
108,customer-108,125,126,104,77,214,151,172
109,customer-109,193,214,142,14,28,37,253
110,customer-110,67,86,168,131,111,205,121
111,customer-111,51,51,12,40,159,78,213
112,customer-112,124,199,133,144,176,115,94
113,customer-113,36,65,147,157,22,81,250
114,customer-114,106,133,177,179,149,183,92
115,customer-115,196,207,112,168,131,205,90
116,customer-116,224,265,34,181,128,161,133
117,customer-117,23,116,171,28,43,222,72
118,customer-118,143,182,136,124,37,69,169
119,customer-119,146,170,161,193,208,58,104
120,customer-120,191,196,112,147,124,57,222
121,customer-121,103,143,115,109,37,179,194
122,customer-122,222,255,27,69,195,9,55
123,customer-123,184,215,180,28,180,159,183
124,customer-124,112,131,31,61,48,13,115
125,customer-125,167,168,115,196,171,204,98
126,customer-126,39,41,178,13,257,155,216
127,customer-127,161,167,100,174,188,85,148
128,customer-128,127,180,205,48,65,176,202
129,customer-129,163,202,114,227,181,180,130
130,customer-130,106,124,181,170,184,92,250
131,customer-131,147,203,238,132,123,54,59
132,customer-132,190,271,85,172,179,156,60
133,customer-133,95,115,188,110,110,74,129
134,customer-134,215,218,45,75,141,105,118
135,customer-135,37,103,55,83,29,68,33
136,customer-136,103,132,101,178,239,85,212
137,customer-137,214,238,221,104,42,69,180
138,customer-138,197,231,111,87,215,71,64
139,customer-139,106,125,120,36,93,75,28
140,customer-140,221,283,50,26,51,68,6
141,customer-141,136,147,204,113,56,187,68
142,customer-142,138,184,111,194,117,108,112
143,customer-143,150,238,204,214,183,78,73
144,customer-144,162,212,51,85,157,176,151
145,customer-145,153,205,163,48,206,130,204
146,customer-146,10,98,178,103,61,222,99
147,customer-147,166,223,82,69,232,224,178
148,customer-148,200,286,76,109,133,61,219
149,customer-149,111,169,105,72,22,163,50
150,customer-150,29,127,180,205,70,18,146
151,customer-151,118,161,137,65,178,147,188
152,customer-152,143,154,187,36,201,33,189
153,customer-153,241,252,101,184,38,1,139
154,customer-154,211,238,253,48,225,79,38
155,customer-155,107,170,105,100,20,125,178
156,customer-156,81,136,201,36,105,197,116
157,customer-157,79,167,176,129,147,36,246
158,customer-158,131,190,24,147,215,102,136
159,customer-159,119,139,228,55,195,182,122
160,customer-160,26,69,89,31,78,185,59
161,customer-161,160,174,180,26,234,73,162
162,customer-162,91,103,52,152,186,138,67
163,customer-163,86,89,25,263,88,165,6
164,customer-164,197,224,57,176,151,228,202
165,customer-165,167,246,33,226,98,252,45
166,customer-166,170,254,224,91,250,55,99
167,customer-167,86,151,77,182,128,194,31
168,customer-168,205,259,72,73,220,130,208
169,customer-169,122,150,17,178,53,154,25
170,customer-170,225,281,185,174,63,209,46
171,customer-171,85,100,7,170,100,88,146
172,customer-172,186,269,147,120,22,195,159
173,customer-173,120,203,157,189,186,161,197
174,customer-174,164,240,21,191,157,172,179
175,customer-175,37,69,140,124,46,214,43
176,customer-176,29,33,82,171,154,8,207
177,customer-177,137,173,79,207,23,49,193
178,customer-178,227,294,167,172,75,139,108
179,customer-179,124,208,213,107,172,152,93
180,customer-180,225,289,160,158,96,246,72
181,customer-181,223,309,95,211,34,201,76
182,customer-182,16,51,75,103,183,59,81
183,customer-183,42,128,76,151,204,212,104
184,customer-184,147,165,174,190,29,36,62
185,customer-185,120,168,31,168,98,245,110
186,customer-186,114,204,167,14,155,152,92
187,customer-187,211,283,107,99,173,10,111
188,customer-188,39,102,49,27,216,62,145
189,customer-189,194,279,51,63,75,121,140
190,customer-190,88,162,101,130,95,238,207
191,customer-191,87,155,40,27,108,106,41
192,customer-192,202,235,28,185,244,171,225
193,customer-193,96,108,154,104,63,24,121
194,customer-194,156,215,54,197,209,194,19
195,customer-195,171,218,130,61,36,99,129
196,customer-196,90,179,40,75,223,209,188
197,customer-197,222,285,247,122,171,86,123
198,customer-198,217,288,193,158,110,133,52
199,customer-199,145,227,110,181,146,4,20
200,customer-200,195,272,132,120,182,14,189
201,customer-201,43,53,204,185,67,145,194
202,customer-202,62,64,186,125,46,88,129
203,customer-203,42,103,157,171,161,219,100
204,customer-204,205,276,27,3,89,48,97
205,customer-205,125,133,25,87,45,104,64
206,customer-206,105,199,222,100,153,153,153
207,customer-207,192,216,75,38,253,119,19
208,customer-208,234,270,140,166,190,28,90
209,customer-209,122,198,134,228,80,161,13
210,customer-210,187,196,209,6,21,92,143
211,customer-211,116,190,245,84,115,121,37
212,customer-212,40,40,223,158,57,81,109
213,customer-213,188,189,181,108,144,76,62
214,customer-214,114,186,68,7,116,155,93
215,customer-215,129,219,94,171,190,127,127
216,customer-216,163,242,120,71,222,178,77
217,customer-217,237,286,112,168,190,156,22
218,customer-218,191,279,143,122,224,61,142
219,customer-219,230,236,21,165,234,45,101
220,customer-220,157,180,127,61,52,22,56
221,customer-221,160,167,144,164,156,40,160
222,customer-222,123,211,31,22,227,67,211
223,customer-223,94,163,136,45,46,109,20
224,customer-224,39,122,104,155,68,36,111
225,customer-225,37,87,16,53,21,135,188
226,customer-226,82,85,108,189,19,196,161
227,customer-227,99,190,210,148,234,50,24
228,customer-228,133,207,141,147,136,155,134
229,customer-229,292,385,112,127,145,57,144
230,customer-230,102,138,111,14,157,174,15
231,customer-231,119,142,215,158,37,99,39
232,customer-232,106,170,216,186,202,97,154
233,customer-233,110,145,179,61,205,216,73
234,customer-234,81,86,145,163,132,166,79
235,customer-235,200,242,119,100,39,184,134
236,customer-236,200,298,128,13,91,42,144
237,customer-237,20,114,62,144,151,65,191
238,customer-238,59,156,211,91,82,171,117
239,customer-239,214,261,17,218,45,119,160
240,customer-240,150,164,220,170,133,21,110
241,customer-241,41,96,105,46,194,92,86
242,customer-242,42,111,175,237,174,141,152
243,customer-243,96,129,84,108,16,151,67
244,customer-244,92,161,68,163,40,82,59
245,customer-245,113,166,24,51,116,72,230
246,customer-246,246,340,190,257,130,111,17
247,customer-247,195,238,36,111,185,77,95
248,customer-248,113,197,163,71,204,181,107
249,customer-249,247,305,202,31,208,78,192
250,customer-250,195,266,168,16,203,48,149
251,customer-251,186,234,83,125,178,136,48
252,customer-252,72,105,81,104,94,105,143
253,customer-253,124,158,148,140,182,160,5
254,customer-254,41,83,56,174,292,26,171
255,customer-255,168,170,70,56,256,183,161
256,customer-256,96,164,54,76,163,195,230
257,customer-257,195,265,150,176,171,205,209
258,customer-258,149,237,177,221,142,111,66
259,customer-259,145,230,275,76,130,64,176
260,customer-260,35,101,31,133,204,178,102
261,customer-261,137,229,96,99,35,64,56
262,customer-262,160,234,113,64,203,187,58
263,customer-263,197,277,146,112,251,188,182
264,customer-264,184,211,270,62,66,50,41
265,customer-265,268,307,193,172,226,155,60
266,customer-266,203,220,53,161,115,103,31
267,customer-267,113,182,156,127,106,200,205
268,customer-268,126,145,97,118,140,44,48
269,customer-269,79,164,265,147,67,119,198
270,customer-270,51,61,197,61,169,91,65
271,customer-271,76,77,162,217,70,195,232
272,customer-272,143,189,187,90,132,121,217
273,customer-273,203,288,109,146,75,136,33
274,customer-274,123,204,136,96,122,180,108
275,customer-275,96,162,20,212,149,62,198
276,customer-276,114,190,92,159,32,121,66
277,customer-277,194,219,61,197,133,29,129
278,customer-278,142,199,87,77,68,265,260
279,customer-279,61,76,200,60,121,60,210
280,customer-280,128,150,28,76,113,195,167
281,customer-281,48,106,122,198,87,174,186
282,customer-282,38,47,204,137,32,156,193
283,customer-283,69,157,70,81,192,35,111
284,customer-284,146,152,10,184,14,117,111
285,customer-285,40,55,41,165,17,67,141
286,customer-286,20,51,39,8,146,113,115
287,customer-287,168,254,126,179,64,143,125
288,customer-288,132,174,66,28,164,19,73
289,customer-289,134,149,117,120,93,117,204
290,customer-290,103,117,53,73,61,154,165
291,customer-291,195,206,107,148,133,88,44
292,customer-292,206,285,66,162,91,193,41
293,customer-293,90,162,83,176,169,131,214
294,customer-294,72,110,191,66,100,46,130
295,customer-295,78,118,201,81,107,185,170
296,customer-296,99,104,206,90,236,79,191
297,customer-297,171,267,126,123,164,131,117
298,customer-298,99,111,234,94,131,69,73
299,customer-299,218,309,35,42,120,171,163
300,customer-300,92,180,175,205,74,28,145
301,customer-301,88,114,201,8,103,225,114
302,customer-302,178,268,100,39,93,100,77
303,customer-303,40,117,181,115,29,115,77
304,customer-304,207,294,131,67,177,78,183
305,customer-305,23,53,149,95,113,93,44
306,customer-306,59,141,96,143,87,34,205
307,customer-307,109,125,88,234,152,32,117
308,customer-308,118,209,193,220,216,149,104
309,customer-309,82,119,155,251,220,199,69
310,customer-310,100,128,21,101,150,157,186
311,customer-311,86,120,125,121,90,66,42
312,customer-312,38,40,37,89,111,173,45
313,customer-313,86,182,181,134,80,160,227
314,customer-314,79,124,63,143,151,71,189
315,customer-315,152,170,52,207,98,36,114
316,customer-316,159,187,79,113,208,141,90
317,customer-317,20,109,201,62,160,132,162
318,customer-318,43,71,124,159,197,254,96
319,customer-319,188,245,26,159,239,68,13
320,customer-320,149,157,68,34,113,45,120
321,customer-321,158,249,221,80,208,0,195
322,customer-322,161,208,93,195,128,200,223
323,customer-323,99,123,154,142,28,205,192
324,customer-324,184,208,159,71,184,209,207
325,customer-325,193,194,166,103,103,70,61
326,customer-326,146,223,179,115,152,86,55
327,customer-327,115,175,181,221,220,117,82
328,customer-328,21,89,194,177,103,182,119
329,customer-329,72,91,170,67,138,96,208
330,customer-330,202,264,69,149,243,162,73
331,customer-331,64,137,185,209,60,49,147
332,customer-332,110,201,117,49,93,169,228
333,customer-333,102,142,117,78,229,180,91
334,customer-334,165,226,103,178,112,72,12
335,customer-335,37,122,78,230,103,120,185
336,customer-336,130,219,105,115,90,97,199
337,customer-337,188,258,43,59,214,117,44
338,customer-338,205,271,92,133,95,67,224
339,customer-339,34,67,9,166,158,124,142
340,customer-340,193,236,166,166,85,133,167
341,customer-341,127,183,161,30,95,113,77
342,customer-342,119,202,187,33,62,91,196
343,customer-343,176,238,127,83,108,144,160
344,customer-344,80,125,49,61,294,200,75
345,customer-345,89,160,87,82,139,132,69
346,customer-346,173,219,84,135,152,91,87
347,customer-347,122,148,60,124,203,71,91
348,customer-348,238,290,86,64,108,100,154
349,customer-349,182,222,174,102,72,98,95
350,customer-350,65,99,258,240,171,54,167
351,customer-351,106,153,56,134,111,181,71
352,customer-352,137,186,145,124,136,87,88
353,customer-353,200,274,142,41,160,32,128
354,customer-354,17,113,52,78,88,108,163
355,customer-355,33,56,164,18,220,11,55
356,customer-356,201,248,106,71,202,155,67
357,customer-357,191,231,194,60,48,127,197
358,customer-358,253,344,56,86,154,43,201
359,customer-359,100,154,102,109,193,248,143
360,customer-360,99,143,84,70,24,117,167
361,customer-361,115,144,187,171,155,94,146
362,customer-362,65,151,34,104,210,105,157
363,customer-363,53,90,204,84,41,29,113
364,customer-364,79,100,50,69,49,19,42
365,customer-365,120,191,194,206,115,123,16
366,customer-366,111,165,69,55,115,30,134
367,customer-367,204,265,100,188,80,274,144
368,customer-368,153,176,71,168,84,49,133
