id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
1,product-1,217,230,138,57,176,227,164,139,212
2,product-2,87,108,199,39,183,102,66,163,41
3,product-3,73,93,66,28,103,154,194,226,29
4,product-4,140,195,116,90,23,169,210,102,62
5,product-5,140,205,33,136,50,77,170,4,205
6,product-6,91,148,104,200,151,206,82,165,133
7,product-7,221,235,34,161,102,44,187,56,107
8,product-8,16,43,8,48,216,189,167,178,142
9,product-9,177,188,77,34,184,88,98,213,125
10,product-10,52,53,63,135,154,97,10,119,45
11,product-11,123,178,107,143,203,19,247,79,10
12,product-12,169,224,138,116,29,191,185,191,238
13,product-13,51,65,47,167,115,133,141,206,109
14,product-14,96,176,35,150,112,122,24,127,102
15,product-15,69,96,205,93,67,91,100,119,110
16,product-16,126,165,195,115,177,152,67,78,152
17,product-17,75,84,187,138,8,208,51,177,118
18,product-18,103,117,34,84,63,204,70,93,119
19,product-19,24,84,81,112,88,166,121,108,263
20,product-20,149,174,117,101,64,42,127,178,156
21,product-21,183,271,142,167,43,248,209,172,204
22,product-22,39,124,207,266,205,252,25,134,13
23,product-23,103,154,98,98,90,216,62,35,143
24,product-24,120,154,25,106,130,114,93,123,225
25,product-25,189,255,120,163,94,11,162,147,200
26,product-26,90,179,116,96,74,163,28,135,122
27,product-27,223,289,201,54,113,81,38,138,80
28,product-28,193,195,99,94,49,22,86,179,130
29,product-29,173,210,170,210,92,181,31,167,146
30,product-30,24,104,22,205,143,181,135,195,165
31,product-31,44,63,245,83,58,216,121,182,158
32,product-32,231,235,209,103,185,206,195,67,162
33,product-33,158,203,54,64,159,54,134,70,178
34,product-34,139,163,145,170,77,220,169,37,100
35,product-35,274,278,30,133,155,91,173,137,138
36,product-36,110,207,138,151,147,46,94,51,45
37,product-37,148,232,157,77,106,96,124,65,188
38,product-38,238,300,30,71,86,94,27,123,127
39,product-39,44,113,86,107,46,195,63,103,208
40,product-40,91,139,126,188,42,188,136,163,46
41,product-41,73,77,99,185,30,86,38,158,103
42,product-42,83,141,207,175,87,81,89,47,197
43,product-43,101,184,128,98,154,99,7,232,81
44,product-44,114,118,60,39,180,165,52,63,154
45,product-45,25,40,39,231,230,192,120,109,224
46,product-46,66,91,121,80,147,213,17,177,57
47,product-47,184,221,41,178,31,164,88,228,219
48,product-48,207,220,68,177,129,190,159,58,196
49,product-49,147,166,28,92,198,196,150,69,49
50,product-50,74,105,198,158,177,163,170,75,141
51,product-51,96,171,82,228,142,42,140,138,119
52,product-52,155,238,160,114,186,158,95,138,159
53,product-53,116,144,71,115,51,180,205,143,156
54,product-54,206,256,114,25,146,123,178,157,229
55,product-55,207,222,146,132,43,134,149,43,187
56,product-56,46,67,135,131,64,77,64,20,46
57,product-57,241,277,152,152,206,133,266,164,188
58,product-58,65,74,240,70,12,192,148,173,89
59,product-59,156,231,210,166,123,52,202,200,187
60,product-60,157,221,91,112,79,167,75,185,43
61,product-61,33,35,213,50,235,75,178,88,114
62,product-62,93,173,224,127,213,179,99,247,150
63,product-63,89,93,63,102,162,211,217,199,194
64,product-64,13,21,134,192,135,54,57,166,186
65,product-65,80,88,182,7,50,73,170,181,130
66,product-66,44,77,57,118,46,195,224,13,160
67,product-67,277,343,288,117,77,194,167,38,136
68,product-68,75,122,139,113,166,154,85,132,187
69,product-69,64,162,157,180,215,104,174,190,186
70,product-70,110,111,197,104,111,142,67,78,157
71,product-71,177,218,44,99,122,47,69,125,209
72,product-72,115,136,181,89,171,180,94,34,110
73,product-73,201,275,176,18,76,85,154,117,132
74,product-74,181,202,171,101,180,233,83,154,104
75,product-75,35,123,192,160,138,115,156,205,71
76,product-76,154,159,43,49,158,103,143,70,52
77,product-77,171,222,170,116,201,147,70,70,82
