id,label,ts_in,ts_out,dim_0,dim_1
1,product-1,144,231,193,112
2,product-2,88,132,222,225
3,product-3,90,105,32,161
4,product-4,15,41,19,138
5,product-5,119,182,195,161
6,product-6,171,256,51,63
7,product-7,114,146,63,9
8,product-8,200,227,200,76
9,product-9,56,133,80,57
10,product-10,109,174,156,104
11,product-11,66,90,110,124
12,product-12,59,79,152,133
13,product-13,114,162,34,190
14,product-14,214,308,54,133
15,product-15,151,178,104,63
16,product-16,169,254,164,63
17,product-17,134,187,78,83
18,product-18,196,283,15,206
19,product-19,205,282,21,45
20,product-20,195,210,167,74
21,product-21,164,189,138,106
22,product-22,256,287,121,213
23,product-23,83,139,65,159
24,product-24,52,123,176,209
25,product-25,234,261,72,129
26,product-26,75,135,140,15
27,product-27,162,229,253,94
28,product-28,176,194,190,126
29,product-29,126,201,199,221
30,product-30,195,208,79,154
31,product-31,139,159,96,23
32,product-32,28,117,49,25
33,product-33,72,126,48,195
34,product-34,212,302,193,133
35,product-35,198,217,175,205
36,product-36,121,193,65,20
37,product-37,27,81,136,166
38,product-38,208,272,145,130
39,product-39,88,153,125,26
40,product-40,112,188,28,167
41,product-41,21,82,193,192
42,product-42,56,131,9,175
43,product-43,104,171,191,177
44,product-44,72,103,189,39
45,product-45,75,120,117,160
46,product-46,153,180,110,64
47,product-47,165,194,174,123
48,product-48,216,266,178,5
49,product-49,179,262,152,131
50,product-50,97,154,146,108
51,product-51,44,138,161,170
52,product-52,84,182,94,153
53,product-53,177,216,216,116
54,product-54,122,187,99,162
55,product-55,33,112,186,177
56,product-56,186,274,187,41
57,product-57,135,228,143,194
58,product-58,210,246,43,13
59,product-59,148,177,100,64
60,product-60,174,227,43,234
61,product-61,189,224,212,154
62,product-62,48,84,207,151
63,product-63,37,66,241,10
64,product-64,49,136,172,96
65,product-65,96,158,258,227
66,product-66,125,189,143,195
67,product-67,92,159,91,184
68,product-68,18,60,137,124
69,product-69,90,146,73,29
70,product-70,80,89,147,53
71,product-71,205,224,63,93
72,product-72,255,297,148,48
73,product-73,135,137,127,44
74,product-74,171,256,1,225
75,product-75,165,185,205,204
76,product-76,195,262,157,73
77,product-77,229,270,253,145
78,product-78,114,180,98,111
79,product-79,195,197,113,83
80,product-80,123,155,24,211
81,product-81,196,220,200,98
82,product-82,38,55,140,217
83,product-83,148,234,144,155
84,product-84,50,125,207,123
85,product-85,18,38,187,143
86,product-86,194,224,176,37
87,product-87,221,250,164,201
88,product-88,7,54,114,158
89,product-89,139,173,59,183
90,product-90,214,290,185,30
91,product-91,172,225,212,29
92,product-92,114,212,180,76
93,product-93,96,171,170,20
94,product-94,209,264,68,123
95,product-95,127,149,81,112
96,product-96,26,91,167,17
97,product-97,232,325,211,204
98,product-98,127,200,165,103
99,product-99,58,86,143,16
100,product-100,120,194,76,86
101,product-101,92,129,100,29
102,product-102,66,83,36,55
103,product-103,113,167,223,50
104,product-104,273,334,32,53
105,product-105,87,90,61,169
106,product-106,72,135,74,23
107,product-107,116,182,77,30
108,product-108,157,167,80,127
109,product-109,99,189,98,120
110,product-110,46,65,209,145
111,product-111,203,250,112,29
112,product-112,43,79,203,111
113,product-113,192,219,69,182
114,product-114,123,175,38,48
115,product-115,77,84,130,170
116,product-116,97,186,105,188
117,product-117,231,318,265,204
118,product-118,121,204,103,224
119,product-119,96,180,140,113
120,product-120,187,250,152,135
121,product-121,69,77,244,228
122,product-122,141,156,86,58
123,product-123,69,143,4,197
124,product-124,199,220,119,124
125,product-125,163,165,171,164
126,product-126,164,212,124,173
127,product-127,103,160,130,24
128,product-128,75,145,143,225
129,product-129,255,267,62,257
130,product-130,104,140,143,108
131,product-131,140,230,83,137
132,product-132,147,224,61,134
133,product-133,192,269,57,2
134,product-134,25,29,10,185
135,product-135,104,108,90,195
136,product-136,185,225,94,94
137,product-137,136,171,136,41
138,product-138,180,216,126,68
139,product-139,188,220,47,122
140,product-140,189,213,170,240
141,product-141,199,254,90,145
142,product-142,219,308,69,171
143,product-143,40,111,12,217
144,product-144,125,205,114,94
145,product-145,92,161,152,134
146,product-146,54,148,209,106
147,product-147,89,171,121,18
148,product-148,203,262,168,191
149,product-149,63,101,76,172
150,product-150,90,121,160,106
151,product-151,12,65,108,154
152,product-152,225,240,128,85
153,product-153,199,260,175,155
154,product-154,81,107,142,218
155,product-155,125,204,127,186
156,product-156,52,66,89,16
157,product-157,84,164,121,92
158,product-158,39,61,58,66
159,product-159,92,95,125,44
160,product-160,26,68,4,148
161,product-161,137,216,67,159
162,product-162,52,142,165,87
163,product-163,86,145,208,163
164,product-164,45,84,62,123
165,product-165,24,56,77,47
166,product-166,226,274,170,34
167,product-167,154,236,107,26
168,product-168,207,290,204,106
169,product-169,75,162,140,211
170,product-170,152,212,142,220
171,product-171,243,315,71,179
172,product-172,72,74,123,227
173,product-173,137,149,57,58
174,product-174,161,237,105,167
175,product-175,202,222,72,108
176,product-176,74,130,83,169
177,product-177,43,50,94,139
178,product-178,20,91,162,29
179,product-179,152,206,136,91
180,product-180,230,241,164,28
181,product-181,139,228,99,106
182,product-182,123,144,16,63
183,product-183,195,230,218,229
184,product-184,207,277,197,81
185,product-185,186,193,237,109
186,product-186,137,163,142,179
187,product-187,155,226,19,114
188,product-188,97,119,26,73
189,product-189,106,161,251,41
190,product-190,21,50,136,177
191,product-191,212,280,27,42
192,product-192,192,224,117,36
193,product-193,133,205,86,59
194,product-194,43,79,203,9
195,product-195,122,202,213,173
196,product-196,182,257,13,105
197,product-197,200,206,94,68
198,product-198,71,83,107,213
199,product-199,55,73,89,233
200,product-200,192,235,204,137
201,product-201,44,95,293,89
202,product-202,76,159,80,101
203,product-203,109,134,121,194
204,product-204,104,186,201,184
205,product-205,142,145,110,162
206,product-206,71,99,82,208
207,product-207,182,262,29,179
208,product-208,3,53,84,69
209,product-209,54,75,157,187
210,product-210,111,120,35,196
211,product-211,102,116,67,56
212,product-212,70,158,123,192
213,product-213,93,171,209,234
214,product-214,39,116,10,115
215,product-215,32,53,172,171
216,product-216,164,212,3,51
217,product-217,26,38,148,191
218,product-218,153,166,287,39
219,product-219,105,111,63,51
220,product-220,150,228,64,56
221,product-221,87,124,201,90
222,product-222,204,214,106,54
223,product-223,134,225,101,139
224,product-224,134,146,31,71
225,product-225,155,170,152,19
226,product-226,108,207,66,165
227,product-227,14,109,100,32
228,product-228,165,255,29,202
229,product-229,142,171,32,207
230,product-230,79,135,67,190
231,product-231,18,106,234,173
232,product-232,166,204,210,76
233,product-233,170,195,193,116
234,product-234,214,245,154,271
235,product-235,72,100,160,79
236,product-236,38,128,160,40
237,product-237,121,140,151,182
238,product-238,255,280,98,131
239,product-239,213,304,100,111
240,product-240,164,241,67,69
241,product-241,149,149,27,88
242,product-242,210,233,51,129
243,product-243,240,299,78,144
244,product-244,207,216,81,188
245,product-245,138,207,80,172
246,product-246,91,98,146,42
247,product-247,134,161,184,159
248,product-248,35,123,51,43
249,product-249,178,208,112,118
250,product-250,132,144,121,224
251,product-251,84,126,90,79
252,product-252,144,153,89,150
253,product-253,83,159,186,191
254,product-254,159,176,130,234
255,product-255,187,263,117,161
256,product-256,94,175,25,130
257,product-257,90,159,205,155
258,product-258,200,207,118,144
259,product-259,28,43,207,136
260,product-260,242,321,152,48
261,product-261,69,111,59,150
262,product-262,175,239,126,92
263,product-263,200,285,92,12
264,product-264,170,184,198,100
265,product-265,107,194,155,35
266,product-266,109,153,80,108
267,product-267,207,233,198,113
268,product-268,156,228,186,122
269,product-269,66,90,118,184
270,product-270,104,177,161,42
271,product-271,143,212,40,24
272,product-272,156,210,60,52
273,product-273,24,67,134,99
274,product-274,155,186,17,164
275,product-275,59,104,152,190
276,product-276,205,251,85,80
277,product-277,113,150,65,75
278,product-278,105,107,208,105
279,product-279,197,229,155,49
280,product-280,59,129,214,97
281,product-281,58,89,137,168
282,product-282,100,133,169,154
283,product-283,40,80,116,206
284,product-284,193,222,148,69
285,product-285,150,234,11,159
286,product-286,151,184,191,272
287,product-287,195,213,116,73
288,product-288,212,262,39,154
289,product-289,198,260,19,189
290,product-290,177,214,66,57
291,product-291,241,275,108,65
292,product-292,137,179,160,192
293,product-293,30,110,91,70
294,product-294,116,163,122,141
295,product-295,146,236,25,69
296,product-296,43,82,212,24
297,product-297,199,285,145,41
298,product-298,183,210,130,5
299,product-299,62,117,28,16
300,product-300,164,196,153,97
301,product-301,25,51,261,246
302,product-302,87,101,165,66
303,product-303,69,76,65,91
304,product-304,125,145,102,123
305,product-305,14,19,28,260
306,product-306,198,206,72,98
307,product-307,144,213,236,101
308,product-308,175,223,133,170
309,product-309,76,149,133,92
310,product-310,164,206,59,102
311,product-311,3,86,76,197
312,product-312,100,117,143,154
313,product-313,70,127,144,170
314,product-314,190,220,170,100
315,product-315,196,250,60,196
316,product-316,48,74,164,107
317,product-317,44,87,207,57
318,product-318,188,257,48,213
319,product-319,106,155,175,80
320,product-320,159,235,46,64
321,product-321,44,65,69,56
322,product-322,49,127,171,126
323,product-323,69,102,167,90
324,product-324,31,105,68,157
325,product-325,115,164,103,65
326,product-326,51,73,207,80
327,product-327,85,97,45,36
328,product-328,75,151,226,159
329,product-329,164,246,163,136
330,product-330,96,153,29,72
331,product-331,52,137,207,116
332,product-332,151,201,98,174
333,product-333,68,79,70,29
334,product-334,88,96,127,163
335,product-335,69,107,25,81
336,product-336,64,114,136,194
337,product-337,171,178,56,112
338,product-338,122,157,132,173
339,product-339,214,226,25,103
340,product-340,10,96,188,13
341,product-341,61,115,144,136
342,product-342,202,230,189,23
343,product-343,53,117,134,100
344,product-344,225,252,104,116
345,product-345,140,218,159,231
346,product-346,63,120,89,147
347,product-347,164,200,173,73
348,product-348,249,334,179,59
349,product-349,208,260,145,190
350,product-350,145,232,168,142
351,product-351,208,265,77,20
352,product-352,40,78,196,187
353,product-353,70,161,131,189
354,product-354,231,303,208,116
355,product-355,42,120,143,53
356,product-356,156,196,77,268
357,product-357,63,79,98,180
358,product-358,60,61,117,61
359,product-359,98,164,56,129
360,product-360,206,244,171,45
361,product-361,60,149,99,137
362,product-362,210,224,55,20
363,product-363,131,157,60,176
364,product-364,109,200,41,91
365,product-365,85,97,39,131
366,product-366,10,71,181,77
367,product-367,176,177,54,42
368,product-368,193,278,88,41
369,product-369,171,261,87,89
370,product-370,121,134,187,238
371,product-371,109,154,76,159
372,product-372,178,211,140,77
373,product-373,66,101,224,81
374,product-374,62,86,198,137
375,product-375,34,66,192,185
376,product-376,83,126,128,55
377,product-377,92,135,174,167
378,product-378,237,259,173,53
379,product-379,65,137,120,157
380,product-380,193,272,155,60
381,product-381,168,199,202,222
382,product-382,174,224,234,0
383,product-383,72,99,127,98
384,product-384,75,81,119,218
385,product-385,9,30,125,99
386,product-386,97,145,156,127
387,product-387,175,255,50,115
388,product-388,77,94,150,149
389,product-389,195,274,170,44
390,product-390,205,298,97,82
391,product-391,60,139,144,135
392,product-392,74,98,108,151
393,product-393,35,93,16,113
394,product-394,163,210,105,66
395,product-395,172,224,176,178
396,product-396,79,160,131,199
397,product-397,100,121,151,96
398,product-398,184,274,108,29
399,product-399,178,224,201,156
400,product-400,53,106,145,210
401,product-401,217,263,42,133
402,product-402,85,93,57,209
403,product-403,10,68,61,236
404,product-404,20,62,146,239
405,product-405,163,163,220,140
406,product-406,114,125,251,97
407,product-407,81,84,186,184
408,product-408,143,198,163,162
409,product-409,64,118,230,65
410,product-410,41,42,181,166
411,product-411,78,114,33,204
412,product-412,13,94,154,54
413,product-413,141,183,240,50
414,product-414,125,166,59,83
415,product-415,161,216,189,123
416,product-416,105,121,62,40
417,product-417,151,153,205,204
418,product-418,68,113,152,88
419,product-419,140,147,221,52
