id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3
1,product-1,160,183,120,40,7,128
2,product-2,23,49,139,151,209,44
3,product-3,182,219,164,65,210,226
4,product-4,177,218,85,110,87,84
5,product-5,82,120,38,109,105,92
6,product-6,47,117,115,36,157,211
7,product-7,111,118,36,180,189,178
8,product-8,163,239,219,106,119,125
9,product-9,223,263,137,112,190,120
10,product-10,143,182,73,78,137,208
11,product-11,94,138,60,68,199,88
12,product-12,71,95,59,136,112,197
13,product-13,65,134,102,91,104,13
14,product-14,214,254,161,199,146,85
15,product-15,55,75,97,188,146,136
16,product-16,125,139,131,78,136,184
17,product-17,149,211,247,68,111,92
18,product-18,7,78,26,126,29,46
19,product-19,81,90,98,206,203,54
20,product-20,93,139,177,177,207,6
21,product-21,176,192,199,79,200,198
22,product-22,195,239,74,107,11,108
23,product-23,140,187,181,183,153,164
24,product-24,66,83,169,228,117,176
25,product-25,114,161,159,114,178,210
26,product-26,183,233,174,19,188,220
27,product-27,220,249,90,213,110,81
28,product-28,132,153,15,174,117,19
29,product-29,53,92,128,52,123,21
30,product-30,14,33,81,37,150,112
31,product-31,156,249,48,103,196,179
32,product-32,71,99,130,132,120,138
33,product-33,47,108,117,126,253,229
34,product-34,258,290,99,185,65,116
35,product-35,210,289,116,50,109,57
36,product-36,102,187,186,53,101,142
37,product-37,202,231,145,73,122,161
38,product-38,161,185,11,48,205,200
39,product-39,111,185,141,222,209,80
40,product-40,186,244,32,122,139,97
41,product-41,193,212,42,64,98,11
42,product-42,68,137,143,201,132,102
43,product-43,56,98,124,154,196,86
44,product-44,160,253,150,63,38,51
45,product-45,83,127,103,81,70,161
46,product-46,172,175,47,216,136,102
47,product-47,114,186,202,157,145,11
48,product-48,119,209,177,186,90,51
49,product-49,48,93,144,104,204,115
50,product-50,229,318,182,165,158,117
51,product-51,81,95,228,71,190,188
52,product-52,188,283,178,163,130,220
53,product-53,146,198,182,100,162,276
54,product-54,133,213,38,212,72,181
55,product-55,98,109,59,202,132,90
56,product-56,37,104,156,61,233,170
57,product-57,180,256,83,33,93,145
58,product-58,216,302,197,107,155,97
59,product-59,196,248,147,237,48,79
60,product-60,202,280,197,95,109,219
61,product-61,198,237,102,153,152,214
62,product-62,56,141,183,109,145,116
63,product-63,29,75,189,127,44,93
64,product-64,89,178,36,90,197,108
65,product-65,103,157,117,76,193,172
66,product-66,165,187,173,148,55,192
67,product-67,50,131,47,227,77,101
68,product-68,263,301,38,18,88,135
69,product-69,207,211,26,203,187,87
70,product-70,157,169,202,171,159,68
71,product-71,136,226,121,129,116,93
72,product-72,39,101,48,62,16,139
73,product-73,134,170,151,23,208,243
74,product-74,111,140,152,19,211,139
75,product-75,52,112,150,145,209,141
76,product-76,19,48,198,187,161,4
77,product-77,168,169,151,131,155,182
78,product-78,222,284,8,143,42,212
79,product-79,186,247,182,84,210,193
80,product-80,141,146,60,113,191,208
81,product-81,209,271,89,232,189,184
82,product-82,132,231,200,197,96,99
83,product-83,189,246,167,194,74,125
84,product-84,50,109,277,173,134,200
85,product-85,54,120,268,116,97,42
86,product-86,109,175,59,117,182,169
87,product-87,198,265,108,122,180,96
88,product-88,129,141,146,110,121,73
89,product-89,76,120,131,245,210,170
90,product-90,55,139,33,214,171,25
91,product-91,51,102,206,57,158,106
92,product-92,41,80,238,202,140,32
93,product-93,10,67,186,142,53,100
94,product-94,80,109,207,80,66,68
95,product-95,109,141,96,58,100,196
96,product-96,56,126,81,127,146,135
97,product-97,197,238,64,113,102,107
98,product-98,202,229,156,176,186,83
99,product-99,153,167,36,71,197,120
100,product-100,171,208,184,44,223,100
101,product-101,61,125,42,34,104,173
102,product-102,284,289,206,58,212,138
103,product-103,119,156,49,231,206,205
104,product-104,35,94,42,216,64,138
105,product-105,142,211,65,78,180,139
106,product-106,111,140,88,67,143,142
107,product-107,176,182,144,76,143,124
108,product-108,129,192,127,179,145,72
109,product-109,197,219,56,65,137,21
110,product-110,110,125,56,30,130,192
111,product-111,119,163,134,194,117,152
112,product-112,123,150,26,177,124,80
113,product-113,85,141,185,210,164,28
114,product-114,190,217,145,175,220,49
115,product-115,95,190,127,194,39,223
116,product-116,94,105,108,74,20,150
117,product-117,191,243,41,97,61,78
118,product-118,48,102,210,88,199,170
119,product-119,23,104,147,63,194,141
120,product-120,45,102,59,89,108,120
121,product-121,196,265,81,32,74,151
122,product-122,195,235,41,117,101,222
123,product-123,65,131,136,170,187,157
124,product-124,43,139,155,215,80,186
125,product-125,231,240,132,59,164,39
126,product-126,50,59,46,194,39,232
127,product-127,31,65,150,56,60,152
128,product-128,14,38,103,25,271,83
129,product-129,178,246,129,72,122,48
130,product-130,66,90,131,184,60,156
131,product-131,49,110,91,58,130,167
132,product-132,19,82,120,201,24,75
133,product-133,91,180,110,136,44,71
134,product-134,218,220,144,110,120,115
135,product-135,156,209,123,76,51,51
136,product-136,104,132,192,100,76,141
137,product-137,158,170,165,134,176,81
138,product-138,182,247,105,47,247,52
139,product-139,34,60,187,68,94,55
140,product-140,107,143,182,156,124,215
141,product-141,84,110,125,155,46,153
142,product-142,173,253,82,141,80,204
143,product-143,124,161,171,110,218,99
144,product-144,188,236,240,162,134,55
145,product-145,6,100,153,176,158,114
146,product-146,166,199,20,54,216,202
147,product-147,178,230,93,121,215,51
148,product-148,18,28,195,163,183,55
149,product-149,30,33,103,68,134,69
150,product-150,86,128,100,142,99,162
151,product-151,186,262,199,95,127,57
152,product-152,139,214,175,182,121,53
153,product-153,24,76,31,66,210,178
154,product-154,130,229,61,22,62,158
155,product-155,205,295,149,74,104,10
156,product-156,124,168,169,178,176,137
157,product-157,188,213,85,44,118,209
158,product-158,54,56,77,114,18,86
159,product-159,158,174,25,113,25,163
160,product-160,218,293,51,171,170,70
161,product-161,249,251,54,81,90,212
162,product-162,68,115,118,76,24,154
163,product-163,58,117,152,94,239,169
164,product-164,112,185,151,155,103,208
165,product-165,173,200,148,199,242,8
166,product-166,206,277,50,106,211,165
167,product-167,167,242,73,120,52,209
168,product-168,121,217,29,258,85,213
169,product-169,81,139,72,111,134,59
170,product-170,170,196,188,85,80,157
171,product-171,139,142,234,129,31,131
172,product-172,104,110,228,72,57,136
173,product-173,226,253,58,87,91,130
174,product-174,195,240,208,185,149,129
175,product-175,131,152,140,123,241,58
176,product-176,87,142,81,111,67,181
177,product-177,21,56,66,51,68,82
178,product-178,92,185,123,74,141,128
