id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5
1,product-1,124,165,48,217,96,176,113,176
2,product-2,166,210,25,81,169,145,222,132
3,product-3,201,257,33,159,89,65,209,120
4,product-4,87,101,188,150,86,90,99,74
5,product-5,159,252,182,172,104,58,195,215
6,product-6,95,122,109,244,120,212,127,83
7,product-7,247,272,181,229,100,75,69,126
8,product-8,117,175,189,50,181,179,94,222
9,product-9,63,160,177,83,169,167,108,47
10,product-10,128,185,169,79,250,66,136,55
11,product-11,0,55,164,194,221,47,68,137
12,product-12,27,106,26,124,144,102,28,51
13,product-13,27,30,110,68,109,113,72,65
14,product-14,89,173,99,195,87,123,83,48
15,product-15,15,52,69,198,229,78,194,224
16,product-16,202,222,115,74,50,48,205,52
17,product-17,104,123,110,179,134,83,171,65
18,product-18,234,240,146,141,57,81,154,92
19,product-19,60,96,169,106,121,87,31,131
20,product-20,174,262,177,95,195,60,124,135
21,product-21,82,93,131,176,144,13,85,74
22,product-22,93,118,45,178,107,127,108,120
23,product-23,203,300,130,60,140,74,167,35
24,product-24,50,86,189,159,97,110,187,156
25,product-25,89,156,72,140,140,234,145,195
26,product-26,208,234,192,148,124,204,209,127
27,product-27,244,258,113,156,16,28,78,81
28,product-28,127,202,155,102,119,223,184,91
29,product-29,64,151,170,110,216,94,173,56
30,product-30,172,247,213,7,103,206,57,101
31,product-31,170,184,116,107,186,27,11,170
32,product-32,151,236,150,82,131,151,97,182
33,product-33,162,169,195,98,54,155,205,159
34,product-34,75,87,96,101,198,118,78,139
35,product-35,11,66,202,150,178,59,126,223
36,product-36,217,298,55,106,101,79,239,129
37,product-37,218,242,82,187,196,189,157,125
38,product-38,176,207,24,148,104,54,143,62
39,product-39,171,224,48,35,65,60,154,61
40,product-40,114,149,66,211,161,80,210,40
41,product-41,193,214,198,156,96,83,168,174
42,product-42,150,154,75,130,74,175,94,113
43,product-43,197,247,67,170,99,92,20,157
44,product-44,228,242,34,158,105,140,138,78
45,product-45,104,138,33,110,185,159,126,226
46,product-46,124,167,50,59,213,18,191,62
47,product-47,77,115,163,161,157,157,106,16
48,product-48,231,283,145,34,193,201,218,51
49,product-49,175,218,103,102,26,171,152,98
50,product-50,78,167,136,216,169,192,35,92
51,product-51,131,195,172,191,108,236,45,191
52,product-52,184,251,50,11,24,142,11,77
53,product-53,104,112,112,12,45,36,165,114
54,product-54,89,97,103,187,101,101,17,12
55,product-55,103,160,173,11,70,27,72,79
56,product-56,119,121,138,122,132,70,159,38
57,product-57,217,225,148,180,74,102,180,72
58,product-58,184,191,198,163,116,41,83,193
59,product-59,105,196,173,208,231,182,81,192
60,product-60,64,72,194,103,28,203,79,64
61,product-61,164,181,63,102,10,74,91,206
62,product-62,162,177,156,177,83,195,206,147
63,product-63,159,217,180,21,265,182,146,184
64,product-64,200,224,152,33,91,31,183,38
65,product-65,234,282,114,185,171,113,64,149
66,product-66,52,86,152,137,247,157,70,25
67,product-67,131,190,74,131,14,246,109,36
68,product-68,190,227,53,87,247,64,107,60
69,product-69,214,307,47,158,145,271,163,114
70,product-70,165,251,14,203,42,121,138,181
71,product-71,146,155,29,103,151,223,196,48
72,product-72,107,124,200,31,114,70,119,116
73,product-73,91,143,129,220,133,139,157,193
74,product-74,42,104,208,86,102,211,184,81
75,product-75,17,18,154,29,99,78,52,50
76,product-76,24,55,122,101,106,80,179,149
77,product-77,71,158,119,162,103,213,68,201
78,product-78,140,209,149,200,45,154,152,127
79,product-79,116,197,172,110,48,24,169,122
80,product-80,63,127,52,137,89,229,176,49
81,product-81,82,166,159,79,21,78,50,84
82,product-82,191,219,22,174,115,160,25,32
83,product-83,94,179,46,54,113,5,123,103
84,product-84,197,249,175,44,169,69,163,41
85,product-85,33,62,39,102,183,95,6,2
86,product-86,194,205,171,149,160,159,107,187
87,product-87,146,189,159,8,128,104,190,90
88,product-88,167,209,203,60,206,84,213,28
89,product-89,133,191,87,147,117,98,139,160
90,product-90,137,227,212,244,161,127,198,138
91,product-91,181,263,71,184,195,69,242,28
92,product-92,177,216,207,27,112,77,85,46
93,product-93,140,208,83,201,225,109,37,61
94,product-94,211,267,132,134,42,178,17,167
95,product-95,21,39,68,174,69,162,25,37
96,product-96,91,150,130,93,10,204,64,91
97,product-97,227,304,209,60,118,11,125,130
98,product-98,138,170,18,79,33,206,223,51
99,product-99,79,159,54,93,185,154,139,77
100,product-100,191,227,196,180,68,108,111,145
101,product-101,171,257,165,122,187,43,162,153
102,product-102,116,147,230,207,154,10,188,84
103,product-103,204,260,73,79,177,38,153,196
104,product-104,23,91,7,201,62,119,100,166
105,product-105,45,47,57,12,45,150,19,76
106,product-106,43,57,118,132,192,137,43,101
107,product-107,134,140,76,112,92,196,79,113
108,product-108,117,171,183,172,116,140,65,200
109,product-109,90,131,111,201,38,90,85,34
110,product-110,232,290,152,105,203,60,94,89
111,product-111,64,135,136,184,211,34,88,98
112,product-112,104,153,142,88,104,149,77,181
113,product-113,3,63,162,219,113,115,75,86
114,product-114,11,16,130,234,194,17,205,118
115,product-115,125,198,82,132,200,16,59,133
