id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4
1,product-1,172,243,106,133,241,117,151
2,product-2,80,155,196,94,80,160,194
3,product-3,54,119,136,170,90,197,156
4,product-4,147,234,170,152,159,210,75
5,product-5,158,198,10,36,73,75,220
6,product-6,46,60,135,170,20,65,78
7,product-7,64,134,159,87,50,245,197
8,product-8,176,248,216,100,109,144,123
9,product-9,56,114,216,40,121,142,92
10,product-10,112,184,176,171,28,203,182
11,product-11,105,118,76,25,165,118,239
12,product-12,169,179,87,85,185,55,191
13,product-13,70,165,166,103,161,237,115
14,product-14,136,179,142,120,154,128,149
15,product-15,185,240,51,147,139,73,135
16,product-16,81,81,68,38,76,161,195
17,product-17,154,162,25,211,185,187,101
18,product-18,104,116,38,71,62,73,145
19,product-19,167,246,164,200,247,158,239
20,product-20,230,241,132,113,105,133,72
21,product-21,142,144,189,148,53,99,79
22,product-22,143,214,55,79,39,206,85
23,product-23,263,271,32,48,154,33,47
24,product-24,169,179,36,177,116,146,40
25,product-25,84,89,198,89,80,53,171
26,product-26,231,319,220,144,181,226,130
27,product-27,67,84,44,174,262,115,132
28,product-28,167,229,66,188,108,240,113
29,product-29,81,168,121,93,165,144,104
30,product-30,69,125,173,44,100,25,168
31,product-31,161,249,142,175,192,131,172
32,product-32,46,75,218,109,68,22,84
33,product-33,31,69,238,148,100,128,91
34,product-34,202,286,60,98,226,180,69
35,product-35,129,129,95,123,162,85,54
36,product-36,105,189,90,230,192,95,124
37,product-37,120,127,34,105,174,190,5
38,product-38,29,50,259,159,72,120,161
39,product-39,171,247,170,169,146,143,40
40,product-40,119,166,148,176,193,199,133
41,product-41,56,132,83,202,39,54,183
42,product-42,231,261,72,40,87,109,112
43,product-43,172,212,178,60,184,102,127
44,product-44,224,302,44,249,79,19,48
45,product-45,143,194,121,221,41,140,21
46,product-46,22,101,156,205,198,218,179
47,product-47,208,230,153,85,146,231,68
48,product-48,194,213,83,83,11,217,220
49,product-49,28,99,161,120,48,183,200
50,product-50,131,156,113,116,83,239,213
51,product-51,69,81,204,20,166,28,53
52,product-52,96,128,109,221,37,18,38
53,product-53,57,112,192,37,7,271,64
54,product-54,187,266,208,162,75,100,97
55,product-55,175,199,200,37,19,130,108
56,product-56,62,141,152,12,87,225,136
57,product-57,183,259,146,167,44,109,68
58,product-58,157,159,119,129,204,219,192
59,product-59,56,130,43,200,57,81,47
60,product-60,79,121,164,85,200,101,254
61,product-61,50,68,80,111,54,54,212
62,product-62,103,195,81,52,134,81,97
63,product-63,53,60,145,243,65,180,188
64,product-64,14,97,42,5,65,54,250
65,product-65,63,142,81,24,101,76,73
66,product-66,92,167,80,49,29,12,184
67,product-67,68,77,222,130,139,226,66
68,product-68,89,178,152,20,130,121,46
69,product-69,183,185,155,77,178,157,105
70,product-70,133,142,198,215,152,30,161
71,product-71,74,156,177,148,176,117,133
72,product-72,95,140,152,251,74,139,61
73,product-73,191,195,201,232,186,46,36
74,product-74,58,127,196,186,215,39,173
75,product-75,204,245,63,186,114,206,116
76,product-76,95,183,64,60,151,163,70
77,product-77,133,187,159,140,73,67,83
78,product-78,91,133,78,59,96,246,189
79,product-79,113,113,157,192,155,230,208
80,product-80,205,276,159,112,118,65,143
81,product-81,33,129,110,17,155,107,121
82,product-82,171,242,181,153,67,205,92
83,product-83,25,37,158,57,85,121,209
84,product-84,133,192,185,127,250,32,89
85,product-85,175,267,19,74,216,192,88
86,product-86,218,233,21,100,168,105,242
87,product-87,141,169,162,179,65,30,187
88,product-88,222,259,39,200,137,167,19
89,product-89,200,255,168,176,79,206,97
90,product-90,32,93,212,73,170,254,54
91,product-91,79,128,86,71,151,58,28
92,product-92,93,94,85,187,117,57,225
93,product-93,51,137,94,85,57,134,18
94,product-94,19,106,84,146,103,197,22
95,product-95,100,190,114,32,56,147,293
96,product-96,154,195,73,234,4,64,177
97,product-97,16,107,60,238,48,113,210
98,product-98,28,54,190,176,37,197,208
99,product-99,105,137,61,156,22,142,175
100,product-100,120,179,67,106,60,76,219
101,product-101,125,191,231,92,93,48,123
102,product-102,108,133,22,225,171,31,129
103,product-103,190,215,27,159,11,152,220
104,product-104,175,221,116,57,14,206,252
105,product-105,152,205,25,125,105,103,141
106,product-106,219,311,88,15,162,154,177
107,product-107,139,172,52,193,43,3,125
108,product-108,183,241,197,21,107,29,124
109,product-109,72,133,142,177,55,177,60
110,product-110,21,56,195,167,210,151,78
111,product-111,216,281,41,90,184,79,175
112,product-112,179,243,133,44,33,204,56
113,product-113,61,80,257,210,205,110,182
114,product-114,84,99,119,75,16,126,133
115,product-115,191,240,29,86,265,168,194
116,product-116,101,119,174,115,82,192,155
117,product-117,149,221,30,155,27,53,187
118,product-118,164,210,150,26,97,210,71
119,product-119,75,118,215,73,171,171,153
120,product-120,186,277,163,142,160,63,42
121,product-121,173,254,53,127,228,200,141
122,product-122,202,231,159,160,125,209,124
123,product-123,166,241,191,65,69,18,112
124,product-124,53,87,67,149,98,14,72
125,product-125,186,283,170,195,135,177,168
126,product-126,173,208,174,201,125,20,189
127,product-127,214,225,72,96,98,169,256
128,product-128,191,243,85,146,159,179,124
129,product-129,187,282,167,147,102,90,147
130,product-130,119,145,135,92,26,116,156
131,product-131,49,59,59,162,158,47,197
132,product-132,77,81,36,84,186,93,131
133,product-133,190,237,182,41,79,78,47
134,product-134,64,81,59,35,219,203,168
135,product-135,82,136,46,140,70,117,155
136,product-136,62,117,207,159,137,227,170
137,product-137,142,211,206,132,95,229,168
138,product-138,79,116,124,283,71,29,197
139,product-139,6,35,158,111,169,38,141
140,product-140,193,284,89,43,220,226,241
141,product-141,124,150,99,190,28,37,104
142,product-142,162,206,165,197,221,203,180
143,product-143,110,127,60,199,115,236,46
144,product-144,239,295,4,64,77,253,161
145,product-145,186,233,50,217,100,98,189
146,product-146,154,170,195,157,29,184,182
147,product-147,92,139,154,13,203,160,179
148,product-148,120,135,95,98,65,153,85
149,product-149,214,244,74,148,154,107,183
150,product-150,137,184,162,229,201,199,14
151,product-151,163,243,157,132,76,59,118
152,product-152,95,113,55,127,203,129,154
153,product-153,103,173,180,34,136,147,202
154,product-154,152,221,175,14,198,149,141
155,product-155,45,83,125,26,96,136,193
156,product-156,18,89,110,182,194,57,85
157,product-157,194,276,186,143,139,214,167
158,product-158,179,241,127,232,36,204,67
159,product-159,65,114,127,193,53,145,100
160,product-160,196,244,186,45,115,220,59
161,product-161,96,169,203,143,21,179,195
162,product-162,216,289,228,27,144,208,219
163,product-163,46,63,73,163,176,173,87
164,product-164,73,134,103,148,135,192,35
165,product-165,69,73,50,60,16,96,136
166,product-166,191,236,114,71,118,129,113
167,product-167,183,250,17,90,241,82,50
168,product-168,200,269,70,135,112,141,178
169,product-169,11,55,76,136,30,64,83
170,product-170,34,118,81,175,207,5,101
171,product-171,154,180,59,223,66,158,98
172,product-172,144,167,39,101,157,88,50
173,product-173,137,199,91,115,37,56,169
174,product-174,111,152,76,64,51,22,148
175,product-175,207,243,119,149,242,170,178
176,product-176,74,76,115,43,164,215,100
177,product-177,104,191,29,38,119,87,234
178,product-178,35,71,219,108,63,87,110
179,product-179,83,148,198,70,185,39,37
180,product-180,138,188,204,75,169,204,189
181,product-181,192,278,134,83,123,99,185
182,product-182,156,246,113,107,189,174,196
183,product-183,78,163,166,75,114,85,75
184,product-184,191,228,137,150,81,249,30
185,product-185,266,336,180,4,42,225,147
186,product-186,207,208,98,224,45,93,109
187,product-187,46,133,104,195,240,100,14
188,product-188,183,185,255,221,190,75,172
189,product-189,48,122,36,22,35,25,115
190,product-190,215,290,58,109,111,113,113
