id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,product-1,20,62,151,234,135
2,product-2,96,126,148,212,120
3,product-3,187,204,71,10,152
4,product-4,87,109,197,231,232
5,product-5,133,173,196,60,49
6,product-6,82,83,125,45,118
7,product-7,167,240,84,189,210
8,product-8,66,75,102,117,217
9,product-9,200,240,210,112,109
10,product-10,64,152,184,151,117
11,product-11,114,114,162,24,138
12,product-12,48,92,3,128,156
13,product-13,81,108,71,152,184
14,product-14,193,220,161,120,28
15,product-15,28,83,226,94,167
16,product-16,49,60,221,144,82
17,product-17,153,160,201,66,37
18,product-18,16,40,19,164,190
19,product-19,46,92,47,57,67
20,product-20,42,113,127,159,220
21,product-21,93,139,105,54,17
22,product-22,134,214,254,48,145
23,product-23,45,87,180,175,115
24,product-24,122,133,154,99,218
25,product-25,123,158,47,68,162
26,product-26,134,175,166,237,65
27,product-27,74,135,183,167,71
28,product-28,41,136,112,20,23
29,product-29,163,172,112,5,33
30,product-30,120,162,191,67,53
31,product-31,156,205,200,115,175
32,product-32,65,98,157,51,204
33,product-33,176,210,20,20,114
34,product-34,213,215,173,132,102
35,product-35,150,185,167,158,143
36,product-36,87,102,39,164,116
37,product-37,167,198,90,56,143
38,product-38,237,276,19,210,102
39,product-39,170,178,124,126,207
40,product-40,47,127,171,242,85
41,product-41,52,62,206,62,175
42,product-42,121,172,25,150,157
43,product-43,66,81,152,42,208
44,product-44,213,296,51,181,97
45,product-45,8,59,87,120,22
46,product-46,239,257,179,106,145
47,product-47,177,213,199,74,186
48,product-48,191,255,167,39,94
49,product-49,138,184,47,18,53
50,product-50,161,222,86,18,231
51,product-51,253,290,77,35,80
52,product-52,44,80,204,8,188
53,product-53,155,212,117,68,124
54,product-54,131,168,211,88,96
55,product-55,79,137,99,283,49
56,product-56,32,58,42,168,209
57,product-57,118,184,3,137,100
58,product-58,135,183,143,118,193
59,product-59,65,88,40,191,54
60,product-60,76,147,12,146,126
61,product-61,84,160,120,162,58
62,product-62,186,242,149,66,95
63,product-63,28,62,134,141,218
64,product-64,152,226,147,126,252
65,product-65,55,120,208,137,43
66,product-66,37,118,100,195,117
67,product-67,130,182,73,266,11
68,product-68,73,143,54,237,13
69,product-69,172,247,48,107,123
70,product-70,84,174,173,267,116
71,product-71,102,173,131,71,224
