process,ts_start,ts_end,algorithm,data_type,num_of_rows,num_of_dimensions,query_info,run_time,mem_usage
precomputing,2019-06-23__00:10:28,2019-06-23__01:21:58,kmmpti-norsl,i,10000,3,-,1:11:29.748245,426.786816
precomputing,2019-06-23__01:38:39,2019-06-23__02:25:14,kmmpti-norsl,ac,10000,3,-,0:46:35.299997,322.248704
precomputing,2019-06-23__02:38:30,2019-06-23__03:44:28,kmmpti-norsl,ac,10000,4,-,1:05:58.393455,381.472768
precomputing,2019-06-23__02:39:31,2019-06-23__04:18:14,kmmpti-norsl,ac,10000,5,-,1:38:42.347013,466.92352
precomputing,2019-06-23__02:41:15,2019-06-23__05:23:34,kmmpti-norsl,ac,10000,6,-,2:42:18.613582,575.229952
precomputing,2019-06-23__01:39:58,2019-06-23__06:39:50,kmmpti-norsl,fc,10000,3,-,4:59:51.928364,1090.654208
precomputing,2019-06-23__04:41:11,2019-06-23__07:59:01,kmmpti-norsl,i,10000,4,-,3:17:50.322772,728.940544
precomputing,2019-06-23__04:39:18,2019-06-23__08:12:27,kmmpti-norsl,ac,10000,7,-,3:33:09.738934,680.50944
precomputing,2019-06-23__04:41:51,2019-06-23__09:51:30,kmmpti-norsl,ac,20000,3,-,5:09:39.168340,998.223872
precomputing,2019-06-23__06:22:15,2019-06-23__11:33:11,kmmpti-norsl,ac,20000,3,-,5:10:56.003622,997.82656
precomputing,2019-06-23__07:03:45,2019-06-23__17:27:09,kmmpti-norsl,fc,10000,4,-,10:23:24.043474,1485.14816
precomputing,2019-06-23__08:03:28,2019-06-23__18:44:11,kmmpti-norsl,i,10000,5,-,10:40:42.901377,1324.814336
precomputing,2019-06-23__18:44:13,2019-06-24__11:47:14,kmmpti-norsl,i,10000,6,-,17:03:00.860197,2176.241664
precomputing,2019-06-23__17:27:11,2019-06-24__16:21:19,kmmpti-norsl,fc,10000,5,-,22:54:08.238241,2370.879488
precomputing,2019-06-26__08:50:28,2019-06-27__14:07:30,kmmpti-norsl,fc,10000,6,-,"1 day, 5:17:02.618512",2786.594816
precomputing,2019-06-26__08:50:31,2019-06-27__15:12:27,kmmpti-norsl,i,10000,7,-,"1 day, 6:21:56.072777",3168.841728
precomputing,2019-06-27__15:12:33,2019-06-27__21:39:48,kmmpti-norsl,i,20000,3,-,6:27:15.326181,1234.321408
precomputing,2019-06-28__23:29:29,2019-06-28__23:31:29,kmmpti-norsl,i,2000,3,-,0:02:00.086739,71.766016
precomputing,2019-06-28__23:31:30,2019-06-28__23:47:29,kmmpti-norsl,i,5000,3,-,0:15:58.974017,175.026176
precomputing,2019-06-28__23:47:29,2019-06-28__23:48:20,kmmpti-norsl,ac,2000,3,-,0:00:51.146098,57.171968
precomputing,2019-06-28__23:48:20,2019-06-28__23:56:26,kmmpti-norsl,ac,5000,3,-,0:08:05.649907,128.638976
precomputing,2019-06-29__03:04:32,2019-06-29__03:12:27,kmmpti-norsl,fc,2000,3,-,0:07:55.158975,124.850176
precomputing,2019-06-29__03:12:27,2019-06-29__03:20:33,kmmpti-norsl,fc,5000,3,-,0:08:05.617172,124.76416
