process,ts_start,ts_end,algorithm,data_type,num_of_rows,num_of_dimensions,query_info,run_time,mem_usage
precomputing,2019-06-09__02:46:03,2019-06-09__02:46:12,kmppti-no-thread,i,500,2,-,0:00:09.450378,44.445696
precomputing,2019-06-09__02:48:09,2019-06-09__02:48:29,kmppti-thread,i,500,2,-,0:00:20.039562,42.323968
precomputing,2019-06-09__02:48:50,2019-06-09__02:48:52,kmmpti-no-rsl,i,500,2,-,0:00:02.955722,43.057152
precomputing,2019-06-09__02:53:06,2019-06-09__02:53:06,kmppti-no-thread,i,5,2,-,0:00:00.007686,44.126208
precomputing,2019-06-09__02:53:44,2019-06-09__02:53:44,kmmpti-no-rsl,i,5,2,-,0:00:00.008115,44.31872
precomputing,2019-06-09__02:55:54,2019-06-09__02:55:57,kmppti-no-thread,ac,500,2,-,0:00:03.499077,41.365504
precomputing,2019-06-09__02:56:42,2019-06-09__02:56:44,kmmpti-no-rsl,ac,500,2,-,0:00:02.043881,42.315776
precomputing,2019-06-09__02:59:15,2019-06-09__02:59:16,kmppti-no-thread,ac,100,4,-,0:00:00.532461,42.610688
precomputing,2019-06-09__03:02:03,2019-06-09__03:02:03,kmmpti-no-rsl,ac,100,4,-,0:00:00.263997,42.622976
precomputing,2019-06-09__04:33:38,2019-06-09__04:34:03,kmppti-no-thread,i,500,3,-,0:00:24.813566,44.449792
precomputing,2019-06-09__04:34:33,2019-06-09__04:35:09,kmppti-thread,i,500,3,-,0:00:36.361332,45.846528
precomputing,2019-06-09__04:35:23,2019-06-09__04:35:30,kmmpti-no-rsl,i,500,3,-,0:00:06.897749,46.395392
precomputing,2019-06-09__05:01:23,2019-06-09__05:03:43,kmppti-no-thread,i,1000,3,-,0:02:19.925005,60.284928
precomputing,2019-06-09__05:11:09,2019-06-09__05:14:10,kmppti-thread,i,1000,3,-,0:03:00.659781,63.275008
precomputing,2019-06-09__05:14:40,2019-06-09__05:15:18,kmmpti-no-rsl,i,1000,3,-,0:00:38.155541,63.049728
precomputing,2019-06-09__06:01:40,2019-06-09__06:21:52,kmmpti-no-rsl,i,5000,3,-,0:20:11.669168,186.44992
precomputing,2019-06-09__13:03:58,2019-06-09__15:39:37,kmppti-no-thread,i,5000,3,-,2:35:38.704744,322.793472
precomputing,2019-06-09__15:47:00,2019-06-09__18:53:24,kmppti-thread,i,5000,3,-,3:06:23.797914,339.017728
precomputing,2019-06-09__18:58:07,2019-06-09__18:59:17,kmppti-no-thread,i,1000,2,-,0:01:09.142163,196.386816
precomputing,2019-06-09__19:00:29,2019-06-09__19:01:18,kmppti-no-thread,i,1000,2,-,0:00:49.188555,52.375552
precomputing,2019-06-09__19:02:53,2019-06-09__19:04:20,kmppti-thread,i,1000,2,-,0:01:26.399084,53.567488
precomputing,2019-06-09__19:05:05,2019-06-09__19:05:19,kmmpti-no-rsl,i,1000,2,-,0:00:13.946352,54.116352
