id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3
1,customer-1,197,258,10,4,192,9
2,customer-2,97,169,99,98,105,99
3,customer-3,130,211,179,20,181,176
4,customer-4,66,111,170,165,166,31
5,customer-5,153,229,41,49,155,44
6,customer-6,35,60,17,180,22,17
7,customer-7,129,168,37,158,38,46
8,customer-8,146,172,122,122,81,122
9,customer-9,83,117,28,22,28,176
10,customer-10,88,182,127,130,133,71
11,customer-11,55,64,44,42,41,154
12,customer-12,175,240,222,0,0,0
13,customer-13,122,201,88,108,97,90
14,customer-14,202,279,19,183,178,181
15,customer-15,164,200,59,140,139,137
16,customer-16,166,186,129,137,130,66
17,customer-17,75,121,142,140,61,136
18,customer-18,178,246,78,84,120,75
19,customer-19,107,189,0,0,205,0
20,customer-20,173,265,226,0,0,0
21,customer-21,202,263,161,167,38,165
22,customer-22,166,194,61,137,60,67
23,customer-23,188,230,96,93,108,95
24,customer-24,123,156,11,194,187,194
25,customer-25,220,231,0,0,236,0
26,customer-26,198,214,138,63,142,135
27,customer-27,113,162,130,131,74,122
28,customer-28,239,255,180,19,19,25
29,customer-29,139,139,142,149,148,56
30,customer-30,204,240,93,102,106,110
31,customer-31,141,182,134,132,70,128
32,customer-32,87,87,27,174,26,22
33,customer-33,14,98,4,2,193,9
34,customer-34,73,94,48,154,153,154
35,customer-35,86,159,36,162,36,34
36,customer-36,116,153,117,79,88,83
37,customer-37,166,222,134,137,67,133
38,customer-38,182,259,164,32,169,165
39,customer-39,147,227,114,115,84,120
40,customer-40,153,236,0,0,0,203
41,customer-41,175,192,154,152,153,43
42,customer-42,153,247,0,0,0,205
43,customer-43,176,250,0,0,209,0
44,customer-44,65,139,181,183,20,185
45,customer-45,100,184,17,16,184,11
46,customer-46,60,89,18,179,21,21
47,customer-47,59,142,37,159,38,41
48,customer-48,120,216,50,155,46,44
49,customer-49,54,141,123,76,121,129
50,customer-50,25,56,169,170,34,167
51,customer-51,77,161,80,117,123,118
52,customer-52,238,330,86,87,111,92
53,customer-53,105,152,101,101,99,95
54,customer-54,67,68,12,6,11,192
55,customer-55,79,79,0,0,0,209
56,customer-56,144,163,0,210,0,0
57,customer-57,39,92,33,27,170,33
58,customer-58,115,155,170,31,30,25
59,customer-59,67,167,76,72,70,126
60,customer-60,143,204,117,81,123,124
61,customer-61,240,298,134,128,129,71
62,customer-62,144,187,0,277,0,0
63,customer-63,174,258,133,138,137,63
64,customer-64,105,195,147,54,151,146
65,customer-65,30,31,25,170,26,33
66,customer-66,91,138,151,48,150,154
67,customer-67,185,217,64,140,64,65
68,customer-68,168,257,6,11,194,8
69,customer-69,75,96,49,53,46,152
70,customer-70,106,138,191,191,193,9
71,customer-71,34,55,136,135,137,61
72,customer-72,57,73,114,89,107,114
73,customer-73,67,156,63,142,137,136
74,customer-74,130,174,50,43,155,43
75,customer-75,66,117,114,81,87,82
76,customer-76,154,248,3,196,9,3
77,customer-77,42,87,126,73,126,122
78,customer-78,203,283,20,177,185,185
79,customer-79,165,170,163,160,35,162
80,customer-80,8,79,72,78,124,76
81,customer-81,217,271,128,121,75,126
82,customer-82,264,293,0,216,0,0
83,customer-83,36,50,40,164,157,162
84,customer-84,230,280,121,119,115,80
85,customer-85,193,234,89,87,108,87
86,customer-86,212,268,179,18,25,22
87,customer-87,42,72,139,63,61,62
88,customer-88,55,88,0,0,223,0
89,customer-89,34,102,18,178,23,21
90,customer-90,28,107,191,12,12,4
91,customer-91,209,301,75,77,126,69
92,customer-92,207,259,32,30,34,165
93,customer-93,116,184,0,240,0,0
94,customer-94,213,308,159,165,38,161
95,customer-95,229,301,147,49,55,56
96,customer-96,195,255,0,0,233,0
97,customer-97,228,245,62,138,65,62
98,customer-98,23,43,191,200,5,197
99,customer-99,79,90,106,115,113,90
100,customer-100,58,147,187,184,184,12
