id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4
1,customer-1,204,215,151,81,110,132,111
2,customer-2,121,162,80,183,199,156,122
3,customer-3,24,115,147,29,188,204,36
4,customer-4,108,180,4,175,118,121,162
5,customer-5,233,233,188,219,200,136,100
6,customer-6,98,115,78,84,84,81,150
7,customer-7,180,198,208,42,26,127,164
8,customer-8,193,226,122,46,212,130,140
9,customer-9,101,173,79,136,152,50,106
10,customer-10,130,133,193,141,60,88,193
11,customer-11,69,75,236,154,128,62,89
12,customer-12,166,185,178,195,160,206,50
13,customer-13,201,228,144,95,2,167,218
14,customer-14,67,102,47,40,76,48,177
15,customer-15,29,38,168,67,194,186,194
16,customer-16,7,52,146,205,95,116,149
17,customer-17,203,283,156,117,171,173,60
18,customer-18,84,124,179,190,182,23,119
19,customer-19,99,197,63,72,144,133,130
20,customer-20,75,103,150,57,140,185,10
21,customer-21,88,102,96,122,24,74,97
22,customer-22,178,195,126,126,174,199,172
23,customer-23,94,121,50,231,161,209,169
24,customer-24,96,98,33,136,106,110,216
25,customer-25,118,139,116,218,88,95,15
26,customer-26,96,132,27,131,90,145,158
27,customer-27,174,249,131,100,73,46,234
28,customer-28,210,277,263,156,245,7,122
29,customer-29,154,174,41,44,71,170,183
30,customer-30,167,245,98,119,214,135,180
31,customer-31,47,47,94,83,143,190,132
32,customer-32,96,142,156,146,94,28,251
33,customer-33,62,120,100,203,169,171,135
34,customer-34,42,52,218,33,132,129,230
35,customer-35,180,180,169,73,190,13,92
36,customer-36,187,198,200,121,138,87,196
37,customer-37,94,179,49,194,106,81,101
38,customer-38,158,213,225,113,108,99,202
39,customer-39,178,265,107,147,179,61,152
40,customer-40,111,114,264,170,9,132,208
41,customer-41,227,228,100,209,183,188,43
42,customer-42,87,169,167,66,24,179,185
43,customer-43,116,176,165,193,116,24,184
44,customer-44,168,197,154,119,26,165,90
45,customer-45,86,140,155,37,168,54,112
46,customer-46,85,107,139,42,115,193,167
47,customer-47,125,163,90,151,195,120,175
48,customer-48,31,94,227,108,17,207,207
49,customer-49,212,251,144,144,69,48,50
50,customer-50,210,263,139,127,54,101,105
51,customer-51,61,140,215,179,169,189,163
52,customer-52,41,78,63,86,151,140,195
