id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,customer-1,172,230,97,85,209
2,customer-2,61,152,267,12,173
3,customer-3,75,133,98,92,95
4,customer-4,151,196,59,95,89
5,customer-5,81,117,186,91,158
6,customer-6,29,52,178,142,100
7,customer-7,109,191,42,67,141
8,customer-8,193,278,211,96,76
9,customer-9,165,216,132,120,161
10,customer-10,35,93,73,187,120
11,customer-11,65,113,248,195,193
12,customer-12,150,179,139,176,189
13,customer-13,172,249,209,227,241
14,customer-14,158,249,138,209,156
15,customer-15,191,261,179,151,155
16,customer-16,39,93,35,74,195
17,customer-17,60,82,119,221,121
18,customer-18,147,154,102,197,88
19,customer-19,233,303,131,128,185
20,customer-20,224,228,143,181,101
21,customer-21,208,247,123,139,158
22,customer-22,85,136,201,211,64
23,customer-23,136,204,159,29,115
24,customer-24,153,179,78,47,207
25,customer-25,219,260,82,106,8
26,customer-26,122,177,133,90,161
27,customer-27,110,137,152,113,51
28,customer-28,240,282,45,185,49
29,customer-29,151,219,272,189,187
30,customer-30,96,108,185,131,48
31,customer-31,61,144,126,132,72
32,customer-32,91,97,59,162,186
33,customer-33,87,115,67,182,158
34,customer-34,148,199,70,205,37
35,customer-35,76,105,113,108,139
36,customer-36,148,152,190,85,125
37,customer-37,200,214,135,78,172
38,customer-38,146,176,102,119,133
39,customer-39,128,209,17,143,76
40,customer-40,48,48,217,186,106
41,customer-41,153,219,32,137,238
42,customer-42,116,159,207,100,172
43,customer-43,193,264,29,202,31
44,customer-44,208,295,96,178,90
45,customer-45,191,191,69,188,31
46,customer-46,146,177,26,187,132
47,customer-47,196,205,84,143,93
48,customer-48,40,52,75,141,179
49,customer-49,201,237,39,204,151
50,customer-50,167,242,177,220,61
51,customer-51,113,156,154,150,9
52,customer-52,198,201,144,55,129
53,customer-53,162,254,81,189,218
54,customer-54,44,101,106,34,110
55,customer-55,147,178,124,175,179
56,customer-56,3,89,79,186,81
57,customer-57,98,98,141,59,103
58,customer-58,137,223,247,100,197
59,customer-59,19,33,277,147,67
60,customer-60,146,181,184,200,169
61,customer-61,90,96,152,29,74
62,customer-62,70,149,223,68,246
63,customer-63,160,219,144,212,68
64,customer-64,21,35,116,129,136
65,customer-65,18,36,67,112,252
66,customer-66,101,106,195,113,119
67,customer-67,69,144,98,180,55
68,customer-68,214,221,172,97,224
69,customer-69,226,259,59,196,101
70,customer-70,230,300,189,56,71
71,customer-71,124,184,174,33,170
72,customer-72,178,196,122,197,116
73,customer-73,141,214,111,80,117
74,customer-74,177,255,40,117,90
75,customer-75,251,320,210,89,197
76,customer-76,45,68,193,5,152
77,customer-77,165,247,167,49,149
78,customer-78,192,223,127,112,149
79,customer-79,121,152,79,125,84
80,customer-80,234,245,67,106,49
81,customer-81,37,73,128,15,104
82,customer-82,198,203,33,78,76
83,customer-83,120,158,86,56,176
84,customer-84,22,57,93,25,136
85,customer-85,81,134,41,185,97
86,customer-86,180,218,151,197,135
87,customer-87,169,179,107,88,67
88,customer-88,158,164,50,25,197
89,customer-89,92,166,100,45,16
90,customer-90,166,182,93,76,131
91,customer-91,131,179,211,202,162
92,customer-92,84,97,180,243,241
93,customer-93,108,138,193,73,188
94,customer-94,44,132,144,182,177
95,customer-95,84,125,88,56,174
96,customer-96,88,164,90,225,125
97,customer-97,82,164,140,79,147
98,customer-98,240,334,104,18,78
99,customer-99,188,200,72,187,40
100,customer-100,195,229,191,191,106
101,customer-101,163,167,16,142,239
102,customer-102,34,65,32,75,251
103,customer-103,127,177,91,120,109
104,customer-104,142,146,20,184,226
105,customer-105,122,204,18,69,76
106,customer-106,79,124,125,235,139
107,customer-107,97,148,223,161,139
108,customer-108,130,197,200,82,126
109,customer-109,40,46,39,82,206
110,customer-110,82,87,58,181,153
111,customer-111,133,200,33,164,169
112,customer-112,87,180,139,98,60
113,customer-113,202,250,60,109,233
114,customer-114,123,127,183,136,121
115,customer-115,43,97,210,75,90
116,customer-116,59,137,16,77,167
117,customer-117,131,211,105,72,114
118,customer-118,162,190,223,183,76
119,customer-119,231,292,24,259,142
120,customer-120,178,206,190,159,125
121,customer-121,234,280,111,108,81
122,customer-122,207,224,220,90,87
123,customer-123,54,65,211,10,247
124,customer-124,39,72,107,140,63
125,customer-125,68,153,185,122,146
126,customer-126,187,270,107,68,33
127,customer-127,170,216,134,73,140
128,customer-128,213,305,128,40,92
129,customer-129,72,110,12,83,59
130,customer-130,145,213,161,166,38
