id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,product-1,74,102,83,113,89
2,product-2,99,145,51,153,154
3,product-3,122,139,19,179,185
4,product-4,113,133,28,171,169
5,product-5,62,128,118,116,87
6,product-6,101,168,95,98,100
7,product-7,214,239,105,93,100
8,product-8,7,16,86,117,85
9,product-9,115,127,151,151,49
10,product-10,186,233,79,78,121
11,product-11,73,78,38,166,159
12,product-12,189,227,154,41,161
13,product-13,38,56,111,85,94
14,product-14,191,254,144,54,151
15,product-15,56,117,36,33,166
16,product-16,212,228,73,128,129
17,product-17,57,102,178,25,23
18,product-18,130,168,43,161,39
19,product-19,163,193,24,24,177
20,product-20,88,92,52,143,148
21,product-21,13,62,78,123,81
22,product-22,169,207,138,58,65
23,product-23,161,209,21,177,24
24,product-24,180,254,110,94,91
25,product-25,95,187,164,158,37
26,product-26,0,16,62,143,55
27,product-27,158,211,52,148,146
28,product-28,186,215,200,4,3
29,product-29,189,235,57,148,146
30,product-30,162,202,31,32,173
31,product-31,120,151,56,143,147
32,product-32,122,216,141,56,142
33,product-33,131,196,133,136,64
34,product-34,37,52,82,113,121
35,product-35,98,175,0,243,0
36,product-36,130,221,247,0,0
37,product-37,172,225,112,85,113
38,product-38,113,119,108,96,93
39,product-39,214,261,136,68,128
40,product-40,102,122,60,64,137
41,product-41,221,224,198,197,5
42,product-42,183,269,74,124,121
43,product-43,57,94,5,14,190
44,product-44,190,226,79,125,126
45,product-45,185,248,0,201,0
46,product-46,168,169,94,96,106
47,product-47,58,143,95,92,109
48,product-48,161,219,150,50,151
49,product-49,109,162,102,102,97
50,product-50,205,266,0,213,0
51,product-51,93,147,44,45,157
52,product-52,86,168,123,121,81
53,product-53,146,146,225,0,0
54,product-54,95,138,184,11,15
55,product-55,76,150,104,96,99
56,product-56,220,305,3,196,4
57,product-57,109,190,142,137,63
58,product-58,191,227,81,81,114
59,product-59,97,168,157,40,161
60,product-60,231,241,8,193,8
61,product-61,174,221,24,31,174
62,product-62,88,154,143,55,143
63,product-63,104,196,55,141,61
64,product-64,222,297,4,3,195
65,product-65,118,199,76,125,129
66,product-66,42,53,117,112,88
67,product-67,41,78,128,120,77
68,product-68,129,132,40,44,160
69,product-69,76,143,5,4,192
70,product-70,158,195,47,150,153
71,product-71,70,164,73,126,128
72,product-72,177,238,69,66,129
73,product-73,68,124,1,194,3
74,product-74,162,211,123,128,73
75,product-75,122,203,58,60,139
76,product-76,40,96,195,0,0
77,product-77,72,159,176,171,29
78,product-78,60,114,87,118,116
79,product-79,99,134,8,11,189
80,product-80,202,255,104,105,94
81,product-81,139,145,0,0,227
82,product-82,117,125,168,35,166
83,product-83,173,258,200,0,3
84,product-84,49,55,61,135,61
85,product-85,125,211,0,0,216
86,product-86,149,202,133,139,62
87,product-87,37,58,60,142,140
88,product-88,145,229,179,17,23
89,product-89,193,251,66,137,66
90,product-90,73,87,143,143,55
91,product-91,30,93,138,59,145
92,product-92,110,111,123,118,78
93,product-93,148,171,64,64,137
94,product-94,184,203,204,0,0
95,product-95,97,114,119,115,86
96,product-96,121,186,0,0,204
97,product-97,103,168,100,103,101
98,product-98,223,308,209,0,0
99,product-99,187,201,9,192,3
100,product-100,139,139,142,55,58
