id,label,ts_in,ts_out,dim_0,dim_1
1,product-1,73,151,139,75
2,product-2,59,157,41,250
3,product-3,28,39,224,146
4,product-4,68,142,22,222
5,product-5,171,172,192,105
6,product-6,20,36,27,217
7,product-7,147,188,208,103
8,product-8,273,314,23,156
9,product-9,149,228,114,59
10,product-10,194,278,65,81
11,product-11,96,153,15,74
12,product-12,93,116,135,177
13,product-13,78,80,46,222
14,product-14,118,145,136,69
15,product-15,191,259,17,78
16,product-16,92,169,114,66
17,product-17,193,277,70,201
18,product-18,8,15,76,203
19,product-19,250,286,134,147
20,product-20,168,176,182,195
21,product-21,104,179,154,41
22,product-22,28,54,160,143
23,product-23,152,239,39,94
24,product-24,138,201,195,210
25,product-25,146,236,72,206
26,product-26,150,236,178,23
27,product-27,189,250,34,134
28,product-28,116,135,223,56
29,product-29,124,182,217,168
30,product-30,67,142,134,227
31,product-31,150,221,162,167
32,product-32,91,133,180,137
33,product-33,133,136,168,152
34,product-34,185,246,231,119
35,product-35,113,186,195,72
36,product-36,180,253,34,207
37,product-37,179,226,25,75
38,product-38,192,237,74,186
39,product-39,153,176,141,78
40,product-40,203,214,199,172
41,product-41,44,94,133,106
42,product-42,90,117,91,180
43,product-43,181,203,181,140
44,product-44,157,218,225,202
45,product-45,186,255,184,43
46,product-46,53,87,100,147
47,product-47,76,104,118,75
48,product-48,15,77,85,243
49,product-49,108,149,12,48
50,product-50,90,107,64,131
51,product-51,103,171,85,68
52,product-52,30,124,129,45
53,product-53,217,287,153,89
54,product-54,85,150,67,192
55,product-55,72,81,191,139
56,product-56,218,305,91,253
57,product-57,179,232,133,177
58,product-58,165,193,94,128
59,product-59,223,310,162,150
60,product-60,40,112,47,185
61,product-61,161,168,226,32
62,product-62,147,204,177,103
63,product-63,207,260,201,112
64,product-64,140,199,73,133
65,product-65,189,231,204,60
66,product-66,224,272,71,201
67,product-67,51,85,52,40
68,product-68,36,102,235,46
69,product-69,119,124,85,73
70,product-70,126,215,97,118
71,product-71,97,153,139,59
72,product-72,161,176,100,135
73,product-73,32,83,63,63
74,product-74,113,168,197,182
75,product-75,65,101,102,187
76,product-76,123,220,199,83
77,product-77,92,162,209,197
78,product-78,117,204,202,165
79,product-79,141,151,146,136
80,product-80,56,84,213,202
81,product-81,169,199,176,45
82,product-82,168,235,37,46
83,product-83,198,206,134,193
84,product-84,236,274,190,110
85,product-85,147,151,192,203
86,product-86,99,156,97,210
87,product-87,153,211,145,108
88,product-88,197,209,120,46
89,product-89,136,144,115,98
90,product-90,107,179,153,93
91,product-91,179,233,101,81
92,product-92,77,121,45,80
93,product-93,33,74,183,179
94,product-94,22,109,185,126
95,product-95,142,207,233,31
96,product-96,169,236,108,217
97,product-97,151,151,104,210
98,product-98,4,60,164,181
99,product-99,24,68,120,146
