id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,product-1,83,103,142,50,109
2,product-2,123,133,150,97,138
3,product-3,171,177,234,207,217
4,product-4,208,216,103,181,21
5,product-5,125,128,74,141,131
6,product-6,76,125,99,40,82
7,product-7,207,252,122,200,117
8,product-8,233,284,218,131,91
9,product-9,156,177,122,47,188
10,product-10,160,202,107,243,36
11,product-11,56,151,169,135,121
12,product-12,106,122,50,174,162
13,product-13,199,237,3,177,189
14,product-14,95,179,215,118,39
15,product-15,15,40,66,224,24
16,product-16,109,193,191,111,116
17,product-17,72,82,157,190,43
18,product-18,24,80,114,80,109
19,product-19,182,262,196,70,52
20,product-20,18,101,111,116,198
21,product-21,153,164,164,150,10
22,product-22,101,122,214,224,72
23,product-23,151,191,72,100,184
24,product-24,140,186,172,125,135
25,product-25,198,207,58,214,205
26,product-26,127,209,186,89,151
27,product-27,30,32,67,58,261
28,product-28,64,71,214,141,189
29,product-29,50,128,89,173,175
30,product-30,105,158,212,69,102
31,product-31,108,155,191,38,174
32,product-32,203,226,100,112,153
33,product-33,104,125,198,194,107
34,product-34,140,217,138,47,201
35,product-35,89,111,201,179,67
36,product-36,242,307,87,131,192
37,product-37,114,147,143,63,120
38,product-38,196,224,114,198,109
39,product-39,186,244,180,132,164
40,product-40,179,197,89,160,59
41,product-41,148,217,114,35,113
42,product-42,136,221,160,204,51
43,product-43,163,254,103,149,121
44,product-44,151,246,243,190,18
45,product-45,87,174,174,181,139
46,product-46,154,183,53,57,89
47,product-47,92,168,69,129,82
48,product-48,153,246,43,45,111
49,product-49,40,60,140,49,119
50,product-50,40,82,122,134,16
51,product-51,197,210,163,57,140
52,product-52,160,240,231,160,18
53,product-53,86,155,92,114,66
54,product-54,145,163,160,67,68
55,product-55,179,234,38,239,131
56,product-56,110,146,222,81,43
57,product-57,142,229,208,144,223
58,product-58,84,95,169,144,13
59,product-59,229,326,141,32,149
60,product-60,130,187,174,175,132
61,product-61,60,97,83,177,166
62,product-62,49,52,167,178,122
63,product-63,207,288,57,178,155
64,product-64,183,202,70,99,141
65,product-65,45,75,30,205,43
66,product-66,30,71,118,122,165
67,product-67,128,201,263,9,75
68,product-68,130,135,142,178,112
69,product-69,125,151,162,172,77
70,product-70,177,265,45,65,185
71,product-71,160,183,271,183,164
72,product-72,52,60,29,161,141
73,product-73,116,206,173,148,167
74,product-74,241,267,35,213,129
75,product-75,157,191,78,139,149
76,product-76,42,56,90,159,142
77,product-77,119,175,120,38,133
78,product-78,29,67,153,136,218
79,product-79,60,99,197,277,94
80,product-80,44,126,111,159,198
81,product-81,182,262,83,147,13
82,product-82,128,129,197,168,165
83,product-83,66,82,124,124,81
84,product-84,93,177,56,73,222
85,product-85,217,235,153,44,102
86,product-86,140,189,226,94,211
87,product-87,31,87,156,36,206
88,product-88,173,201,205,97,26
89,product-89,79,167,143,90,181
90,product-90,112,191,25,47,101
91,product-91,79,87,99,218,66
92,product-92,179,264,137,212,68
93,product-93,66,151,97,36,128
94,product-94,205,208,222,44,68
95,product-95,87,143,30,23,86
96,product-96,176,186,191,115,161
97,product-97,46,60,171,27,194
98,product-98,203,228,73,136,101
99,product-99,156,203,25,157,163
100,product-100,25,76,61,206,147
101,product-101,59,95,130,106,163
102,product-102,160,224,139,126,182
103,product-103,118,118,154,169,225
104,product-104,129,162,140,38,141
105,product-105,78,138,90,43,196
106,product-106,115,146,170,84,119
