id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,customer-1,41,58,76,122,124
2,customer-2,162,217,102,102,96
3,customer-3,222,227,188,10,13
4,customer-4,102,168,171,29,28
5,customer-5,107,143,115,88,87
6,customer-6,72,157,111,84,111
7,customer-7,181,230,168,172,29
8,customer-8,228,286,151,153,45
9,customer-9,7,15,14,186,13
10,customer-10,151,153,74,75,128
11,customer-11,108,128,227,0,0
12,customer-12,193,255,0,0,265
13,customer-13,171,202,52,144,147
14,customer-14,91,154,29,167,29
15,customer-15,208,259,147,148,52
16,customer-16,140,166,78,117,118
17,customer-17,145,156,140,57,139
18,customer-18,182,207,63,138,137
19,customer-19,89,107,141,148,57
20,customer-20,21,101,0,215,0
21,customer-21,56,68,144,143,60
22,customer-22,38,51,105,98,104
23,customer-23,105,189,51,53,146
24,customer-24,182,252,136,131,65
25,customer-25,218,277,1,194,6
26,customer-26,203,233,0,245,0
27,customer-27,44,103,81,79,124
28,customer-28,164,198,260,0,0
29,customer-29,58,85,181,23,14
30,customer-30,192,200,96,102,101
31,customer-31,133,213,11,10,190
32,customer-32,40,66,0,0,245
33,customer-33,123,124,187,185,11
34,customer-34,152,202,0,0,227
35,customer-35,53,120,146,49,56
36,customer-36,45,131,128,70,68
37,customer-37,120,171,32,38,167
38,customer-38,99,169,79,76,125
39,customer-39,13,63,191,14,13
40,customer-40,66,148,144,146,55
41,customer-41,199,260,172,24,28
42,customer-42,49,90,101,97,100
43,customer-43,177,207,192,10,12
44,customer-44,41,51,0,270,0
45,customer-45,153,224,166,169,30
46,customer-46,216,219,164,161,38
47,customer-47,157,249,143,149,52
48,customer-48,183,273,136,140,65
49,customer-49,153,186,117,88,80
50,customer-50,182,226,9,195,188
51,customer-51,157,204,108,114,87
52,customer-52,27,91,175,172,26
53,customer-53,83,168,18,182,179
54,customer-54,125,205,31,174,26
55,customer-55,124,216,126,76,127
56,customer-56,94,156,0,0,246
57,customer-57,105,154,197,8,4
58,customer-58,62,155,112,85,91
59,customer-59,206,215,77,76,119
60,customer-60,117,185,3,200,199
61,customer-61,34,126,15,17,184
62,customer-62,175,201,197,0,7
63,customer-63,66,117,32,167,31
64,customer-64,92,125,136,60,68
65,customer-65,188,251,2,8,195
66,customer-66,211,238,194,7,8
67,customer-67,77,124,33,30,168
68,customer-68,185,197,14,17,183
69,customer-69,92,117,201,2,0
70,customer-70,22,97,151,143,54
71,customer-71,144,182,125,121,75
72,customer-72,48,104,199,0,0
73,customer-73,166,178,25,23,173
74,customer-74,222,248,48,153,155
75,customer-75,114,191,0,244,0
76,customer-76,56,66,191,10,14
77,customer-77,130,173,183,22,16
78,customer-78,173,261,198,195,7
79,customer-79,22,38,118,87,84
80,customer-80,70,113,58,60,139
81,customer-81,161,248,88,112,92
82,customer-82,110,152,104,91,105
83,customer-83,200,201,54,52,146
84,customer-84,49,119,95,88,107
85,customer-85,76,161,76,121,77
86,customer-86,91,93,13,190,9
87,customer-87,54,126,74,127,130
88,customer-88,200,251,116,79,116
89,customer-89,54,83,123,79,75
90,customer-90,16,21,25,18,177
91,customer-91,263,350,12,191,13
92,customer-92,226,248,14,9,189
93,customer-93,106,189,188,10,12
94,customer-94,145,212,0,232,0
95,customer-95,167,233,143,52,149
96,customer-96,54,64,5,193,5
97,customer-97,130,204,128,73,123
98,customer-98,24,85,89,115,116
99,customer-99,179,183,9,13,188
100,customer-100,120,196,54,148,150
101,customer-101,65,101,104,94,110
102,customer-102,205,243,172,29,28
103,customer-103,155,172,0,245,0
104,customer-104,207,295,91,114,108
105,customer-105,142,158,12,185,193
106,customer-106,142,227,167,38,34
107,customer-107,145,211,149,48,50
108,customer-108,170,219,107,95,90
109,customer-109,38,76,50,49,146
110,customer-110,164,176,143,62,139
111,customer-111,215,216,189,13,13
112,customer-112,208,209,72,127,127
113,customer-113,80,149,165,166,30
114,customer-114,115,184,110,102,93
115,customer-115,190,245,178,175,25
116,customer-116,53,54,56,46,149
117,customer-117,151,240,95,106,93
118,customer-118,140,168,149,55,55
119,customer-119,203,241,177,22,21
120,customer-120,24,27,0,0,223
121,customer-121,212,270,0,0,243
122,customer-122,198,275,0,0,212
123,customer-123,141,230,103,98,96
124,customer-124,29,30,74,131,124
125,customer-125,80,92,0,221,0
126,customer-126,31,121,51,153,50
127,customer-127,50,108,0,0,264
128,customer-128,177,209,161,156,44
129,customer-129,140,206,119,79,123
130,customer-130,79,138,79,122,77
131,customer-131,112,138,0,0,221
132,customer-132,76,128,24,171,179
133,customer-133,71,76,170,29,30
134,customer-134,136,172,3,200,0
135,customer-135,165,201,179,179,18
136,customer-136,118,183,0,223,0
137,customer-137,107,145,129,73,76
138,customer-138,145,234,106,97,95
139,customer-139,17,83,0,204,0
140,customer-140,62,155,0,198,0
141,customer-141,96,108,78,121,122
142,customer-142,107,206,67,137,68
143,customer-143,221,293,139,57,66
144,customer-144,63,111,140,137,65
145,customer-145,61,66,184,17,179
146,customer-146,175,210,72,123,81
147,customer-147,157,232,98,96,105
148,customer-148,119,120,112,84,111
149,customer-149,158,187,122,79,80
150,customer-150,53,107,54,144,56
151,customer-151,196,260,52,47,153
152,customer-152,78,118,3,193,3
153,customer-153,196,276,104,106,98
154,customer-154,177,224,31,173,28
155,customer-155,9,25,3,6,198
156,customer-156,155,181,140,62,59
157,customer-157,158,172,201,0,1
158,customer-158,140,239,71,128,128
159,customer-159,62,134,55,146,147
160,customer-160,111,124,92,99,103
161,customer-161,60,74,51,53,147
162,customer-162,186,219,108,94,111
163,customer-163,55,114,179,25,20
164,customer-164,22,52,162,157,43
165,customer-165,199,251,36,165,163
166,customer-166,141,166,108,96,108
167,customer-167,72,97,105,107,98
168,customer-168,124,162,87,118,78
169,customer-169,61,125,137,63,141
