id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3
1,customer-1,145,238,72,77,72,128
2,customer-2,114,117,129,74,67,69
3,customer-3,83,170,112,119,85,116
4,customer-4,90,106,93,97,99,103
5,customer-5,76,110,213,0,0,0
6,customer-6,169,210,107,109,88,111
7,customer-7,54,144,62,136,143,143
8,customer-8,157,232,14,181,14,23
9,customer-9,172,183,89,82,115,80
10,customer-10,76,153,88,108,117,108
11,customer-11,85,122,157,48,155,153
12,customer-12,168,220,177,22,23,24
13,customer-13,137,229,4,5,200,4
14,customer-14,139,204,236,0,0,0
15,customer-15,74,156,67,131,130,135
16,customer-16,37,87,187,14,16,15
17,customer-17,247,270,45,51,48,154
18,customer-18,168,246,95,110,104,101
19,customer-19,104,191,172,27,171,176
20,customer-20,83,93,0,0,210,0
21,customer-21,36,56,68,62,68,133
22,customer-22,132,192,127,76,121,119
23,customer-23,219,226,105,109,105,91
24,customer-24,154,166,33,166,164,168
25,customer-25,66,122,161,165,160,36
26,customer-26,3,93,242,0,0,0
27,customer-27,181,195,138,64,138,138
28,customer-28,22,111,79,118,79,86
29,customer-29,189,239,0,0,0,219
30,customer-30,161,164,106,109,104,92
31,customer-31,53,142,91,104,93,95
32,customer-32,207,281,112,93,92,84
33,customer-33,132,216,98,102,97,105
34,customer-34,216,259,160,45,40,37
35,customer-35,103,103,79,78,73,122
36,customer-36,25,32,0,0,0,206
37,customer-37,70,155,0,0,0,215
38,customer-38,30,100,56,144,139,139
39,customer-39,30,101,41,159,37,46
40,customer-40,153,248,161,37,44,34
41,customer-41,192,244,40,158,43,46
42,customer-42,92,167,135,130,70,133
43,customer-43,87,147,0,200,0,0
44,customer-44,141,183,0,0,0,206
45,customer-45,84,123,192,11,7,10
46,customer-46,36,94,71,69,129,76
47,customer-47,152,232,141,58,138,140
48,customer-48,91,145,15,20,22,182
49,customer-49,165,190,67,60,60,136
50,customer-50,107,128,87,94,109,91
51,customer-51,186,235,161,159,36,161
52,customer-52,247,291,117,85,82,86
53,customer-53,215,251,43,41,162,41
54,customer-54,78,142,112,120,121,83
55,customer-55,85,153,65,140,139,130
56,customer-56,169,239,115,85,116,111
57,customer-57,163,172,94,93,99,106
58,customer-58,138,174,116,109,118,87
59,customer-59,136,211,0,0,265,0
60,customer-60,169,269,115,81,89,86
61,customer-61,15,89,75,128,73,70
62,customer-62,130,132,61,58,61,139
63,customer-63,71,86,242,0,0,0
64,customer-64,84,110,185,11,16,11
65,customer-65,98,135,51,49,153,52
66,customer-66,48,68,66,138,64,65
67,customer-67,98,176,0,221,0,0
68,customer-68,32,36,26,175,30,20
69,customer-69,195,229,141,58,58,58
70,customer-70,200,240,116,86,82,82
71,customer-71,37,124,7,17,188,13
72,customer-72,86,97,20,26,175,26
73,customer-73,174,257,178,180,21,178
74,customer-74,182,199,146,49,151,154
75,customer-75,156,182,18,177,22,24
76,customer-76,237,287,44,40,46,158
77,customer-77,35,104,84,82,117,79
78,customer-78,94,98,122,82,83,82
79,customer-79,68,71,61,66,70,134
80,customer-80,128,170,120,113,113,84
81,customer-81,185,196,0,201,3,1
82,customer-82,169,194,0,0,0,213
83,customer-83,134,192,0,227,0,0
84,customer-84,144,180,109,111,108,89
85,customer-85,138,174,151,51,46,54
86,customer-86,96,190,0,0,250,0
87,customer-87,197,253,167,33,33,37
88,customer-88,217,306,62,69,68,136
89,customer-89,194,278,40,161,160,163
90,customer-90,70,141,61,134,62,68
91,customer-91,109,185,148,153,149,51
92,customer-92,104,150,150,140,55,142
93,customer-93,80,116,196,3,7,0
94,customer-94,164,201,73,127,124,127
95,customer-95,31,59,108,113,115,88
96,customer-96,156,177,119,124,77,124
97,customer-97,177,230,114,113,117,84
98,customer-98,92,128,69,68,71,129
99,customer-99,133,228,60,139,57,66
100,customer-100,285,326,55,149,47,53
