id,label,ts_in,ts_out,dim_0,dim_1
1,customer-1,69,76,107,88
2,customer-2,198,257,176,26
3,customer-3,182,218,211,0
4,customer-4,97,174,106,93
5,customer-5,125,151,200,0
6,customer-6,20,27,134,68
7,customer-7,218,291,80,123
8,customer-8,124,216,146,49
9,customer-9,100,136,145,50
10,customer-10,149,161,57,139
11,customer-11,192,235,111,94
12,customer-12,42,61,148,51
13,customer-13,117,152,46,149
14,customer-14,48,71,143,57
15,customer-15,172,178,92,106
16,customer-16,78,88,20,178
17,customer-17,211,226,38,161
18,customer-18,20,36,0,210
19,customer-19,111,170,174,31
20,customer-20,147,165,121,79
21,customer-21,177,247,191,13
22,customer-22,186,187,27,170
23,customer-23,36,73,195,8
24,customer-24,90,135,15,182
25,customer-25,123,167,87,112
26,customer-26,97,137,83,115
27,customer-27,46,66,162,43
28,customer-28,193,261,0,254
29,customer-29,109,156,162,34
30,customer-30,227,261,168,31
31,customer-31,63,64,80,123
32,customer-32,71,127,7,193
33,customer-33,148,205,135,63
34,customer-34,117,190,0,226
35,customer-35,87,132,159,46
36,customer-36,201,270,95,107
37,customer-37,140,186,0,229
38,customer-38,55,61,93,109
39,customer-39,35,124,0,229
40,customer-40,232,239,98,107
41,customer-41,47,144,104,93
42,customer-42,11,102,175,30
43,customer-43,99,154,5,193
44,customer-44,235,273,79,122
45,customer-45,175,179,61,142
46,customer-46,156,206,137,62
47,customer-47,137,228,203,0
48,customer-48,144,231,97,98
49,customer-49,232,255,90,105
50,customer-50,196,250,86,114
51,customer-51,128,152,164,35
52,customer-52,108,132,2,195
53,customer-53,193,225,120,80
54,customer-54,107,170,247,0
55,customer-55,191,273,58,142
56,customer-56,85,86,0,240
57,customer-57,63,86,90,108
58,customer-58,204,276,115,84
59,customer-59,166,225,95,106
60,customer-60,119,135,242,0
61,customer-61,148,227,25,172
62,customer-62,89,184,185,19
63,customer-63,31,57,69,133
64,customer-64,80,153,138,61
65,customer-65,62,120,205,0
66,customer-66,74,119,72,129
67,customer-67,123,127,52,151
68,customer-68,129,161,152,52
69,customer-69,182,278,9,188
70,customer-70,221,274,91,105
71,customer-71,53,88,158,46
72,customer-72,67,123,15,180
73,customer-73,148,200,230,0
74,customer-74,169,256,69,130
75,customer-75,102,124,81,115
76,customer-76,40,93,166,29
77,customer-77,131,216,260,0
78,customer-78,24,56,82,117
79,customer-79,181,263,18,179
80,customer-80,191,286,15,187
81,customer-81,213,273,28,168
82,customer-82,47,62,76,121
83,customer-83,200,288,110,93
84,customer-84,172,199,118,80
85,customer-85,100,162,104,95
86,customer-86,114,185,139,63
87,customer-87,205,206,37,163
88,customer-88,260,299,77,124
89,customer-89,136,228,71,134
90,customer-90,150,156,14,186
91,customer-91,98,156,183,22
92,customer-92,79,103,90,110
93,customer-93,198,265,107,88
94,customer-94,26,66,164,35
95,customer-95,161,163,169,36
96,customer-96,42,69,133,68
97,customer-97,187,206,129,71
98,customer-98,145,172,176,27
99,customer-99,51,68,161,40
100,customer-100,32,100,32,168
101,customer-101,249,293,0,218
102,customer-102,166,241,114,81
103,customer-103,81,83,164,31
104,customer-104,210,257,8,187
105,customer-105,211,268,197,4
106,customer-106,120,178,169,31
107,customer-107,30,119,61,143
108,customer-108,75,170,227,0
109,customer-109,51,63,0,282
110,customer-110,83,111,0,231
111,customer-111,259,325,75,126
112,customer-112,111,185,79,125
113,customer-113,147,186,53,151
114,customer-114,92,169,90,107
115,customer-115,35,119,226,0
116,customer-116,14,77,172,31
