id,label,ts_in,ts_out,dim_0,dim_1
1,product-1,110,136,69,135
2,product-2,85,136,62,137
3,product-3,43,104,61,138
4,product-4,107,175,0,203
5,product-5,209,251,10,186
6,product-6,17,102,103,94
7,product-7,202,252,114,85
8,product-8,108,119,99,103
9,product-9,232,259,71,127
10,product-10,28,42,22,173
11,product-11,228,290,61,142
12,product-12,172,212,164,34
13,product-13,66,155,95,106
14,product-14,120,139,23,175
15,product-15,84,165,24,174
16,product-16,59,93,214,0
17,product-17,25,43,27,176
18,product-18,120,182,144,56
19,product-19,186,193,19,178
20,product-20,140,169,87,117
21,product-21,182,220,94,110
22,product-22,80,84,191,13
23,product-23,110,114,137,68
24,product-24,96,115,10,185
25,product-25,77,83,94,103
26,product-26,39,83,74,122
27,product-27,34,74,191,12
28,product-28,115,182,204,0
29,product-29,45,90,81,118
30,product-30,2,23,157,41
31,product-31,208,217,5,193
32,product-32,121,211,141,54
33,product-33,148,207,2,201
34,product-34,176,235,115,87
35,product-35,34,37,164,32
36,product-36,180,248,174,23
37,product-37,106,132,199,4
38,product-38,118,152,138,66
39,product-39,121,150,98,97
40,product-40,146,185,65,140
41,product-41,155,242,151,47
42,product-42,149,174,76,124
43,product-43,99,122,172,27
44,product-44,171,216,102,103
45,product-45,54,106,7,190
46,product-46,74,113,215,0
47,product-47,197,237,159,38
48,product-48,183,230,192,10
49,product-49,57,87,232,0
50,product-50,88,102,62,142
51,product-51,148,221,181,20
52,product-52,200,204,127,76
53,product-53,189,200,89,109
54,product-54,149,226,151,48
55,product-55,162,258,151,44
56,product-56,14,25,42,157
57,product-57,99,147,82,120
58,product-58,69,134,72,123
59,product-59,97,162,196,1
60,product-60,211,229,104,99
61,product-61,156,211,186,15
62,product-62,21,115,93,104
63,product-63,13,76,31,164
64,product-64,76,132,40,160
65,product-65,36,68,153,43
66,product-66,167,214,226,0
67,product-67,22,75,170,25
68,product-68,185,223,149,47
69,product-69,241,246,26,176
70,product-70,196,198,178,24
71,product-71,69,82,133,67
72,product-72,111,201,168,34
73,product-73,199,270,226,0
74,product-74,124,209,26,179
75,product-75,156,204,0,217
76,product-76,108,144,0,237
77,product-77,171,201,1,194
78,product-78,130,138,32,167
79,product-79,85,156,2,197
80,product-80,67,98,201,3
81,product-81,103,121,185,13
82,product-82,89,93,30,167
83,product-83,146,203,156,39
84,product-84,82,167,134,61
85,product-85,39,124,55,150
86,product-86,73,163,52,153
87,product-87,123,160,0,260
88,product-88,82,162,99,104
89,product-89,136,192,34,162
90,product-90,31,113,14,181
91,product-91,75,84,64,136
92,product-92,26,80,109,96
93,product-93,177,207,196,7
94,product-94,128,185,0,220
95,product-95,105,133,78,119
96,product-96,172,206,132,72
97,product-97,120,195,38,161
98,product-98,99,153,127,69
99,product-99,76,112,191,9
100,product-100,292,319,48,154
101,product-101,65,74,7,194
102,product-102,172,222,121,80
103,product-103,163,191,216,0
104,product-104,130,190,33,169
105,product-105,115,125,41,154
106,product-106,204,250,140,58
107,product-107,185,253,33,169
108,product-108,72,145,6,198
109,product-109,251,314,163,40
110,product-110,47,54,88,113
111,product-111,244,272,64,138
112,product-112,121,172,33,171
113,product-113,227,317,91,107
114,product-114,101,160,128,70
115,product-115,191,258,46,158
116,product-116,22,100,41,164
117,product-117,144,193,102,101
118,product-118,71,148,28,168
119,product-119,118,185,15,189
120,product-120,70,150,115,90
121,product-121,142,142,76,126
122,product-122,174,232,205,0
123,product-123,166,221,17,179
124,product-124,24,29,24,177
125,product-125,155,167,148,48
126,product-126,159,244,195,2
127,product-127,123,126,103,92
128,product-128,224,279,34,166
129,product-129,121,163,152,44
130,product-130,201,259,203,0
131,product-131,199,263,138,60
132,product-132,132,228,178,22
133,product-133,145,227,48,153
134,product-134,53,112,0,224
135,product-135,227,238,74,125
136,product-136,147,214,115,90
137,product-137,165,177,44,155
138,product-138,81,116,88,110
139,product-139,17,17,198,0
140,product-140,175,265,52,150
141,product-141,183,260,49,149
142,product-142,172,191,125,73
143,product-143,52,86,161,38
144,product-144,241,300,211,0
145,product-145,167,185,67,138
146,product-146,55,88,117,82
147,product-147,215,245,38,167
148,product-148,35,82,150,46
149,product-149,216,226,47,156
150,product-150,168,238,167,31
151,product-151,90,129,119,81
152,product-152,64,88,70,129
153,product-153,111,114,58,145
154,product-154,252,311,149,46
155,product-155,179,247,66,139
156,product-156,152,243,122,78
157,product-157,126,174,175,22
158,product-158,166,244,112,91
159,product-159,52,85,174,27
160,product-160,125,190,127,71
161,product-161,133,183,129,72
162,product-162,107,181,116,83
163,product-163,62,146,62,133
164,product-164,227,313,26,174
165,product-165,45,127,21,177
166,product-166,241,260,268,0
167,product-167,142,195,147,57
168,product-168,190,228,231,0
169,product-169,177,260,84,120
170,product-170,169,179,81,119
171,product-171,160,171,17,182
172,product-172,68,95,117,78
173,product-173,136,223,0,215
174,product-174,107,141,125,77
175,product-175,56,112,156,40
176,product-176,85,125,86,114
177,product-177,59,123,252,0
178,product-178,63,93,104,96
179,product-179,19,22,42,159
180,product-180,36,67,165,30
181,product-181,82,170,79,122
182,product-182,62,110,44,154
183,product-183,163,217,163,34
184,product-184,28,78,79,120
185,product-185,10,17,193,9
186,product-186,102,111,213,0
187,product-187,123,207,96,102
188,product-188,219,258,114,83
189,product-189,196,289,184,11
190,product-190,182,270,199,6
191,product-191,159,167,23,173
192,product-192,239,306,61,139
193,product-193,113,143,80,118
194,product-194,37,123,134,69
195,product-195,50,134,135,61
196,product-196,148,163,84,113
197,product-197,44,65,4,191
198,product-198,157,184,106,98
