id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,product-1,96,110,25,20,176
2,product-2,97,136,49,46,149
3,product-3,25,46,72,69,131
4,product-4,136,166,63,62,134
5,product-5,185,231,147,51,145
6,product-6,67,142,210,0,0
7,product-7,169,198,187,186,12
8,product-8,47,108,0,0,199
9,product-9,160,162,0,0,234
10,product-10,59,153,128,76,124
11,product-11,94,151,100,98,105
12,product-12,152,172,28,22,176
13,product-13,216,279,93,107,108
14,product-14,229,281,180,20,182
15,product-15,144,164,147,55,141
16,product-16,199,283,124,72,72
17,product-17,144,147,109,119,86
18,product-18,177,264,186,17,184
19,product-19,114,158,41,164,155
20,product-20,185,190,137,61,58
21,product-21,113,131,127,130,68
22,product-22,142,160,138,141,58
23,product-23,30,43,114,87,90
24,product-24,209,234,13,189,12
25,product-25,123,153,27,169,178
26,product-26,74,79,85,119,113
27,product-27,110,179,110,95,109
28,product-28,36,110,158,44,39
29,product-29,129,194,0,203,0
30,product-30,151,242,95,105,97
31,product-31,58,149,158,158,37
32,product-32,205,238,47,44,155
33,product-33,230,313,105,100,93
34,product-34,66,100,240,0,0
35,product-35,78,121,57,48,147
36,product-36,147,197,83,114,89
37,product-37,94,179,0,213,0
38,product-38,207,249,52,55,143
39,product-39,107,117,111,112,90
40,product-40,237,249,106,96,101
41,product-41,175,230,44,152,52
42,product-42,77,130,168,35,29
43,product-43,129,154,0,208,0
44,product-44,20,41,172,170,33
45,product-45,61,120,80,121,74
46,product-46,103,189,68,136,69
47,product-47,120,170,0,0,206
48,product-48,72,157,125,79,71
49,product-49,206,296,86,93,111
50,product-50,112,183,165,39,161
51,product-51,121,185,0,210,0
52,product-52,38,100,0,0,200
53,product-53,81,129,79,78,119
54,product-54,114,187,134,127,69
55,product-55,87,131,181,16,22
56,product-56,76,99,0,226,0
57,product-57,114,180,88,86,115
58,product-58,177,220,0,208,0
59,product-59,77,158,67,131,130
60,product-60,164,215,94,96,108
61,product-61,42,103,140,60,63
62,product-62,152,192,28,176,19
63,product-63,93,118,197,7,192
64,product-64,159,240,14,14,186
65,product-65,155,201,151,54,150
66,product-66,211,215,71,126,132
67,product-67,151,217,0,226,0
68,product-68,217,239,75,129,128
69,product-69,93,123,84,117,115
70,product-70,65,95,97,99,104
71,product-71,201,240,80,120,75
72,product-72,26,27,118,77,118
73,product-73,193,218,166,30,30
74,product-74,73,132,28,24,171
75,product-75,200,295,144,55,147
76,product-76,108,109,0,0,254
77,product-77,165,196,22,180,22
78,product-78,210,307,80,121,82
79,product-79,48,67,103,98,100
80,product-80,52,75,78,117,88
81,product-81,63,107,184,18,11
82,product-82,78,165,161,34,40
83,product-83,148,163,52,146,50
84,product-84,191,289,26,169,177
85,product-85,93,168,144,146,53
86,product-86,126,135,109,86,110
