id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3
1,product-1,90,160,130,71,124,132
2,product-2,87,104,126,70,70,70
3,product-3,13,68,132,72,69,64
4,product-4,167,191,57,144,144,141
5,product-5,80,80,218,0,0,0
6,product-6,239,318,8,193,190,195
7,product-7,85,164,159,152,156,46
8,product-8,69,71,115,113,110,90
9,product-9,240,287,208,0,0,0
10,product-10,78,169,35,25,170,32
11,product-11,108,139,0,223,0,0
12,product-12,159,185,0,209,0,0
13,product-13,136,195,10,13,191,8
14,product-14,29,100,54,53,148,47
15,product-15,19,110,90,113,115,112
16,product-16,72,110,78,78,121,83
17,product-17,116,208,115,82,81,83
18,product-18,81,103,0,0,0,217
19,product-19,103,117,30,173,170,171
20,product-20,65,157,35,41,164,41
21,product-21,222,304,7,16,188,14
22,product-22,174,234,133,70,126,135
23,product-23,163,205,260,0,0,0
24,product-24,35,75,138,139,66,131
25,product-25,195,216,1,194,3,11
26,product-26,134,185,71,75,69,127
27,product-27,193,280,26,176,19,19
28,product-28,128,214,58,53,60,145
29,product-29,147,200,62,142,60,58
30,product-30,87,126,140,56,56,64
31,product-31,196,257,16,11,15,188
32,product-32,115,118,156,158,162,42
33,product-33,74,104,123,123,79,116
34,product-34,155,190,56,148,147,149
35,product-35,14,37,187,13,13,9
36,product-36,148,190,3,199,2,0
37,product-37,207,251,11,191,14,4
38,product-38,205,296,172,23,173,177
39,product-39,177,271,3,192,7,13
40,product-40,214,255,0,0,224,0
41,product-41,188,214,160,152,44,160
42,product-42,77,172,19,16,15,183
43,product-43,139,212,133,65,71,69
44,product-44,81,110,129,129,70,132
45,product-45,138,151,48,156,39,46
46,product-46,76,121,90,113,115,107
47,product-47,53,68,115,84,118,114
48,product-48,190,246,134,69,130,129
49,product-49,155,249,3,192,8,4
50,product-50,124,216,102,97,104,103
51,product-51,78,94,47,47,50,151
52,product-52,116,203,45,40,157,44
53,product-53,92,121,70,71,125,80
54,product-54,170,198,123,72,132,130
55,product-55,174,199,100,105,100,98
56,product-56,102,181,0,0,207,0
57,product-57,120,204,79,83,117,84
58,product-58,107,197,146,59,50,52
59,product-59,168,183,212,0,0,0
60,product-60,210,256,105,90,106,109
61,product-61,176,268,18,17,23,178
62,product-62,184,272,138,57,57,60
63,product-63,100,133,121,82,114,115
64,product-64,158,257,24,27,176,25
65,product-65,121,189,33,25,171,34
66,product-66,236,236,170,170,176,25
67,product-67,201,269,12,16,13,183
68,product-68,168,208,50,147,55,56
69,product-69,56,85,116,124,122,80
70,product-70,91,142,94,103,108,108
71,product-71,170,266,21,182,179,184
72,product-72,37,58,192,199,5,195
73,product-73,88,143,38,166,35,29
74,product-74,67,131,69,73,132,70
75,product-75,151,224,70,125,78,80
76,product-76,32,42,134,66,64,68
77,product-77,111,138,111,92,85,85
78,product-78,95,188,44,45,41,160
79,product-79,72,135,19,26,19,176
80,product-80,170,256,71,67,73,132
81,product-81,44,48,0,254,0,0
82,product-82,166,215,61,52,61,143
83,product-83,78,169,193,9,6,6
84,product-84,158,184,62,67,138,67
85,product-85,107,198,130,131,129,72
86,product-86,85,123,44,161,158,157
87,product-87,82,138,147,56,53,57
88,product-88,139,207,72,130,129,129
89,product-89,47,53,20,183,15,19
90,product-90,117,148,14,20,182,21
91,product-91,118,200,17,18,19,183
92,product-92,187,224,50,153,52,50
93,product-93,102,142,18,21,184,17
94,product-94,246,258,0,213,0,0
95,product-95,53,59,139,56,145,140
96,product-96,97,188,167,36,37,36
97,product-97,49,111,163,156,162,42
98,product-98,103,202,40,157,42,45
99,product-99,32,50,82,86,83,115
100,product-100,235,316,0,0,247,0
