id,label,ts_in,ts_out,dim_0,dim_1
1,customer-1,117,175,200,240
2,customer-2,169,210,197,89
3,customer-3,64,101,135,162
4,customer-4,160,178,109,114
5,customer-5,184,214,161,17
6,customer-6,155,177,110,96
7,customer-7,37,103,230,166
8,customer-8,78,123,131,143
9,customer-9,123,201,183,101
10,customer-10,267,344,99,101
11,customer-11,193,214,50,205
12,customer-12,235,297,32,235
13,customer-13,59,121,74,99
14,customer-14,123,132,175,159
15,customer-15,233,298,215,95
16,customer-16,8,10,191,190
17,customer-17,51,130,211,193
18,customer-18,83,96,26,135
19,customer-19,9,58,86,145
20,customer-20,154,190,161,151
