id,label,ts_in,ts_out,dim_0,dim_1
1,product-1,256,273,122,231
2,product-2,73,116,171,231
3,product-3,129,177,188,118
4,product-4,65,74,66,192
5,product-5,21,22,176,67
6,product-6,181,208,97,31
7,product-7,148,223,162,78
8,product-8,183,235,77,73
9,product-9,156,198,145,104
10,product-10,74,125,27,55
11,product-11,69,83,123,98
12,product-12,196,217,85,64
13,product-13,75,164,201,127
14,product-14,103,193,162,253
15,product-15,99,161,114,99
16,product-16,138,174,59,54
17,product-17,69,90,38,193
18,product-18,139,158,201,118
19,product-19,51,76,123,226
20,product-20,100,176,41,93
