id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,customer-1,36,41,129,85,164
2,customer-2,164,189,11,154,184
3,customer-3,148,184,30,48,186
4,customer-4,228,276,213,130,112
5,customer-5,180,237,20,157,212
6,customer-6,174,236,102,160,167
7,customer-7,25,120,199,105,41
8,customer-8,171,253,80,38,105
9,customer-9,21,66,190,80,86
10,customer-10,55,91,57,135,60
11,customer-11,57,58,78,60,80
12,customer-12,159,168,209,117,181
13,customer-13,117,139,194,191,95
14,customer-14,210,228,190,235,178
15,customer-15,28,28,19,149,94
16,customer-16,204,245,189,243,121
17,customer-17,42,122,151,150,115
18,customer-18,141,179,155,68,188
19,customer-19,140,191,160,64,194
20,customer-20,175,261,171,224,99
21,customer-21,47,74,95,116,129
22,customer-22,18,36,174,76,246
23,customer-23,120,145,107,199,195
24,customer-24,165,240,70,154,130
25,customer-25,139,202,96,100,121
26,customer-26,98,153,118,105,57
27,customer-27,86,163,29,75,209
28,customer-28,225,246,56,219,170
29,customer-29,153,201,184,160,99
30,customer-30,231,302,149,32,49
31,customer-31,198,209,118,97,124
32,customer-32,82,130,144,131,184
33,customer-33,58,126,81,184,109
34,customer-34,146,181,87,79,201
35,customer-35,54,102,93,156,67
36,customer-36,47,129,61,128,168
37,customer-37,75,80,46,137,125
38,customer-38,212,299,282,50,165
39,customer-39,67,140,80,175,228
40,customer-40,254,291,147,3,41
41,customer-41,84,133,155,17,173
42,customer-42,74,89,59,183,171
43,customer-43,158,166,222,88,151
44,customer-44,114,137,152,55,119
45,customer-45,64,91,184,160,46
46,customer-46,75,153,83,94,127
47,customer-47,64,96,83,20,125
48,customer-48,131,194,14,86,161
49,customer-49,45,79,74,53,252
50,customer-50,107,121,28,234,128
51,customer-51,48,141,181,226,139
52,customer-52,68,157,103,137,199
53,customer-53,261,329,23,105,163
54,customer-54,173,213,201,197,150
55,customer-55,27,100,163,127,55
56,customer-56,65,155,159,135,15
57,customer-57,86,161,36,219,115
58,customer-58,162,243,125,162,172
59,customer-59,87,107,37,161,215
60,customer-60,37,124,175,57,162
61,customer-61,202,245,27,21,119
62,customer-62,156,203,167,88,185
63,customer-63,46,78,172,69,83
64,customer-64,196,257,182,159,207
65,customer-65,91,153,199,55,120
66,customer-66,83,175,49,49,157
67,customer-67,211,223,58,71,82
68,customer-68,72,111,65,154,60
69,customer-69,138,183,26,159,97
70,customer-70,187,252,69,115,208
71,customer-71,250,328,202,38,237
72,customer-72,136,210,34,82,191
73,customer-73,109,159,68,24,190
74,customer-74,65,102,85,87,162
75,customer-75,30,74,131,146,125
76,customer-76,154,207,125,34,130
77,customer-77,75,152,104,159,161
78,customer-78,40,78,157,201,125
79,customer-79,204,268,80,194,129
80,customer-80,168,182,191,43,193
81,customer-81,108,156,120,164,144
82,customer-82,40,82,139,184,115
83,customer-83,109,143,59,24,152
84,customer-84,61,128,179,58,227
85,customer-85,86,177,82,141,34
86,customer-86,111,124,163,76,81
87,customer-87,162,240,122,109,191
88,customer-88,195,259,179,57,70
89,customer-89,159,172,72,201,142
90,customer-90,113,189,25,113,46
91,customer-91,177,180,190,121,257
92,customer-92,28,61,197,88,60
93,customer-93,136,164,72,141,119
94,customer-94,63,144,30,146,45
95,customer-95,67,100,182,90,193
96,customer-96,34,74,109,39,143
97,customer-97,175,271,111,220,226
98,customer-98,34,65,197,95,145
99,customer-99,116,148,214,146,74
100,customer-100,140,168,57,186,188
