id,label,ts_in,ts_out,dim_0,dim_1
1,product-1,137,195,63,111
2,product-2,212,273,77,258
3,product-3,17,76,207,276
4,product-4,204,291,13,65
5,product-5,120,195,234,162
6,product-6,163,169,57,86
7,product-7,215,297,206,104
8,product-8,14,100,117,192
9,product-9,48,53,39,207
10,product-10,231,243,43,115
11,product-11,192,240,83,192
12,product-12,128,199,75,202
13,product-13,170,228,27,58
14,product-14,213,249,57,161
15,product-15,146,159,66,117
16,product-16,129,174,171,87
17,product-17,185,209,199,106
18,product-18,217,245,94,138
19,product-19,91,122,65,181
20,product-20,199,279,110,3
21,product-21,111,169,27,15
22,product-22,193,254,179,134
23,product-23,103,188,130,155
24,product-24,232,250,30,11
25,product-25,161,161,199,155
26,product-26,66,146,153,192
27,product-27,181,210,151,74
28,product-28,65,129,121,199
29,product-29,56,77,88,177
30,product-30,215,285,235,176
31,product-31,143,233,67,98
32,product-32,143,197,131,220
33,product-33,116,127,196,44
34,product-34,225,291,74,38
35,product-35,174,210,104,111
36,product-36,90,156,104,150
37,product-37,142,211,148,40
38,product-38,97,119,140,210
39,product-39,44,122,146,55
40,product-40,112,179,67,60
41,product-41,205,263,102,69
42,product-42,97,121,126,88
43,product-43,157,218,28,93
44,product-44,134,170,83,100
45,product-45,135,210,40,84
46,product-46,257,274,20,64
47,product-47,22,23,65,152
48,product-48,69,148,119,146
49,product-49,78,173,119,202
50,product-50,246,318,98,145
51,product-51,191,212,125,102
52,product-52,227,262,172,80
53,product-53,193,255,93,73
54,product-54,31,37,215,44
55,product-55,152,205,97,201
56,product-56,69,106,48,196
57,product-57,84,115,51,122
58,product-58,24,68,110,197
59,product-59,172,253,177,87
60,product-60,153,208,129,158
61,product-61,237,275,145,197
62,product-62,146,178,67,48
63,product-63,133,200,10,84
64,product-64,191,257,171,178
65,product-65,161,232,192,60
66,product-66,29,110,132,37
67,product-67,218,269,127,183
68,product-68,52,86,121,186
69,product-69,2,94,151,204
70,product-70,105,110,162,88
71,product-71,27,103,37,76
72,product-72,202,213,110,171
73,product-73,174,196,121,73
74,product-74,70,104,12,164
75,product-75,107,107,129,143
76,product-76,60,99,67,33
77,product-77,73,160,170,255
78,product-78,205,293,166,37
79,product-79,170,268,73,178
80,product-80,158,250,153,44
81,product-81,210,276,90,100
82,product-82,31,61,225,2
83,product-83,91,128,181,35
84,product-84,28,54,167,164
85,product-85,246,299,194,105
86,product-86,8,85,97,109
87,product-87,37,89,121,89
88,product-88,34,88,118,132
89,product-89,125,208,190,196
90,product-90,40,48,192,60
91,product-91,184,232,118,114
92,product-92,190,206,218,225
93,product-93,122,153,84,84
94,product-94,127,185,87,172
95,product-95,151,238,210,186
96,product-96,145,202,62,98
97,product-97,202,230,126,216
98,product-98,179,224,175,189
99,product-99,109,150,80,146
100,product-100,82,139,88,132
101,product-101,151,172,82,3
102,product-102,229,266,85,199
103,product-103,130,171,106,188
104,product-104,22,88,159,215
105,product-105,214,226,21,195
106,product-106,62,125,74,232
107,product-107,170,228,50,134
108,product-108,190,254,105,159
109,product-109,39,79,57,100
110,product-110,153,196,280,144
111,product-111,128,134,120,119
112,product-112,189,219,114,25
113,product-113,70,134,110,69
114,product-114,108,184,54,213
115,product-115,26,99,151,113
116,product-116,229,255,103,68
117,product-117,179,203,112,114
118,product-118,34,114,209,180
119,product-119,108,202,167,79
120,product-120,238,271,101,29
121,product-121,111,147,109,167
122,product-122,143,221,38,108
123,product-123,86,162,130,47
124,product-124,52,128,198,168
125,product-125,40,97,221,114
126,product-126,183,244,165,153
127,product-127,73,110,113,59
