id,label,ts_in,ts_out,dim_0,dim_1,dim_2
1,product-1,172,249,117,29,39
2,product-2,109,117,53,162,55
3,product-3,165,169,194,37,162
4,product-4,107,108,14,61,179
5,product-5,94,161,118,171,174
6,product-6,91,158,169,143,192
7,product-7,170,205,107,70,23
8,product-8,90,90,50,233,191
9,product-9,19,64,177,153,116
10,product-10,127,182,131,186,270
11,product-11,136,138,188,113,96
12,product-12,181,249,33,65,107
13,product-13,190,275,191,216,227
14,product-14,64,105,66,84,87
15,product-15,207,258,122,88,142
16,product-16,154,156,144,8,67
17,product-17,242,312,132,158,148
18,product-18,72,110,114,45,62
19,product-19,82,153,152,170,99
20,product-20,151,224,69,217,49
21,product-21,71,131,134,194,57
22,product-22,43,94,214,127,74
23,product-23,170,253,53,148,64
24,product-24,136,195,3,138,258
25,product-25,11,39,78,117,30
26,product-26,190,202,46,50,198
27,product-27,137,201,163,154,101
28,product-28,153,197,95,159,135
29,product-29,207,207,113,209,134
30,product-30,120,171,87,17,116
31,product-31,210,291,207,117,110
32,product-32,179,220,105,52,211
33,product-33,142,166,187,148,87
34,product-34,141,171,216,119,210
35,product-35,102,115,227,217,78
36,product-36,204,301,162,137,67
37,product-37,230,243,215,176,228
38,product-38,156,219,99,213,61
39,product-39,195,203,144,125,109
40,product-40,206,298,136,180,117
41,product-41,40,63,209,22,207
42,product-42,77,116,218,251,110
43,product-43,209,282,78,75,121
44,product-44,47,53,156,71,93
45,product-45,27,30,169,128,179
46,product-46,170,194,135,36,183
47,product-47,126,131,189,170,151
48,product-48,117,205,115,174,228
49,product-49,18,40,18,166,256
50,product-50,81,124,89,86,183
51,product-51,107,137,73,156,93
52,product-52,190,268,171,90,274
53,product-53,72,150,132,138,153
54,product-54,118,156,164,61,150
55,product-55,61,135,21,48,140
56,product-56,263,290,199,172,169
57,product-57,63,155,58,98,104
58,product-58,43,94,58,150,159
59,product-59,186,213,175,217,80
60,product-60,168,176,124,69,151
61,product-61,119,208,164,136,52
62,product-62,34,133,211,233,106
63,product-63,102,132,95,19,151
64,product-64,198,216,28,161,50
65,product-65,168,175,180,153,156
66,product-66,143,220,78,172,84
67,product-67,167,238,64,118,53
68,product-68,122,204,173,22,85
69,product-69,144,204,47,165,140
70,product-70,247,309,58,134,132
71,product-71,195,228,72,221,115
72,product-72,76,141,92,167,174
73,product-73,121,174,22,85,123
74,product-74,111,187,129,95,143
75,product-75,65,125,81,117,214
76,product-76,28,103,15,161,50
77,product-77,13,82,213,204,59
78,product-78,158,223,88,85,187
79,product-79,207,214,129,201,135
80,product-80,67,113,183,40,230
81,product-81,206,232,170,109,18
82,product-82,150,199,118,179,90
83,product-83,83,105,64,129,174
84,product-84,9,91,111,123,179
85,product-85,162,251,198,225,63
86,product-86,256,314,27,173,42
87,product-87,85,134,109,176,114
88,product-88,143,163,63,196,95
89,product-89,200,254,182,22,195
90,product-90,27,77,50,32,128
91,product-91,105,122,129,52,79
92,product-92,170,182,80,208,26
93,product-93,220,230,43,105,127
94,product-94,18,19,185,38,193
95,product-95,141,226,179,132,39
96,product-96,117,200,166,54,89
97,product-97,246,263,194,144,171
98,product-98,78,99,91,50,222
99,product-99,107,144,184,179,81
100,product-100,157,242,108,157,38
101,product-101,51,52,107,74,124
102,product-102,158,233,145,87,44
103,product-103,139,221,153,159,183
104,product-104,77,94,182,118,189
105,product-105,57,150,102,14,48
106,product-106,85,114,160,116,83
107,product-107,201,228,188,10,35
108,product-108,86,146,108,87,173
109,product-109,95,136,167,186,207
110,product-110,188,204,99,74,54
111,product-111,99,118,77,49,129
112,product-112,80,111,60,20,74
113,product-113,177,183,84,86,47
114,product-114,105,188,78,180,192
115,product-115,127,218,219,155,113
116,product-116,195,251,10,94,158
117,product-117,116,119,36,230,215
118,product-118,189,262,264,169,21
119,product-119,89,124,168,151,197
120,product-120,176,232,82,203,246
121,product-121,221,313,102,12,67
122,product-122,3,97,154,121,156
123,product-123,89,97,97,102,154
124,product-124,213,287,150,109,122
125,product-125,90,126,68,218,145
