process,ts_start,ts_end,algorithm,data_type,num_of_rows,num_of_dimensions,query_info,run_time,mem_usage
precomputing,2019-05-09__12:09:07,2019-05-09__12:09:11,kmppts,i,100,2,-,0:00:03.739597,29.233152
query,2019-05-09__12:09:17,2019-05-09__12:09:17,kmppts,i,100,2,k : 3 | time intvl : 10-50,0:00:00.016770,30.081024
query,2019-05-09__12:09:55,2019-05-09__12:09:55,kmppts,i,100,2,k : 4 | time intvl : 100-130,0:00:00.031092,30.171136
precomputing,2019-06-07__13:58:16,2019-06-07__13:58:40,kmppts,i,500,2,-,0:00:24.362127,40.439808
precomputing,2019-06-07__14:04:31,2019-06-07__14:04:31,kmppts,0,0,0,-,0:00:00.018576,34.320384
precomputing,2019-06-07__14:05:17,2019-06-07__14:05:17,kmppts,unknown,unknown,unknown,-,0:00:00.016636,34.32448
precomputing,2019-06-07__14:09:13,2019-06-07__14:09:13,kmppts,unknown,unknown,unknown,-,0:00:00.017606,34.271232
precomputing,2019-06-07__14:20:09,2019-06-07__14:20:09,kmppts,unknown,unknown,unknown,-,0:00:00.088910,36.29056
precomputing,2019-06-07__14:20:53,2019-06-07__14:21:23,kmppts,i,500,2,-,0:00:30.493418,45.264896
precomputing,2019-06-07__14:22:28,2019-06-07__14:22:52,kmppts,i,500,2,-,0:00:24.628031,40.484864
precomputing,2019-06-07__14:32:18,2019-06-07__14:32:19,kmppti,unknown,unknown,unknown,-,0:00:00.071383,36.4544
precomputing,2019-06-07__14:39:29,2019-06-07__14:39:29,kmppti-rsl,unknown,unknown,unknown,-,0:00:00.014989,36.499456
precomputing,2019-06-07__14:40:27,2019-06-07__14:40:27,kmppti,unknown,unknown,unknown,-,0:00:00.100279,36.499456
precomputing,2019-06-07__14:41:35,2019-06-07__14:42:01,kmppti-without-rsl,i,500,2,-,0:00:25.505454,45.211648
precomputing,2019-06-07__14:42:58,2019-06-07__14:43:18,kmppti-using-rsl,i,500,2,-,0:00:20.161050,47.566848
